Lev,Item,Description,Qty Per,Ref des,,,,,Mfg,Mfg p/n,Notes,,,,,
1,567-0049,IND-15nH-0805-5%-Q_MIN=30,2,"L20, l32",567-0049,567-0049,"L20, L32","L20, l32",COILCRAFT,0805CS-150XJBC,,,,,,
1,567-0052,IND-10nH-1206-5%-Q_MIN=30,1,L7,567-0052,567-0052,L7,L7,COILCRAFT,1206CS-100XJBC,,,,,,
1,568-0012,CAP2 100 pF 50V 5% NPO 0805,1,C113,568-0012,568-0012,C113,C113,AVX/KYOCERA,08055A101JAT2A,PHILIPS,0805CG101J9B***,,,,
1,568-0024,CAP-1nF-0805-5%-50V-COG,1,C58,568-0024,568-0024,C58,C58,AVX/KYOCERA,08055A101JAT2A,PHILIPS,0805CG101J9B***,,,,
1,568-0040,CAP2 100 nF 50V 10% X7R 0805,20,"C10, C17, C19-20, C24, C35, C44, C55, C75, C84, C96, C99-105, C147, C150",568-0040,568-0040,"C10, C17, C19-20, C24, C35, C44, C55, C75, C84, C96, C99-105, C147, C150","C10, C17, C19-20, C24, C35, C44, C55, C75, C84, C96, C99-105, C147, C150",AVX/KYOCERA,08055C104KAT2A,PHILIPS,08052R104K9B***,,,,
1,568-0046,CAP-3.3pF-0805-+/-0.1pF-50V(MIN)-LOW_ESR,4,"C94, C97, C106-107",568-0046,568-0046,"C94, C97, C106-107","C94, C97, C106-107",Johanson,201R15C3R3BV4E,,,,,,
1,568-0060,CAP-4.7uF-CASEC-20%-25V-TANT,5,"C77, C118, C133-134, C145",568-0060,568-0060,"C77, C118, C133-134, C145","C77, C118, C133-134, C145",AVX,TAJC475M025,NEC (CAL EAST),NRC475M25,,,,
1,568-0072,CAP2 33 nF 50V 10% X7R 0805,12,"C4, C6, C8, C12, C33, C37-38, C48-49, C51, C67-68",568-0072,568-0072,"C4, C6, C8, C12, C33, C37-38, C48-49, C51, C67-68","C4, C6, C8, C12, C33, C37-38, C48-49, C51, C67-68",AVX/KYOCERA,08055C333KAT2A,PHILIPS,08052R333K9B***,,,,
1,568-0087,CAP2 10 PF 50V 5% COG 1206,8,"C9, C13, C25-26, C30, C45, C91-92",568-0087,568-0087,"C9, C13, C25-26, C30, C45, C91-92","C9, C13, C25-26, C30, C45, C91-92",AVX/KYOCERA,12065A100JAT2A,PHILIPS,1206CG100J9B***,,,,
1,568-0134,CAP2 10 PF 50V 5% NPO 0603,50,"C3, C5, C7, C11, C15-16, C18, C27, C31-32, C34, C36, C39, C46, C50, C52-54, C56, C66, C82-83, C85, C89-90, C95, C98, C108, C110, C114-117, C119, C121-126, C129, C135-141, C148-149",568-0134,568-0134,"C3, C5, C7, C11, C15-16, C18, C27, C31-32, C34, C36, C39, C46, C50, C52-54, C56, C66, C82-83, C85, C89-90, C95, C98, C108, C110, C114-117, C119, C121-126, C129, C135-141, C148-149","C3, C5, C7, C11, C15-16, C18, C27, C31-32, C34, C36, C39, C46, C50, C52-54, C56, C66, C82-83, C85, C89-90, C95, C98, C108, C110, C114-117, C119, C121-126, C129, C135-141, C148-149",AVX/KYOCERA,06035A100JAT2A,NIC,NMC0603NPO100J50TRP,PHILIPS,0603CG100J9B***,YAGEO,0603CG100J9B200
1,568-0146,CAP2 100 pF 50V 5% NPO 0603,3,"C127, C130, C143",568-0146,568-0146,"C127, C130, C143","C127, C130, C143",AVX/KYOCERA,06035A101JAT2A,PHILIPS,0603CG101J9B***,,,,
1,568-0163,CAP-10nF-0603-10%-50V-X7R,10,"C21-23, C57, C69-70, C109, C132, C144, C157",568-0163,568-0163,"C21-23, C57, C69-70, C109, C132, C144, C157","C21-23, C57, C69-70, C109, C132, C144, C157",AVX/KYOCERA,06035C103KAT2A,PHILIPS,06032R103K9B***,,,,
1,568-0179,CAP-10pF-0805-+/-5%-50V(MIN)-LOW_ESR,3,"C78, C86, C93",568-0179,568-0179,"C78, C86, C93","C78, C86, C93",Johanson,201R15L100JV4E,,,,,,
1,568-0185,CAP-10uF-CASEC-10%-25V-TANT,1,C142,568-0185,568-0185,C142,C142,AVX,TAJC106K025X,NEC (CAL EAST),NRC106M25,,,,
1,568-0194,CAP2 1 nF 50V 10% X7R 0603,2,"C128, C131",568-0194,568-0194,"C128, C131","C128, C131",AVX,06035C102KATDA,PHILIPS,06032R102K9B***,,,,
1,568-0195,CAP2 3.3 pF 50V 5% NPO 0603,1,C169,568-0195,568-0195,C169,C169,AVX,105CG3R3J50A,,,,,,
1,568-0203,CAP2 8.2 pF 50V 5% NPO 0603,2,C59-60,568-0203,568-0203,C59-60,C59-60,AVX/KYOCERA,06035A8R2CAT2A,AVX/KYOCERA,06035A8R2JAT2A,PHILIPS,0603CG8R2J9B***,,
1,568-0204,CAP2 8.2 pF 50V+ 0.25pF(%)  LOW ESR 0805,2,C87-88,568-0204,568-0204,C87-88,C87-88,Johanson,201R15C8R2BV4E,Johanson,501R15L8R2CVE,,,,
1,568-0217,CAP2 10 UF 35V 20% TANT C,7,"C71-74, C111-112, C168",568-0217,568-0217,"C71-74, C111-112, C168","C71-74, C111-112, C168",AVX,TAJC106K035R,AVX,TAJC106K035S,AVX,TAJC106K035X,NEC (CAL EAST),NRC106M35
1,568-0218,CAP2 330 nF 50V 10% X7R 1206,3,"C14, C120, C146",568-0218,568-0218,"C14, C120, C146","C14, C120, C146",AVX/KYOCERA,12065C334KAT2A,PHILIPS,12062R334K9B***,,,,
1,568-0227,CAP-1.8pF-0805-+/-0.1pF-50V-COG,5,"C61, C64, C79-81",568-0227,568-0227,"C61, C64, C79-81","C61, C64, C79-81",AVX,0805A1R8BAT4A,ECN#71 ADDS C79-81 TO BOM.  REPLACES 568-0183. 1/28/03,SYPHER,0805J0501P80BCT,,,
1,568-0229,CAP-1.5pF-1206-+/-0.1pF-50V-COG,2,"C47, C65",568-0229,568-0229,"C47, C65","C47, C65",AVX,1206A1R5BAT4A,SYPHER,1206J0501P50BCT,,,,
1,568-0241,CAP-10pF-1206-+/-5%-50V(MIN)-LOW_ESR,2,C1-2,568-0241,568-0241,C1-2,C1-2,Johanson,201R18C100GV4E,Johanson,201R18C100JV4E,,,,
1,568-0246,CAP-1.2pF-1206-+/-0.1pF-50V-COG,2,C28-29,568-0246,568-0246,C28-29,C28-29,AVX,1206A1R2BAT4A,SYPHER,1206J0501P20BCT,,,,
1,569-0000,RES2 0 OHM 1/10W 0805,1,R55,569-0000,569-0000,R55,R55,AVX/KYOCERA,CJ21-000,ROHM,MCR10EZHJ000,,,,
1,569-0026,RES2 18 OHM 1% 1/10W 0805,2,"R40, R47",569-0026,569-0026,"R40, R47","R40, R47",AVX/KYOCERA,CR21-180F-T,ROHM,MCR10EZHF18R0,,,,
1,569-0043,RES2 100 OHM 1% 1/10W 0805,6,"R1, R12, R17, R19, R21, R25",569-0043,569-0043,"R1, R12, R17, R19, R21, R25","R1, R12, R17, R19, R21, R25",AVX/KYOCERA,CR211000FT,ROHM,MCR10EZHF1000,,,,
1,569-0055,RES2 430 OHM 1% 1/10W 0805,2,R134-135,569-0055,569-0055,R134-135,R134-135,AVX/KYOCERA,CR21-431F-T,ROHM,MCR10EZHF4300,,,,
1,569-0085,RES2 10K 1% 1/10W 0805,4,"R57, R75, R79, R128",569-0085,569-0085,"R57, R75, R79, R128","R57, R75, R79, R128",AVX/KYOCERA,CR211002FT,ROHM,MCR10EZHF1002,,,,
1,569-0091,RES2 22K 1% 1/10W 0805,1,R127,569-0091,569-0091,R127,R127,AVX/KYOCERA,CR21-223F-T,ROHM,MCR10EZHF2202,,,,
1,569-0106,RES2 100K 1% 1/10W 0805,1,R129,569-0106,569-0106,R129,R129,AVX/KYOCERA,CR21-104F-T,ROHM,MCR10EZHF1003,,,,
1,569-0148,RES2 0 OHM 1/16W 0603,6,"R68, R73, R78, R84, R89, R93",569-0148,569-0148,"R68, R73, R78, R84, R89, R93","R68, R73, R78, R84, R89, R93",AVX/KYOCERA,CJ10-000,ROHM,MCR03EZHJ000,,,,
1,569-0170,RES2 10 OHM 1% 1/16W 0603,2,"R101, R122",569-0170,569-0170,"R101, R122","R101, R122",AVX/KYOCERA,CR10-100F-T,ROHM,MCR03EZHF10R0,,,,
1,569-0175,RES2 20 OHM 1% 1/16W 0603,2,R4-5,569-0175,569-0175,R4-5,R4-5,AVX/KYOCERA,CR10-200F-T,ROHM,MCR03EZHF20R0,,,,
1,569-0178,RES2 30 OHM 5% 1/16W 0603,2,R124-125,569-0178,569-0178,R124-125,R124-125,AVX/KYOCERA,CR10-300F-T,ROHM,MCR03EZHJ300,,,,
1,569-0179,RES2 33 OHM 1% 1/16W 0603,2,"R120, R123",569-0179,569-0179,"R120, R123","R120, R123",AVX/KYOCERA,CR10-330F-T,ROHM,MCR03EZPFX33R0,,,,
1,569-0184,RES2 51 OHM 1% 1/16W 0603,2,"R58, R60",569-0184,569-0184,"R58, R60","R58, R60",AVX/KYOCERA,CR1051R0FT,ROHM,MCR03EZHF51R0,ROHM,MCR03EZPFX51R0,,
1,569-0191,RES2 100 OHM 1% 1/16W 0603,2,R23-24,569-0191,569-0191,R23-24,R23-24,AVX/KYOCERA,CR101000FT,ROHM,MCR03EZHF1000,ROHM,MCR03EZPFX1000,,
1,569-0192,RES2 120 OHM 1% 1/16W 0603,2,R2-3,569-0192,569-0192,R2-3,R2-3,AVX/KYOCERA,CR101200FT,ROHM,MCR03EZHF1200,,,,
1,569-0212,RES2 1K 1% 1/16W 0603,8,"R6-7, R11, R15, R18, R34, R39, R48",569-0212,569-0212,"R6-7, R11, R15, R18, R34, R39, R48","R6-7, R11, R15, R18, R34, R39, R48",AVX/KYOCERA,CR101001FT,ROHM,MCR03EZPFX1001,,,,
1,569-0215,RES2 1.5K OHM 1% 1/16W 0603,1,R100,569-0215,569-0215,R100,R100,AVX/KYOCERA,CR10-152F-T,ROHM,MCR03EZHF1501,ROHM,MCR03EZPFX1501,,
1,569-0218,RES2 2.2K 1% 1/16W 0603,3,"R59, R61-62",569-0218,569-0218,"R59, R61-62","R59, R61-62",AVX/KYOCERA,CR102201FT,ROHM,MCR03EZHF2211,ROHM,MCR03EZPFX2211,,
1,569-0220,RES2 3K 1% 1/16W 0603,1,R49,569-0220,569-0220,R49,R49,AVX/KYOCERA,CR10-302F-T,ROHM,MCR03EZPFX3001,,,,
1,569-0221,RES2  3.3K 1% 1/16W 0603,2,"R42, R45",569-0221,569-0221,"R42, R45","R42, R45",AVX/KYOCERA,CR10-332F-T,ROHM,MCR03EZHF3301,,,,
1,569-0224,RES2 4.3K 1% 1/16W 0603,2,"R28, R31",569-0224,569-0224,"R28, R31","R28, R31",AVX/KYOCERA,CR10-432F-T,ROHM,MCR03EZPFX4301,,,,
1,569-0225,RES2 51 OHM 1% 1/16W 0603,1,R102,569-0225,569-0225,R102,R102,AVX/KYOCERA,CR10-472F-T,NIC,NRC06F4701TR,ROHM,MCR03EZPFX4701,YAGEO,9C06031A4701FKHFT
1,569-0226,RES2 5.1K 1% 1/16W 0603,1,R81,569-0226,569-0226,R81,R81,AVX/KYOCERA,CR10-512F-T,ROHM,MCR03EZPFX5101,,,,
1,569-0233,RES2 10K 1% 1/16w 0603,24,"R13-14, R20, R22, R27, R29-30, R32, R36-38, R41, R43-44, R46, R51-54, R63, R87, R95, R103, R121",569-0233,569-0233,"R13-14, R20, R22, R27, R29-30, R32, R36-38, R41, R43-44, R46, R51-54, R63, R87, R95, R103, R121","R13-14, R20, R22, R27, R29-30, R32, R36-38, R41, R43-44, R46, R51-54, R63, R87, R95, R103, R121",AVX/KYOCERA,CR101002FT,ROHM,MCR03EZPFX1002,,,,
1,569-0234,RES2 12K 1% 1/16W 0603,2,"R50, R67",569-0234,569-0234,"R50, R67","R50, R67",AVX/KYOCERA,CR101202F-T,ROHM,MCR03EZPFX1202,,,,
1,569-0239,RES2 22K 1% 1/16W 0603,1,R118,569-0239,569-0239,R118,R118,AVX/KYOCERA,CR10-223F-T,ROHM,MCR03EZHF2202,ROHM,MCR03EZPFX2202,,
1,569-0240,RES2 27K 1% 1/16W 0603,1,R126,569-0240,569-0240,R126,R126,AVX/KYOCERA,CR10-273F-T,ROHM,MCR03EZHF2702,,,,
1,569-0244,RES2 39K 1% 1/16W 0603,1,R96,569-0244,569-0244,R96,R96,AVX/KYOCERA,CR10-393F-T,ROHM,MCR03EZPFX3902,,,,
1,569-0249,RES2 62K 1% 1/16W 0603,1,R111,569-0249,569-0249,R111,R111,AVX/KYOCERA,CR10-6202F-T,ROHM,MCR03EZPFX6202,,,,
1,569-0252,RES2 82K 1% 1/16W 0603,1,R116,569-0252,569-0252,R116,R116,AVX/KYOCERA,CR10-8202F-T,ROHM,MCR03EZPFX8202,,,,
1,569-0254,RES2 100K 1% 1/16w 0603,2,"R70, R117",569-0254,569-0254,"R70, R117","R70, R117",AVX/KYOCERA,CR10-104F-T,ROHM,MCR03EZPFX1003,,,,
1,569-0257,RES2 150K 1% 1/16W 0603,1,R69,569-0257,569-0257,R69,R69,AVX/KYOCERA,CR10-154F-T,ROHM,MCR03EZHF1503,,,,
1,569-0260,RES2 220K 1% 1/16W 0603,5,"R8-9, R104-106",569-0260,569-0260,"R8-9, R104-106","R8-9, R104-106",AVX/KYOCERA,CR102203FT,ROHM,MCR03EZPFX2203,,,,
1,569-0268,RES2 510K 1% 1/16W 0603,1,R86,569-0268,569-0268,R86,R86,AVX/KYOCERA,CR10-514F-T,ROHM,MCR03EZPFX5103,,,,
1,569-0275,RES2 1M 1% 1/16W 0603,4,"R65-66, R71-72",569-0275,569-0275,"R65-66, R71-72","R65-66, R71-72",AVX/KYOCERA,CR101004FT,ROHM,MCR03EZPFX1004,,,,
1,569-0306,RES2 3.3 OHM 5% 1/4W 1206,2,R112-113,569-0306,569-0306,R112-113,R112-113,AVX/KYOCERA,CR32-3R3J-T,ROHM,MCR18EZHJ3R3,,,,
1,569-0310,RES2 4.7 OHM 5% 1/4W 1206,2,"R26, R33",569-0310,569-0310,"R26, R33","R26, R33",AVX/KYOCERA,CR32-4R7J-T,ROHM,MCR18EZHJ4R7,,,,
1,569-0313,RES2 6.2 OHM 5% 1/4W 1206,2,"R10, R16",569-0313,569-0313,"R10, R16","R10, R16",AVX/KYOCERA,CR32-6R2J-T,ROHM,MCR18EZHJ6R2,,,,
1,569-0319,RES2 12 OHM 1% 1/4W 1206,1,R133,569-0319,569-0319,R133,R133,AVX/KYOCERA,CR32-120F-T,ROHM,MCR18EZHF12R0,,,,
1,569-0339,RES2 100 ohm 1% 1/4W 1206,2,"R107, R110",569-0339,569-0339,"R107, R110","R107, R110",AVX/KYOCERA,CR32-1000F-T,ROHM,MCR18EZHF1000,,,,
1,569-0459,RES2 2.4K 1% 1/16W 0603,1,R35,569-0459,569-0459,R35,R35,AVX/KYOCERA,CR10-242F-T,ROHM,MCR03EZPFX2401,,,,
1,569-0542,RES2 0.047 OHM 1/4W  1206,1,R119,569-0542,569-0542,R119,R119,FARNELL,156-231,MEGGIT,TL2BR047F,,,,
1,569-0623,RNET1 10K 5% ARV241,4,"R74, R108, R136-137",569-0623,569-0623,"R74, R108, R136-137","R74, R108, R136-137",PHILIPS,2350-035-10103,ROHM,MNR14EOABJ103,,,,
1,569-0723,RES2 1.5 OHM 1% 1/8W 1206,3,R90-92,569-0723,569-0723,R90-92,R90-92,FARNELL,360-0786,PHILIPS,2322 724 6158,,,,
1,569-0747,RES2 150 OHM 5% 1W 2512,2,"R109, R114",569-0747,569-0747,"R109, R114","R109, R114",ROHM,MCR100JZHJ151,,,,,,
1,591-0114,DIODE-DUALSERIAL-BAV99-SOT23,1,J1,#N/A,#N/A,#N/A,#N/A,Erni Components,114881,,,,,,
,,,,THIS IS NOW A NO LOAD PART,#N/A,#N/A,#N/A,#N/A,,,,,,,,
,,,,,#N/A,#N/A,#N/A,#N/A,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
