RECORDER_ID,TRANSACTION_DATE,HOUR,INTERVAL,NET_KW,NET_KVA,POD_READING_ATI,POD_METERING_POINT_ATI,UNIT_TASK_EVENT_ATI,POD_HISTORY_ATI,RECORD_TYPE,SEGMENT,COMPANY,NET_KWH,NET_KWH_SOURCE,NET_KVAR,NET_KVARH,NET_KVARH_SOURCE,NET_KVAH,FILE_TRACKING_ATI,DUPLICATE_FLAG,MV90_READING_ATI,DATA_STATE_ID,SITE_ID,ASSET_ID,BACKED_OUT_FLAG,
ATPLAST       ,110404,7,2,9972.48,10194.24,26,40415,21662,26,GEN,919038.50,EP,2493.12,ME,2114.75,528.69,ME,2548.56,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,7,3,10046.40,10271.52,27,40416,21662,27,GEN,919038.75,EP,2511.60,ME,2138.68,534.67,ME,2567.88,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,7,4,10170.72,10419.36,28,40417,21662,28,GEN,919039.00,EP,2542.68,ME,2262.64,565.66,ME,2604.84,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,8,1,10190.88,10439.52,29,40418,21662,29,GEN,919039.25,EP,2547.72,ME,2264.85,566.21,ME,2609.88,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,8,2,10116.96,10372.32,30,40419,21662,30,GEN,919039.50,EP,2529.24,ME,2287.39,571.85,ME,2593.08,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,8,3,10093.44,10338.72,31,40420,21662,31,GEN,919039.75,EP,2523.36,ME,2238.66,559.67,ME,2584.68,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,8,4,10063.20,10301.76,32,40421,21662,32,GEN,919040.00,EP,2515.80,ME,2204.15,551.04,ME,2575.44,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,9,1,9999.36,10234.56,33,40422,21662,33,GEN,919040.25,EP,2499.84,ME,2181.52,545.38,ME,2558.64,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,9,2,10043.04,10291.68,34,40423,21662,34,GEN,919040.50,EP,2510.76,ME,2248.56,562.14,ME,2572.92,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,9,3,10019.52,10254.72,35,40424,21662,35,GEN,919040.75,EP,2504.88,ME,2183.69,545.92,ME,2563.68,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,9,4,10036.32,10288.32,36,40425,21662,36,GEN,919041.00,EP,2509.08,ME,2263.14,565.79,ME,2572.08,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,10,1,9945.60,10177.44,37,40426,21662,37,GEN,919041.25,EP,2486.40,ME,2159.94,539.98,ME,2544.36,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,10,2,10059.84,10311.84,38,40427,21662,38,GEN,919041.50,EP,2514.96,ME,2265.76,566.44,ME,2577.96,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,10,3,10032.96,10298.40,39,40428,21662,39,GEN,919041.75,EP,2508.24,ME,2323.09,580.77,ME,2574.60,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,10,4,9999.36,10248.00,40,40429,21662,40,GEN,919042.00,EP,2499.84,ME,2243.73,560.93,ME,2562.00,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,11,1,10029.60,10288.32,41,40430,21662,41,GEN,919042.25,EP,2507.40,ME,2292.74,573.18,ME,2572.08,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,11,2,10069.92,10318.56,42,40431,21662,42,GEN,919042.50,EP,2517.48,ME,2251.53,562.88,ME,2579.64,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,11,3,10043.04,10291.68,43,40432,21662,43,GEN,919042.75,EP,2510.76,ME,2248.56,562.14,ME,2572.92,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,11,4,10116.96,10368.96,44,40433,21662,44,GEN,919043.00,EP,2529.24,ME,2272.10,568.03,ME,2592.24,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,12,1,10143.84,10402.56,45,40434,21662,45,GEN,919043.25,EP,2535.96,ME,2305.59,576.40,ME,2600.64,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,12,2,10056.48,10301.76,46,40435,21662,46,GEN,919043.50,EP,2514.12,ME,2234.61,558.65,ME,2575.44,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,12,3,10103.52,10365.60,47,40436,21662,47,GEN,919043.75,EP,2525.88,ME,2316.15,579.04,ME,2591.40,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,12,4,10096.80,10355.52,48,40437,21662,48,GEN,919044.00,EP,2524.20,ME,2300.31,575.08,ME,2588.88,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,13,1,10120.32,10382.40,49,40414,21662,49,GEN,919044.25,EP,2530.08,ME,2318.05,579.51,ME,2595.60,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,13,2,10036.32,10281.60,50,40415,21662,50,GEN,919044.50,EP,2509.08,ME,2232.39,558.10,ME,2570.40,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,13,3,9942.24,10167.36,51,40416,21662,51,GEN,919044.75,EP,2485.56,ME,2127.69,531.92,ME,2541.84,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,13,4,9948.96,10180.80,52,40417,21662,52,GEN,919045.00,EP,2487.24,ME,2160.30,540.07,ME,2545.20,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,14,1,10036.32,10281.60,53,40418,21662,53,GEN,919045.25,EP,2509.08,ME,2232.39,558.10,ME,2570.40,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,14,2,10133.76,10395.84,54,40419,21662,54,GEN,919045.50,EP,2533.44,ME,2319.57,579.89,ME,2598.96,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,14,3,10153.92,10429.44,55,40420,21662,55,GEN,919045.75,EP,2538.48,ME,2381.41,595.35,ME,2607.36,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,14,4,10130.40,10392.48,56,40421,21662,56,GEN,919046.00,EP,2532.60,ME,2319.19,579.80,ME,2598.12,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,15,1,10140.48,10405.92,57,40422,21662,57,GEN,919046.25,EP,2535.12,ME,2335.35,583.84,ME,2601.48,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,15,2,10039.68,10301.76,58,40423,21662,58,GEN,919046.50,EP,2509.92,ME,2308.91,577.23,ME,2575.44,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,15,3,10002.72,10254.72,59,40424,21662,59,GEN,919046.75,EP,2500.68,ME,2259.40,564.85,ME,2563.68,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,15,4,10039.68,10308.48,60,40425,21662,60,GEN,919047.00,EP,2509.92,ME,2338.71,584.68,ME,2577.12,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,16,1,10026.24,10274.88,61,40426,21662,61,GEN,919047.25,EP,2506.56,ME,2246.70,561.68,ME,2568.72,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,16,2,10053.12,10318.56,62,40427,21662,62,GEN,919047.50,EP,2513.28,ME,2325.39,581.35,ME,2579.64,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,16,3,10036.32,10298.40,63,40428,21662,63,GEN,919047.75,EP,2509.08,ME,2308.53,577.13,ME,2574.60,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,16,4,9891.84,10120.32,64,40429,21662,64,GEN,919048.00,EP,2472.96,ME,2138.31,534.58,ME,2530.08,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,17,1,9915.36,10147.20,65,40430,21662,65,GEN,919048.25,EP,2478.84,ME,2156.69,539.17,ME,2536.80,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,17,2,9925.44,10164.00,66,40431,21662,66,GEN,919048.50,EP,2481.36,ME,2189.19,547.30,ME,2541.00,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,17,3,9878.40,10110.24,67,40432,21662,67,GEN,919048.75,EP,2469.60,ME,2152.71,538.18,ME,2527.56,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,17,4,8820.00,9001.44,68,40433,21662,68,GEN,919049.00,EP,2205.00,ME,1798.20,449.55,ME,2250.36,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,18,1,8043.84,8205.12,69,40434,21662,69,GEN,919049.25,EP,2010.96,ME,1618.84,404.71,ME,2051.28,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,18,2,7932.96,8077.44,70,40435,21662,70,GEN,919049.50,EP,1983.24,ME,1520.92,380.23,ME,2019.36,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,18,3,8890.56,9041.76,71,40436,21662,71,GEN,919049.75,EP,2222.64,ME,1646.62,411.66,ME,2260.44,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,18,4,10258.08,10449.60,72,40437,21662,72,GEN,919050.00,EP,2564.52,ME,1991.47,497.87,ME,2612.40,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,19,1,10614.24,10872.96,73,40414,21662,73,GEN,919050.25,EP,2653.56,ME,2357.79,589.45,ME,2718.24,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,19,2,10836.00,11084.64,74,40415,21662,74,GEN,919050.50,EP,2709.00,ME,2334.60,583.65,ME,2771.16,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,19,3,10731.84,10967.04,75,40416,21662,75,GEN,919050.75,EP,2682.96,ME,2259.11,564.78,ME,2741.76,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,19,4,10809.12,11094.72,76,40417,21662,76,GEN,919051.00,EP,2702.28,ME,2501.15,625.29,ME,2773.68,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,20,1,10782.24,11020.80,77,40418,21662,77,GEN,919051.25,EP,2695.56,ME,2280.64,570.16,ME,2755.20,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,20,2,10799.04,11074.56,78,40419,21662,78,GEN,919051.50,EP,2699.76,ME,2454.92,613.73,ME,2768.64,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,20,3,10812.48,11098.08,79,40420,21662,79,GEN,919051.75,EP,2703.12,ME,2501.53,625.38,ME,2774.52,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,20,4,10829.28,11108.16,80,40421,21662,80,GEN,919052.00,EP,2707.32,ME,2473.44,618.36,ME,2777.04,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,21,1,10862.88,11138.40,81,40422,21662,81,GEN,919052.25,EP,2715.72,ME,2462.07,615.52,ME,2784.60,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,21,2,10859.52,11141.76,82,40423,21662,82,GEN,919052.50,EP,2714.88,ME,2491.92,622.98,ME,2785.44,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,21,3,10899.84,11185.44,83,40424,21662,83,GEN,919052.75,EP,2724.96,ME,2511.48,627.87,ME,2796.36,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,21,4,10852.80,11138.40,84,40425,21662,84,GEN,919053.00,EP,2713.20,ME,2506.13,626.53,ME,2784.60,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,22,1,10862.88,11145.12,85,40426,21662,85,GEN,919053.25,EP,2715.72,ME,2492.30,623.07,ME,2786.28,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,22,2,10785.60,11057.76,86,40427,21662,86,GEN,919053.50,EP,2696.40,ME,2438.21,609.55,ME,2764.44,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,22,3,10755.36,11004.00,87,40428,21662,87,GEN,919053.75,EP,2688.84,ME,2325.99,581.50,ME,2751.00,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,22,4,10795.68,11034.24,88,40429,21662,88,GEN,919054.00,EP,2698.92,ME,2282.05,570.51,ME,2758.56,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,23,1,10775.52,11020.80,89,40430,21662,89,GEN,919054.25,EP,2693.88,ME,2312.19,578.05,ME,2755.20,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,23,2,10765.44,11014.08,90,40431,21662,90,GEN,919054.50,EP,2691.36,ME,2327.07,581.77,ME,2753.52,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,23,3,10718.40,10960.32,91,40432,21662,91,GEN,919054.75,EP,2679.60,ME,2290.09,572.52,ME,2740.08,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,23,4,10792.32,11040.96,92,40433,21662,92,GEN,919055.00,EP,2698.08,ME,2329.94,582.49,ME,2760.24,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,24,1,10846.08,11104.80,93,40434,21662,93,GEN,919055.25,EP,2711.52,ME,2383.09,595.77,ME,2776.20,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,24,2,10977.12,11242.56,94,40435,21662,94,GEN,919055.50,EP,2744.28,ME,2428.58,607.14,ME,2810.64,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,24,3,10940.16,11208.96,95,40436,21662,95,GEN,919055.75,EP,2735.04,ME,2440.02,610.00,ME,2802.24,1,0,1,P00,30112487205,,1,
