Equipment,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
EIN PO 52,10,9,8,8,8,8,10,12,13,14,15,16,16,16,17,18,18,18,18,17,17,17,15,13
AP PO 53 RCS,22,20,19,18,18,18,21,26,29,31,32,33,34,34,36,38,38,39,37,37,36,35,31,27
EIN PO 53,9,8,8,8,7,7,9,11,13,14,14,15,16,15,16,17,17,17,16,16,16,15,14,11
AP PO 54 RCS,21,19,18,17,16,17,20,24,27,29,31,32,33,32,34,36,36,37,36,36,34,33,30,25
EIN PO 54,9,8,7,7,7,7,9,11,12,13,14,15,15,15,16,16,17,17,16,16,16,15,14,11
AP PO 55 RCS,22,20,18,17,16,17,20,24,28,30,32,33,34,33,36,37,38,39,37,38,38,37,33,28
EIN PO 55,10,9,8,8,8,8,10,12,14,15,15,16,17,16,17,18,18,18,18,18,18,17,16,13
AP PO 56 RCS,24,21,20,19,19,19,23,29,33,34,36,37,38,38,40,42,43,44,41,41,40,39,34,29
EIN PO 56,10,9,9,8,8,9,11,13,15,16,16,17,17,17,18,19,19,19,19,19,18,17,16,13
AP PO 61 RCS,10,9,8,8,8,8,10,12,14,15,16,16,16,16,17,18,19,19,18,18,18,17,16,13
AP PO 62 RCS,10,9,8,7,7,7,9,11,12,14,14,15,15,15,16,17,17,18,17,17,17,17,15,12
AP PO 65 RCS,10,9,8,8,8,8,10,11,13,14,15,15,16,16,16,17,18,18,17,17,17,16,14,12
AP PO 66 RCS,10,10,9,9,8,8,10,11,12,13,13,14,15,15,16,16,16,17,17,17,17,16,15,13
AP PO 67 RCS,10,9,8,8,8,8,10,12,13,15,15,16,16,16,17,18,19,19,19,19,19,18,16,13
AP PO 68 RCS,10,9,8,8,8,8,10,12,14,16,16,17,18,18,19,20,20,20,19,19,18,18,15,12
RCS Average,17,15,14,14,13,14,16,19,22,24,25,26,26,26,28,29,30,30,29,29,28,27,24,20
SS7 Average,7,6,6,6,6,6,7,8,10,10,10,10,11,10,11,12,12,12,12,11,11,10,10,8
SS7 Node 0 2,7.686667,5.927004,4.743861,4.109794,3.850313,4.466317,7.945802,13.019048,17.571698,20.625028,22.505905,24.110266,26.211004,25.597889,29.440639,31.297349,31.519433,31.29246,28.389437,27.288671,24.642226,22.629718,16.866488,11.946706
SS7 Node 0 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS7 Node 0 4,7.991698,6.20898,4.945171,4.349183,4.082425,4.683722,8.318385,13.669044,18.739214,21.714063,23.896171,25.362643,27.870817,27.111718,31.413024,33.019377,33.42581,32.94027,30.019226,28.886643,26.075103,23.779929,17.789679,12.58896
SS7 Node 0 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS7 Node 0 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS7 Node 0 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS7 Node 0 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS7 Node 0 12,7.542159,5.876917,4.846845,4.18354,3.84248,4.466988,7.982183,12.998627,17.615381,20.370746,22.630286,24.109052,26.318857,25.816056,29.72571,31.021179,31.760306,31.188567,28.459567,27.345139,24.740837,22.594762,16.903365,11.974492
SS7 Node 1 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS7 Node 1 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS7 Node 1 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS7 Node 1 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS7 Node 1 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS7 Node 2 5,7.637829,6.020754,4.735504,4.169365,3.910179,4.461385,7.888996,13.042282,17.675746,20.805397,22.933214,24.462758,26.72569,25.987647,30.38027,32.077627,32.510829,31.946091,29.03752,27.739028,24.870857,22.559865,16.855389,11.816865
SS7 Node 31 7,7.498115,5.868488,4.644889,4.254409,3.952222,4.482476,7.955968,13.054579,17.533861,20.805325,22.785663,24.541889,26.886286,26.024532,30.072429,32.188813,32.356591,32.197222,29.021798,27.752012,24.963329,22.693988,16.944952,11.862837
SS7 Node 31 8,7.950817,6.328282,5.007206,4.329929,4.113948,4.757361,8.24796,13.652548,18.449127,21.559238,23.708901,25.272825,27.606131,26.876861,31.021615,32.8415,32.990313,32.440524,29.661889,28.617175,25.793179,23.861806,17.666929,12.456837
SS7 Node 32 2,7.648706,5.987786,4.772333,4.156607,3.848948,4.557734,7.908786,12.911853,17.552365,20.547976,22.630278,24.21023,26.215333,25.589417,29.563619,31.330544,31.488659,31.153429,28.343262,26.981405,24.744325,22.576647,16.866587,11.932048
SS7 Node 32 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS7 Node 32 4,7.901357,6.241679,4.907298,4.352468,3.966262,4.745552,8.309075,13.698869,18.334242,21.658933,23.716167,25.334333,27.737929,26.790429,30.68044,32.63575,32.917607,32.682282,29.804984,28.238214,25.631044,23.769837,17.891187,12.456028
SS7 Node 32 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS7 Node 32 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS7 Node 32 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS7 Node 32 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS7 Node 32 12,7.56906,6.003429,4.72546,4.174516,3.858869,4.446028,7.829615,13.080639,17.592357,20.649147,22.698575,24.196421,26.008929,25.722524,29.524861,31.083365,31.704706,31.220853,28.196246,27.30802,24.696683,22.622643,16.91425,11.761242
SS7 Node 33 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS7 Node 33 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS7 Node 33 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS7 Node 33 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS7 Node 33 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS7 Node 34 5,7.53356,5.930337,4.795607,4.245754,3.865905,4.443357,7.91446,13.104063,17.69806,20.905643,22.942587,24.663488,27.069266,26.156754,30.443806,32.197357,32.664897,32.11377,29.075571,27.815933,25.02919,22.922468,17.005702,11.849067
SS7 Node 63 7,7.52031,5.953278,4.78271,4.179575,3.914853,4.504599,7.904921,13.01802,17.622373,20.810056,22.792079,24.698532,26.855548,25.942619,30.320087,32.039556,32.487,31.967361,29.05654,27.519647,25.069353,22.822163,16.994702,11.905595
SS7 Node 63 8,7.96556,6.281746,4.937746,4.398567,4.02771,4.729548,8.284333,13.702448,18.379659,21.52898,23.685103,25.395313,27.532635,26.713821,30.917194,32.593183,33.042877,32.705151,29.791627,28.391786,26.028417,23.588131,17.69675,12.488079
SS7 F-Link Average,8,6,5,4,4,5,8,13,18,21,23,25,27,26,30,32,32,32,29,28,25,23,17,12
HSL 25 1,3.091598,2.735626,2.572271,2.459815,2.463978,2.636727,3.220632,4.130258,4.817947,5.069965,5.238067,5.665441,5.817402,5.686243,6.323762,6.716346,6.981531,7.25143,6.834155,6.630436,6.263408,5.8709,5.017325,4.072504
HSL 26 3,3.06108,2.72095,2.561506,2.452722,2.470151,2.658404,3.298782,4.168175,4.870379,5.09155,5.244661,5.576156,5.814066,5.696603,6.374262,6.740776,6.987159,7.228872,6.802272,6.625437,6.22967,5.811858,4.965292,4.00482
HSL 27 2,3.076799,2.734423,2.568322,2.459654,2.464638,2.642976,3.249555,4.147035,4.837806,5.077541,5.247575,5.583349,5.826618,5.687854,6.34813,6.733476,6.981055,7.247688,6.816427,6.629462,6.251807,5.845397,4.997013,4.049968
HSL 27 4,3.07308,2.730106,2.568752,2.460528,2.468173,2.648597,3.247339,4.142473,4.840191,5.07912,5.24506,5.552217,5.826879,5.694264,6.349679,6.724904,6.971869,7.239783,6.818996,6.631993,6.237813,5.854314,4.995848,4.050781
VLR High Water,203831,202743,202043,200816,200440,200287,201174,202634,203142,203332,203785,204459,205615,206483,209688,212588,214553,216080,216446,216315,214932,212684,209128,206448
ECP BHCA Occ,17,17,17,16,17,17,17,17,18,18,18,18,19,18,19,19,19,19,19,19,18,18,18,17
DCS 1 AVG PBocc SM 2 ATM Link 1,6,3,2,1,1,2,5,9,14,15,14,15,16,16,18,21,23,26,23,21,21,21,17,11
DCS 1 AVG PBocc SM 3 ATM Link 1,7,,,,2,2,5,11,16,18,18,19,20,20,23,26,29,33,28,28,28,27,22,14
DCS 1 AVG PBocc SM 4 ATM Link 1,8,6,4,3,2,2,4,9,14,16,18,19,20,20,22,25,27,30,27,29,28,29,23,15
DCS 1 AVG PBocc SM 5 ATM Link 1,3,2,1,1,1,1,3,5,7,8,8,9,9,9,10,11,12,13,12,12,12,12,9,6
DCS 1 AVG PBocc SM 6 ATM Link 1,7,5,3,2,2,2,5,10,14,15,17,19,20,20,22,25,28,31,26,26,26,27,21,14
DCS 1 AVG PBocc SM 7 ATM Link 1,3,,,,1,1,2,4,5,6,6,7,7,7,7,8,9,10,9,9,9,9,8,5
DCS 1 AVG PBocc SM 8 ATM Link 1,5,2,,1,,2,3,6,9,9,11,11,12,12,13,15,17,18,16,16,16,16,13,9
AVG PBocc Average,6,3,1,1,1,2,4,8,11,12,13,14,15,15,16,19,21,23,20,20,20,20,16,11
5E-1 CM,3,3,4,3,3,3,4,4,5,5,5,6,6,6,6,7,7,7,6,6,6,6,5,4
DCS 1 SM 1,7,7,6,6,6,6,8,9,12,13,14,15,15,15,17,17,17,17,16,16,15,13,11,9
DCS 1 SM 2,6,5,5,4,4,5,7,10,12,13,14,14,16,15,17,18,18,18,17,16,14,13,10,8
DCS 1 SM 3,7,6,5,5,5,5,7,10,12,13,14,14,16,15,17,18,18,18,17,16,15,13,11,9
DCS 1 SM 4,6,5,4,4,4,4,6,8,10,11,12,13,14,14,16,16,16,17,15,15,14,12,10,8
DCS 1 SM 5,5,4,4,4,4,4,5,6,7,7,8,8,8,8,10,10,10,10,9,9,9,8,7,6
DCS 1 SM 6,4,4,3,3,3,3,5,6,7,8,9,9,9,9,11,11,11,11,10,10,9,9,7,6
DCS 1 SM 7,5,4,4,4,4,4,5,7,8,9,10,10,11,11,12,12,12,12,12,11,10,10,8,6
DCS 1 SM 8,4,4,3,3,3,3,5,6,7,8,8,9,9,9,10,10,10,10,10,9,9,8,7,6
3-Way Call Blocking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Way Call Erlangs,4,6,1,0,1,1,1,0,1,1,1,3,1,2,2,3,4,4,7,15,20,19,15,10
3-Way Call Util,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,2,5,7,6,5,3
AVE EINPOOL EIN PO %,10.3,9.3,8.7,8.4,8.3,8.7,10.4,12.8,14.3,15.3,15.9,16.5,17,16.9,18,18.4,18.6,18.8,18.2,18,17.6,17,15.2,12.8
DCS 1 PHA AVG ATM CPS 1 PSU 0 Link Number 1,1,0,0,0,3,1,12,29,45,16,23,33,64,44,30,53,38,113,68,40,47,43,56,3
DCS 1 PHA PEAK ATM CPS 1 PSU 0 Link Number 1,185,15,15,15,193,134,186,234,239,293,275,254,555,435,394,428,551,809,399,440,361,357,551,199
DCS 1 PHA AVG ATM CPS 2 PSU 0 Link Number 1,9218,4795,2956,1948,1827,2631,7300,13381,21195,22779,21393,22750,24313,24553,27885,32429,36089,40475,35417,33472,33162,32662,26763,17198
DCS 1 PHA PEAK ATM CPS 2 PSU 0 Link Number 1,14111,8336,6237,3144,2796,5792,13753,22378,25894,26457,25444,26336,28376,28697,33805,38812,42021,47431,41483,37494,37374,37953,32067,23990
DCS 1 PHA AVG ATM CPS 3 PSU 0 Link Number 1,12038,7239,2459,2746,2535,2842,7570,16837,24314,26932,28030,30234,32230,31967,36374,40788,46009,50747,43662,44155,43088,41916,34151,21376
DCS 1 PHA PEAK ATM CPS 3 PSU 0 Link Number 1,17784,11047,5774,4641,3814,5674,13622,24187,28442,31557,33020,35056,36694,37698,44017,49531,52091,55567,50516,50069,49949,47732,42751,29104
DCS 1 PHA AVG ATM CPS 4 PSU 0 Link Number 1,13072,8446,5553,3864,2980,3654,7024,14513,22470,25443,28000,29919,32068,30976,35290,39198,42809,47827,42832,45190,43292,45712,36847,24196
DCS 1 PHA PEAK ATM CPS 4 PSU 0 Link Number 1,18505,12003,8834,6201,4485,6301,11558,23833,28111,28804,32560,35133,37565,35901,41681,44871,51100,54897,49792,52317,49070,51544,47640,31819
DCS 1 PHA AVG ATM CPS 5 PSU 0 Link Number 1,4993,3185,1934,1601,1360,1704,4263,7069,10248,11625,12590,13577,14055,13974,15108,17424,19033,20893,18277,19239,18843,18297,13665,8590
DCS 1 PHA PEAK ATM CPS 5 PSU 0 Link Number 1,7714,5556,3529,3192,2742,3385,7476,11697,13598,15062,15564,17129,17861,17683,18634,21142,22155,24183,21535,22882,22736,22198,18523,12281
DCS 1 PHA AVG ATM CPS 6 PSU 0 Link Number 1,12070,7292,4493,3331,2839,2745,7283,15065,22536,24183,26712,28946,31662,31136,34511,39619,44329,48531,40645,40955,41771,42510,33609,21968
DCS 1 PHA PEAK ATM CPS 6 PSU 0 Link Number 1,17413,9722,7099,4707,4282,5120,11994,21385,26569,29764,30840,34363,36661,35002,41167,45843,49887,55789,48112,47306,48313,49579,40504,29777
DCS 1 PHA AVG ATM CPS 7 PSU 0 Link Number 1,3778,2416,1248,1032,818,1051,2242,5247,7410,8665,9277,10011,11159,10062,11364,12279,14273,15659,13179,14162,13625,13794,11640,7321
DCS 1 PHA PEAK ATM CPS 7 PSU 0 Link Number 1,6308,4206,3413,2367,1930,2370,4557,8506,11126,10586,11402,12534,14275,12682,13929,14769,18080,19398,16484,16860,16311,16285,16046,10560
DCS 1 PHA AVG ATM CPS 8 PSU 0 Link Number 1,7763,4795,3077,1214,2138,2475,4479,8821,13244,14406,17564,17953,18500,18370,20634,23894,25881,27615,24220,24527,25171,25648,20592,13532
DCS 1 PHA PEAK ATM CPS 8 PSU 0 Link Number 1,11527,6822,4663,3297,3314,4741,7075,13356,17412,17680,20769,20993,22325,21642,24774,28434,30311,32393,28315,29042,28648,31008,25570,18958
PHA AVG Average (for SMs upgraded with PF3/CF3 less Sm1),8990,5453,3103,2248,2071,2443,5737,11562,17345,19148,20509,21913,23427,23005,25881,29376,32632,35964,31176,31671,31279,31506,25324,16312
DCS 1 PB SM 1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
DCS 1 PBOCC 70 SM 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 PBOCC 80 SM 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 MH PIPE SM 1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1
DCS 1 MH PIPE SM 2,1,1,0,0,0,0,1,2,3,3,4,4,5,4,5,5,6,6,5,5,4,4,3,2
DCS 1 MH PIPE SM 3,1,1,1,0,0,1,2,2,3,3,4,4,5,4,5,6,6,6,5,5,4,4,3,2
DCS 1 MH PIPE SM 4,1,0,0,0,0,0,1,2,3,3,3,4,4,4,5,5,5,5,5,4,4,4,3,2
DCS 1 MH PIPE SM 5,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,1,1
DCS 1 MH PIPE SM 6,1,0,0,0,0,0,1,1,2,2,2,3,3,3,3,4,4,4,3,3,3,3,2,1
DCS 1 MH PIPE SM 7,1,0,0,0,0,0,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,1
DCS 1 MH PIPE SM 8,0,0,0,0,0,0,1,1,2,2,2,2,2,2,3,3,3,3,3,2,2,2,1,1
DCS 1 QLPS PIPE 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
DCS 1 QLPS PIPE 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 NCT OCC 1,12,9,8,7,7,7,10,12,15,17,18,18,19,19,21,21,21,22,21,22,21,21,20,15
DCS 1 NCT OCC 2,15,10,7,6,6,7,12,19,26,29,31,33,37,35,39,42,44,45,41,41,39,39,32,22
DCS 1 NCT OCC 3,16,11,9,7,7,8,13,20,26,29,31,33,36,34,38,41,43,44,39,41,39,39,32,22
DCS 1 NCT OCC 4,10,7,5,4,4,4,7,12,18,20,21,23,25,24,26,29,31,33,29,30,29,29,24,17
DCS 1 NCT OCC 5,10,7,5,4,4,4,8,12,16,19,21,21,23,22,25,28,29,31,27,29,29,29,23,16
DCS 1 NCT OCC 6,11,8,6,5,5,6,9,13,19,22,23,25,26,24,28,30,33,33,30,30,29,30,24,18
DCS 1 NCT OCC 7,9,5,4,3,3,4,7,12,19,22,23,25,26,25,28,29,31,32,30,31,30,29,23,15
DCS 1 NCT OCC 8,16,11,8,7,6,7,13,22,31,35,37,40,42,40,45,50,51,53,48,47,46,45,37,27
DCS 1 PH22 PO SM 1 1 0,,,1,,,1,2,3,4,5,6,6,7,6,8,8,8,8,7,7,6,6,4,3
DCS 1 PH22 PO SM 1 1 1,2,1,1,,,1,2,3,4,5,6,6,7,6,8,8,8,8,7,7,6,6,4,3
DCS 1 PH22 PO SM 1 3 1,6,4,3,3,2,3,6,10,13,16,18,19,20,20,23,24,24,24,22,21,19,17,12,8
DCS 1 PH22 PO SM 1 3 1,,,3,2,2,3,6,10,13,16,18,19,20,20,23,24,24,24,22,21,19,17,12,8
DCS 1 PH22 PO SM 1 5 0,,,1,1,,1,2,3,5,5,6,6,7,7,8,8,8,8,8,7,6,6,4,3
DCS 1 PH22 PO SM 1 5 1,2,1,1,,,1,2,3,5,5,6,6,7,7,8,8,8,8,8,7,6,6,4,3
DCS 1 PH22 PO SM 1 8 1,2,1,1,,,1,2,3,5,5,6,6,7,7,8,8,8,8,8,7,6,6,4,3
DCS 1 PH22 PO SM 1 8 1,,,1,1,,1,2,3,5,5,6,6,7,7,8,8,8,8,7,7,6,6,4,3
DCS 1 TrFO NPH PO SM 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO NPH OFL SM 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO PO Occ SM 1 CH 0 SHLF 3 Type SIPT-E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCS 1 TrFO PO Occ SM 1 CH 0 SHLF 4 Type SIPT-E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
