Status,Cycle,Test Plan,TestCaseID,Client,Test Type,Rule #,Fund,Invest Type,Trans Type,BRN,Trade Date Rule,Settle Date Rule,XML Template Name,XML Trade FileName,Level,Trade Details,Client Queue,Exception Details,Trade Object Status,Trade Object Status ActValue,Trade Object Status Result,RKS Status,RKS Status ActValue,RKS Status Result,TP Status,TP Status ActValue,TP Status Result,Trade Confirmation,Trade Confirmation ActValue,Trade Confirmation Result,Trade Settlement Status,Trade Settlement ActValue,Trade Settlement Result,Trade Notification Status,Trade Notification Status ActValue,Trade Notification Status Result,Check,VP1Name,VP1ExpValue,VP1ActValue,VP1Result,VP2Name,VP2ExpValue,VP2ActValue,VP2Result,VP3Name,VP3ExpValue,VP3ActValue,VP3Result,VP4Name,VP4ExpValue,VP4ActValue,VP4Result,VP5Name,VP5ExpValue,VP5ActValue,VP5Result,VP6Name,VP6ExpValue,VP6ActValue,VP6Result,VP7Name,VP7ExpValue,VP7ActValue,VP7Result,VP8Name,VP8ExpValue,VP8ActValue,VP8Result,VP9Name,VP9ExpValue,VP9ActValue,VP9Result,VP10Name,VP10ExpValue,VP10ActValue,VP10Result,XML Element Name1,Placeholder Token1,XML Element Value1,XML Element Name2,Placeholder Token2,XML Element Value2,XML Element Name3,Placeholder Token3,XML Element Value3,XML Element Name4,Placeholder Token4,XML Element Value4,XML Element Name5,Placeholder Token5,XML Element Value5
,N,TP,TC0471S,,S,IM0471,X501,FW,B,,CURR,CURR,UA1_AXA_FX_fwd_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,Default,SSC Investment Type,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0015S,,S,IM0015,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,Default,Client Executing Broker ID,10555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0012S,,S,IM0012,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Client Asset ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0013S,,S,IM0013,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Client Asset ID Type ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0198S1,AX,S,IM0198,X501,OP,B,,CURR,CURR,UA1_AXA_OPT_Call,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,Default,Client Option Type,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0198S2,AX,S,IM0198,X501,OP,S,,CURR,CURR,UA1_AXA_OPT_Put,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,Default,Client Option Type,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0271S1,,S,IM0271,X501,OP,B,,CURR,CURR,UA1_AXA_OPT_Call,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,Default,Client Option Type,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0271S2,,S,IM0271,X501,OP,S,,CURR,CURR,UA1_AXA_OPT_Put,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,Default,Client Option Type,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0066S,,S,IM0066,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Settlement Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0260S,,S,IM0260,X501,FW,B,,CURR,CURR,UA1_AXA_FX_fwd_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Client Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0419S,,S,IM0419,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Client Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0122S,,S,IM0122,X501,OP,S,,CURR,CURR,UA1_AXA_OPT_Put,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Expiry Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0105S,,S,IM0105,X501,OP,B,,CURR,CURR,UA1_AXA_OPT_Call,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Exercise Price ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0024S,,S,IM0024,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Investment Manager Name,,,,Investment Manager Comments Indicator ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0032S,,S,IM0032,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,SSC Executing Broker Name ,,,,SSC Executing Broker BIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0485S,,S,IM0485,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Client Total Net Settlement Amount in Settlement Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0071S,,S,IM0071,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Client Asset ID Type ,,,,GRS Asset ID Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0021S,,S,IM0021,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Client Asset ID ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0552S3,,S,IM0552,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,Compare,Client Country Code of Exchange,US,,,SSC Trade Country,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0197S,,S,IM0197,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Client Maturity Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0040S,,S,IM0040,X501,OP,B,,CURR,CURR,UA1_AXA_OPT_Call,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,SSC Maturity Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0304S,,S,IM0304,X501,OP,B,,CURR,CURR,UA1_AXA_OPT_Call,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,SSC Asset ID,,,,SSC Investment Type,,,,SSC Asset Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0317S,,S,IM0317,X501,OP,S,,CURR,CURR,UA1_AXA_OPT_Put,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Ticker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0106S,,S,IM0106,X501,OP,S,,CURR,CURR,UA1_AXA_OPT_Put,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Expiry date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0318S,,S,IM0318,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Rate,,,,SSC Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0041S1,,S,IM0041,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Rate,,,,SSC Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0113S,,S,IM0113,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Clearing Broker Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0069S,,S,IM0069,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,Allocations,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Client Transaction type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0406S,,S,IM0406,X501,FW,B,,CURR,CURR,UA1_AXA_FX_fwd_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Unmatched,,,Complete,,,Complete,,,NotNull,GRS FX Strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0272S,AX,S,IM0272,X501,EQ,B,,CURR,CURR,UA1_AXA_EQU_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,GRS Commission Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0442S1,,S,IM0442,X501,FW,B,,CURR,CURR,UA1_AXA_FX_fwd_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Unmatched,,,Complete,,,Complete,,,NotNull,RKS Transaction Purpose Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0270S,,S,IM0270,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,GRS Processing Indicator Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0291S1,,S,IM0291,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,Allocations,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,Default,Internal Transfer Rate Indicator ,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0291S2,,S,IM0291,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,Allocations,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Internal Transfer Rate Indicator ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0489S,,S,IM0489,X501,EQ,B,,CURR,CURR,UA1_AXA_EQU_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,client place of trade ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0046S,,S,IM0046,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Trade date ,,,,settlement date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0042S,,S,IM0042,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Trade date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0187S,,S,IM0187,X501,FW,B,,CURR,CURR,UA1_AXA_FX_fwd_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,Default,Currency To Buy ,USD,,,Currency To Sell ,GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0472S,,S,IM0472,X501,FW,B,,CURR,CURR,UA1_AXA_FX_fwd_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,FX Rate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0203S,,S,IM0203,X501,EQ,B,,CURR,CURR,UA1_AXA_EQU_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Settlement Currency ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0209S1,,S,IM0209,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,ETC Service Required Indicator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0209S2,,S,IM0209,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,RKS Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0209S3,,S,IM0209,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,ETC Service Required Indicator,,,,RKS Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0468S1,,S,IM0468,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,OG Eligible Indicator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0468S2 ,,S,IM0468,X501,EQ,B,,CURR,CURR,UA1_AXA_EQU_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,OG Eligible Indicator ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0119S,,S,IM119,X501,FW,B,,CURR,CURR,UA1_AXA_FX_fwd_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,Default,RKS FX Counterparty ,FFX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0208S1,,S,IM0208,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Confirmation method ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0520S,,S,IM0520,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Pre-Confirmed Trade Indicator ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0513S,,S,IM0513,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Accounting Deadline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0322S1,,S,IM0322,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Cash Settlement Indicator ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0322S2,,S,IM0322,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Cash Settlement Indicator ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0004S,,S,IM0004,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,Allocations,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Client Reference Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0011S,,S,IM0011,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,Allocations,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,Default,Client Portfolio ID,X501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0097S,,S,IM0097,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,SSC Custodian Deadline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0098S,,S,IM0098,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,TradeDetails,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Accounting Deadline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0051S,,S,IM0051,X501,EQ,B,,CURR,CURR,UA1_AXA_EQU_buy,,Block,Allocations,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,SSC Custodian BIC,,,,SSC Custodian Name,,,,Custodian Cash Portfolio ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,TP,TC0052S,,S,IM0052,X501,FI,B,,CURR,CURR,UA1_AXA_FI_buy,,Block,Allocations,CTI(AXA) TIM,,Complete,,,Complete,,,Validated,,,Pre-Matched,,,Complete,,,Complete,,,NotNull,Trade quantity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
