stuff,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
81,15,13,12,9,8,10,13,17,20,21,24,26,28,26,27,30,32,31,30,31,31,29,25,19
82,5,4,4,4,3,4,5,6,6,7,8,8,8,8,8,9,9,9,9,9,9,8,8,7
83,5,4,4,4,3,3,4,5,6,7,7,7,8,8,8,9,9,9,9,9,8,8,7,6
84,5,4,4,4,3,4,5,5,6,6,7,7,7,7,8,8,9,9,8,8,9,8,8,6
85,8,6,6,6,4,5,6,8,9,10,10,11,11,11,12,13,13,13,12,12,12,12,11,9
86,10,8,7,7,5,6,8,11,12,13,14,15,16,16,16,18,18,18,17,18,19,18,15,12
87,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,14,5,1,1,2,2,1,2,3,4,4,5,5,5,6,8,7,8,12,18,24,26,26,20
90,6,2,0,0,1,1,0,1,1,2,2,2,2,2,2,3,3,3,5,7,10,10,10,8
91,12.5,10.8,9.7,9.3,8.1,8.7,10.3,12.7,13.6,14.4,15.3,15.9,16.2,16.1,16.4,17.2,17.6,17.5,17,17.4,17.6,17.5,16.3,14.1
92,26363,15881,8580,7152,5602,6207,11551,21805,26597,28787,31685,33514,36342,34417,36066,37406,40784,44184,41088,44197,47707,51309,47578,35279
93,35623,21902,12307,11251,9435,9147,18051,29775,30563,35096,37744,38624,42082,39056,40825,44317,45993,50285,47067,48546,53505,56442,56715,43803
94,21505,12205,7310,5186,4089,4704,9069,17181,20912,22411,25013,26498,28599,26708,28974,31920,34080,37259,33031,35874,38384,41769,39049,26815
95,32276,18246,11142,8137,6208,8506,14422,23771,25308,27465,30018,31106,32987,31266,33093,37775,38484,42534,38534,40747,44346,47154,46518,34850
96,4301,3245,2614,1467,764,874,1589,2149,2078,2737,2194,3142,3192,4002,4273,5540,5461,5434,4850,5788,6648,5991,5614,3833
97,7691,5979,4802,4794,1862,2527,3621,4419,4494,5817,5269,6156,5532,6930,6974,8733,8595,8207,7929,8841,10407,8724,9809,6450
98,2502,2062,1643,874,1427,1653,1679,2348,2806,3177,3313,3048,3299,2768,3087,3737,3651,4341,3529,3287,3333,3647,3725,3690
99,5050,4369,4411,2366,4088,3838,3602,4707,5793,6340,6506,6102,5770,5162,6265,6781,7061,7999,5985,6161,6511,6460,7011,6761
100,3088,2382,2380,1489,1241,1766,2043,2908,3377,3378,4008,3398,3911,4753,5995,5425,5834,5522,5258,5013,5611,5160,5040,3893
101,5434,4276,4159,3966,2539,3254,3596,4960,5596,5325,6474,5348,6479,7396,9077,7874,8849,8476,7959,8225,8825,8015,7040,7003
102,24221,15019,8061,6032,5106,5514,9526,18902,23223,23961,25528,27422,29470,29840,31836,33995,35301,38978,36138,40450,43436,47405,43919,32130
103,33670,21910,11020,10097,7569,8619,15902,25802,27674,28838,30258,32269,34978,34494,35909,40061,40161,45248,41267,44908,48399,52740,50980,40989
104,6829,4034,2492,2559,1399,1565,3508,5953,6997,8058,7743,8160,10029,9537,9856,11031,11144,12995,11276,12066,13002,14680,12858,7875
105,10937,6274,4837,4941,2842,3194,6128,10049,10327,11295,11287,11563,12742,13180,13317,14321,14375,16740,14183,15441,16221,17782,17436,11733
106,10408,6491,4083,2934,2338,2679,4569,8240,9899,10620,11300,11945,13083,12935,14004,15275,15912,17422,15680,17080,18402,19775,18368,13039
107,35,21,11,10,7,8,16,29,35,39,43,46,50,47,49,51,56,59,56,61,65,69,62,46
108,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,4,23,6,1
109,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0
110,3,2,2,1,1,1,2,3,4,4,5,5,5,5,5,6,6,6,6,6,6,6,5,4
111,1,0,1,0,0,0,1,1,1,2,2,2,2,2,2,3,3,3,2,2,3,2,2,2
112,1,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1
113,1,0,0,1,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1
114,2,1,1,1,0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2
115,2,2,2,1,1,1,2,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,4,3
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,13,10,9,6,5,6,8,12,13,15,16,15,15,17,19,19,19,19,17,17,18,19,18,13
120,2,1,1,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
121,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0
122,4826,4282,3740,3238,3258,3486,3798,4234,4614,4952,4980,5092,5236,5284,5352,5670,5544,5466,5510,5482,5534,5384,5214,4772
123,374,322,252,226,182,222,264,324,384,440,446,470,450,462,502,516,508,498,478,500,524,536,492,438
124,14,13,12,9,7,8,9,11,14,17,17,17,18,17,16,18,18,20,19,18,20,20,19,17
125,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2
126,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
127,4782,4264,3888,3428,3336,3458,3786,4118,4510,4766,4890,5200,5292,5352,5402,5586,5504,5668,5630,5558,5582,5566,5278,4850
128,392,332,288,242,216,264,282,332,412,458,496,516,512,512,510,526,534,528,532,516,544,564,512,460
129,44,34,27,25,24,26,31,38,42,45,48,50,53,51,51,56,59,61,60,65,69,69,64,53
130,18,14,11,10,9,11,13,16,18,19,21,22,23,22,23,25,26,27,27,28,30,30,29,24
131,11,8,5,4,4,5,7,10,12,13,15,16,17,16,17,18,19,21,20,22,24,24,22,17
132,11,7,5,4,3,4,6,8,10,11,12,13,14,14,14,15,16,18,17,19,20,22,20,15
133,22,14,10,8,7,8,13,20,23,27,29,32,35,33,35,37,42,43,41,45,47,49,45,32
134,18,12,9,7,6,7,11,15,17,19,21,22,25,24,24,26,28,29,28,32,34,36,33,24
135,3,2,2,2,1,2,2,3,3,3,3,3,4,3,3,4,4,4,4,4,4,5,4,4
136,3,3,2,2,1,1,3,4,5,5,6,6,7,7,7,8,8,8,8,7,8,8,7,5
137,7,5,4,4,3,4,5,8,10,11,12,13,14,13,14,16,16,16,15,16,16,15,12,9
138,7,5,4,4,2,4,5,8,10,10,12,13,14,13,14,16,16,16,15,16,16,15,12,9
139,4,2,2,2,1,1,3,4,5,5,6,6,7,7,7,8,8,8,8,9,9,8,7,5
140,7,5,4,4,5,6,6,8,8,11,12,11,12,13,12,13,14,16,13,19,20,28,16,9
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
