"               Under $25,000","2,553,300  ","69,332  ",2.72  , --  ,"3,174  ","10,631  ","1,211  ","54,316  ",13  ,11  ,16  ,,
"               $25,000 under $100,000","3,399,400  ","34,650  ",1.02  ,2  ,"6,945  ","11,749  ",519  ,"15,435  ",15  ,16  ,30  ,,
"               $100,000 or more   ","2,012,200  ","24,080  ",1.20  ,14  ,"12,898  ","5,435  ",177  ,"5,556  ",15  ,21  ,36  ,,
            Schedule F returns by size of TGR: [9],,,,,,,,,,,,,
"               Under $100,000","382,100  ","2,104  ",0.55  , --  ,944  ,278  ,11  ,871  ,5  ,32  ,23  ,,
"               $100,000 or more","272,000  ","3,211  ",1.18  ,11  ,"1,968  ",161  ,7  ,"1,064  ",6  ,17  ,18  ,,
,,,,,,,,,,,,,
"      Corporation income tax returns, except",,,,,,,,,,,,,
"         Form 1120S, total [10]","2,453,000  ","23,268  ",0.95  ,"2,550  ","19,271  ",2  ,3  ,"1,442  ",25  ,50  ,64  ,,
         Returns other than Form 1120F: [11],,,,,,,,,,,,,
            No balance sheet returns,"294,600  ","1,935  ",0.66  ,74  ,"1,136  ",1  , --  ,724  ,29  ,100  ,70  ,,
            Balance sheet returns by size of ,,,,,,,,,,,,,
               total assets:,,,,,,,,,,,,,
"               Under $250,000                ","1,432,500  ","3,576  ",0.25  ,4  ,"3,409  ",N/A  , --  ,163  ,29  ,N/A  ,65  ,,
"               $250,000 under $1,000,000        ","424,200  ","3,314  ",0.78  ,8  ,"3,209  ",1  ,1  ,95  ,30  ,N/A  ,61  ,,
"               $1,000,000 under $5,000,000","191,700  ","3,912  ",2.04  ,17  ,"3,773  ",N/A  ,1  ,121  ,31  ,N/A  ,53  ,,
"               $5,000,000 under $10,000,000               ","29,900  ","1,595  ",5.33  ,24  ,"1,511  ",N/A  , --  ,60  ,32  ,N/A  ,52  ,,
"               $10,000,000 under $50,000,000            ","31,800  ","3,071  ",9.66  ,127  ,"2,824  ",N/A  ,1  ,119  ,29  ,N/A  ,53  ,,
"               $50,000,000 under $100,000,000             ","7,900  ",973  ,12.32  ,82  ,862  ,N/A  , --  ,29  ,20  ,N/A  ,55  ,,
"               $100,000,000 under $250,000,000            ","7,800  ","1,369  ",17.55  ,184  ,"1,152  ",N/A  , --  ,33  ,14  ,N/A  ,64  ,,
"               $250,000,000 or more","10,300  ","3,305  ",32.09  ,"1,992  ","1,241  ",N/A  , --  ,72  ,6  ,N/A  ,51  ,,
         Form 1120F returns [11],"22,300  ",218  ,0.98  ,38  ,154  ,N/A  , --  ,26  ,19  ,N/A  ,81  ,,
,,,,,,,,,,,,,
      Estate and trust income tax returns,"3,528,900  ","7,070  ",0.20  ,97  ,"5,015  ",1  , --  ,"1,957  ",27  ,N/A  ,73  ,,
,,,,,,,,,,,,,
      Estate tax returns:,,,,,,,,,,,,,
         Total,"123,500  ","7,707  ",6.24  ,1  ,"7,550  ",N/A  , --  ,156  ,13  ,N/A  ,3  ,,
         Size of gross estate:,,,,,,,,,,,,,
"            Under $1,000,000","60,200  ","1,623  ",2.70  ,1  ,"1,572  ",N/A  , --  ,50  ,17  ,N/A  , --  ,,
"            $1,000,000 under $5,000,000","57,800  ","4,496  ",7.78  , --  ,"4,404  ",N/A  , --  ,92  ,12  ,N/A  ,5  ,,
"            $5,000,000 or more","5,500  ","1,588  ",28.87  , --  ,"1,574  ",N/A  , --  ,14  ,14  ,N/A  , --  ,,
,,,,,,,,,,,,,
      Gift tax returns,"308,600  ","2,005  ",0.65  , --  ,"2,003  ",N/A  , --  ,2  ,20  ,N/A  ,50  ,,
,,,,,,,,,,,,,
   Employment tax returns,"28,866,600  ","13,978  ",0.05  ,"1,735  ","11,226  ",737  ,27  ,253  ,16  ,9  ,14  ,,
   Employment revenue officer examiners [12],N/A  ,"3,185  ",N/A  ,N/A  ,3  ,"3,182  ",N/A  ,N/A  ,N/A  ,10  ,N/A  ,,
   Excise tax returns [2],"852,500  ","8,169  ",0.96  ,"1,063  ","6,858  ",104  ,131  ,13  ,15  , --  ,100  ,,
"   Other taxable returns [10,13]",[1]  ,406  ,[1]  ,231  ,172  , --  , --  ,3  ,12  , --  ,100  ,,
,,,,,,,,,,,,,
Nontaxable returns: [14],,,,,,,,,,,,,
"   Partnership returns, Form 1065","2,066,800  ","5,070  ",0.25  ,511  ,"3,307  ",N/A  ,5  ,"1,247  ",40  ,N/A  ,46  ,,
"   S corporation returns, Form 1120S [10,15]","2,887,100  ","12,437  ",0.43  ,34  ,"11,746  ",1  ,24  ,632  ,38  ,N/A  ,49  ,,
   Other nontaxable returns [14],[1]  ,6  ,[1]  , --  ,6  ,N/A  , --  , --  ,3  ,N/A  , --  ,,
See notes and footnotes at end of table.,,,,,,,,,,,,,
Table 10 -- Examination Coverage:  Recommended and Average Recommended Additional Tax After,,,,,,,,,,,,,
"Examination, by Type and Size of Return--Continued  ",,,,,,,,,,,,,
"[Money amounts are in thousands of dollars, except as indicated]",,,,,,,,,,,,,
,,,,,,,,,,,,,
,Recommended additional tax ,,,,,,Average recommended additional ,,,,,,
                      ,,,,,,,tax per return (dollars),,,,,,
Type and size of return,,Revenue agent,,Tax,Tax,Compliance,Revenue agent,,Tax,Compliance,,,
,Total,CEP [3],"Non-CEP [3,4]","auditor [3,4]",examiner [3],center [3],CEP [3],Non-CEP [3],"auditor [3,4]",center [3],,,
,(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),,,
,,,,,,,,,,,,,
"United States, total [2]","19,761,366  ","12,704,558  ","5,201,672  ","431,267  ","42,429  ","1,381,444  ",[5]  ,[5]  ,[5]  ,[5]  ,,,
,,,,,,,,,,,,,
"Income, estate, and gift tax, total: [6]","18,869,499  ","12,212,273  ","4,840,375  ","393,661  ","42,401  ","1,380,789  ","3,651,995  ","38,193  ","3,395  ","2,582  ",,,
    Taxable returns,,,,,,,,,,,,,
"      Individual income tax returns, total","3,301,860  ","12,147  ","1,521,787  ","393,657  ","42,396  ","1,331,873  ","80,439  ","19,551  ","3,396  ","2,517  ",,,
         Nonbusiness returns:,,,,,,,,,,,,,
"            Form 1040A with TPI under $25,000 [7,8]","1,019,820  ",76  ,"123,248  ","52,522  ","5,409  ","838,565  ","25,344  ","13,901  ","2,407  ","2,577  ",,,
            All other returns by size of TPI: [8],,,,,,,,,,,,,
"               Under $25,000","234,520  ", --  ,"73,213  ","39,695  ","2,496  ","119,116  ",211  ,"15,358  ","4,161  ","2,935  ",,,
"               $25,000 under $50,000 ","176,578  ",1  ,"72,841  ","42,825  ","4,212  ","56,699  ",322  ,"8,621  ","1,799  ","1,690  ",,,
"               $50,000 under $100,000","193,062  ", --  ,"88,568  ","53,745  ","8,030  ","42,719  ", --  ,"8,995  ","2,879  ","1,830  ",,,
"               $100,000 or more   ","897,326  ","10,855  ","657,280  ","86,730  ","9,618  ","132,843  ","91,989  ","32,900  ","6,261  ","4,567  ",,,
         Business returns:,,,,,,,,,,,,,
            Schedule C returns by size of TGR: [9],,,,,,,,,,,,,
"               Under $25,000","189,315  ", --  ,"68,112  ","24,266  ","3,335  ","93,602  ", --  ,"21,459  ","2,283  ","1,723  ",,,
"               $25,000 under $100,000","149,351  ", --  ,"69,961  ","48,495  ","5,296  ","25,599  ",1  ,"10,074  ","4,128  ","1,658  ",,,
"               $100,000 or more   ","403,782  ",910  ,"334,337  ","43,423  ","3,921  ","21,191  ","64,991  ","25,922  ","7,989  ","3,814  ",,,
            Schedule F returns by size of TGR: [9],,,,,,,,,,,,,
"               Under $100,000","3,173  ", --  ,"2,163  ",528  ,61  ,421  , --  ,"2,291  ","1,900  ",483  ,,,
"               $100,000 or more","34,933  ",305  ,"32,064  ","1,428  ",18  ,"1,118  ","27,711  ","16,293  ","8,867  ","1,050  ",,,
,,,,,,,,,,,,,
"      Corporation income tax returns, except",,,,,,,,,,,,,
"         Form 1120S, total [10]","14,235,711  ","12,183,886  ","2,029,122  ",4  ,5  ,"22,694  ","4,777,994  ","105,294  ","2,156  ","15,738  ",,,
         Returns other than Form 1120F: [11],,,,,,,,,,,,,
            No balance sheet returns,"436,834  ","314,375  ","106,381  ",N/A  , --  ,"16,078  ","4,248,311  ","93,645  ",N/A  ,"22,207  ",,,
            Balance sheet returns by size of ,,,,,,,,,,,,,
               total assets:,,,,,,,,,,,,,
"               Under $250,000                ","59,156  ",101  ,"58,665  ",N/A  , --  ,390  ,"25,205  ","17,209  ",N/A  ,"2,393  ",,,
"               $250,000 under $1,000,000        ","71,031  ",80  ,"70,617  ",4  , --  ,330  ,"9,999  ","22,006  ","4,312  ","3,472  ",,,
"               $1,000,000 under $5,000,000","108,357  ","17,846  ","89,794  ",N/A  ,5  ,712  ,"1,049,758  ","23,799  ",N/A  ,"5,888  ",,,
"               $5,000,000 under $10,000,000               ","53,122  ",233  ,"52,672  ",N/A  , --  ,217  ,"9,693  ","34,859  ",N/A  ,"3,616  ",,,
"               $10,000,000 under $50,000,000            ","240,213  ","22,400  ","215,886  ",N/A  , --  ,"1,927  ","176,374  ","76,447  ",N/A  ,"16,195  ",,,
"               $50,000,000 under $100,000,000             ","93,216  ","16,556  ","75,986  ",N/A  , --  ,674  ,"201,897  ","88,151  ",N/A  ,"23,238  ",,,
"               $100,000,000 under $250,000,000            ","203,829  ","46,626  ","156,338  ",N/A  , --  ,865  ,"253,403  ","135,710  ",N/A  ,"26,218  ",,,
"               $250,000,000 or more","12,773,013  ","11,743,477  ","1,028,089  ",N/A  , --  ,"1,447  ","5,895,320  ","828,436  ",N/A  ,"20,094  ",,,
         Form 1120F returns [11],"196,940  ","22,192  ","174,694  ",N/A  , --  ,54  ,"584,007  ","1,134,378  ",N/A  ,"2,071  ",,,
,,,,,,,,,,,,,
      Estate and trust income tax returns,"159,495  ","15,032  ","119,810  ",N/A  , --  ,"24,653  ","154,972  ","23,890  ",N/A  ,"12,597  ",,,
,,,,,,,,,,,,,
      Estate tax returns:,,,,,,,,,,,,,
         Total,"829,154  ","1,208  ","826,377  ",N/A  , --  ,"1,569  ","1,207,553  ","109,454  ",N/A  ,"10,058  ",,,
         Size of gross estate:,,,,,,,,,,,,,
"            Under $1,000,000","122,518  ","1,208  ","121,098  ",N/A  , --  ,212  ,"1,207,553  ","77,034  ",N/A  ,"4,243  ",,,
"            $1,000,000 under $5,000,000","238,855  ", --  ,"238,076  ",N/A  , --  ,779  , --  ,"54,059  ",N/A  ,"8,470  ",,,
"            $5,000,000 or more","467,781  ", --  ,"467,203  ",N/A  , --  ,578  , --  ,"296,825  ",N/A  ,"41,255  ",,,
,,,,,,,,,,,,,
      Gift tax returns,"343,279  ", --  ,"343,279  ",N/A  , --  , --  , --  ,"171,382  ",N/A  , --  ,,,
,,,,,,,,,,,,,
   Employment tax returns,"491,501  ","276,738  ","209,884  ","4,196  ",28  ,655  ,"159,503  ","18,696  ","5,694  ","2,587  ",,,
   Employment revenue officer examiners [12],"33,405  ",N/A  ,N/A  ,"33,405  ",N/A  ,N/A  ,N/A  ,1  ,"10,498  ",N/A  ,,,
   Excise tax returns [2],"206,854  ","74,262  ","132,591  ",1  , --  , --  ,"69,861  ","19,334  ",8  , --  ,,,
"   Other taxable returns [10,13]","160,107  ","141,285  ","18,822  ", --  , --  , --  ,"611,622  ","109,429  ", --  , --  ,,,
,,,,,,,,,,,,,
Nontaxable returns: [14],,,,,,,,,,,,,
"   Partnership returns, Form 1065",N/A  ,N/A  ,N/A  ,N/A  ,N/A  ,N/A  ,N/A  ,N/A  ,N/A  ,N/A  ,,,
"   S corporation returns, Form 1120S [10,15]",N/A  ,N/A  ,N/A  ,N/A  ,N/A  ,N/A  ,N/A  ,N/A  ,N/A  ,N/A  ,,,
   Other nontaxable returns [14],N/A  ,N/A  ,N/A  ,N/A  ,N/A  ,N/A  ,N/A  ,N/A  ,N/A  ,N/A  ,,,
N/A - Not applicable.,,,,,,,,,,,,,
"[1] In general, examination activity may be associated with returns filed in the previous calendar year.  However, this relationship is only approximate.  Therefore, for some categories, there are either ",,,,,,,,,,,,,
"no returns or a smaller number of returns filed in Calendar Year 2000, compared to the number with examination activity in Fiscal Year 2001 (as indicated by data in other columns).",,,,,,,,,,,,,
"[2] Excludes excise tax returns filed with the Customs Service and Bureau of Alcohol, Tobacco and Firearms and tax-exempt/government entity organizations and employee plans.",,,,,,,,,,,,,
"[3] CEP (Coordinated Examination Program) covers “a taxpayer, and its effectively controlled entities, that warrants application of ‘team examination’ procedures.”  Tax auditors are Compliance personnel ",,,,,,,,,,,,,
"who are required to have 9 semester hours of accounting and who perform examinations on selected individual, employment, and excise returns.  Tax examiners for field operations and Compliance Centers perform ",,,,,,,,,,,,,
examinations on correspondence.,,,,,,,,,,,,,
"[4] Data reported under the heading ""Tax auditor"" for corporations, trusts, and 1120S returns reflect incorrect coding of these few returns for Fiscal Year 2001.  This is also true for the data shown under the heading ",,,,,,,,,,,,,
"""Revenue agent Non-CEP"" for employment revenue officer examiners.  These data are included as coded in order to preserve the integrity of the overall totals.",,,,,,,,,,,,,
[5] Not computed.,,,,,,,,,,,,,
"[6] Comprises all returns except returns shown as employment, employment revenue officer examiners, excise, and other taxable returns.",,,,,,,,,,,,,
[7] Form 1040A is one of the two IRS individual income tax return “short forms.”,,,,,,,,,,,,,
"[8] TPI (total positive income) is, in general, the sum of all positive amounts shown for the various sources of income reported on the individual income tax return, and, thus, excludes net losses.  For example, it includes",,,,,,,,,,,,,
" “business or profession net income,” but not “business or profession net loss.”",,,,,,,,,,,,,
[9] Schedule C returns are filed by nonfarm sole proprietors.  Schedule F returns are filed by farm sole proprietors.  TGR stands for “total gross receipts.”,,,,,,,,,,,,,
"[10] Forms 1120S are returns filed by qualifying corporations electing to be taxed through shareholders.  Under certain conditions, some of these corporations are subject to tax and are included in “other taxable returns” ",,,,,,,,,,,,,
"in this table.  Otherwise, they are included in “nontaxable returns.”  Total for corporations also excludes certain other types of corporations, which are also included in “other taxable returns” described in footnote 13, below.",,,,,,,,,,,,,
"[11] Forms 1120F are returns filed by foreign corporations with U.S. income, other than foreign life insurance companies and foreign sales corporations.",,,,,,,,,,,,,
[12] Comprises work performed by a revenue officer examiner.  Revenue officer examiners are employees who have been trained to do certain employment tax returns.  Data are collected for these individuals and shown separately from employment returns.,,,,,,,,,,,,,
[13] Includes Forms 1120S (for S corporations reporting a tax; see also footnote 10); 1120-FSC (foreign sales corporations); 8288 (withholding tax returns for disposition by foreign persons of U.S. property interests); and certain other returns.,,,,,,,,,,,,,
[14] Includes Form 1120-DISC (domestic international sales corporations); Form 1120-IC-DISC (interest-charge domestic international sales corporations); Form 1066 (real estate mortgage investment conduits); and ,,,,,,,,,,,,,
"certain other returns filed by “flow through” entities, such as partnerships (Form 1065), S corporations (Form 1120S), except as noted in footnote 10, and certain others, that have tax consequences applicable to the partners, ",,,,,,,,,,,,,
"shareholders, or other owners, as well as certain other returns.  ",,,,,,,,,,,,,
[15] Includes most Form 1120S returns (S corporations that are nontaxable; see also footnotes 10 and 13).,,,,,,,,,,,,,
NOTE: Detail may not add to totals because of rounding. ,,,,,,,,,,,,,
"SOURCE: IRS Data Book, FY 2001, Publication 55b. Also, Small Business/Self-Employed, Compliance Policy, Centralized Workload Selection and Delivery, Examination Management Information, System and Automation  S:C:CP:CW:EMIS",,,,,,,,,,,,,
