,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Operating Expenses,"21,917,212",,1%,"22,956,631",0,"22,956,631","22,956,822",,1%,"23,699,324",0,"23,699,324","23,699,551",,1%,"24,548,626",0,"24,548,626","24,548,634",,"71,204,581",,,,
,,,,2012 Actual,,2013 Plan,,,,,,2014 Plan,,,,,,2015 Plan,,,,,,,,,,
,,,,2012 Actual,,2013 Plan,,,,,,2014 Plan,,,,,,2015 Plan,,,,,,,,,,
,,HR Objectives,Salari e stipendi,5196483.333,,13%,5872026.167,,5872026.167,5206534.654,,9%,6400508.522,,6400508.522,5213501.081,,6%,6784539.033,,6784539.033,5218324.725,,19057073.72,,,,
,,,Contributi INAIL,"287,584",,4%,"299,088",,"299,088","291,932",,,"299,088",,"299,088","287,542",,,"299,088",,"299,088","283,155",,"897,263",,,,
,,,TFR,"457,110",,1%,"461,681",,"461,681","457,110",,5%,"484,765",,"484,765","457,110",,1%,"489,612",,"489,612","457,110",,"1,436,058",,,,
,,,Bonus,"307,012",,1%,"310,082",,"310,082","302,664",,3%,"319,384",,"319,384","307,054",,3%,"328,966",,"328,966","311,441",,"958,432",,,,
,,,HR EXPENSES,,,#DIV/0!,,,,,,#DIV/0!,,,,,,#DIV/0!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2012 Actual,,2013 Plan,,,,,,2014 Plan,,,,,2015 Plan,,,,,,,,,,,
,,,,2012 Actual,,2013 Plan,,,,,,2014 Plan,,,,,2015 Plan,,,,,,,,,,,
,,,,Saldi originari,,Rettiche in %,,Rettifiche ad Importo,,,,,Rettifiche ad Importo,,,,,Rettifiche ad Importo,,,,,,,,,,
,,,Teste,,,,,,0,,,0%,,0,,,0,0%,0,,,0,,,,,,
,,,Average Salary,,,,,,0,,,0%,,0,,,0,0%,0,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2012 Actual,,2013 Plan,,,,,,2014 Plan,,,,,,2015 Plan,,,,,,,,,,
,,,,Saldi originari,,Var. %,Indexed,Adj.,Preview,Last Saved,,Var. %,Indexed,Adj.,Preview,Last Saved,,Var. %,Indexed,Adj.,Preview,Last Saved,,TOTAL PLAN,,,,
,,,Wages & Salaries,"5,239,772",,13%,"5,920,943",,"5,920,943","5,251,055",,9%,"6,453,828",,"6,453,828","5,260,108",,6%,"6,841,057",,"6,841,057","5,266,869",,"19,215,828",,,,
,,,Bonus & Commissions,"594,596",,5%,"624,326",,"624,326","594,596",,3%,"643,056",,"643,056","594,596",,3%,"662,347",,"662,347","594,596",,"1,929,729",,,,
,,,Taxes &  Insurance,"44,207",,2%,"45,091","2,000","47,091","47,091",,2%,"48,033",,"48,033","48,033",,5%,"50,434",,"50,434","50,434",,"145,558",,,,
,,,Pensions,"457,110",,1%,"461,681",,"461,681","457,110",,5%,"484,765",,"484,765","457,110",,1%,"489,612",,"489,612","457,110",,"1,436,058",,,,
,,,HR Expenses,"6,335,685",,21%,"7,052,040","2,000","7,054,040","6,349,851",,19%,"7,629,681",0,"7,629,681","6,359,847",,15%,"8,043,451",0,"8,043,451","6,369,009",,"22,727,172",,,,
