Column1,data_year,STATE,total1,total2,total3,total4,total5,total6,total7,,data_year,total1,total2,total3,total4,total5,total6,total7
2000|South Dakota,2000,South Dakota,116396,5373,1076,48394,234,558,350,,,,,,,,,
2000|Tennessee,2000,Tennessee,961338,36595,7488,371769,1327,6316,8591,,,,,,,,,
2000|Texas,2000,Texas,2421588,92292,34546,2416795,7734,25457,44929,,,,,,,,,
2000|Utah,2000,Utah,230930,9114,2514,164321,735,1553,3509,,,,,,,,,
2000|Vermont,2000,Vermont,97243,4928,908,26448,207,373,220,,,,,,,,,
2000|Virginia,2000,Virginia,848788,44185,10449,441596,2009,6677,14998,,,,,,,,,
2000|Washington,2000,Washington,827968,38112,8463,504665,1286,6240,6050,,,,,,,,,
2000|West Virginia,2000,West Virginia,353222,15331,3126,179866,311,2982,1381,,,,,,,,,
2000|Wisconsin,2000,Wisconsin,697297,30220,7904,406543,927,6425,6002,,,,,,,,,
2000|Wyoming,2000,Wyoming,64765,2525,565,20758,49,409,512,,,,,,,,,
2001|Alabama,2001,Alabama,866902,30974,12954,1131209,2718,7675,11105,,,,,,,,,
2001|Alaska,2001,Alaska,33149,1055,108,4601,55,24,60,,,,,,,,,
2001|Arizona,2001,Arizona,837436,34359,19545,1022281,2664,14763,56512,,,,,,,,,
2001|Arkansas,2001,Arkansas,414338,20664,5009,340231,1064,3737,7197,,,,,,,,,
2001|California,2001,California,4010764,194354,46671,2104011,10470,31286,35946,,,,,,,,,
2001|Colorado,2001,Colorado,406850,17335,11940,469807,1014,6286,21187,,,,,,,,,
2001|Connecticut,2001,Connecticut,531550,24378,7203,221618,1367,3534,21240,,,,,,,,,
2001|Delaware,2001,Delaware,108149,5762,1789,93402,176,1347,391,,,,,,,,,
2001|District of Columbia,2001,District of Columbia,62753,3868,641,34389,121,601,1431,,,,,,,,,
2001|Florida,2001,Florida,3437123,134438,61690,3316341,6619,43790,140026,,,,,,,,,
2001|Georgia,2001,Georgia,906162,37645,15072,714979,3039,11440,29748,,,,,,,,,
2001|Hawaii,2001,Hawaii,195139,5460,1735,57836,134,1359,3777,,,,,,,,,
2001|Idaho,2001,Idaho,172336,7967,2054,106509,545,1299,509,,,,,,,,,
2001|Illinois,2001,Illinois,1401684,74812,27935,1142506,3740,15769,26148,,,,,,,,,
2001|Indiana,2001,Indiana,983340,42981,11308,652044,2536,7128,12378,,,,,,,,,
2001|Iowa,2001,Iowa,470477,27053,8917,334511,1008,6249,9881,,,,,,,,,
2001|Kansas,2001,Kansas,469500,22866,5453,310616,1003,3890,4237,,,,,,,,,
2001|Kentucky,2001,Kentucky,591122,31495,9332,489501,872,7713,14152,,,,,,,,,
2001|Louisiana,2001,Louisiana,724104,33891,7601,540488,1306,5513,10812,,,,,,,,,
2001|Maine,2001,Maine,230456,8749,1590,62250,321,938,591,,,,,,,,,
2001|Maryland,2001,Maryland,614612,33161,7724,365547,1141,8091,13659,,,,,,,,,
2001|Massachusetts,2001,Massachusetts,1051227,47610,9370,491247,1349,9423,10199,,,,,,,,,
2001|Michigan,2001,Michigan,1594566,55966,30740,1068835,2495,16803,24150,,,,,,,,,
2001|Minnesota,2001,Minnesota,590079,35616,9230,491320,843,6345,6158,,,,,,,,,
2001|Mississippi,2001,Mississippi,487311,18489,8644,573333,2880,3280,12882,,,,,,,,,
2001|Missouri,2001,Missouri,770438,41659,15136,668331,1533,11926,2026,,,,,,,,,
2001|Montana,2001,Montana,125307,6818,1881,91863,272,1284,613,,,,,,,,,
2001|Nebraska,2001,Nebraska,215178,11600,3702,138029,338,2483,897,,,,,,,,,
2001|Nevada,2001,Nevada,311438,12777,4456,173329,583,3432,11763,,,,,,,,,
2001|New Hampshire,2001,New Hampshire,214723,7304,2193,90664,339,1356,1394,,,,,,,,,
2001|New Jersey,2001,New Jersey,1281328,64312,14823,615874,1468,12210,13894,,,,,,,,,
2001|New Mexico,2001,New Mexico,233357,11529,4924,236253,1621,2347,3471,,,,,,,,,
2001|New York,2001,New York,3035558,122236,25639,1087865,2677,21923,61884,,,,,,,,,
2001|North Carolina,2001,North Carolina,1350102,48327,14065,753931,2229,11607,25382,,,,,,,,,
2001|North Dakota,2001,North Dakota,108001,4113,880,35039,211,563,558,,,,,,,,,
2001|Ohio,2001,Ohio,1824952,87956,27021,1432899,3609,19604,52382,,,,,,,,,
2001|Oklahoma,2001,Oklahoma,570294,22993,10239,1112654,2267,6055,4388,,,,,,,,,
2001|Oregon,2001,Oregon,521879,23030,11027,499335,1278,8823,3644,,,,,,,,,
2001|Pennsylvania,2001,Pennsylvania,2583931,104399,33333,1141407,3578,20167,37144,,,,,,,,,
2001|Puerto Rico,2001,Puerto Rico,517807,22068,4613,270182,950,2924,195,,,,,,,,,
2001|Rhode Island,2001,Rhode Island,173798,9920,2065,74797,162,2012,3302,,,,,,,,,
2001|South Carolina,2001,South Carolina,598786,27361,6612,407645,1940,3888,5632,,,,,,,,,
2001|South Dakota,2001,South Dakota,111138,5243,964,53303,308,532,416,,,,,,,,,
2001|Tennessee,2001,Tennessee,757755,41859,9657,357709,1559,7224,14494,,,,,,,,,
2001|Texas,2001,Texas,2403584,112208,49420,2953602,7840,27650,51495,,,,,,,,,
2001|Utah,2001,Utah,209350,10444,4617,235742,750,1491,4925,,,,,,,,,
2001|Vermont,2001,Vermont,112468,4519,975,31498,238,471,160,,,,,,,,,
2001|Virginia,2001,Virginia,936053,44508,8644,516785,1738,6533,9987,,,,,,,,,
2001|Washington,2001,Washington,714281,33246,11231,394850,1857,8612,8199,,,,,,,,,
2001|West Virginia,2001,West Virginia,307571,19170,3486,190335,475,2469,3084,,,,,,,,,
2001|Wisconsin,2001,Wisconsin,917551,40848,10242,557472,956,8058,7975,,,,,,,,,
2001|Wyoming,2001,Wyoming,58027,2690,536,28845,56,379,433,,,,,,,,,
2002|Alabama,2002,Alabama,749156,39259,18429,1188970,4226,7113,12347,,,,,,,,,
2002|Alaska,2002,Alaska,39448,1480,127,5041,48,38,179,,,,,,,,,
2002|Arizona,2002,Arizona,609022,33231,19365,1138112,2603,14653,56696,,,,,,,,,
2002|Arkansas,2002,Arkansas,555726,20859,6299,416943,1247,4347,7413,,,,,,,,,
2002|California,2002,California,4992492,188655,71377,2610214,10341,48994,39811,,,,,,,,,
2002|Colorado,2002,Colorado,586940,21778,9552,606648,1353,10210,20938,,,,,,,,,
2002|Connecticut,2002,Connecticut,623799,26795,6931,194868,1188,3923,26334,,,,,,,,,
2002|Delaware,2002,Delaware,100056,5194,2146,89879,168,1338,465,,,,,,,,,
2002|District of Columbia,2002,District of Columbia,89044,3281,720,34488,106,632,1175,,,,,,,,,
2002|Florida,2002,Florida,2503840,111924,61013,3957093,7576,56530,147991,,,,,,,,,
2002|Georgia,2002,Georgia,929177,52668,21507,988832,3902,10730,41530,,,,,,,,,
2002|Hawaii,2002,Hawaii,186143,7767,1362,59135,164,1463,3951,,,,,,,,,
2002|Idaho,2002,Idaho,165715,8888,1946,134026,590,1452,532,,,,,,,,,
2002|Illinois,2002,Illinois,1711797,96469,29787,1554663,3348,22431,32488,,,,,,,,,
2002|Indiana,2002,Indiana,735386,40653,12849,753499,3017,7226,17833,,,,,,,,,
2002|Iowa,2002,Iowa,443112,24811,7772,427742,1343,5790,10385,,,,,,,,,
2002|Kansas,2002,Kansas,351989,22781,8707,344031,968,5697,5388,,,,,,,,,
2002|Kentucky,2002,Kentucky,538842,26664,8378,643304,845,5960,14101,,,,,,,,,
2002|Louisiana,2002,Louisiana,528785,33789,11088,449544,1839,6518,50014,,,,,,,,,
2002|Maine,2002,Maine,207648,8574,2052,104787,372,1045,1591,,,,,,,,,
2002|Maryland,2002,Maryland,793108,32801,10277,414148,1010,7837,17414,,,,,,,,,
2002|Massachusetts,2002,Massachusetts,943666,41601,12430,463868,1711,10432,11492,,,,,,,,,
2002|Michigan,2002,Michigan,1524926,81639,26809,1160823,2481,22764,39720,,,,,,,,,
2002|Minnesota,2002,Minnesota,713378,34914,9635,542410,1255,7897,23012,,,,,,,,,
2002|Mississippi,2002,Mississippi,390154,24451,10907,971428,3290,3737,16418,,,,,,,,,
2002|Missouri,2002,Missouri,1006112,48652,16699,924657,1908,9570,4049,,,,,,,,,
2002|Montana,2002,Montana,160059,6330,1767,71108,234,1177,1260,,,,,,,,,
2002|Nebraska,2002,Nebraska,276326,13726,4207,150930,442,3259,21895,,,,,,,,,
2002|Nevada,2002,Nevada,296797,10321,4965,197237,754,4006,15384,,,,,,,,,
2002|New Hampshire,2002,New Hampshire,184079,7340,1978,83994,421,1400,1853,,,,,,,,,
2002|New Jersey,2002,New Jersey,1338080,54858,15876,756351,2153,11060,14278,,,,,,,,,
2002|New Mexico,2002,New Mexico,230309,12436,5608,326127,1516,2293,4564,,,,,,,,,
2002|New York,2002,New York,2538029,105539,27345,1157042,3526,24133,57845,,,,,,,,,
2002|North Carolina,2002,North Carolina,1063160,49207,14207,1153326,1990,9833,27875,,,,,,,,,
2002|North Dakota,2002,North Dakota,92354,5518,1192,38236,200,612,352,,,,,,,,,
2002|Ohio,2002,Ohio,2072079,73652,38675,1726936,3974,24329,56785,,,,,,,,,
2002|Oklahoma,2002,Oklahoma,472778,29656,14784,1366051,2796,8817,4309,,,,,,,,,
2002|Oregon,2002,Oregon,496827,26434,10713,413548,1390,8756,3353,,,,,,,,,
2002|Pennsylvania,2002,Pennsylvania,2076584,95803,38158,1812367,4074,27123,42693,,,,,,,,,
2002|Puerto Rico,2002,Puerto Rico,668812,20618,4116,342545,1153,2824,306,,,,,,,,,
2002|Rhode Island,2002,Rhode Island,156796,7452,1984,86715,176,2067,3083,,,,,,,,,
2002|South Carolina,2002,South Carolina,592164,30342,9933,517339,2469,4179,9869,,,,,,,,,
2002|South Dakota,2002,South Dakota,135577,5203,857,50804,275,686,489,,,,,,,,,
2002|Tennessee,2002,Tennessee,884598,45155,10065,577997,1835,7856,18751,,,,,,,,,
2002|Texas,2002,Texas,2629000,126433,58099,3045190,9366,28027,48247,,,,,,,,,
2002|Utah,2002,Utah,225310,8923,5655,352696,1192,1950,11104,,,,,,,,,
2002|Vermont,2002,Vermont,91706,4384,810,36044,338,548,177,,,,,,,,,
2002|Virginia,2002,Virginia,831063,39231,11583,623022,2051,8310,14833,,,,,,,,,
2002|Washington,2002,Washington,730758,39758,14816,479372,2783,8726,7960,,,,,,,,,
2002|West Virginia,2002,West Virginia,324702,14293,4528,290075,483,3731,4211,,,,,,,,,
2002|Wisconsin,2002,Wisconsin,874727,34958,13089,535776,1430,9348,7812,,,,,,,,,
2002|Wyoming,2002,Wyoming,63024,3086,598,25587,51,413,549,,,,,,,,,
2003|Alabama,2003,Alabama,871576,39141,21010,2261271,6332,9776,17775,,,,,,,,,
2003|Alaska,2003,Alaska,42736,1330,157,5499,47,72,47,,,,,,,,,
2003|Arizona,2003,Arizona,748299,28602,23338,1085477,2378,12301,62010,,,,,,,,,
2003|Arkansas,2003,Arkansas,461365,21896,8088,420491,1411,4789,10133,,,,,,,,,
2003|California,2003,California,3893637,167843,54853,3513625,8324,46846,57198,,,,,,,,,
2003|Colorado,2003,Colorado,422879,21577,12797,563138,1197,9679,28790,,,,,,,,,
2003|Connecticut,2003,Connecticut,502476,24218,5929,281559,723,6084,21523,,,,,,,,,
2003|Delaware,2003,Delaware,121942,5435,2340,98692,218,1603,2179,,,,,,,,,
2003|District of Columbia,2003,District of Columbia,85220,3316,642,38839,146,486,789,,,,,,,,,
2003|Florida,2003,Florida,2685956,130852,88280,4506814,8948,49618,201443,,,,,,,,,
2003|Georgia,2003,Georgia,1108160,43181,21268,1395937,3957,12002,47476,,,,,,,,,
2003|Hawaii,2003,Hawaii,159657,6743,1823,76038,163,1064,2681,,,,,,,,,
2003|Idaho,2003,Idaho,213942,8949,2623,147977,400,1827,947,,,,,,,,,
2003|Illinois,2003,Illinois,2016484,83383,25587,1371859,4623,19375,28466,,,,,,,,,
2003|Indiana,2003,Indiana,866888,40229,13937,1029875,3473,9443,18434,,,,,,,,,
2003|Iowa,2003,Iowa,554630,24824,8085,543804,1272,6775,14917,,,,,,,,,
2003|Kansas,2003,Kansas,335420,18653,7842,577461,1007,6365,7842,,,,,,,,,
2003|Kentucky,2003,Kentucky,610038,28397,9309,556218,1058,7958,15639,,,,,,,,,
2003|Louisiana,2003,Louisiana,583708,26418,13078,555370,2211,6685,13354,,,,,,,,,
2003|Maine,2003,Maine,228982,11852,2133,142216,280,1358,1805,,,,,,,,,
2003|Maryland,2003,Maryland,596171,38447,10883,494038,1212,8522,66948,,,,,,,,,
2003|Massachusetts,2003,Massachusetts,1132948,52514,14144,771939,1942,9381,21130,,,,,,,,,
2003|Michigan,2003,Michigan,1627292,77044,28625,1696551,2739,20139,37214,,,,,,,,,
2003|Minnesota,2003,Minnesota,805451,31081,10651,582996,1138,9276,5989,,,,,,,,,
2003|Mississippi,2003,Mississippi,448852,19010,13045,1327536,5295,3647,29068,,,,,,,,,
2003|Missouri,2003,Missouri,1007171,46723,17350,1067005,1889,11628,15146,,,,,,,,,
2003|Montana,2003,Montana,169818,5437,2402,114114,240,1172,1507,,,,,,,,,
2003|Nebraska,2003,Nebraska,226767,12782,4170,195502,531,3378,1033,,,,,,,,,
2003|Nevada,2003,Nevada,347829,12444,5151,266886,745,4614,23985,,,,,,,,,
2003|New Hampshire,2003,New Hampshire,159019,7213,1802,83310,385,1528,2416,,,,,,,,,
2003|New Jersey,2003,New Jersey,1096133,57256,21204,920950,1926,13513,21436,,,,,,,,,
2003|New Mexico,2003,New Mexico,219195,8950,5195,441494,1800,2810,5775,,,,,,,,,
2003|New York,2003,New York,2456772,131151,28089,1156488,3374,26020,58390,,,,,,,,,
2003|North Carolina,2003,North Carolina,1193087,62226,23524,1328360,2568,12332,32153,,,,,,,,,
2003|North Dakota,2003,North Dakota,115426,4184,1189,50899,227,635,672,,,,,,,,,
2003|Ohio,2003,Ohio,1571992,98396,43488,1758402,5621,31228,54278,,,,,,,,,
2003|Oklahoma,2003,Oklahoma,461084,31595,18041,1472198,3990,8189,4340,,,,,,,,,
2003|Oregon,2003,Oregon,459519,20076,10812,695727,1337,10077,4405,,,,,,,,,
2003|Pennsylvania,2003,Pennsylvania,2569996,110019,31799,1906508,5423,25338,54860,,,,,,,,,
2003|Puerto Rico,2003,Puerto Rico,483667,17095,6070,471496,983,3151,489,,,,,,,,,
2003|Rhode Island,2003,Rhode Island,206833,8459,2685,95214,195,1824,3406,,,,,,,,,
2003|South Carolina,2003,South Carolina,744762,31798,11522,720777,2426,5205,11646,,,,,,,,,
2003|South Dakota,2003,South Dakota,104615,6193,1196,48819,257,691,792,,,,,,,,,
2003|Tennessee,2003,Tennessee,891729,47543,13864,597684,1626,8066,27598,,,,,,,,,
2003|Texas,2003,Texas,2501917,116178,45970,4034666,10048,31960,65005,,,,,,,,,
2003|Utah,2003,Utah,235381,8080,6678,410204,1612,2962,15560,,,,,,,,,
2003|Vermont,2003,Vermont,90937,5053,1091,40068,300,543,277,,,,,,,,,
2003|Virginia,2003,Virginia,1166011,36399,15342,618322,2457,10391,10215,,,,,,,,,
2003|Washington,2003,Washington,709951,36507,15088,562465,2309,7730,8167,,,,,,,,,
2003|West Virginia,2003,West Virginia,368739,15893,5744,327359,437,3668,5624,,,,,,,,,
2003|Wisconsin,2003,Wisconsin,919003,32331,10909,593095,1615,10119,13280,,,,,,,,,
2003|Wyoming,2003,Wyoming,81749,3662,812,31750,68,472,619,,,,,,,,,
2004|Alabama,2004,Alabama,839131,30551,25029,1983562,8180,10981,50253,,,,,,,,,
2004|Alaska,2004,Alaska,34529,1155,265,13768,30,124,90,,,,,,,,,
2004|Arizona,2004,Arizona,746091,33265,23115,1909418,4065,15353,73172,,,,,,,,,
2004|Arkansas,2004,Arkansas,513518,25149,6851,616447,1033,4144,10768,,,,,,,,,
2004|California,2004,California,4899589,143284,75731,3750698,8474,53979,50763,,,,,,,,,
2004|Colorado,2004,Colorado,530856,22971,11113,717866,1232,7582,18825,,,,,,,,,
2004|Connecticut,2004,Connecticut,466655,23164,7944,314226,1106,5591,31266,,,,,,,,,
2004|Delaware,2004,Delaware,126012,4790,2224,116101,153,1456,1344,,,,,,,,,
2004|District of Columbia,2004,District of Columbia,89974,3517,812,35741,184,690,1118,,,,,,,,,
2004|Florida,2004,Florida,3462995,139683,78605,5813048,9710,68482,299159,,,,,,,,,
2004|Georgia,2004,Georgia,897014,44253,21699,1691062,6254,12994,49569,,,,,,,,,
2004|Hawaii,2004,Hawaii,203782,7139,2056,70165,176,1591,4908,,,,,,,,,
2004|Idaho,2004,Idaho,175604,7771,3880,179768,301,2538,1156,,,,,,,,,
2004|Illinois,2004,Illinois,1862608,83665,28353,1930384,4731,20733,42312,,,,,,,,,
2004|Indiana,2004,Indiana,1006749,35865,20443,1373871,4625,8553,18444,,,,,,,,,
2004|Iowa,2004,Iowa,428428,19498,9501,504329,1214,7118,16201,,,,,,,,,
2004|Kansas,2004,Kansas,369989,22162,9618,630023,1224,6464,5788,,,,,,,,,
2004|Kentucky,2004,Kentucky,633817,29254,11237,686708,1458,8441,18918,,,,,,,,,
2004|Louisiana,2004,Louisiana,553530,34576,15023,706692,2923,8849,16338,,,,,,,,,
2004|Maine,2004,Maine,265523,9268,2833,178938,529,1640,1720,,,,,,,,,
2004|Maryland,2004,Maryland,675285,33722,11884,501690,1233,8935,14651,,,,,,,,,
2004|Massachusetts,2004,Massachusetts,1145432,49331,14231,672177,2612,12614,20132,,,,,,,,,
2004|Michigan,2004,Michigan,1271634,58549,26357,1845496,3172,21725,25150,,,,,,,,,
2004|Minnesota,2004,Minnesota,806127,31573,9631,688029,1583,9801,6870,,,,,,,,,
2004|Mississippi,2004,Mississippi,394526,21981,14987,1468478,5761,4777,16318,,,,,,,,,
2004|Missouri,2004,Missouri,1121530,40492,15561,1134986,1942,10941,48121,,,,,,,,,
2004|Montana,2004,Montana,163339,5989,2476,134126,368,1414,1440,,,,,,,,,
2004|Nebraska,2004,Nebraska,314959,11433,4019,243649,590,3254,1195,,,,,,,,,
2004|Nevada,2004,Nevada,317602,12559,7205,374196,1019,4038,16194,,,,,,,,,
2004|New Hampshire,2004,New Hampshire,180717,7177,2523,105509,394,1950,5352,,,,,,,,,
2004|New Jersey,2004,New Jersey,1132307,55413,22338,795367,2111,12836,24597,,,,,,,,,
2004|New Mexico,2004,New Mexico,281933,8792,7139,608874,2205,2667,5275,,,,,,,,,
2004|New York,2004,New York,3346711,102478,26420,1665639,4714,28501,61370,,,,,,,,,
2004|North Carolina,2004,North Carolina,1087407,45508,19470,1733645,2847,15497,54140,,,,,,,,,
2004|North Dakota,2004,North Dakota,118684,5072,1341,52434,276,861,585,,,,,,,,,
2004|Ohio,2004,Ohio,1825689,88558,36800,2362507,5162,32977,77073,,,,,,,,,
2004|Oklahoma,2004,Oklahoma,635635,31248,19317,1941472,4327,9506,4224,,,,,,,,,
2004|Oregon,2004,Oregon,517886,22087,13040,568875,1488,10080,63545,,,,,,,,,
2004|Pennsylvania,2004,Pennsylvania,1873277,110237,33226,2096229,5461,29112,44467,,,,,,,,,
2004|Puerto Rico,2004,Puerto Rico,595833,16920,7318,552381,1449,3630,575,,,,,,,,,
2004|Rhode Island,2004,Rhode Island,176597,6668,2915,113970,284,2566,6748,,,,,,,,,
2004|South Carolina,2004,South Carolina,736855,28187,11965,894767,2499,7673,11155,,,,,,,,,
2004|South Dakota,2004,South Dakota,114725,5854,1429,48661,332,871,1202,,,,,,,,,
2004|Tennessee,2004,Tennessee,918080,41963,13614,967618,2203,9914,19578,,,,,,,,,
2004|Texas,2004,Texas,2625695,96638,71846,3293756,11323,35638,63225,,,,,,,,,
2004|Utah,2004,Utah,261353,10164,6107,566049,1798,2732,9898,,,,,,,,,
2004|Vermont,2004,Vermont,110696,4583,949,48087,287,593,429,,,,,,,,,
2004|Virginia,2004,Virginia,939582,35421,15839,771636,2412,11021,10550,,,,,,,,,
2004|Washington,2004,Washington,700296,35145,17161,776993,1813,8949,10103,,,,,,,,,
2004|West Virginia,2004,West Virginia,426869,16671,4662,260644,613,3287,4567,,,,,,,,,
2004|Wisconsin,2004,Wisconsin,741483,30950,13635,833305,1327,12345,15614,,,,,,,,,
2004|Wyoming,2004,Wyoming,68949,2914,703,47309,146,525,775,,,,,,,,,
2005|Alabama,2005,Alabama,941319,33727,32119,3095107,8874,9877,21418,,,,,,,,,
2005|Alaska,2005,Alaska,47462,1457,402,23499,63,296,110,,,,,,,,,
2005|Arizona,2005,Arizona,827204,29316,31740,1770601,4307,20587,80207,,,,,,,,,
2005|Arkansas,2005,Arkansas,494627,25413,7657,576557,1314,5737,22290,,,,,,,,,
2005|California,2005,California,4622188,184038,95231,4124328,9799,61767,53731,,,,,,,,,
2005|Colorado,2005,Colorado,439824,21600,13918,845020,1728,8087,25029,,,,,,,,,
2005|Connecticut,2005,Connecticut,582716,25129,8781,367765,1140,7448,90005,,,,,,,,,
2005|Delaware,2005,Delaware,145042,6311,2477,143329,404,2017,1450,,,,,,,,,
2005|District of Columbia,2005,District of Columbia,78280,3971,954,31729,149,534,1430,,,,,,,,,
2005|Florida,2005,Florida,3039705,123569,73645,5334462,8137,49630,286957,,,,,,,,,
2005|Georgia,2005,Georgia,1040429,50152,28639,1799164,5475,16819,61184,,,,,,,,,
2005|Hawaii,2005,Hawaii,171304,7942,1884,79974,151,1221,5068,,,,,,,,,
2005|Idaho,2005,Idaho,173033,6603,3334,271449,528,2805,1233,,,,,,,,,
2005|Illinois,2005,Illinois,1593058,95708,31436,2179432,3234,26443,40349,,,,,,,,,
2005|Indiana,2005,Indiana,1119860,35373,20429,1314283,5306,13446,30068,,,,,,,,,
2005|Iowa,2005,Iowa,613625,19563,14389,676505,1526,7777,16702,,,,,,,,,
2005|Kansas,2005,Kansas,501120,22192,11509,616631,1544,8584,6699,,,,,,,,,
2005|Kentucky,2005,Kentucky,814864,35019,13363,759336,1285,9407,18709,,,,,,,,,
2005|Louisiana,2005,Louisiana,746155,32954,16741,985144,3982,7332,21997,,,,,,,,,
2005|Maine,2005,Maine,241344,9606,3126,165078,600,2121,3828,,,,,,,,,
2005|Maryland,2005,Maryland,818874,37344,12629,537736,1168,7812,13850,,,,,,,,,
2005|Massachusetts,2005,Massachusetts,973966,52417,16366,934470,2701,11214,28175,,,,,,,,,
2005|Michigan,2005,Michigan,1851362,76753,35066,1721520,2659,27973,35239,,,,,,,,,
2005|Minnesota,2005,Minnesota,737568,35477,12105,835813,1254,10137,9210,,,,,,,,,
2005|Mississippi,2005,Mississippi,549829,21293,17457,1437229,6822,4735,25527,,,,,,,,,
2005|Missouri,2005,Missouri,1087393,35195,18561,1310506,2546,13969,4755,,,,,,,,,
2005|Montana,2005,Montana,145756,5240,3110,144423,308,1468,1687,,,,,,,,,
2005|Nebraska,2005,Nebraska,290942,10670,4950,252159,619,3681,1235,,,,,,,,,
2005|Nevada,2005,Nevada,352216,15303,7065,329095,1157,5730,13504,,,,,,,,,
2005|New Hampshire,2005,New Hampshire,189502,7460,3331,148959,456,1997,7124,,,,,,,,,
2005|New Jersey,2005,New Jersey,1128677,63424,26969,1278603,2303,15835,20755,,,,,,,,,
