Angle,Sine,Cosine
94.000,0.998,-0.070
95.000,0.996,-0.087
96.000,0.995,-0.105
97.000,0.993,-0.122
98.000,0.990,-0.139
99.000,0.988,-0.156
100.000,0.985,-0.174
101.000,0.982,-0.191
102.000,0.978,-0.208
103.000,0.974,-0.225
104.000,0.970,-0.242
105.000,0.966,-0.259
106.000,0.961,-0.276
107.000,0.956,-0.292
108.000,0.951,-0.309
109.000,0.946,-0.326
110.000,0.940,-0.342
111.000,0.934,-0.358
112.000,0.927,-0.375
113.000,0.921,-0.391
114.000,0.914,-0.407
115.000,0.906,-0.423
116.000,0.899,-0.438
117.000,0.891,-0.454
118.000,0.883,-0.469
119.000,0.875,-0.485
120.000,0.866,-0.500
121.000,0.857,-0.515
122.000,0.848,-0.530
123.000,0.839,-0.545
124.000,0.829,-0.559
125.000,0.819,-0.574
126.000,0.809,-0.588
127.000,0.799,-0.602
128.000,0.788,-0.616
129.000,0.777,-0.629
130.000,0.766,-0.643
131.000,0.755,-0.656
132.000,0.743,-0.669
133.000,0.731,-0.682
134.000,0.719,-0.695
135.000,0.707,-0.707
136.000,0.695,-0.719
137.000,0.682,-0.731
138.000,0.669,-0.743
139.000,0.656,-0.755
140.000,0.643,-0.766
141.000,0.629,-0.777
142.000,0.616,-0.788
143.000,0.602,-0.799
144.000,0.588,-0.809
145.000,0.574,-0.819
146.000,0.559,-0.829
147.000,0.545,-0.839
148.000,0.530,-0.848
149.000,0.515,-0.857
150.000,0.500,-0.866
151.000,0.485,-0.875
152.000,0.469,-0.883
153.000,0.454,-0.891
154.000,0.438,-0.899
155.000,0.423,-0.906
156.000,0.407,-0.914
157.000,0.391,-0.921
158.000,0.375,-0.927
159.000,0.358,-0.934
160.000,0.342,-0.940
161.000,0.326,-0.946
162.000,0.309,-0.951
163.000,0.292,-0.956
164.000,0.276,-0.961
165.000,0.259,-0.966
166.000,0.242,-0.970
167.000,0.225,-0.974
168.000,0.208,-0.978
169.000,0.191,-0.982
170.000,0.174,-0.985
171.000,0.156,-0.988
172.000,0.139,-0.990
173.000,0.122,-0.993
174.000,0.105,-0.995
175.000,0.087,-0.996
176.000,0.070,-0.998
177.000,0.052,-0.999
178.000,0.035,-0.999
179.000,0.017,-1.000
180.000,0.000,-1.000
181.000,-0.017,-1.000
182.000,-0.035,-0.999
183.000,-0.052,-0.999
184.000,-0.070,-0.998
185.000,-0.087,-0.996
186.000,-0.105,-0.995
187.000,-0.122,-0.993
188.000,-0.139,-0.990
189.000,-0.156,-0.988
190.000,-0.174,-0.985
191.000,-0.191,-0.982
192.000,-0.208,-0.978
193.000,-0.225,-0.974
194.000,-0.242,-0.970
195.000,-0.259,-0.966
196.000,-0.276,-0.961
197.000,-0.292,-0.956
198.000,-0.309,-0.951
199.000,-0.326,-0.946
200.000,-0.342,-0.940
201.000,-0.358,-0.934
202.000,-0.375,-0.927
203.000,-0.391,-0.921
204.000,-0.407,-0.914
205.000,-0.423,-0.906
206.000,-0.438,-0.899
207.000,-0.454,-0.891
208.000,-0.469,-0.883
209.000,-0.485,-0.875
210.000,-0.500,-0.866
211.000,-0.515,-0.857
212.000,-0.530,-0.848
213.000,-0.545,-0.839
214.000,-0.559,-0.829
215.000,-0.574,-0.819
216.000,-0.588,-0.809
217.000,-0.602,-0.799
218.000,-0.616,-0.788
219.000,-0.629,-0.777
220.000,-0.643,-0.766
221.000,-0.656,-0.755
222.000,-0.669,-0.743
223.000,-0.682,-0.731
224.000,-0.695,-0.719
225.000,-0.707,-0.707
226.000,-0.719,-0.695
227.000,-0.731,-0.682
228.000,-0.743,-0.669
229.000,-0.755,-0.656
230.000,-0.766,-0.643
231.000,-0.777,-0.629
232.000,-0.788,-0.616
233.000,-0.799,-0.602
234.000,-0.809,-0.588
235.000,-0.819,-0.574
236.000,-0.829,-0.559
237.000,-0.839,-0.545
238.000,-0.848,-0.530
239.000,-0.857,-0.515
240.000,-0.866,-0.500
241.000,-0.875,-0.485
242.000,-0.883,-0.469
243.000,-0.891,-0.454
244.000,-0.899,-0.438
245.000,-0.906,-0.423
246.000,-0.914,-0.407
247.000,-0.921,-0.391
248.000,-0.927,-0.375
249.000,-0.934,-0.358
250.000,-0.940,-0.342
251.000,-0.946,-0.326
252.000,-0.951,-0.309
253.000,-0.956,-0.292
254.000,-0.961,-0.276
255.000,-0.966,-0.259
256.000,-0.970,-0.242
257.000,-0.974,-0.225
258.000,-0.978,-0.208
259.000,-0.982,-0.191
260.000,-0.985,-0.174
261.000,-0.988,-0.156
262.000,-0.990,-0.139
263.000,-0.993,-0.122
264.000,-0.995,-0.105
265.000,-0.996,-0.087
266.000,-0.998,-0.070
267.000,-0.999,-0.052
268.000,-0.999,-0.035
269.000,-1.000,-0.017
270.000,-1.000,0.000
271.000,-1.000,0.017
272.000,-0.999,0.035
273.000,-0.999,0.052
274.000,-0.998,0.070
275.000,-0.996,0.087
276.000,-0.995,0.105
277.000,-0.993,0.122
278.000,-0.990,0.139
279.000,-0.988,0.156
280.000,-0.985,0.174
281.000,-0.982,0.191
282.000,-0.978,0.208
283.000,-0.974,0.225
284.000,-0.970,0.242
285.000,-0.966,0.259
286.000,-0.961,0.276
287.000,-0.956,0.292
288.000,-0.951,0.309
289.000,-0.946,0.326
290.000,-0.940,0.342
291.000,-0.934,0.358
292.000,-0.927,0.375
293.000,-0.921,0.391
294.000,-0.914,0.407
295.000,-0.906,0.423
296.000,-0.899,0.438
297.000,-0.891,0.454
298.000,-0.883,0.469
299.000,-0.875,0.485
300.000,-0.866,0.500
301.000,-0.857,0.515
302.000,-0.848,0.530
303.000,-0.839,0.545
304.000,-0.829,0.559
305.000,-0.819,0.574
306.000,-0.809,0.588
307.000,-0.799,0.602
308.000,-0.788,0.616
309.000,-0.777,0.629
310.000,-0.766,0.643
311.000,-0.755,0.656
312.000,-0.743,0.669
313.000,-0.731,0.682
314.000,-0.719,0.695
315.000,-0.707,0.707
316.000,-0.695,0.719
317.000,-0.682,0.731
318.000,-0.669,0.743
319.000,-0.656,0.755
320.000,-0.643,0.766
321.000,-0.629,0.777
322.000,-0.616,0.788
323.000,-0.602,0.799
324.000,-0.588,0.809
325.000,-0.574,0.819
326.000,-0.559,0.829
327.000,-0.545,0.839
328.000,-0.530,0.848
329.000,-0.515,0.857
330.000,-0.500,0.866
331.000,-0.485,0.875
332.000,-0.469,0.883
333.000,-0.454,0.891
334.000,-0.438,0.899
335.000,-0.423,0.906
336.000,-0.407,0.914
337.000,-0.391,0.921
338.000,-0.375,0.927
339.000,-0.358,0.934
340.000,-0.342,0.940
341.000,-0.326,0.946
342.000,-0.309,0.951
343.000,-0.292,0.956
344.000,-0.276,0.961
345.000,-0.259,0.966
346.000,-0.242,0.970
347.000,-0.225,0.974
348.000,-0.208,0.978
349.000,-0.191,0.982
350.000,-0.174,0.985
351.000,-0.156,0.988
352.000,-0.139,0.990
353.000,-0.122,0.993
354.000,-0.105,0.995
355.000,-0.087,0.996
356.000,-0.070,0.998
357.000,-0.052,0.999
358.000,-0.035,0.999
359.000,-0.017,1.000
360.000,0.000,1.000
361.000,0.017,1.000
362.000,0.035,0.999
363.000,0.052,0.999
364.000,0.070,0.998
365.000,0.087,0.996
366.000,0.105,0.995
367.000,0.122,0.993
368.000,0.139,0.990
369.000,0.156,0.988
370.000,0.174,0.985
371.000,0.191,0.982
372.000,0.208,0.978
373.000,0.225,0.974
374.000,0.242,0.970
375.000,0.259,0.966
376.000,0.276,0.961
377.000,0.292,0.956
378.000,0.309,0.951
379.000,0.326,0.946
380.000,0.342,0.940
381.000,0.358,0.934
382.000,0.375,0.927
383.000,0.391,0.921
384.000,0.407,0.914
385.000,0.423,0.906
386.000,0.438,0.899
387.000,0.454,0.891
388.000,0.469,0.883
389.000,0.485,0.875
390.000,0.500,0.866
391.000,0.515,0.857
392.000,0.530,0.848
393.000,0.545,0.839
394.000,0.559,0.829
395.000,0.574,0.819
396.000,0.588,0.809
397.000,0.602,0.799
398.000,0.616,0.788
399.000,0.629,0.777
400.000,0.643,0.766
401.000,0.656,0.755
402.000,0.669,0.743
403.000,0.682,0.731
404.000,0.695,0.719
405.000,0.707,0.707
406.000,0.719,0.695
407.000,0.731,0.682
408.000,0.743,0.669
409.000,0.755,0.656
410.000,0.766,0.643
411.000,0.777,0.629
412.000,0.788,0.616
413.000,0.799,0.602
414.000,0.809,0.588
415.000,0.819,0.574
416.000,0.829,0.559
417.000,0.839,0.545
418.000,0.848,0.530
419.000,0.857,0.515
420.000,0.866,0.500
421.000,0.875,0.485
422.000,0.883,0.469
423.000,0.891,0.454
424.000,0.899,0.438
425.000,0.906,0.423
426.000,0.914,0.407
427.000,0.921,0.391
428.000,0.927,0.375
429.000,0.934,0.358
430.000,0.940,0.342
431.000,0.946,0.326
432.000,0.951,0.309
433.000,0.956,0.292
434.000,0.961,0.276
435.000,0.966,0.259
436.000,0.970,0.242
437.000,0.974,0.225
438.000,0.978,0.208
439.000,0.982,0.191
440.000,0.985,0.174
441.000,0.988,0.156
442.000,0.990,0.139
443.000,0.993,0.122
444.000,0.995,0.105
445.000,0.996,0.087
446.000,0.998,0.070
447.000,0.999,0.052
448.000,0.999,0.035
449.000,1.000,0.017
450.000,1.000,0.000
451.000,1.000,-0.017
452.000,0.999,-0.035
453.000,0.999,-0.052
454.000,0.998,-0.070
455.000,0.996,-0.087
456.000,0.995,-0.105
457.000,0.993,-0.122
458.000,0.990,-0.139
459.000,0.988,-0.156
460.000,0.985,-0.174
461.000,0.982,-0.191
462.000,0.978,-0.208
463.000,0.974,-0.225
464.000,0.970,-0.242
465.000,0.966,-0.259
466.000,0.961,-0.276
467.000,0.956,-0.292
468.000,0.951,-0.309
469.000,0.946,-0.326
470.000,0.940,-0.342
471.000,0.934,-0.358
472.000,0.927,-0.375
473.000,0.921,-0.391
474.000,0.914,-0.407
475.000,0.906,-0.423
476.000,0.899,-0.438
477.000,0.891,-0.454
478.000,0.883,-0.469
479.000,0.875,-0.485
480.000,0.866,-0.500
481.000,0.857,-0.515
482.000,0.848,-0.530
483.000,0.839,-0.545
484.000,0.829,-0.559
485.000,0.819,-0.574
486.000,0.809,-0.588
487.000,0.799,-0.602
488.000,0.788,-0.616
489.000,0.777,-0.629
490.000,0.766,-0.643
491.000,0.755,-0.656
492.000,0.743,-0.669
493.000,0.731,-0.682
494.000,0.719,-0.695
495.000,0.707,-0.707
496.000,0.695,-0.719
497.000,0.682,-0.731
498.000,0.669,-0.743
499.000,0.656,-0.755
500.000,0.643,-0.766
501.000,0.629,-0.777
502.000,0.616,-0.788
503.000,0.602,-0.799
504.000,0.588,-0.809
505.000,0.574,-0.819
506.000,0.559,-0.829
507.000,0.545,-0.839
508.000,0.530,-0.848
509.000,0.515,-0.857
510.000,0.500,-0.866
511.000,0.485,-0.875
512.000,0.469,-0.883
513.000,0.454,-0.891
514.000,0.438,-0.899
515.000,0.423,-0.906
516.000,0.407,-0.914
517.000,0.391,-0.921
518.000,0.375,-0.927
519.000,0.358,-0.934
520.000,0.342,-0.940
521.000,0.326,-0.946
522.000,0.309,-0.951
523.000,0.292,-0.956
524.000,0.276,-0.961
525.000,0.259,-0.966
526.000,0.242,-0.970
527.000,0.225,-0.974
528.000,0.208,-0.978
529.000,0.191,-0.982
530.000,0.174,-0.985
531.000,0.156,-0.988
532.000,0.139,-0.990
533.000,0.122,-0.993
534.000,0.105,-0.995
535.000,0.087,-0.996
536.000,0.070,-0.998
537.000,0.052,-0.999
538.000,0.035,-0.999
539.000,0.017,-1.000
540.000,0.000,-1.000
541.000,-0.017,-1.000
542.000,-0.035,-0.999
543.000,-0.052,-0.999
544.000,-0.070,-0.998
545.000,-0.087,-0.996
546.000,-0.105,-0.995
547.000,-0.122,-0.993
548.000,-0.139,-0.990
549.000,-0.156,-0.988
550.000,-0.174,-0.985
551.000,-0.191,-0.982
552.000,-0.208,-0.978
553.000,-0.225,-0.974
554.000,-0.242,-0.970
555.000,-0.259,-0.966
556.000,-0.276,-0.961
557.000,-0.292,-0.956
558.000,-0.309,-0.951
559.000,-0.326,-0.946
560.000,-0.342,-0.940
561.000,-0.358,-0.934
562.000,-0.375,-0.927
563.000,-0.391,-0.921
564.000,-0.407,-0.914
565.000,-0.423,-0.906
566.000,-0.438,-0.899
567.000,-0.454,-0.891
568.000,-0.469,-0.883
569.000,-0.485,-0.875
570.000,-0.500,-0.866
571.000,-0.515,-0.857
572.000,-0.530,-0.848
573.000,-0.545,-0.839
574.000,-0.559,-0.829
575.000,-0.574,-0.819
576.000,-0.588,-0.809
577.000,-0.602,-0.799
578.000,-0.616,-0.788
579.000,-0.629,-0.777
580.000,-0.643,-0.766
581.000,-0.656,-0.755
582.000,-0.669,-0.743
583.000,-0.682,-0.731
584.000,-0.695,-0.719
585.000,-0.707,-0.707
586.000,-0.719,-0.695
587.000,-0.731,-0.682
588.000,-0.743,-0.669
589.000,-0.755,-0.656
590.000,-0.766,-0.643
591.000,-0.777,-0.629
592.000,-0.788,-0.616
593.000,-0.799,-0.602
594.000,-0.809,-0.588
595.000,-0.819,-0.574
596.000,-0.829,-0.559
597.000,-0.839,-0.545
598.000,-0.848,-0.530
599.000,-0.857,-0.515
600.000,-0.866,-0.500
601.000,-0.875,-0.485
602.000,-0.883,-0.469
603.000,-0.891,-0.454
604.000,-0.899,-0.438
605.000,-0.906,-0.423
606.000,-0.914,-0.407
607.000,-0.921,-0.391
608.000,-0.927,-0.375
609.000,-0.934,-0.358
610.000,-0.940,-0.342
611.000,-0.946,-0.326
612.000,-0.951,-0.309
613.000,-0.956,-0.292
614.000,-0.961,-0.276
615.000,-0.966,-0.259
616.000,-0.970,-0.242
617.000,-0.974,-0.225
618.000,-0.978,-0.208
619.000,-0.982,-0.191
620.000,-0.985,-0.174
621.000,-0.988,-0.156
622.000,-0.990,-0.139
623.000,-0.993,-0.122
624.000,-0.995,-0.105
625.000,-0.996,-0.087
626.000,-0.998,-0.070
627.000,-0.999,-0.052
628.000,-0.999,-0.035
629.000,-1.000,-0.017
630.000,-1.000,0.000
631.000,-1.000,0.017
632.000,-0.999,0.035
633.000,-0.999,0.052
634.000,-0.998,0.070
635.000,-0.996,0.087
636.000,-0.995,0.105
637.000,-0.993,0.122
638.000,-0.990,0.139
639.000,-0.988,0.156
640.000,-0.985,0.174
641.000,-0.982,0.191
642.000,-0.978,0.208
643.000,-0.974,0.225
644.000,-0.970,0.242
645.000,-0.966,0.259
646.000,-0.961,0.276
647.000,-0.956,0.292
648.000,-0.951,0.309
649.000,-0.946,0.326
650.000,-0.940,0.342
651.000,-0.934,0.358
652.000,-0.927,0.375
653.000,-0.921,0.391
654.000,-0.914,0.407
655.000,-0.906,0.423
656.000,-0.899,0.438
657.000,-0.891,0.454
658.000,-0.883,0.469
659.000,-0.875,0.485
660.000,-0.866,0.500
661.000,-0.857,0.515
662.000,-0.848,0.530
663.000,-0.839,0.545
664.000,-0.829,0.559
665.000,-0.819,0.574
666.000,-0.809,0.588
667.000,-0.799,0.602
668.000,-0.788,0.616
669.000,-0.777,0.629
670.000,-0.766,0.643
671.000,-0.755,0.656
672.000,-0.743,0.669
673.000,-0.731,0.682
674.000,-0.719,0.695
675.000,-0.707,0.707
676.000,-0.695,0.719
677.000,-0.682,0.731
678.000,-0.669,0.743
679.000,-0.656,0.755
680.000,-0.643,0.766
681.000,-0.629,0.777
682.000,-0.616,0.788
683.000,-0.602,0.799
684.000,-0.588,0.809
685.000,-0.574,0.819
686.000,-0.559,0.829
687.000,-0.545,0.839
688.000,-0.530,0.848
689.000,-0.515,0.857
690.000,-0.500,0.866
691.000,-0.485,0.875
692.000,-0.469,0.883
693.000,-0.454,0.891
694.000,-0.438,0.899
695.000,-0.423,0.906
696.000,-0.407,0.914
697.000,-0.391,0.921
698.000,-0.375,0.927
699.000,-0.358,0.934
700.000,-0.342,0.940
701.000,-0.326,0.946
702.000,-0.309,0.951
703.000,-0.292,0.956
704.000,-0.276,0.961
705.000,-0.259,0.966
706.000,-0.242,0.970
707.000,-0.225,0.974
708.000,-0.208,0.978
709.000,-0.191,0.982
710.000,-0.174,0.985
711.000,-0.156,0.988
712.000,-0.139,0.990
713.000,-0.122,0.993
714.000,-0.105,0.995
715.000,-0.087,0.996
716.000,-0.070,0.998
717.000,-0.052,0.999
718.000,-0.035,0.999
719.000,-0.017,1.000
