Result (expected),Format,Value,Categories
#VALUE!,|#.#|e+|#|,0.00000000E+00,Exponents
#VALUE!,|#.#|e+|#####|,0.00000000E+00,Exponents
#VALUE!,|#.#|e+|0|,0.00000000E+00,Exponents
#VALUE!,|#.#|e+|000|,0.00000000E+00,Exponents
#VALUE!,|#.#|e+|0000|,0.00000000E+00,Exponents
#VALUE!,|#.#|e+|00000|,0.00000000E+00,Exponents
#VALUE!,|#.#|e+|?|,0.00000000E+00,Exponents
#VALUE!,|#.#|e+|???|,0.00000000E+00,Exponents
#VALUE!,|#.#|e+|????|,0.00000000E+00,Exponents
#VALUE!,|#.#|e+|?????|,0.00000000E+00,Exponents
#VALUE!,|#.#|e+|#|,1.23456780E-142,Exponents
#VALUE!,|#.#|e+|#####|,1.23456780E-142,Exponents
#VALUE!,|#.#|e+|0|,1.23456780E-142,Exponents
#VALUE!,|#.#|e+|000|,1.23456780E-142,Exponents
#VALUE!,|#.#|e+|0000|,1.23456780E-142,Exponents
#VALUE!,|#.#|e+|00000|,1.23456780E-142,Exponents
#VALUE!,"|#.#|e+|000,00|",1.23456780E-142,Exponents
#VALUE!,|#.#|e+|?|,1.23456780E-142,Exponents
#VALUE!,|#.#|e+|???|,1.23456780E-142,Exponents
#VALUE!,|#.#|e+|????|,1.23456780E-142,Exponents
#VALUE!,|#.#|e+|?????|,1.23456780E-142,Exponents
,,,
#VALUE!,"#,##0.00e+00",3.14159,Problems
