"Statewide District Revenues - Includes General Fund, Special Revenue Funds, Debt Service and Capital Projects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Local Revenues , Total Local revenues , District School Tax , Tax Redemptions , Payments in Lieu of Taxes , District Interest and Sinking Taxes , Local Sales Tax , District Local Capital Improvement Tax ,,,,,,,,,,,,,,,,,,,,,,,,, debt service , Capital ,
," $12,472,206,007.99 "," $8,605,885,674.84 "," $24,755,505.80 "," $2,376,823.90 "," $194,033,233.54 "," $625,510,637.37 "," $3,019,644,132.54 "," $1,196.36 ",,,,,,,,,,,,,,,,,,,,,,,," $544,540,168.10 "," $4,407,060,410.00 ",
 Local Charter revenue deductions ," $270,089,439.13 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $215.74 ," $1,746.04 "," $1,961.79 "
 Total Statewide District Local revenues ," $12,202,116,568.86 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Other revenues , Total Other Revenues , Excess Fees , Tuition , Rent , Interest on Investments , Gain on Investments , net Income of Investments , Workforce Ed Fees , Capital Improvement Fees , Financial Aid Fees , Other Student Fees , Preschool program fees , Prek Early Intervention Fees , Schoolage child care fees , Bus service fees , Transportation school activities , Sale of junk , Impact Fees , Refunds of Prior year Expend , Textbooks , Indirect Food Service Costs , Sale of Capital Assets , Loss Recoveries , Food Sales ,,,,,,,,,,
," $1,638,826,118.47 "," $2,423,101.40 "," $328,941.64 "," $15,761,331.65 "," $618,894,515.50 "," $721,612.40 "," $14,308,354.93 "," $5,788,254.50 "," $751,722.09 "," $1,565,420.06 "," $5,937,660.74 "," $9,063,738.56 "," $1,832,670.75 "," $108,565,882.29 "," $5,144,078.73 "," $10,598,331.34 "," $2,814,873.54 "," $339,080,361.57 "," $9,527,120.91 "," $2,237,533.31 "," $16,273,608.14 "," $13,527,308.26 "," $74,173,264.47 "," $379,506,431.69 ",,,,,,,,,,
 PreK Deductions ," $10,896,409.31 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total Other Statewide District Revenues ," $1,627,929,709.16 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Indeterminante Revenues , Total Indeterminate Revenues ," Gifts, Grants, Bequests "," Other Schools, courses, and classes fees ", Misc Local Sources ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
," $274,573,648.64 "," $23,621,471.38 "," $7,289,249.84 "," $243,662,927.42 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Statewide Charter Indeterminate deductions ," $27,795,979.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total District Indeterminate Revenues ," $246,777,669.64 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total Statewide Revenues ," $28,495,992,942.92 ",,Statewide District Revenue Totals,Totals by Source,PPR by Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PreK Deductions ," $91,625,857.11 ",,Total Federal," $2,528,895,179 "," $1,002 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Charter revenue deductions ," $725,571,708.00 ",,Total State," $11,073,076,252 "," $4,387 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total statewide District Revenue ," $27,678,795,377.81 ",,Total Local," $12,202,116,569 "," $4,834 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total Other ," $1,627,929,709 ", $645 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Statewide UFTE," 2,638,331.10 ",,Total Indeterminate," $246,777,670 ", $98 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PreK UFTE," 19,294.34 ",,Total Statewide District Revenues," $27,678,795,378 "," $10,966 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charter UFTE deduction," 95,010.16 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total UFTE," 2,524,026.60 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami-Dade District Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Federal Revenues , Total Federal Revenues ,Federal Impact,ROTC,Misc. Fed Direct,Medicaid,National Forest Funds,Fed through Local,Misc Fed through State,Community Action Programs,Vocational Education,Workforce Investment,Eisenhower math & science,Drug Free Schools,IDEA,Title I,Vocational Rehab,All federal food programs,Title V, Federal through Local ,Cuban and Haitian Refugee,Emergency Immigrant Ed Program,Misc. Federal through State,Federal Indirect Cost Rate,,,,,,,,,,,
," $442,931,335.40 "," $680,683.00 "," $1,988,092.47 "," $17,194,161.46 "," $13,296,974.92 ",,," $3,048,331.74 ",," $7,420,054.18 ",," $22,514,133.73 "," $2,340,389.31 "," $71,399,780.70 "," $161,045,556.67 ",," $93,972,209.88 "," $614,827.95 "," $808,303.59 ",," $16,126,874.82 "," $23,627,515.46 "," $6,853,445.52 ",,,,,,,,,,,
 Dade Charter Federal Revenue deductions ," $6,381,987.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total Dade Federal Revenues ," $436,549,348.40 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 State Revenues , Total State Revenues , FEFP , Workforce Development , CO&DS Admin Withheld , Teacher's Lead , Diagnostic & Learning Centers , Instructional Materials , Racing Commission Funds , State Forest Funds , State License Tax , District Disc Lottery Funds , Pupil Transportation , Class Size Reduction , School recognition Funds , Excellent Teaching Program , Voluntary PreK , Preschool Projects , Reading Programs , Full Service Schools , Misc. State Revenue , School breakfast  & Lunch Supplement , Other Misc. State Revenue , Debt Service , Co&DS Distributed , Interest on Undistributed Co&DS/Bonds , PECO (Capital Outlay) , Classrooms First , Class Size Reduction Capital Funds , Charter School Capital Outlay ,,,,,
," $1,461,589,785.43 "," $832,521,652.00 "," $105,171,011.00 "," $12,695,342.29 "," $5,959,785.00 ",," $34,686,915.00 ",,," $189,133.84 "," $14,038,335.00 "," $29,843,781.00 "," $279,937,944.00 "," $21,476,233.00 "," $7,169,993.21 "," $15,644,707.11 "," $331,230.99 ",," $800,000.00 "," $28,707,318.74 "," $2,722,918.63 "," $51,102.00 ",," $2,245,896.64 "," $457,541.98 "," $41,442,604.00 ",," $25,496,340.00 ",,,,,,
 Dade Charter State Revenue deductions ," $85,777,972.65 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PreK Revenue Deductions," $15,975,938.10 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Dade State Revenue," $1,359,835,874.68 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Local Revenues , Total Local revenues , District School Tax , Tax Redemptions , Payments in Lieu of Taxes , District Interest and Sinking Taxes , Local Sales Tax , District Local Capital Improvement Tax ,,,,,,,,,,,,,,,,,,,,,,,,,,,
," $1,639,071,414.34 "," $1,144,669,724.82 "," $8,889,990.89 ",," $83,330,929.72 ",," $402,180,768.91 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
 Dade Charter Local Revenue deductions ," $44,472,195.35 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Dade Local Revenue," $1,594,599,218.99 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Other revenues , Total Other Revenues , Excess Fees , Tuition , Rent , Interest on Investments , Gain on Investments , Net Income of Investments , Workforce Ed Fees , Capital Improvement Fees , Financial Aid Fees , Other Student Fees , Preschool program fees , Prek Early Intervention Fees , Schoolage child care fees , Bus service fees , Transportation school activities , Sale of junk , Impact Fees , Refunds of Prior year Expend , Textbooks , Indirect Food Service Costs , Sale of Capital Assets , Loss Recoveries , Food Sales ,,,,,,,,,,
," $166,004,553.02 ",," $83,961.79 "," $2,058,078.50 "," $69,370,994.66 ",," $2,405,413.24 ",,," $421,978.19 ",," $1,737,178.99 ",," $20,031,186.81 ",," $92,303.65 ",," $25,156,965.45 ",," $420,977.86 "," $2,519,625.20 "," $1,230,669.34 "," $190,310.22 "," $40,284,909.12 ",,,,,,,,,,
 PreK Revenue Deductions ," $1,737,178.99 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Dade Other Revenues," $164,267,374.03 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Indeterminante Revenues , Total Indeterminate Revenues ," Gifts, Grants, Bequests "," Other Schools, courses, and classes fees ", Misc Local Sources ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
," $22,685,956.04 "," $2,401,781.75 "," $1,795,054.53 "," $18,489,119.76 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Dade Charter Indeterminate Deductions ," $2,678,905.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total Dade Indeterminate Revenues ," $20,007,051.04 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total Dade District Revenues ," $3,732,283,044.23 ",,Miami-Dade District Revenue Totals,Totals by Source,PPR by Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total PreK Deductions," $17,713,117.09 ",,Total Federal," $436,549,348 "," $1,329 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Charter Deductions," $139,311,060.00 ",,Total State," $1,359,835,875 "," $4,138 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Dade District Revenue," $3,575,258,867.14 ",,Total Local," $1,594,599,219 "," $4,853 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total Other ," $164,267,374 ", $500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Dade UFTE," 349,618.09 ",,Total Indeterminate," $20,007,051 ", $61 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dade PreK UFTE,2118.13,,Total Dade District Revenues," $3,575,258,867 "," $10,881 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charter UFTE," 18,907.28 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total UFTE," 328,592.68 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broward District School Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Federal Revenues , Total Federal Revenues ,Federal Impact,ROTC,Misc. Fed Direct,Medicaid,National Forest Funds,Fed through Local,Misc Fed through State,Community Action Programs,Vocational Education,Workforce Investment,Eisenhower math & science,Drug Free Schools,IDEA,Title I,Vocational Rehab,All federal food programs,Title V, Federal through Local ,Cuban and Haitian Refugee,Emergency Immigrant Ed Program,Misc. Federal through State,Federal Indirect Cost Rate,,,,,,,,,,,
," $236,013,325.63 ",," $1,643,476.86 "," $40,694,978.47 "," $5,633,860.40 ",,," $166,875.00 ",," $4,003,080.92 "," $928,787.86 "," $11,874,406.24 "," $1,209,902.17 "," $48,203,243.77 "," $50,390,479.04 ",," $49,321,863.07 "," $511,425.10 "," $7,476.66 ",," $1,013,951.41 "," $15,979,451.48 "," $4,430,067.18 ",,,,,,,,,,,
Broward Federal Charter Deductions," $3,144,942.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Broward Federal revenues," $232,868,383.63 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 State Revenues , Total State Revenues , FEFP , Workforce Development , CO&DS Admin Withheld , Teacher's Lead , Diagnostic & Learning Centers , Instructional Materials , Racing Commission Funds , State Forest Funds , State License Tax , District Disc Lottery Funds , Pupil Transportation , Class Size Reduction , School recognition Funds , Excellent Teaching Program , Voluntary PreK , Preschool Projects , Reading Programs , Full Service Schools , Misc. State Revenue , School breakfast  & Lunch Supplement , Other Misc. State Revenue , Debt Service , Co&DS Distributed , Interest on Undistributed Co&DS/Bonds , PECO (Capital Outlay) , Classrooms First , Class Size Reduction Capital Funds , Charter School Capital Outlay ,,,,,
," $1,050,461,331.72 "," $606,421,352.00 "," $71,404,795.00 "," $9,990,269.92 "," $4,473,006.00 ",," $25,959,923.00 "," $446,500.00 ",," $318,385.85 "," $10,833,082.00 "," $35,192,138.00 "," $214,486,038.00 "," $20,993,808.00 "," $5,814,793.43 "," $1,333,072.17 "," $863,675.36 ",,," $15,760,900.44 "," $1,344,079.39 "," $2,915,168.55 ",," $1,221,676.48 "," $345,437.13 "," $19,625,741.00 ",,," $717,490.00 ",,,,,
Broward State Charter Deductions," $74,504,945.26 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PreK Revenue deductions," $2,196,747.53 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Broward State Revenues," $973,759,638.93 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Local Revenues , Total Local revenues , District School Tax , Tax Redemptions , Payments in Lieu of Taxes , District Interest and Sinking Taxes , Local Sales Tax , District Local Capital Improvement Tax ,,,,,,,,,,,,,,,,,,,,,,,,,,,
," $1,197,248,567.18 "," $864,254,588.94 ",,," $28,867,805.24 ",," $304,126,173.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Broward Charter Local revenue deductions," $30,610,669.74 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Broward Local Revenues," $1,166,637,897.44 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Other revenues , Total Other Revenues , Excess Fees , Tuition , Rent , Interest on Investments , Gain on Investments , Net Income of Investments , Workforce Ed Fees , Capital Improvement Fees , Financial Aid Fees , Other Student Fees , Preschool program fees , Prek Early Intervention Fees , Schoolage child care fees , Bus service fees , Transportation school activities , Sale of junk , Impact Fees , Refunds of Prior year Expend , Textbooks , Indirect Food Service Costs , Sale of Capital Assets , Loss Recoveries , Food Sales ,,,,,,,,,,
," $127,988,701.87 ",,," $2,600,913.53 "," $67,567,505.64 ", $531.43 ," $1,168,050.57 "," $392,002.20 "," $255,608.20 ",," $1,688,827.27 ",,," $11,919,024.73 "," $724,197.73 "," $409,611.70 "," $19,671.37 "," $6,800,877.43 "," $27,497.32 "," $45,704.40 "," $1,561,726.65 "," $217,079.17 "," $2,927,956.26 "," $29,661,916.27 ",,,,,,,,,,
PreK Revenue deductions, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Broward Other revenues," $127,988,701.87 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Indeterminant Revenues , Total Indeterminate Revenues ," Gifts, Grants, Bequests "," Other Schools, courses, and classes fees ", Misc Local Sources ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
," $28,339,918.21 "," $153,594.29 "," $449,013.15 "," $27,737,310.77 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Broward charter indeterminate deductions ," $2,842,766.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total Broward Indeterminate ," $25,497,152.21 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total Broward District Revenues ," $2,640,051,844.61 ",,Broward District Revenue Totals,Totals by Source,PPR by Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total PreK Deductions," $2,196,747.53 ",,Total Federal," $232,868,384 ",995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Charter Deductions," $111,103,323.00 ",,Total State," $973,759,639 ",4160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Broward District Revenue," $2,526,751,774.08 ",,Total Local," $1,166,637,897 ",4984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total Other ," $127,988,702 ",547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total Broward UFTE ," 251,961.96 ",,Total Indeterminate," $25,497,152 ",109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PreK UFTE ,2442.68,,Total Broward District Revenues," $2,526,751,774 "," $10,794 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broward charter FTE," 15,421.83 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Broward District FTE," 234,097.45 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
