1,{BatteryBackup/Strings/String[1]/cell[1]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[1]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[1]/@Voltage},
2,{BatteryBackup/Strings/String[1]/cell[2]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[2]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[2]/@Voltage},
3,{BatteryBackup/Strings/String[1]/cell[3]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[3]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[3]/@Voltage},
4,{BatteryBackup/Strings/String[1]/cell[4]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[4]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[4]/@Voltage},
5,{BatteryBackup/Strings/String[1]/cell[5]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[5]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[5]/@Voltage},
6,{BatteryBackup/Strings/String[1]/cell[6]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[6]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[6]/@Voltage},
7,{BatteryBackup/Strings/String[1]/cell[7]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[7]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[7]/@Voltage},
8,{BatteryBackup/Strings/String[1]/cell[8]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[8]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[8]/@Voltage},
9,{BatteryBackup/Strings/String[1]/cell[9]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[9]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[9]/@Voltage},
10,{BatteryBackup/Strings/String[1]/cell[10]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[10]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[10]/@Voltage},
11,{BatteryBackup/Strings/String[1]/cell[11]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[11]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[11]/@Voltage},
12,{BatteryBackup/Strings/String[1]/cell[12]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[12]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[12]/@Voltage},
13,{BatteryBackup/Strings/String[1]/cell[13]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[13]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[13]/@Voltage},
14,{BatteryBackup/Strings/String[1]/cell[14]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[14]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[14]/@Voltage},
15,{BatteryBackup/Strings/String[1]/cell[15]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[15]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[15]/@Voltage},
16,{BatteryBackup/Strings/String[1]/cell[16]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[16]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[16]/@Voltage},
17,{BatteryBackup/Strings/String[1]/cell[17]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[17]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[17]/@Voltage},
18,{BatteryBackup/Strings/String[1]/cell[18]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[18]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[18]/@Voltage},
19,{BatteryBackup/Strings/String[1]/cell[19]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[19]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[19]/@Voltage},
20,{BatteryBackup/Strings/String[1]/cell[20]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[20]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[20]/@Voltage},
21,{BatteryBackup/Strings/String[1]/cell[21]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[21]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[21]/@Voltage},
22,{BatteryBackup/Strings/String[1]/cell[22]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[22]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[22]/@Voltage},
23,{BatteryBackup/Strings/String[1]/cell[23]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[23]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[23]/@Voltage},
24,{BatteryBackup/Strings/String[1]/cell[24]/@Voltage},,{BatteryBackup/Strings/String[2]/cell[24]/@Voltage},,{BatteryBackup/Strings/String[3]/cell[24]/@Voltage},
,Condition of String,,Condition of String,,Condition of String,
,{BatteryBackup/Strings/String[1]/@condition},,{BatteryBackup/Strings/String[2]/@condition},,{BatteryBackup/Strings/String[3]/@condition},
,,,Additional Comments:,,,
,,,,,Battery replaced. This is a test.,
,,,,,,
,,,,,,
,Circuit Breaker,,Gell,,,
,Throw Switch,,Flooded,,,
,Fuse,,VRLA,,,
,Other,,Lead Acid,,,
,,,Other,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
