 FY 2006-07 Florida Charter School Revenue Data ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 School Info. ,,,,,,,,,, Federal Revenues ,,,,,,,,,,,,,,,,,,,,, State Revenues ,,,,,,,,,,,,,,,,,,,,,,,,,,,, For State and Local Calculation Purposes Only ,,,,,,,,,,,,, Indeterminate Revenues ,,,,,,,,,,,,, Local Revenues ,,,,,,,,, Other Revenues ,,,,,,,,,,,,,,,,,,, Total Revenues , Total PPR ,,
, District , Sch , MSID , School , Type , Year , PreK , Total Enrollment , Audit , Medicaid , Federal Start-up Grant , IDEA , Title I , Dissemination Grant , National School Lunch/Breakfast/Commodities , FEMA , Federal Sources , ERATE , Safe & Drug Free Schools , GEAR-UP , Operating Grants , National Science Foundation , Other , Implementation Grant , Supplemental Instruction , Adult-Ed , Federal Total , A+ Funds , Transportation , FLSchool Recognition Award , Discretionary Lottery Funds , SAI Category , CSP - Instructional Materials , Class Reduction , State Recognition Program , Teacher Lead , Other State Revenue , Capital Outlay , Early Childhood Ed. , Excellent Teaching Program , Advanced Placement , Learn and Serve Grant , Teacher Training , Reading First Grant , VPK State Funded (Pre-K Program) , Early Readiness , Reading Coach/Math Coach , Library Media Materials/Science Lab , Adults w Disabilities , Workforce Development , A+ Bonus , National Board , Micro Society , Community coordinated care , State After-school , Food services , State FEFP revenues , State Revenue Total , FEFP , Sparsity Supplement (lab schools only) , Lab school discretionary contribution , Declining Enrollment Supplement , Discretionary Tax Equal Allocation/Compression , Safe Schools , Reading Program , Supp. Acad. Instrc. , ESE Guar. Allocation , Merit Program (STAR) , Other FEFP (WFTE Share) , Total FEFP Only ," ""State Sources"", District funding, not defined or FTE "," Federal, State, and Local Revenue "," ""special revenue fund"" ", Other State appropriations , Grants and program Income , Local Sources ," ""Contributions and Other"" / Operating grants ", Grants , Capital funds other than grants , Summer Program , Withheld Admin Fee , PreK , Preschool , Total Indeterminate Revenue , Discretionary Millage , Local FEFP revenues for schools showing discretionary mils , Local FEFP revenues for schools w/ no itemized discretionary mils ," Approximate Local Revenues from combined ""state"" or ""district"" total. ", County Impact Fees , Urban teacher grant , District school taxes , Voted Operating Millage , Total Local Revenue , Contributions / Contributions & Other , In-House Transportation , Interest Income / Investment Earnings , Facility Rental , Before & After Care Fees , Student Fees / Special Programs Revenue , Other , Sponsorship fee , Fundraising , Miscellaneous , Food Service ," In-Kind Contributions (Rent, Services etc.) ", Bad Debt Recovery , Sale of Equipment , Summer School fees , Private Grants , Charges for Services , PreK Tuition , Total Other Revenues ,,,,
 01 , Alachua , 0991 , 010991 , FLORIDA SIATECH AT GAINESVILLE , 3.00 , 06-07 ,, 201.81 , Yes ,,,,,,,,,,,,,,,,,, $-   ,,,,,,,,,,," $207,583 ",,,,,,,,,,,,,,,,,,," $859,850 "," $1,067,433 ",,,,,,,,,,,, $-   ," $1,273,953 ",,,,,,,,,,,,, $-   ,,,," $414,103 ",,,,," $414,103 ", $92 ,,,,,,,,,,,,,,,,,, $92 ," $1,481,628 "," $7,342 ",,
 01 , Alachua , 1000 , 011000 ," DESOTO HIGH SCHOOL, INC. ", 3.00 , 06-07 ,, 45.10 , Yes ,,,,,,,,,,,,,,,,,, $-   ,,,,,,,,,," $2,351 ",,,,,,,,,,,,,,,,,,,," $226,649 "," $229,000 ",,,,,,,,,,,, $-   ," $335,803 ",,,,,,,,,,,,, $-   ,,,," $109,154 ",,,,," $109,154 ", $642 ,,,,," $8,402 "," $1,694 ",,,,,,,,,,,," $10,738 "," $348,892 "," $7,736 ",,
 03 , Bay , 0701 , 030701 , BAY HAVEN CHARTER ACADEMY , 4.00 , 06-07 ,," 1,048.50 ", Yes ,,,,,,,,,,,,,,,,,, $-   ,,,,,,,,,,," $749,495 ",,,,,,,,,,,,,,,,,,," $2,728,044 "," $3,477,539 ",,,,,,,,,,,, $-   ," $6,195,738 ",,,,,,,,,,,,, $-   ,,,," $3,467,694 ",,,,," $3,467,694 "," $47,000 ",,,," $242,962 ",,,,," $269,418 ",,,,,,,,," $559,380 "," $7,504,613 "," $7,157 ",,
 03 , Bay , 0781 , 030781 , CHAUTAUQUA Learn and Serve CHARTER SCHOOL , 5.00 , 06-07 ,, 40.43 , Yes ,," $62,043 ",,,,,,,,,,,,,,,," $62,043 ",,,,,,,,,,,,,,," $6,500 ",,,,,,,,,,,,,,," $231,944 "," $238,444 ",,,,,,,,,,,, $-   ," $526,775 ",,,,,,,,,,,,, $-   ,,,," $294,831 ",,,,," $294,831 ",,,,,,,,,," $33,481 ",,,,,,,,," $33,481 "," $628,799 "," $15,553 ",,
 05 , Brevard , 6501 , 056501 , PALM BAY ACADEMY CHARTER SCHL , 4.00 , 06-07 ,, 359.65 , Yes ,,,,,,,,,,,,,,,,,, $-   ,,,," $13,353 ",," $34,231 "," $283,147 "," $25,989 "," $6,136 ",," $266,196 ",,,,,,,,,,,,,," $4,597 ",,,,," $1,005,188 "," $1,638,837 "," $1,446,246 ",,,," $15,371 "," $5,345 "," $3,920 "," $108,109 "," $85,494 "," $18,222 ",," $1,682,707 ",,,,,,,,,,,,,, $-   ," $121,274 "," $677,519 ",,,,,,," $798,793 ",,," $109,116 ",,,," $37,654 ",,,,,,,,,,,," $146,770 "," $2,584,400 "," $7,186 ",,
 05 , Brevard , 6506 , 056506 , CAMPUS CHARTER SCHOOL , 1.00 , 06-07 ,, 173.50 , Yes ,,," $15,056 "," $49,104 ",,,,,,,,,,,,,," $64,160 ",,,," $6,459 "," $52,153 "," $16,513 "," $136,594 ",," $2,960 ",," $120,017 ",,,,,,,,,,,,,,,,,,," $464,189 "," $798,885 "," $699,610 ",,,," $7,438 "," $3,909 "," $3,920 ",," $53,371 "," $8,815 ",," $777,063 ",,,,,,,,,,,,,, $-   ," $58,665 "," $312,874 ",,,,,,," $371,539 "," $59,584 ",,,,,,,,,,,,,,,," $232,661 ",," $292,245 "," $1,526,829 "," $8,800 ",,
 05 , Brevard , 6507 , 056507 , ODYSSEY CHARTER SCHOOL , 4.00 , 06-07 ,, 512.49 , Yes ,," $65,093 "," $65,093 ",,,,,,,,,,,,,,," $130,186 ",," $90,111 ",," $18,885 ",," $48,770 "," $403,413 ",," $8,742 ",," $363,789 ",,,,,," $16,913 ",,,,,,,,,,,,," $1,478,428 "," $2,429,051 "," $2,045,532 ",,,," $21,741 "," $7,560 ",," $154,025 "," $155,461 "," $90,601 ",," $2,474,920 ",,,,,," $358,622 ",,,,,,,," $358,622 "," $171,520 "," $996,492 ",,," $1,500,000 ",,,," $2,668,012 ",,,,,,,,,,,,,,,,,,, $-   ," $5,585,871 "," $10,899 ",,
 05 , Brevard , 6508 , 056508 , Brevard Innovative Charter School , 4.00 , 06-07 ,, 392.50 , Yes ,,," $35,750 ",,,,,,,,,,,,,,," $35,750 ",," $43,210 ",," $14,517 ",," $37,405 "," $309,403 "," $19,811 "," $6,704 ",," $276,960 ",,,,,,,,,,,,," $37,666 ",,,,,," $1,092,157 "," $1,837,833 "," $1,572,341 ",,,," $16,711 "," $8,788 ",," $118,134 "," $112,320 ",,," $1,828,294 ",,,,,,,,,,,,,, $-   ," $131,847 "," $736,137 ",,,,,,," $867,984 ",,," $3,493 ",,,," $132,429 ",,,,,,,,,," $226,738 ",," $362,660 "," $3,104,227 "," $7,909 ",,
 05 , Brevard , 6509 , 056509 , ROYAL PALM CHARTER SCHOOL , 1.00 , 06-07 ,, 120.00 , Yes ,,,,,,,,,,,,,,,,,, $-   ,,,," $4,504 ",," $11,421 "," $94,474 ",," $2,047 ",," $81,655 ",,,,,,,,,,,,,,,,,,," $340,616 "," $534,717 "," $487,840 ",,,," $5,185 "," $2,726 ",," $36,071 "," $38,376 ",,," $570,198 ",,,,,,,,,,,,,, $-   ," $40,907 "," $229,582 ",,,,,,," $270,489 ", $123 ,," $3,490 "," $52,750 ",," $8,869 ",,," $7,280 "," $5,960 ",,,,,,,,," $78,472 "," $883,678 "," $7,364 ",,
 05 , Brevard , 6511 , 056511 , EDUCATIONAL HORIZONS CHARTER , 1.00 , 06-07 ,, 70.98 , Yes ,,,,,,,,,,,,,,,,,, $-   ,,,," $2,627 ",," $6,756 "," $55,882 ",," $1,211 ",," $48,791 ",,,,,,,,,,,,,,,,,,," $203,659 "," $318,926 "," $284,503 ",,,," $3,585 "," $1,590 ",," $21,336 "," $29,915 ",,," $340,929 ",,,,,,,,,,,,,, $-   ," $23,857 "," $137,270 ",,,,,,," $161,127 ",,, $366 ,,,," $2,062 ",,,,,,,,,,,," $2,428 "," $482,481 "," $6,797 ",,
 05 , Brevard , 6512 , 056512 , EINSTEIN MONTESSORI , 1.00 , 06-07 ,, 107.00 , Yes ,,," $98,651 ",,,,,,,,,,,,,,," $98,651 ",,,,,,,,,," $18,134 "," $76,545 ",,,,,,,,,,,,,,,,,,," $438,428 "," $533,107 ",,,,,,,,,,,, $-   ," $763,162 ",,,,,,,,,,,,, $-   ,,,," $324,734 ",,,,," $324,734 ",,,,," $10,355 ",," $49,046 ",,,,,,,,,,,," $59,401 "," $1,015,893 "," $9,494 ",,
 05 , Brevard , 6515 , 056515 , RIVER'S EDGE CHARTER ACADEMY , 4.00 , 06-07 ,, 335.53 , Yes ,,,," $228,470 ",,," $140,671 ",,,,,,,,,,," $369,141 ",," $64,489 ",," $12,473 ",," $31,935 "," $264,158 ",," $5,724 "," $14,840 "," $238,983 ",,,,,,,,,,,,,,,,,,," $986,594 "," $1,619,196 "," $1,350,921 ",,,," $14,358 "," $7,549 ",," $100,859 "," $160,992 "," $16,900 ",," $1,651,579 ",,,,,,,,,,,,,, $-   ," $113,280 "," $664,985 ",,,,,,," $778,265 ",,,,," $49,125 "," $17,328 ",,,," $69,092 ",,,,,,,," $64,544 "," $135,545 "," $2,902,147 "," $8,649 ",,
 05 , Brevard , 6516 , 056516 , OAKWOOD ACADEMY , 1.00 , 06-07 ,, 44.00 , Yes ,,,,,,,," $108,544 ",,,,,,,,,," $108,544 ",,,," $1,596 ",," $4,188 "," $34,641 ",, $751 ,," $31,054 ",,,,,,,,,,,,,,,,,,," $125,115 "," $197,345 "," $172,825 ",,,," $1,837 ", $966 ,," $13,226 "," $20,592 ",,," $209,446 ",,,,,,,,,,,,,, $-   ," $14,492 "," $84,331 ",,,,,,," $98,823 "," $1,512 ",," $2,563 ",,," $3,553 "," $2,226 ",,,,,,,,,,,," $9,854 "," $414,566 "," $9,422 ",,
 05 , Brevard , 6519 , 056519 , PALM BAY COMMUNITY CHARTER-PAT , 1.00 , 06-07 ,, 751.76 , Yes ,,,,,,,," $25,000 ",,,,,,,,,," $25,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $2,618,075 "," $2,618,075 ",,,,,,,,,,,, $-   ," $4,557,227 ",,,,," $101,756 ",,,,,,,," $101,756 ",,,," $1,939,152 ",,,,," $1,939,152 ",,,,," $156,717 "," $221,734 ",,,,,,,,,,,,," $378,451 "," $5,062,434 "," $6,734 ",,
 06 , Broward , 5021 , 065021 , SOMERSET NEIGHBORHOOD SCHOOL , 1.00 , 06-07 ,, -   , Yes ,,,,,,,,,,,,,,,,,, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $-   ,,,,,,,,,,,, $-   ,,,,,,,,,,,,,, $-   ,,,,,,,,, $-   ,,,,,,,,,,,,,,,,,,, $-   , $-   ,,,
 06 , Broward , 5031 , 065031 , The CHARTER SCHOOL OF EXCELLENCE , 1.00 , 06-07 ,, 311.98 , Yes ,,,,,,,,,,,,,,,,,, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $960,543 "," $960,543 ",,,,,,,,,,,, $-   ," $1,840,511 ",,,,,,," $270,947 ",,,,,," $270,947 ",,,," $879,968 ",,,,," $879,968 "," $48,604 ",," $2,242 ",,,,,,,,,,,,,," $17,933 ",," $68,779 "," $2,180,237 "," $6,988 ",,
 06 , Broward , 5041 , 065041 , CENTRAL CHARTER SCHOOL , 1.00 , 06-07 ,, 543.34 , Yes ,,,," $497,423 ",,,,,,,,,,,,,," $497,423 ",,,,,,,,,,," $237,220 ",,,,,,,,,,,,,,,,,,," $1,638,776 "," $1,875,996 ",,,,,,,,,,,, $-   ," $3,140,083 ",,,,,,,,,,,,, $-   ,,,," $1,501,307 ",,,,," $1,501,307 ",,," $159,923 ",,,,,,,,,,,,,,,," $159,923 "," $4,034,649 "," $7,426 ",,
 71 , Broward , 0351 , 710351 , City of PEMBROKE PINES/FSUS CHARTER EL , 1.00 , 06-07 ,, 606.50 , Yes ,,," $67,864 ",,," $48,420 ",,,,,,,,,,,," $116,284 ",,,," $23,925 ",," $54,754 "," $482,773 ",,," $12,820 "," $413,043 ",,,,,,,,,," $4,244 ",,," $60,525 ",,,,,," $1,745,370 "," $2,797,454 "," $3,344,328 ",,,,,,,,,,," $3,344,328 ",,,,,,,,,,,,,, $-   ,,," $1,598,958 ",,,," $325,625 ",," $1,924,583 ",," $79,960 ",," $47,412 "," $191,241 ",,,,,," $105,032 ",,,,,,,," $423,645 "," $5,261,966 "," $8,676 ",,
 06 , Broward , 5051 , 065051 , CITY OF PEMBROKE PINES CHARTER , 1.00 , 06-07 ,," 1,798.50 ", Yes ,,," $9,317 ",,," $183,902 ",,,,,,,,,,,," $193,219 "," $180,000 "," $173,960 ",," $68,746 ",," $164,340 "," $1,285,948 ",,,," $1,336,284 ",,,,,,,,,," $12,782 ",,,,,,,,," $4,418,275 "," $7,640,335 "," $7,347,116 ",,,,," $45,037 "," $5,464 "," $410,796 "," $294,010 ",,," $8,102,423 ",,,,,,,,,,,,,, $-   ," $169,736 "," $3,684,148 ",,,,," $489,071 ",," $4,342,955 ",," $234,629 "," $87,021 "," $95,961 "," $541,215 ",,,,,," $363,190 ",,,," $22,378 ",,,," $1,344,394 "," $13,520,903 "," $7,518 ",,
 06 , Broward , 5071 , 065071 , SMART SCHOOL CHARTER MIDDLE , 2.00 , 06-07 ,, 284.07 , Yes ,,,,,,,," $269,150 ",,,,,,,,,," $269,150 ",,,,,,,,,,," $218,865 ",,,,,,,,,,,,,,,,,,," $956,024 "," $1,174,889 ",,,,,,,,,,,, $-   ," $1,831,851 ",,,,," $76,207 "," $87,490 ",,,,,,," $163,697 ",,,," $875,827 ",,,,," $875,827 ",,,,,,,,,,,,,,,,,,, $-   ," $2,483,563 "," $8,743 ",,
 06 , Broward , 5081 , 065081 , CITY/PEMBROKE PINES CHARTER MS , 2.00 , 06-07 ,," 1,197.00 ", Yes ,,," $8,227 ",,," $94,276 ",,,,,,,,,,,," $102,503 "," $119,950 "," $241,532 ",," $44,351 ",," $108,602 "," $824,541 ",,,," $959,499 ",,,,,,,,,," $8,446 ",,,,,,,,," $2,848,016 "," $5,154,937 "," $4,729,491 ",,,,," $29,763 "," $13,184 "," $271,470 "," $178,907 ",,," $5,222,815 ",,,,,,,,,,,,,, $-   ," $109,505 "," $2,374,799 ",,,,," $315,523 ",," $2,799,827 ",," $168,342 "," $23,598 "," $131,209 ",,,,,,," $293,478 ",,,,,,,," $616,627 "," $8,673,894 "," $7,246 ",,
 06 , Broward , 5091 , 065091 , CITY OF CORAL SPRINGS CHARTER , 3.00 , 06-07 ,," 1,604.57 ", Yes ,,,,,,,,,,,,,,,,,, $-   ,,,,,,,,,,," $1,415,620 ",,,,,,,,,,,,,,,,,,," $5,300,061 "," $6,715,681 ",,,,,,,,,,,, $-   ," $10,155,522 ",,,,,,,,,,,,, $-   ,,,," $4,855,461 ",,,,," $4,855,461 "," $225,928 ",,,,,,,,,,,,,,,,,," $225,928 "," $11,797,070 "," $7,352 ",,
 06 , Broward , 5121 , 065121 , CITY/PEMBROKE PINES CHARTER HS , 3.00 , 06-07 ,," 1,695.22 ", Yes ,,," $12,261 ",,," $110,147 ",,,,,,,,,,,," $122,408 "," $159,929 "," $402,793 ",," $69,116 ",," $154,772 "," $1,363,545 ",,,," $1,694,393 ",,," $156,900 ",,,,,,," $12,037 ",,,,,,,,," $4,386,652 "," $8,400,137 "," $7,399,052 ",,,,," $42,415 "," $50,018 "," $386,873 "," $166,074 ",,," $8,044,432 ",,,,,,,,,,,,,, $-   ," $170,650 "," $3,657,780 ",,,,," $491,704 ",," $4,320,134 ",," $79,960 "," $60,086 "," $1,272,836 ",,,,,," $6,248 "," $537,787 ",,,,,,,," $1,956,917 "," $14,799,596 "," $8,730 ",,
 06 , Broward , 5131 , 065131 , CHARTER SCHOOL INSTIT TRAINING , 1.00 , 06-07 ,, 54.02 , Yes ,,,,,,,,,,,,,,,,,, $-   ,,,,,,,,,,," $50,166 ",,,,,,,,,,,,,,,,,,," $196,320 "," $246,486 ",,,,,,,,,,,, $-   ," $376,172 ",,,,,,,,,,,,, $-   ,,,," $179,852 ",,,,," $179,852 "," $1,045,221 ",,,,,,,,,,,,,,,,,," $1,045,221 "," $1,471,559 "," $27,241 ",,
 06 , Broward , 5141 , 065141 , SOMERSET ACADEMY , 1.00 , 06-07 ,, 970.42 , Yes ,,,,,,,,,,,,,,,,,, $-   ,,,,,,,,,,," $661,787 ",,,,,,,,,,,,,,,,,,," $3,111,226 "," $3,773,013 ",,,,,,,,,,,, $-   ," $5,961,464 ",,,,,,,,,,,,, $-   ,,,," $2,850,238 ",,,,," $2,850,238 ",,," $40,360 ",,,,,,,,,,,,,," $429,531 ",," $469,891 "," $7,093,142 "," $7,309 ",,
 06 , Broward , 5151 , 065151 , SOMERSET ACADEMY MIDDLE SCHOOL , 2.00 , 06-07 ,, 656.16 , Yes ,,,,,,,,,,,,,,,,,, $-   ,,,,,,,,,,," $499,693 ",,,,,,,,,,,,,,,,,,," $2,028,049 "," $2,527,742 ",,,,,,,,,,,, $-   ," $3,885,973 ",,,,,,,,,,,,, $-   ,,,," $1,857,924 ",,,,," $1,857,924 ",,,,,,," $115,086 ",,,,,,,,,,,," $115,086 "," $4,500,752 "," $6,859 ",,
