,Sheet Comment:,DGET tests,,,database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,Space matching Empty Cell,,c,,Empty String with Formula,,Index,Value,,Index,Value,,Index,Value,,Index,Value,,Index,Value,,Index,Value,,Index,Value,,,,,,,,,,,,,,,,,,,,,,,,
,c,c,Empty Cell matching Empty Cell via Formula,,d, ,Space,,c,,,b,,,h,,,b,=,,h,=,,i,,,i,=,,,,,,,,,,,,,,,,,,,,,,,,
,d,d,Space matching Space,,e, ,Space with Formula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d,d,Empty Cell matching Space,,f,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,e,e,Space matching Space via Formula,,g,#NUM!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,e,e,Empty Cell matching Space via Formula,,h,abc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,f,f,#VALUE! matching #VALUE!,,i,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,f,f,Empty Cell matching #VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,g,g,#NUM! matching #NUM!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE! matching #NUM!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,g,g,Empty Cell matching #NUM!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corner cases matching via formula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c,c,Empty String matching Empty String via Formula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,Empty String matching Empty Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h,h,Empty String matching Filled Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b,b,Equality Sign matching Empty Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,Equality Sign matching Filled Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,Empty String matching 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,Equality Sign matching 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corner cases empty filter columns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a,a,"Header: empty cell, Value: empty cell",,,One,Two,Three,,,One,,Three,,One,,Three,,One,,,,,One,,Three,,One,,Three,,,,,,,,,,,,,,,,,,,,,,
,a,a,"Header: empty string, Value: empty cell",,,a,c,x,,,a,,x,,a,,x,,a,,,,,a,,x,,a,,x,,,,,,,,,,,,,,,,,,,,,,
,a,a,Multiple empty trailing filter columns (more than DB width),,,b,d,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,"Header: empty cell, Value: empty string",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,"Header: empty string, Value: empty string",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numbers as condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a,a,"numeric condition, numeric value",,,One,Two,,,,One,Two,,One,Two,,One,Two,,One,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a,a,"textual condition, numeric value",,,a,1,numeric value,,,a,1,,a,1,,b,2,,b,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b,b,"numeric condition, textual value",,,b,2,textual value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b,b,"textual condition, textual value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strange types as headers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a,a,numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a,a,boolean,,,One,2,TRUE,#VALUE!,#N/A,#NUM!,#NAME?,Three,,One,2,,One,TRUE,,One,#VALUE!,,One,#N/A,,One,#NUM!,,One,#NAME?,,One,Three,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE!,,,a,b,c,d,e,f,g,h,,a,b,,a,c,,a,d,,a,e,,a,f,,a,g,,a,h,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,#NUM!,,,,,,,,,,,,One,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,#NAME?,,,,,,,,,,,,a,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a,a,textual number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,#VALUE!,#VALUE!,header not in database,,,,,,,,,,,,One,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,number with wrong value,,,One,Two,,,,,,,,a,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h,h,unused error header values,,,,a,,One,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
empty cells,,,,,,def,b,,def,b,,,,,One,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b,b,don't fail with empty cells in searched column,,,,,,,,,,,,a,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c,c,don't fail with empty cells in DB headers,,,One,,Three,,One,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,result cell is empty,,,a,b,c,,a,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , ,result cell is a space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,"result cell is =""""",,,One,Two,,,One,,One,,One,,One,,One,,One,,One,,One,,One,,One,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE! In der Zielzelle,,,a,,empty,,a,,b,,c,,d,,e,,f,,g,,h,,i,,j,,,,,,,,,,,,,,,,,,,,,,,,
,#N/A,#N/A,#N/A in der Zielzelle,,,b, ,space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#NUM!,#NUM!,#NUM! In the target cell,,,c,,"=""""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#NAME?,#NAME?,#NAME? in the target cell,,,d,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#DIV/0!,#DIV/0!,#DIV/0! In the target cell,,,e,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#REF!,#REF!,#REF! in the target cell,,,f,#NUM!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#NULL!,#NULL!,#NULL! In the target cell,,,g,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<end>,,,,,,h,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,i,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,j,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
