,,Copyright 2008 by UE Systems Inc. Patent Pending.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,45523736,101,74,35639,222663139.3,163139329.8,78569223986,0.0049,0.0036,1.7259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,98792014,391,158,93160,861992945.3,348324515,2.05379E+11,0.0087,0.0035,2.0789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,90921829,125,90,54098,275573192.2,198412698.4,1.19264E+11,0.0030,0.0022,1.3117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,16816173,17,10,5635,37477954.14,22045855.38,12422839506,0.0022,0.0013,0.7387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,48956880,271,62,30497,597442680.8,136684303.4,67233245150,0.0122,0.0028,1.3733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusettes,45597775,49,22,23708,108024691.4,48500881.83,52266313933,0.0024,0.0011,1.1462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,112556739,327,113,75633,720899470.9,249118165.8,1.66739E+11,0.0064,0.0022,1.4814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,53237789,94,85,37565,207231040.6,187389770.7,82815255732,0.0039,0.0035,1.5556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,46228847,82,45,25802,180776014.1,99206349.21,56882716049,0.0039,0.0021,1.2305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,91686343,260,108,79102,573192239.9,238095238.1,1.74387E+11,0.0063,0.0026,1.9020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,28243536,22,38,19087,48500881.83,83774250.44,42078924162,0.0017,0.0030,1.4899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,31669969,65,61,22293,143298060,134479717.8,49146825397,0.0045,0.0042,1.5518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,31860022,8,31,16620,17636684.3,68342151.68,36640211640,0.0006,0.0021,1.1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,22063695,37,9,7065,81569664.9,19841269.84,15575396825,0.0037,0.0009,0.7059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,60700139,56,28,19861,123456790.1,61728395.06,43785273369,0.0020,0.0010,0.7213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,37265625,28,72,33051,61728395.06,158730158.7,72863756614,0.0017,0.0043,1.9553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,142265432,122,64,50961,268959435.6,141093474.4,1.12348E+11,0.0019,0.0010,0.7897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,125214784,447,100,73138,985449735.4,220458553.8,1.61239E+11,0.0079,0.0018,1.2877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,30881137,119,68,31267,262345679,149911816.6,68930776014,0.0085,0.0049,2.2321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,155434075,970,224,129010,2138447972,493827160.5,2.84414E+11,0.0138,0.0032,1.8298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,70614880,110,84,52242,242504409.2,185185185.2,1.15172E+11,0.0034,0.0026,1.6310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,53340695,11,12,7088,24250440.92,26455026.46,15626102293,0.0005,0.0005,0.2929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,218811595,839,176,125864,1849647266,388007054.7,2.77478E+11,0.0085,0.0018,1.2681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,5967725,1,3,2513,2204585.538,6613756.614,5540123457,0.0004,0.0011,0.9283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,99267606,219,49,40847,482804232.8,108024691.4,90050705467,0.0049,0.0011,0.9072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,7132243,12,14,3526,26455026.46,30864197.53,7773368607,0.0037,0.0043,1.0899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennesse,93911102,270,100,61380,595238095.2,220458553.8,1.35317E+11,0.0063,0.0023,1.4409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,400582878,558,260,257552,1230158730,573192239.9,5.67795E+11,0.0031,0.0014,1.4174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,41263324,34,69,36445,74955908.29,152116402.1,80346119929,0.0018,0.0037,1.9472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,7084344,0,0,10,0,0,22045855.38,0.0000,0.0000,0.0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,73069537,197,59,42068,434303351,130070546.7,92742504409,0.0059,0.0018,1.2692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,108203155,11,20,10360,24250440.92,44091710.76,22839506173,0.0002,0.0004,0.2111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,93815804,428,140,85075,943562610.2,308641975.3,1.87555E+11,0.0101,0.0033,1.9992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,61639843,208,77,48251,458553791.9,169753086.4,1.06373E+11,0.0074,0.0028,1.7257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,45400370,84,82,45216,185185185.2,180776014.1,99682539683,0.0041,0.0040,2.1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,"65,697,000",6.90,12.69,"15,834.21",15211640.21,27976190.48,34907870370,0.0002,0.0004,0.5313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,"87,025,000",53.87,42.31,"29,708.67",118761022.9,93276014.11,65495304233,0.0014,0.0011,0.7526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,"44,365,000",770.63,59.58,"29,642.46",1698919753,131349206.3,65349338624,0.0383,0.0030,1.4730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,"12,459,000",25.66,11.20,"6,913.56",56569664.9,24691358.02,15241534392,0.0045,0.0020,1.2233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,"4,377,000",34.10,6.94,"3,444.37",75176366.84,15299823.63,7593408289,0.0172,0.0035,1.7348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,"82,578,000",140.64,95.48,"57,932.35",310052910.1,210493827.2,1.27717E+11,0.0038,0.0025,1.5466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,"36,355,000",8.05,47.88,"22,130.22",17746913.58,105555555.6,48787962963,0.0005,0.0029,1.3420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,"10,205,000",62.09,12.40,"14,315.50",136882716,27336860.67,31559744268,0.0134,0.0027,3.0926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,"70,550,000",30.07,33.98,"21,671.60",66291887.13,74911816.58,47776895944,0.0009,0.0011,0.6772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"576,169,000",184.59,147.23,"63,167.58",406944444.4,324581128.7,1.39258E+11,0.0007,0.0006,0.2417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,"620,300,000",289.94,285.50,"361,951.84",639197530.9,629409171.1,7.97954E+11,0.0010,0.0010,1.2864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,"60,020,000",414.25,90.21,"58,179.10",913249559.1,198875661.4,1.28261E+11,0.0152,0.0033,2.1370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,"35,755,000",20.70,27.94,"16,912.75",45634920.63,61596119.93,37285604056,0.0013,0.0017,1.0428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,"8,686,000",,,22.60,0,0,49823633.16,0.0000,0.0000,0.0057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,"25,357,000",43.69,33.42,"15,657.29",96318342.15,73677248.68,34517835097,0.0038,0.0029,1.3613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,"303,699,000",258.46,145.32,"159,876.52",569797178.1,320370370.4,3.52461E+11,0.0019,0.0011,1.1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,"4,905,000",1.13,6.43,"2,068.24",2491181.658,14175485.01,4559611993,0.0005,0.0029,0.9296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,"14,784,000",28.12,10.30,"5,879.87",61992945.33,22707231.04,12962676367,0.0042,0.0015,0.8768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,"4,129,000",0.03,0.68,356.23,66137.56614,1499118.166,785339506.2,0.0000,0.0004,0.1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,"2,240,000",11.92,5.35,"2,201.39",26278659.61,11794532.63,4853152557,0.0117,0.0053,2.1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,"100,219,000",40.25,58.10,"67,354.77",88734567.9,128086419.8,1.48489E+11,0.0009,0.0013,1.4816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,"138,055,000",1.95,43.00,"12,486.99",4298941.799,94797178.13,27528637566,0.0000,0.0007,0.1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,"156,936,000",688.52,262.17,"180,614.60",1517901235,577976190.5,3.9818E+11,0.0097,0.0037,2.5372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,"46,578,000",134.86,64.48,"23,761.68",297310405.6,142151675.5,52384656085,0.0064,0.0031,1.1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,"59,413,000",494.54,100.69,"46,269.44",1090255732,221979717.8,1.02005E+11,0.0184,0.0037,1.7169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,"951,100,000","5,000.00","1,750.00","432,000.00",11022927690,3858024691,9.52381E+11,0.0116,0.0041,1.0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,"31,455,000",51.97,16.96,"11,274.97",114572310.4,37389770.72,24856635802,0.0036,0.0012,0.7902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,"15,117,000",32.45,15.00,"6,357.88",71538800.71,33068783.07,14016490300,0.0047,0.0022,0.9272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,"294,040,000","1,025.12",353.76,"125,161.07",2259964727,779894179.9,2.75928E+11,0.0077,0.0027,0.9384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,"158,435,000",9.19,13.98,"11,185.03",20260141.09,30820105.82,24658355379,0.0001,0.0002,0.1556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,"59,593,000",1.98,2.72,"3,407.41",4365079.365,5996472.663,7511926808,0.0001,0.0001,0.1261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,"161,956,000",701.37,191.24,"88,556.87",1546230159,421604938.3,1.95231E+11,0.0095,0.0026,1.2055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,"398,403,000",462.14,461.79,"209,235.04",1018827160,1018055556,4.61277E+11,0.0026,0.0026,1.1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals,"8,705,657,228","20,552","8,207","4,565,330","45,309,038,801","18,092,438,272","10,064,660,714,286",0.4234,0.1868,106.2248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
