Code PITD,Libellé PITD,Code de la station  météo rattachée au PITD,Code GRD,Nombre de postes de livraison Transport/Distribution rattachés au PITD,Niveau Tarifaire Régional (NTR),Zone de sortie,Zone d'Equilibrage,Type De gaz,Statut,PiT - Code  Distributeur de rang 2 de la commune
GD0041,LUXEUIL-LES-BAINS,70473001,GDFD,1,7,NORD EST,ZONE EST,H,ALIMENTEE,INCO
GD0042,FONTAINE-LES-LUXEUIL,70473001,GDFD,1,6,NORD EST,ZONE EST,H,ALIMENTEE,INCO
GD0043,SAINT-LOUP-SUR-SEMOUSE,70473001,GDFD,1,13,NORD EST,ZONE EST,H,ALIMENTEE,INCO
GD0044,VAUVILLERS,70473001,GDFD,1,0,NORD EST,ZONE EST,H,ALIMENTEE,INCO
GD0045,CONFLANS-SUR-LANTERNE,70473001,GDFD,1,0,HAUTE SAONE,ZONE EST,H,ALIMENTEE,INCO
GD0046,ROPPENTZWILLER,68297001,GDFD,1,0,REGION OLTINGUE,ZONE EST,H,ALIMENTEE,INCO
GD0048,FONTAINE,70473001,GDFD,1,11,LANGRES,ZONE EST,H,ALIMENTEE,INCO
GD0049,GERSTHEIM,68297001,GDFD,1,3,REGION OBERGAILBACH,ZONE EST,H,ALIMENTEE,INCO
GD0050,LAUTERBOURG,68297001,GDFD,1,7,REGION OBERGAILBACH,ZONE EST,H,ALIMENTEE,INCO
GD0051,GRAY,25056001,GDFD,1,10,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0052,MORTEAU,25056001,GDFD,1,11,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0053,PONTARLIER,25056001,GDFD,1,11,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0054,MOREZ,25056001,GDFD,1,11,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0055,SAINT CLAUDE,25056001,GDFD,1,3,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0056,DOLE,21473001,GDFD,1,2,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0057,LONS-LE-SAUNIER,25056001,GDFD,3,7,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0058,SAINT-VIT,25056001,GDFD,1,8,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0060,FRANOIS,25056001,GDFD,1,6,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0062,BLETTERANS,25056001,GDFD,2,5,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0063,SAINT-AMOUR,21473001,GDFD,1,0,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0064,TAVAUX,21473001,GDFD,1,1,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0065,VILLE,68297001,GDFD,4,3,NORD EST,ZONE EST,H,ALIMENTEE,INCO
GD0066,BARTENHEIM,68297001,GDFD,1,4,REGION OLTINGUE,ZONE EST,H,ALIMENTEE,INCO
GD0067,BURNHAUPT,68297001,GDFD,4,4,LANGRES,ZONE EST,H,ALIMENTEE,INCO
GD0068,THANN,68297001,GDFD,2,4,NORD EST,ZONE EST,H,ALIMENTEE,INCO
GD0070,WITTELSHEIM,68297001,GDFD,2,3,NORD EST,ZONE EST,H,ALIMENTEE,INCO
GD0088,HAUTEVILLE-LOMPNES,69029001,GDFD,6,13,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0089,BRENOD,73329001,GDFD,3,11,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0090,SAINT-MARTIN-DU-FRENE,73329001,GDFD,1,11,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0091,IZERNORE,69029001,GDFD,1,13,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0092,OYONNAX,69029001,GDFD,1,4,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0093,MONTREVEL-EN-BRESSE,69029001,GDFD,2,1,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0094,PONT-DE-VAUX,69029001,GDFD,2,13,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0095,MANZIAT,69029001,GDFD,7,6,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0096,FEILLENS,69029001,GDFD,1,2,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0097,SERVAS,69029001,GDFD,1,5,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0098,VILLARS-LES-DOMBES,69029001,GDFD,2,7,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0099,CHALAMONT,69029001,GDFD,1,0,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0100,MIRIBEL,69029001,GDFD,2,1,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0101,LAGNIEU,69029001,GDFD,1,9,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0102,CHAZEY-SUR-AIN,69029001,GDFD,3,4,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0103,BLYES,69029001,GDFD,1,7,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0104,AUBENAS,26198001,GDFD,1,11,RHONE SUD,ZONE SUD,H,ALIMENTEE,INCO
GD0105,PRIVAS,26198001,GDFD,1,5,RHONE SUD,ZONE SUD,H,ALIMENTEE,INCO
GD0106,PIERRELATTE,26198001,GDFD,2,7,RHONE SUD,ZONE SUD,H,ALIMENTEE,INCO
GD0107,NYONS,26198001,GDFD,2,14,RHONE SUD,ZONE SUD,H,ALIMENTEE,INCO
GD0109,MONTELIMAR,26198001,GDFD,1,3,RHONE SUD,ZONE SUD,H,ALIMENTEE,INCO
GD0110,ESPELUCHE,26198001,GDFD,1,2,RHONE SUD,ZONE SUD,H,ALIMENTEE,INCO
GD0111,LE POUZIN,26198001,GDFD,1,3,RHONE SUD,ZONE SUD,H,ALIMENTEE,INCO
GD0112,VALENCE,26198001,GDFD,1,2,RHONE SUD,ZONE SUD,H,ALIMENTEE,INCO
GD0113,CREST,26198001,GDFD,1,1,RHONE SUD,ZONE SUD,H,ALIMENTEE,INCO
GD0114,ALIXAN,26198001,GDFD,3,14,RHONE SUD,ZONE SUD,H,ALIMENTEE,INCO
GD0115,TOURNON-SUR-RHONE,26198001,GDFD,10,4,RHONE NORD,ZONE SUD,H,ALIMENTEE,INCO
GD0116,ROMANS-SUR-ISERE,26198001,GDFD,2,1,RHONE NORD,ZONE SUD,H,ALIMENTEE,INCO
GD0117,ANNONAY,69029001,GDFD,1,9,RHONE NORD,ZONE SUD,H,ALIMENTEE,INCO
GD0118,SAINT-VALLIER,26198001,GDFD,11,4,RHONE NORD,ZONE SUD,H,ALIMENTEE,INCO
GD0119,SAINT-UZE,26198001,GDFD,3,3,RHONE NORD,ZONE SUD,H,ALIMENTEE,INCO
GD0120,LA MOTTE-DE-GALAURE,26198001,GDFD,2,2,RHONE NORD,ZONE SUD,H,ALIMENTEE,INCO
GD0121,ANDANCE,69029001,GDFD,1,7,RHONE NORD,ZONE SUD,H,ALIMENTEE,INCO
GD0122,ANDANCETTE,26198001,GDFD,1,9,RHONE NORD,ZONE SUD,H,ALIMENTEE,INCO
GD0123,SAINT-RAMBERT-D'ALBON,26198001,GDFD,2,5,RHONE NORD,ZONE SUD,H,ALIMENTEE,INCO
GD0124,ALBON,26198001,GDFD,1,4,RHONE NORD,ZONE SUD,H,ALIMENTEE,INCO
GD0125,BOEN,42005001,GDFD,2,2,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0127,FEURS,42005001,GDFD,1,9,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0128,MONTBRISON,42005001,GDFD,5,6,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0129,SAINT-ETIENNE,42005001,GDFD,3,1,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0130,AUREC-SUR-LOIRE,42005001,GDFD,2,11,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0131,SAINT-JUST-MALMONT,42005001,GDFD,20,3,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0132,CHAZELLES-SUR-LYON,42005001,GDFD,1,10,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0133,MONTROND-LES-BAINS,42005001,GDFD,1,11,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0134,SAINT-JEAN-SAINT-MAURICE-SUR-LOIRE,42005001,GDFD,3,5,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0135,ROANNE,42005001,GDFD,1,2,CHAROLAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0136,LYON,69029001,GDFD,1,1,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0137,HEYRIEUX,69029001,GDFD,10,3,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0138,SAINT-BONNET-DE-MURE,69029001,GDFD,63,1,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0139,COLOMBIER-SAUGNIEU,69029001,GDFD,1,3,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0140,CHARVIEU-CHAVAGNEUX,69029001,GDFD,4,6,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0141,PUSIGNAN,69029001,GDFD,1,2,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0142,VILLETTE-D'ANTHON,69029001,GDFD,1,0,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0143,TRAMOYES,69029001,GDFD,1,0,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0144,SAINT-ANDRE-DE-CORCY,69029001,GDFD,1,4,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0145,AMPUIS,69029001,GDFD,1,1,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0146,CONDRIEU,69029001,GDFD,1,15,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0147,CRUAS,26198001,GDFD,1,9,RHONE SUD,ZONE SUD,H,ALIMENTEE,INCO
GD0148,VILLIEU-LOYES-MOLLON,69029001,GDFD,1,3,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0149,MURS-ET-GELIGNIEUX,69029001,GDFD,1,10,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0150,BREGNIER-CORDON,38384001,GDFD,1,9,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0151,BELLEY,69029001,GDFD,1,17,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0152,LEYMENT,69029001,GDFD,2,6,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0153,AMBERIEU-EN-BUGEY,69029001,GDFD,1,8,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0155,BEAUJEU,42005001,GDFD,1,0,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0156,TARARE,42005001,GDFD,1,4,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0157,CHATILLON-SUR-CHALARONNE,69029001,GDFD,2,3,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0158,ROMANS,69029001,GDFD,2,2,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0159,VIENNE,69029001,GDFD,2,1,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0160,ROUSSILLON,69029001,GDFD,1,1,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0161,BOURG-EN-BRESSE,69029001,GDFD,4,1,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0162,JONAGE,69029001,GDFD,3,2,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0164,BOURG-ARGENTAL,42005001,GDFD,1,19,RHONE NORD,ZONE SUD,H,ALIMENTEE,INCO
GD0165,SERPAIZE,69029001,GDFD,1,0,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0166,BELMONT-DE-LA-LOIRE,42005001,GDFD,1,0,CHAROLAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0167,SAINT-GEORGES-D'ESPERANCHE,69029001,GDFD,1,0,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0168,PONT-SUR-YONNE,89346001,GDFD,1,2,SUD PARIS,ZONE NORD,H,ALIMENTEE,INCO
GD0169,SAINT-VALERIEN,89346001,GDFD,1,9,SUD PARIS,ZONE NORD,H,ALIMENTEE,INCO
GD0170,SENS,89346001,GDFD,3,3,SUD PARIS,ZONE NORD,H,ALIMENTEE,INCO
GD0171,JOIGNY,89346001,GDFD,2,5,SUD PARIS,ZONE NORD,H,ALIMENTEE,INCO
GD0172,BONNARD,89346001,GDFD,5,6,SUD PARIS,ZONE NORD,H,ALIMENTEE,INCO
GD0173,BRIENON-SUR-ARMANCON,89346001,GDFD,1,10,SUD PARIS,ZONE NORD,H,ALIMENTEE,INCO
GD0174,BEAUNE,21473001,GDFD,1,5,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0175,SAINT-FLORENTIN,89346001,GDFD,1,11,SUD PARIS,ZONE NORD,H,ALIMENTEE,INCO
GD0176,TONNERRE,89346001,GDFD,2,17,SUD PARIS,ZONE NORD,H,ALIMENTEE,INCO
GD0177,CHATILLON-SUR-SEINE,21473001,GDFD,1,3,LANGRES,ZONE EST,H,ALIMENTEE,INCO
GD0178,AUXERRE,89346001,GDFD,1,6,SUD PARIS,ZONE NORD,H,ALIMENTEE,INCO
GD0179,VENAREY-LES-LAUMES,21473001,GDFD,2,5,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0180,MONTBARD,21473001,GDFD,8,7,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0181,IRANCY,89346001,GDFD,1,11,SUD PARIS,ZONE NORD,H,ALIMENTEE,INCO
GD0182,CRAVANT,89346001,GDFD,1,12,SUD PARIS,ZONE NORD,H,ALIMENTEE,INCO
GD0183,VERMENTON,89346001,GDFD,1,13,SUD PARIS,ZONE NORD,H,ALIMENTEE,INCO
GD0184,MAILLY-LE-CHATEAU,89346001,GDFD,1,14,SUD PARIS,ZONE NORD,H,ALIMENTEE,INCO
GD0185,CRAIN,89346001,GDFD,2,16,SUD PARIS,ZONE NORD,H,ALIMENTEE,INCO
GD0186,JOUX-LA-VILLE,89346001,GDFD,1,16,SUD PARIS,ZONE NORD,H,ALIMENTEE,INCO
GD0187,AVALLON,89346001,GDFD,2,17,SUD PARIS,ZONE NORD,H,ALIMENTEE,INCO
GD0188,CLAMECY,89346001,GDFD,1,17,SUD PARIS,ZONE NORD,H,ALIMENTEE,INCO
GD0189,COSNE-COURS-SUR-LOIRE,89346001,GDFD,1,18,AUVERGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0190,DONZY,89346001,GDFD,1,17,AUVERGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0191,POUILLY-SUR-LOIRE,89346001,GDFD,1,15,AUVERGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0192,LA CHARITE-SUR-LOIRE,89346001,GDFD,1,11,AUVERGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0193,SEMUR-EN-AUXOIS,21473001,GDFD,1,8,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0194,GENLIS,21473001,GDFD,1,1,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0195,IS-SUR-TILLE,21473001,GDFD,1,10,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0196,AUXONNE,21473001,GDFD,6,3,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0197,DIJON,21473001,GDFD,1,1,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0198,VERDUN-SUR-LE-DOUBS,21473001,GDFD,3,0,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0199,PALLEAU,21473001,GDFD,10,2,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0200,SEURRE,21473001,GDFD,1,3,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0201,CHALON-SUR-SAONE,21473001,GDFD,1,1,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0202,TOULON-SUR-ARROUX,21473001,GDFD,1,0,CHAROLAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0203,LOUHANS,21473001,GDFD,12,0,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0204,SAVIGNY-SUR-SEILLE,21473001,GDFD,2,3,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0205,LOISY,21473001,GDFD,4,9,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0206,TOURNUS,21473001,GDFD,1,13,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0207,SAINT-MAURICE-AUX-RICHES-HOMMES,89346001,GDFD,1,10,SEINE OUEST,ZONE NORD,H,ALIMENTEE,INCO
GD0208,MIREBEAU-SUR-BEZE,21473001,GDFD,1,9,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0209,CLUNY,21473001,GDFD,1,13,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0210,MACON,69029001,GDFD,1,3,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0211,GERGY,21473001,GDFD,1,0,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0212,NEVERS,89346001,GDFD,7,2,AUVERGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0213,SAINT-PIERRE-LE-MOUTIER,89346001,GDFD,2,0,AUVERGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0214,DECIZE,89346001,GDFD,5,3,AUVERGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0215,DORNES,89346001,GDFD,2,2,AUVERGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0216,CERCY-LA-TOUR,89346001,GDFD,1,17,AUVERGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0217,BOURBON-LANCY,89346001,GDFD,1,4,AUVERGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0218,LE CREUSOT,21473001,GDFD,1,1,CHAROLAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0219,AUTUN,21473001,GDFD,1,3,CHAROLAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0220,EPINAC,21473001,GDFD,8,2,CHAROLAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0221,GUEUGNON,21473001,GDFD,1,1,CHAROLAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0222,CHAROLLES,21473001,GDFD,1,9,CHAROLAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0223,PARAY-LE-MONIAL,21473001,GDFD,1,3,CHAROLAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0224,DIGOIN,21473001,GDFD,1,2,CHAROLAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0225,MARCIGNY,21473001,GDFD,2,6,CHAROLAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0226,CHAUFFAILLES,21473001,GDFD,1,0,CHAROLAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0227,AZE,21473001,GDFD,1,8,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0228,SAINT-FIRMIN,21473001,GDFD,2,1,CHAROLAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0229,SOIRANS,21473001,GDFD,1,1,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0230,SELONGEY,21473001,GDFD,1,0,LANGRES,ZONE EST,H,ALIMENTEE,INCO
GD0231,MONTPONT-EN-BRESSE,21473001,GDFD,1,0,LYONNAIS,ZONE SUD,H,ALIMENTEE,INCO
GD0232,SAINT-LOUP-DE-LA-SALLE,21473001,GDFD,1,3,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0310,GIVET,51183001,GDFD,1,9,ARDENNES,ZONE NORD,H,ALIMENTEE,INCO
GD0311,VIREUX-MOLHAIN,51183001,GDFD,1,8,ARDENNES,ZONE NORD,H,ALIMENTEE,INCO
GD0312,FUMAY,51183001,GDFD,4,3,ARDENNES,ZONE NORD,H,ALIMENTEE,INCO
GD0313,SAINT-DIZIER,57039001,GDFD,1,1,NORD EST,ZONE EST,H,ALIMENTEE,INCO
GD0314,LES HAUTES-RIVIERES,51183001,GDFD,1,6,ARDENNES,ZONE NORD,H,ALIMENTEE,INCO
GD0315,THILAY,51183001,GDFD,2,4,ARDENNES,ZONE NORD,H,ALIMENTEE,INCO
GD0316,MONTHERME,51183001,GDFD,1,3,ARDENNES,ZONE NORD,H,ALIMENTEE,INCO
GD0317,CHARLEVILLE-MEZIERES,51183001,GDFD,4,1,ARDENNES,ZONE NORD,H,ALIMENTEE,INCO
GD0318,SIGNY-LE-PETIT,51183001,GDFD,1,5,ARDENNES,ZONE NORD,H,ALIMENTEE,INCO
GD0319,SIGNY-L'ABBAYE,51183001,GDFD,1,0,ARDENNES,ZONE NORD,H,ALIMENTEE,INCO
GD0320,VOUZIERS,51183001,GDFD,1,10,ARDENNES,ZONE NORD,H,ALIMENTEE,INCO
GD0321,CARIGNAN,51183001,GDFD,11,2,ARDENNES,ZONE NORD,H,ALIMENTEE,INCO
GD0322,VERDUN,57039001,GDFD,1,1,LORRAINE,ZONE EST,H,ALIMENTEE,INCO
GD0323,SAINT-MIHIEL,57039001,GDFD,5,5,LORRAINE,ZONE EST,H,ALIMENTEE,INCO
GD0324,LES SOUHESMES-RAMPONT,57039001,GDFD,1,4,LORRAINE,ZONE EST,H,ALIMENTEE,INCO
GD0325,CLERMONT-EN-ARGONNE,51183001,GDFD,2,11,LORRAINE,ZONE EST,H,ALIMENTEE,INCO
GD0326,SAINTE-MENEHOULD,51183001,GDFD,3,13,LORRAINE,ZONE EST,H,ALIMENTEE,INCO
GD0327,SAINT-GERMAINMONT,51183001,GDFD,2,1,ARDENNES,ZONE NORD,H,ALIMENTEE,INCO
