GEMNR,GEMNAME,WBGES,ABGST,PRABG,UNGST,PRUNG,GST,PRG,P1,PRP1,P2,PRP2,P3,PRP3,P4,PRP4,P5,PRP5,P6,PRP6,P7,PRP7,P8,PRP8,ZEITE,ZEITL
40401,Altheim,3875,1817,46.89,110,6.05,1707,93.95,1271,74.46,84,4.92,352,20.62,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40402,Aspach,1888,856,45.34,81,9.46,775,90.54,556,71.74,76,9.81,143,18.45,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40403,Auerbach,406,199,49.01,17,8.54,182,91.46,129,70.88,20,10.99,33,18.13,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40404,Braunau am Inn,12267,5396,43.99,341,6.32,5055,93.68,3735,73.89,234,4.63,1086,21.48,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40405,Burgkirchen,2038,917,45,74,8.07,843,91.93,647,76.75,52,6.17,144,17.08,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40406,Eggelsberg,1704,724,42.49,42,5.8,682,94.2,512,75.07,51,7.48,119,17.45,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40407,Feldkirchen bei Mattighofen,1504,638,42.42,24,3.76,614,96.24,444,72.31,43,7,127,20.68,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40408,Franking,697,321,46.05,24,7.48,297,92.52,212,71.38,25,8.42,60,20.2,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40409,Geretsberg,832,384,46.15,25,6.51,359,93.49,256,71.31,24,6.69,79,22.01,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40410,Gilgenberg am Weilhart,993,422,42.5,25,5.92,397,94.08,295,74.31,25,6.3,77,19.4,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40411,Haigermoos,493,265,53.75,16,6.04,249,93.96,205,82.33,9,3.61,35,14.06,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40412,Handenberg,1042,459,44.05,27,5.88,432,94.12,305,70.6,45,10.42,82,18.98,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40413,Helpfau-Uttendorf,2388,1039,43.51,72,6.93,967,93.07,689,71.25,78,8.07,200,20.68,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40414,Hochburg-Ach,2284,978,42.82,58,5.93,920,94.07,720,78.26,72,7.83,128,13.91,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40415,Höhnhart,1119,469,41.91,23,4.9,446,95.1,319,71.52,36,8.07,91,20.4,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40416,Jeging,493,274,55.58,21,7.66,253,92.34,168,66.4,31,12.25,54,21.34,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40417,Kirchberg bei Mattighofen,887,341,38.44,20,5.87,321,94.13,233,72.59,21,6.54,67,20.87,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40418,Lengau,3450,1667,48.32,96,5.76,1571,94.24,1232,78.42,86,5.47,253,16.1,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40419,Lochen,1972,990,50.2,67,6.77,923,93.23,685,74.21,71,7.69,167,18.09,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40420,Maria Schmolln,1113,534,47.98,51,9.55,483,90.45,376,77.85,38,7.87,69,14.29,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40421,Mattighofen,3696,1719,46.51,115,6.69,1604,93.31,1180,73.57,95,5.92,329,20.51,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40422,Mauerkirchen,1647,726,44.08,44,6.06,682,93.94,463,67.89,37,5.43,182,26.69,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40423,Mining,940,463,49.26,45,9.72,418,90.28,321,76.79,22,5.26,75,17.94,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40424,Moosbach,745,365,48.99,26,7.12,339,92.88,226,66.67,13,3.83,100,29.5,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40425,Moosdorf,1206,519,43.03,29,5.59,490,94.41,391,79.8,29,5.92,70,14.29,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40426,Munderfing,2096,1193,56.92,76,6.37,1117,93.63,897,80.3,70,6.27,150,13.43,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40427,Neukirchen an der Enknach,1691,733,43.35,57,7.78,676,92.22,492,72.78,51,7.54,133,19.67,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40428,Ostermiething,2357,917,38.91,63,6.87,854,93.13,659,77.17,47,5.5,148,17.33,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40429,Palting,738,342,46.34,22,6.43,320,93.57,232,72.5,29,9.06,59,18.44,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40430,Perwang am Grabensee,635,316,49.76,28,8.86,288,91.14,236,81.94,14,4.86,38,13.19,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40431,Pfaffstätt,748,351,46.93,48,13.68,303,86.32,222,73.27,21,6.93,60,19.8,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40432,Pischelsdorf am Engelbach,1265,572,45.22,45,7.87,527,92.13,372,70.59,49,9.3,106,20.11,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40433,Polling im Innkreis,749,382,51,38,9.95,344,90.05,237,68.9,21,6.1,86,25,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40434,Roßbach,782,395,50.51,26,6.58,369,93.42,292,79.13,20,5.42,57,15.45,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40435,St.Georgen am Fillmannsbach,322,174,54.04,17,9.77,157,90.23,83,52.87,5,3.18,69,43.95,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40436,St.Johann am Walde,1684,805,47.8,40,4.97,765,95.03,654,85.49,26,3.4,85,11.11,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40437,St.Pantaleon,2352,1189,50.55,74,6.22,1115,93.78,839,75.25,75,6.73,201,18.03,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40438,St.Peter am Hart,1869,895,47.89,60,6.7,835,93.3,602,72.1,55,6.59,178,21.32,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40439,St.Radegund,463,242,52.27,23,9.5,219,90.5,185,84.47,14,6.39,20,9.13,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40440,St.Veit im Innkreis,329,200,60.79,25,12.5,175,87.5,124,70.86,13,7.43,38,21.71,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40441,Schalchen,2832,1396,49.29,105,7.52,1291,92.48,989,76.61,56,4.34,246,19.05,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40442,Schwand im Innkreis,693,337,48.63,24,7.12,313,92.88,222,70.93,36,11.5,55,17.57,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40443,Tarsdorf,1584,634,40.03,35,5.52,599,94.48,450,75.13,54,9.02,95,15.86,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40444,Treubach,593,306,51.6,36,11.76,270,88.24,198,73.33,23,8.52,49,18.15,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40445,Überackern,443,200,45.15,8,4,192,96,141,73.44,9,4.69,42,21.88,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40446,Weng im Innkreis,1115,549,49.24,46,8.38,503,91.62,360,71.57,33,6.56,110,21.87,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40499,Wahlkarten Braunau am Inn,0,2309,0,109,4.72,2200,95.28,1739,79.05,128,5.82,333,15.14,0,0,0,0,0,0,0,0,0,0,4/30/10,4/30/10
40500,Eferding,25167,14778,58.72,1103,7.46,13675,92.54,10726,78.44,762,5.57,2187,15.99,0,0,0,0,0,0,0,0,0,0,4/25/10,4/30/10
40501,Alkoven,4321,2449,56.68,191,7.8,2258,92.2,1829,81,111,4.92,318,14.08,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40502,Aschach an der Donau,1666,944,56.66,44,4.66,900,95.34,674,74.89,40,4.44,186,20.67,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40503,Eferding,2808,1429,50.89,125,8.75,1304,91.25,1034,79.29,69,5.29,201,15.41,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40504,Fraham,1734,973,56.11,74,7.61,899,92.39,708,78.75,34,3.78,157,17.46,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40505,Haibach ob der Donau,1077,546,50.7,40,7.33,506,92.67,442,87.35,15,2.96,49,9.68,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40506,Hartkirchen,3399,1870,55.02,138,7.38,1732,92.62,1326,76.56,100,5.77,306,17.67,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40507,Hinzenbach,1542,864,56.03,72,8.33,792,91.67,640,80.81,40,5.05,112,14.14,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40508,Prambachkirchen,2255,1246,55.25,101,8.11,1145,91.89,885,77.29,84,7.34,176,15.37,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40509,Pupping,1610,917,56.96,58,6.32,859,93.68,626,72.88,67,7.8,166,19.32,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40510,St.Marienkirchen an d. Polsenz,1828,1040,56.89,93,8.94,947,91.06,735,77.61,69,7.29,143,15.1,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40511,Scharten,1651,979,59.3,52,5.31,927,94.69,695,74.97,46,4.96,186,20.06,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40512,Stroheim,1276,634,49.69,68,10.73,566,89.27,433,76.5,44,7.77,89,15.72,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40599,Wahlkarten Eferding,0,887,0,47,5.3,840,94.7,699,83.21,43,5.12,98,11.67,0,0,0,0,0,0,0,0,0,0,4/30/10,4/30/10
40600,Freistadt,52231,32391,62.01,2595,8.01,29796,91.99,24501,82.23,1904,6.39,3391,11.38,0,0,0,0,0,0,0,0,0,0,4/25/10,4/30/10
40601,Freistadt,5880,3377,57.43,216,6.4,3161,93.6,2585,81.78,156,4.94,420,13.29,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40602,Grünbach,1479,790,53.41,52,6.58,738,93.42,555,75.2,59,7.99,124,16.8,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40603,Gutau,2201,1202,54.61,95,7.9,1107,92.1,919,83.02,51,4.61,137,12.38,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40604,Hagenberg im Mühlkreis,2137,1242,58.12,77,6.2,1165,93.8,968,83.09,57,4.89,140,12.02,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40605,Hirschbach im Mühlkreis,924,584,63.2,46,7.88,538,92.12,465,86.43,30,5.58,43,7.99,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40606,Kaltenberg,505,331,65.54,59,17.82,272,82.18,214,78.68,29,10.66,29,10.66,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40607,Kefermarkt,1706,1011,59.26,61,6.03,950,93.97,807,84.95,38,4,105,11.05,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40608,Königswiesen,2536,1399,55.17,120,8.58,1279,91.42,1026,80.22,107,8.37,146,11.42,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40609,Lasberg,2273,1316,57.9,114,8.66,1202,91.34,948,78.87,100,8.32,154,12.81,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40610,Leopoldschlag,841,519,61.71,53,10.21,466,89.79,385,82.62,29,6.22,52,11.16,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40611,Liebenau,1445,908,62.84,118,13,790,87,633,80.13,52,6.58,105,13.29,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40612,Neumarkt im Mühlkreis,2513,1520,60.49,106,6.97,1414,93.03,1164,82.32,102,7.21,148,10.47,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40613,Pierbach,809,431,53.28,30,6.96,401,93.04,322,80.3,31,7.73,48,11.97,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40614,Pregarten,3999,2293,57.34,215,9.38,2078,90.62,1749,84.17,104,5,225,10.83,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40615,Rainbach im Mühlkreis,2310,1272,55.06,104,8.18,1168,91.82,975,83.48,99,8.48,94,8.05,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40616,Sandl,1171,707,60.38,60,8.49,647,91.51,525,81.14,63,9.74,59,9.12,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40617,St.Leonhard bei Freistadt,1186,708,59.7,43,6.07,665,93.93,539,81.05,49,7.37,77,11.58,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40618,St.Oswald bei Freistadt,2162,1230,56.89,72,5.85,1158,94.15,947,81.78,96,8.29,115,9.93,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40619,Schönau im Mühlkreis,1523,844,55.42,64,7.58,780,92.42,630,80.77,54,6.92,96,12.31,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40620,Tragwein,2451,1553,63.36,133,8.56,1420,91.44,1206,84.93,92,6.48,122,8.59,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40621,Unterweißenbach,1915,1033,53.94,106,10.26,927,89.74,746,80.47,68,7.34,113,12.19,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40622,Unterweitersdorf,1551,1018,65.64,80,7.86,938,92.14,795,84.75,49,5.22,94,10.02,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40623,Waldburg,1074,624,58.1,45,7.21,579,92.79,463,79.97,51,8.81,65,11.23,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40624,Wartberg ob der Aist,3285,1990,60.58,137,6.88,1853,93.12,1516,81.81,88,4.75,249,13.44,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40625,Weitersfelden,864,543,62.85,69,12.71,474,87.29,399,84.18,40,8.44,35,7.38,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40626,Windhaag bei Freistadt,1292,778,60.22,100,12.85,678,87.15,548,80.83,45,6.64,85,12.54,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40627,Bad Zell,2199,1323,60.16,117,8.84,1206,91.16,976,80.93,72,5.97,158,13.1,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40699,Wahlkarten Freistadt,0,1845,0,103,5.58,1742,94.42,1496,85.88,93,5.34,153,8.78,0,0,0,0,0,0,0,0,0,0,4/30/10,4/30/10
40700,Gmunden,78627,45861,58.33,3176,6.93,42685,93.07,34624,81.12,2284,5.35,5777,13.53,0,0,0,0,0,0,0,0,0,0,4/25/10,4/30/10
40701,Altmünster,7779,4308,55.38,305,7.08,4003,92.92,3299,82.41,225,5.62,479,11.97,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40702,Bad Goisern am Hallstättersee,6034,3220,53.36,176,5.47,3044,94.53,2512,82.52,159,5.22,373,12.25,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40703,Bad Ischl,11019,5293,48.04,371,7.01,4922,92.99,3963,80.52,230,4.67,729,14.81,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40704,Ebensee,6555,3545,54.08,227,6.4,3318,93.6,2790,84.09,128,3.86,400,12.06,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40705,Gmunden,10208,5015,49.13,387,7.72,4628,92.28,3641,78.67,257,5.55,730,15.77,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40706,Gosau,1536,864,56.25,36,4.17,828,95.83,687,82.97,39,4.71,102,12.32,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40707,Grünau im Almtal,1635,942,57.61,73,7.75,869,92.25,654,75.26,57,6.56,158,18.18,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40708,Gschwandt,2049,1106,53.98,73,6.6,1033,93.4,827,80.06,69,6.68,137,13.26,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40709,Hallstatt,693,466,67.24,32,6.87,434,93.13,368,84.79,14,3.23,52,11.98,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40710,Kirchham,1512,760,50.26,93,12.24,667,87.76,510,76.46,50,7.5,107,16.04,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40711,Laakirchen,6959,4025,57.84,301,7.48,3724,92.52,3088,82.92,175,4.7,461,12.38,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40712,Obertraun,577,401,69.5,14,3.49,387,96.51,360,93.02,9,2.33,18,4.65,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40713,Ohlsdorf,3852,2058,53.43,151,7.34,1907,92.66,1547,81.12,126,6.61,234,12.27,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40714,Pinsdorf,2832,1675,59.15,135,8.06,1540,91.94,1212,78.7,82,5.32,246,15.97,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40715,Roitham,1589,836,52.61,80,9.57,756,90.43,588,77.78,47,6.22,121,16.01,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40716,St.Konrad,859,412,47.96,27,6.55,385,93.45,304,78.96,43,11.17,38,9.87,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40717,St.Wolfgang im Salzkammergut,2172,992,45.67,70,7.06,922,92.94,716,77.66,52,5.64,154,16.7,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40718,Traunkirchen,1359,745,54.82,52,6.98,693,93.02,563,81.24,50,7.22,80,11.54,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40719,Scharnstein,3690,1931,52.33,146,7.56,1785,92.44,1405,78.71,104,5.83,276,15.46,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40720,Vorchdorf,5718,3080,53.86,218,7.08,2862,92.92,2264,79.11,163,5.7,435,15.2,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40799,Wahlkarten Gmunden,0,4187,0,209,4.99,3978,95.01,3326,83.61,205,5.15,447,11.24,0,0,0,0,0,0,0,0,0,0,4/30/10,4/30/10
40800,Grieskirchen,49455,28525,57.68,2329,8.16,26196,91.84,20253,77.31,1742,6.65,4201,16.04,0,0,0,0,0,0,0,0,0,0,4/25/10,4/30/10
40801,Aistersheim,646,355,54.95,33,9.3,322,90.7,246,76.4,21,6.52,55,17.08,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40802,Bad Schallerbach,2703,1507,55.75,142,9.42,1365,90.58,1059,77.58,70,5.13,236,17.29,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40803,Bruck-Waasen,1858,904,48.65,65,7.19,839,92.81,654,77.95,57,6.79,128,15.26,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40804,Eschenau im Hausruckkreis,915,517,56.5,47,9.09,470,90.91,379,80.64,28,5.96,63,13.4,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40805,Gallspach,1885,1002,53.16,57,5.69,945,94.31,687,72.7,85,8.99,173,18.31,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40806,Gaspoltshofen,2847,1531,53.78,132,8.62,1399,91.38,1025,73.27,111,7.93,263,18.8,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40807,Geboltskirchen,1135,643,56.65,62,9.64,581,90.36,433,74.53,69,11.88,79,13.6,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40808,Grieskirchen,3589,1906,53.11,152,7.97,1754,92.03,1332,75.94,100,5.7,322,18.36,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40809,Haag am Hausruck,1625,901,55.45,75,8.32,826,91.68,615,74.46,55,6.66,156,18.89,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40810,Heiligenberg,540,321,59.44,33,10.28,288,89.72,211,73.26,30,10.42,47,16.32,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40811,Hofkirchen an der Trattnach,1207,642,53.19,56,8.72,586,91.28,445,75.94,40,6.83,101,17.24,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40812,Kallham,2073,1075,51.86,77,7.16,998,92.84,779,78.06,45,4.51,174,17.43,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40813,Kematen am Innbach,1026,560,54.58,45,8.04,515,91.96,391,75.92,26,5.05,98,19.03,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40814,Meggenhofen,1051,607,57.75,59,9.72,548,90.28,421,76.82,39,7.12,88,16.06,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40815,Michaelnbach,1023,533,52.1,40,7.5,493,92.5,385,78.09,34,6.9,74,15.01,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40816,Natternbach,1921,1088,56.64,98,9.01,990,90.99,808,81.62,50,5.05,132,13.33,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40817,Neukirchen am Walde,1311,777,59.27,66,8.49,711,91.51,542,76.23,62,8.72,107,15.05,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40818,Neumarkt im Hausruckkreis,1136,566,49.82,35,6.18,531,93.82,385,72.5,33,6.21,113,21.28,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40819,Peuerbach,1741,846,48.59,58,6.86,788,93.14,610,77.41,62,7.87,116,14.72,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40820,Pötting,440,278,63.18,34,12.23,244,87.77,203,83.2,14,5.74,27,11.07,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40821,Pollham,753,428,56.84,56,13.08,372,86.92,288,77.42,37,9.95,47,12.63,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40822,Pram,1439,692,48.09,40,5.78,652,94.22,479,73.47,37,5.67,136,20.86,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40823,Rottenbach,841,469,55.77,31,6.61,438,93.39,316,72.15,33,7.53,89,20.32,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40824,St.Agatha,1727,874,50.61,80,9.15,794,90.85,648,81.61,56,7.05,90,11.34,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40825,St.Georgen bei Grieskirchen,896,545,60.83,57,10.46,488,89.54,376,77.05,41,8.4,71,14.55,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40826,St.Thomas,368,206,55.98,25,12.14,181,87.86,134,74.03,16,8.84,31,17.13,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40827,Schlüßlberg,2363,1341,56.75,86,6.41,1255,93.59,1000,79.68,68,5.42,187,14.9,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40828,Steegen,879,451,51.31,37,8.2,414,91.8,321,77.54,29,7,64,15.46,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40829,Taufkirchen an der Trattnach,1661,826,49.73,66,7.99,760,92.01,582,76.58,44,5.79,134,17.63,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
