0,data_year,valueA,name_number,total1,total2,total3
48,2013,Alabama,name48 - 148,210,27309,61
49,2013,Alabama,name49 - 149,210,17298,12
50,2013,Alabama,name50 - 150,202,19377,21
51,2013,Alabama,name51 - 151,202,16548,137
52,2013,Alabama,name52 - 152,197,15932,85
53,2013,Alabama,name53 - 153,193,15226,0
54,2013,Alabama,name54 - 154,192,24757,2
55,2013,Alabama,name55 - 155,186,15078,46
56,2013,Alabama,name56 - 156,176,14348,11
57,2013,Alabama,name57 - 157,172,9279,105
58,2013,Alabama,name58 - 158,170,17696,18
59,2013,Alabama,name59 - 159,164,13944,88
60,2013,Alabama,name60 - 160,163,11209,105
61,2013,Alabama,name61 - 161,159,17929,14
62,2013,Alabama,name62 - 162,157,9598,31
63,2013,Alabama,name63 - 163,155,20888,0
64,2013,Alabama,name64 - 164,151,16624,56
65,2013,Alabama,name65 - 165,147,10297,10
66,2013,Alabama,name66 - 166,146,16634,102
67,2013,Alabama,name67 - 167,144,11399,28
68,2013,Alabama,name68 - 168,140,15434,13
69,2013,Alabama,name69 - 169,136,10280,27
70,2013,Alabama,name70 - 170,136,10809,30
71,2013,Alabama,name71 - 171,133,10731,9
72,2013,Alabama,name72 - 172,132,13757,1
73,2013,Alabama,name73 - 173,128,13302,110
74,2013,Alabama,name74 - 174,128,8059,15
75,2013,Alabama,name75 - 175,127,13055,31
76,2013,Alabama,name76 - 176,125,11114,4
77,2013,Alabama,name77 - 177,124,6670,0
78,2013,Alabama,name78 - 178,123,10207,78
79,2013,Alabama,name79 - 179,121,7894,0
80,2013,Alabama,name80 - 180,113,9212,65
81,2013,Alabama,name81 - 181,110,6941,15
82,2013,Alabama,name82 - 182,110,10646,21
83,2013,Alabama,name83 - 183,107,8364,3
84,2013,Alabama,name84 - 184,105,10953,0
85,2013,Alabama,name85 - 185,105,9897,12
86,2013,Alabama,name86 - 186,102,9505,38
87,2013,Alabama,name87 - 187,101,10256,32
88,2013,Alabama,name88 - 188,101,7180,32
89,2013,Alabama,name89 - 189,101,10031,0
90,2013,Alabama,name90 - 190,96,10618,0
91,2013,Alabama,name91 - 191,96,6862,7
92,2013,Alabama,name92 - 192,96,7660,71
93,2013,Alabama,name93 - 193,94,11897,68
94,2013,Alabama,name94 - 194,93,5522,0
95,2013,Alabama,name95 - 195,93,6273,39
96,2013,Alabama,name96 - 196,90,9916,15
97,2013,Alabama,name97 - 197,88,3834,0
98,2013,Alabama,name98 - 198,82,8227,30
99,2013,Alabama,name99 - 199,81,9024,58
100,2013,Alabama,name100 - 200,77,6973,5
101,2013,Alabama,name101 - 201,75,5592,0
102,2013,Alabama,name102 - 202,73,3892,98
103,2013,Alabama,name103 - 203,71,3713,89
104,2013,Alabama,name104 - 204,70,8142,13
105,2013,Alabama,name105 - 205,67,6492,14
106,2013,Alabama,name106 - 206,57,11796,0
107,2013,Alabama,name107 - 207,46,3789,6
108,2013,Alabama,name108 - 208,45,2152,0
109,2013,Alabama,name109 - 209,45,5161,0
110,2013,Alabama,name110 - 210,44,3272,0
111,2013,Alabama,name111 - 211,29,4013,3
112,2013,Alabama,name112 - 212,28,2800,11
113,2013,Alabama,name113 - 213,13,558,0
114,2013,Alabama,name114 - 214,13,1448,0
0,2013,Alaska,name115 - 215,444,19886,85
0,2013,Alaska,name116 - 216,114,5786,3
0,2013,Alaska,name117 - 217,97,4474,5
0,2013,Alaska,name118 - 218,23,1243,0
0,2013,Arizona,name119 - 219,3952,259393,10234
0,2013,Arizona,name120 - 220,3165,215808,8026
0,2013,Arizona,name121 - 221,3059,195094,7628
0,2013,Arizona,name122 - 222,2375,152646,6052
0,2013,Arizona,name123 - 223,2079,167648,6452
0,2013,Arizona,name124 - 224,1763,97763,2266
0,2013,Arizona,name125 - 225,1377,53389,4484
0,2013,Arizona,name126 - 226,885,35252,1923
0,2013,Arizona,name127 - 227,800,78674,114
0,2013,Arizona,name128 - 228,783,55007,1092
0,2013,Arizona,name129 - 229,751,36464,524
0,2013,Arizona,name130 - 230,682,73263,1599
0,2013,Arizona,name131 - 231,670,60119,894
0,2013,Arizona,name132 - 232,650,46574,2380
0,2013,Arizona,name133 - 233,592,41224,627
0,2013,Arizona,name134 - 234,555,53000,526
0,2013,Arizona,name135 - 235,548,32041,1616
0,2013,Arizona,name136 - 236,530,58516,17
0,2013,Arizona,name137 - 237,457,40310,346
0,2013,Arizona,name138 - 238,452,38445,225
0,2013,Arizona,name139 - 239,450,42987,497
0,2013,Arizona,name140 - 240,443,42451,241
0,2013,Arizona,name141 - 241,428,26519,95
0,2013,Arizona,name142 - 242,404,33386,259
0,2013,Arizona,name143 - 243,403,32381,271
0,2013,Arizona,name144 - 244,394,28395,690
0,2013,Arizona,name145 - 245,382,25284,16
0,2013,Arizona,name146 - 246,379,24387,1152
0,2013,Arizona,name147 - 247,367,27224,499
0,2013,Arizona,name148 - 248,355,36047,387
0,2013,Arizona,name149 - 249,355,33942,170
0,2013,Arizona,name150 - 250,345,17725,13
0,2013,Arizona,name151 - 251,343,38091,536
0,2013,Arizona,name152 - 252,341,32295,444
0,2013,Arizona,name153 - 253,323,17435,373
0,2013,Arizona,name154 - 254,321,28185,189
0,2013,Arizona,name155 - 255,264,22404,125
0,2013,Arizona,name156 - 256,246,14442,99
0,2013,Arizona,name157 - 257,244,15374,569
0,2013,Arizona,name158 - 258,244,12339,0
0,2013,Arizona,name159 - 259,241,27897,36
0,2013,Arizona,name160 - 260,235,20296,184
0,2013,Arizona,name161 - 261,234,27317,6
0,2013,Arizona,name162 - 262,217,17460,48
0,2013,Arizona,name163 - 263,216,15590,43
0,2013,Arizona,name164 - 264,211,19578,8
0,2013,Arizona,name165 - 265,205,18299,74
0,2013,Arizona,name166 - 266,194,15651,154
0,2013,Arizona,name167 - 267,190,25222,73
0,2013,Arizona,name168 - 268,169,11463,29
0,2013,Arizona,name169 - 269,168,16692,14
0,2013,Arizona,name170 - 270,165,12260,39
0,2013,Arizona,name171 - 271,163,12497,68
0,2013,Arizona,name172 - 272,159,11126,57
0,2013,Arizona,name173 - 273,153,11315,13
0,2013,Arizona,name174 - 274,150,7234,98
0,2013,Arizona,name175 - 275,146,11295,17
0,2013,Arizona,name176 - 276,146,8222,0
0,2013,Arizona,name177 - 277,144,10246,0
0,2013,Arizona,name178 - 278,138,9490,188
0,2013,Arizona,name179 - 279,133,7518,0
0,2013,Arizona,name180 - 280,129,3578,77
0,2013,Arizona,name181 - 281,125,6966,0
0,2013,Arizona,name182 - 282,121,14723,139
0,2013,Arizona,name183 - 283,115,11361,21
0,2013,Arizona,name184 - 284,114,5927,0
0,2013,Arizona,name185 - 285,111,9806,8
0,2013,Arizona,name186 - 286,100,2902,15
0,2013,Arizona,name187 - 287,91,6793,26
0,2013,Arizona,name188 - 288,83,8100,31
0,2013,Arizona,name189 - 289,80,6256,93
0,2013,Arizona,name190 - 290,80,4159,50
0,2013,Arizona,name191 - 291,76,4640,7
0,2013,Arizona,name192 - 292,74,5234,23
0,2013,Arizona,name193 - 293,71,3943,0
0,2013,Arizona,name194 - 294,65,4262,5
0,2013,Arizona,name195 - 295,63,3988,66
0,2013,Arizona,name196 - 296,53,3955,6
0,2013,Arizona,name197 - 297,52,3847,2
0,2013,Arizona,name198 - 298,51,3257,0
0,2013,Arizona,name199 - 299,51,3548,47
0,2013,Arizona,name200 - 300,50,3593,7
0,2013,Arizona,name201 - 301,44,2077,0
0,2013,Arizona,name202 - 302,34,933,0
0,2013,Arizona,name203 - 303,34,2823,9
0,2013,Arizona,name204 - 304,29,2272,8
0,2013,Arizona,name205 - 305,25,1090,0
0,2013,Arizona,name206 - 306,17,708,0
0,2013,Arkansas,name207 - 307,2521,135344,5444
0,2013,Arkansas,name208 - 308,1198,47342,3558
0,2013,Arkansas,name209 - 309,1132,66258,2901
0,2013,Arkansas,name210 - 310,966,47156,2612
0,2013,Arkansas,name211 - 311,861,24687,1797
0,2013,Arkansas,name212 - 312,719,54838,592
0,2013,Arkansas,name213 - 313,606,23832,2102
0,2013,Arkansas,name214 - 314,509,19619,1670
0,2013,Arkansas,name215 - 315,471,22923,329
0,2013,Arkansas,name216 - 316,467,26160,645
0,2013,Arkansas,name217 - 317,419,16589,661
0,2013,Arkansas,name218 - 318,416,20569,620
0,2013,Arkansas,name219 - 319,380,19735,2339
0,2013,Arkansas,name220 - 320,341,21708,1140
0,2013,Arkansas,name221 - 321,341,36485,138
0,2013,Arkansas,name222 - 322,329,23697,73
0,2013,Arkansas,name223 - 323,319,23806,82
0,2013,Arkansas,name224 - 324,308,26902,0
0,2013,Arkansas,name225 - 325,217,12246,86
0,2013,Arkansas,name226 - 326,204,15024,213
0,2013,Arkansas,name227 - 327,199,12006,96
0,2013,Arkansas,name228 - 328,195,15533,44
0,2013,Arkansas,name229 - 329,180,20301,1
0,2013,Arkansas,name230 - 330,173,11011,2
0,2013,Arkansas,name231 - 331,173,3369,497
0,2013,Arkansas,name232 - 332,168,11828,11
0,2013,Arkansas,name233 - 333,148,7097,132
0,2013,Arkansas,name234 - 334,144,11450,0
0,2013,Arkansas,name235 - 335,122,8404,9
0,2013,Arkansas,name236 - 336,115,10252,5
0,2013,Arkansas,name237 - 337,103,9361,39
0,2013,Arkansas,name238 - 338,101,6326,41
0,2013,Arkansas,name239 - 339,100,6497,0
0,2013,Arkansas,name240 - 340,96,10519,22
0,2013,Arkansas,name241 - 341,69,3067,30
0,2013,Arkansas,name242 - 342,58,3221,0
0,2013,Arkansas,name243 - 343,58,2492,21
0,2013,Arkansas,name244 - 344,50,6182,2
0,2013,Arkansas,name245 - 345,36,3025,6
0,2013,Arkansas,name246 - 346,35,1414,0
0,2013,Arkansas,name247 - 347,33,1942,0
0,2013,Arkansas,name248 - 348,31,2991,0
0,2013,Arkansas,name249 - 349,28,4533,0
0,2013,Arkansas,name250 - 350,24,1954,0
0,2013,Arkansas,name251 - 351,23,918,8
0,2013,Arkansas,name252 - 352,22,2526,0
0,2013,Arkansas,name253 - 353,21,4621,0
0,2013,Arkansas,name254 - 354,19,1141,0
0,2013,California,name255 - 355,2633,213990,1425
0,2013,California,name256 - 356,2456,162040,1389
0,2013,California,name257 - 357,2418,176900,3379
0,2013,California,name258 - 358,2363,194540,1302
0,2013,California,name259 - 359,2352,161460,1371
0,2013,California,name260 - 360,2196,159507,1157
0,2013,California,name261 - 361,2195,146494,132
0,2013,California,name262 - 362,2069,134004,84
0,2013,California,name263 - 363,1996,156351,126
0,2013,California,name264 - 364,1927,116161,2074
0,2013,California,name265 - 365,1713,80431,2154
0,2013,California,name266 - 366,1642,147008,307
0,2013,California,name267 - 367,1501,79773,1233
0,2013,California,name268 - 368,1479,115500,10
0,2013,California,name269 - 369,1462,89097,51
0,2013,California,name270 - 370,1409,61211,63
0,2013,California,name271 - 371,1312,74769,172
0,2013,California,name272 - 372,1277,64558,0
0,2013,California,name273 - 373,1248,52434,975
0,2013,California,name274 - 374,1226,63635,41
0,2013,California,name275 - 375,1195,55144,1196
0,2013,California,name276 - 376,1177,92437,215
0,2013,California,name277 - 377,1145,40999,3
0,2013,California,name278 - 378,1137,81888,28
0,2013,California,name279 - 379,1111,52092,481
0,2013,California,name280 - 380,1025,48749,106
0,2013,California,name281 - 381,1019,80592,166
0,2013,California,name282 - 382,963,60719,416
0,2013,California,name283 - 383,956,57571,16
0,2013,California,name284 - 384,936,48955,846
0,2013,California,name285 - 385,917,72690,277
0,2013,California,name286 - 386,908,58220,10
0,2013,California,name287 - 387,897,30864,22
0,2013,California,name288 - 388,880,75714,28
0,2013,California,name289 - 389,856,53440,762
0,2013,California,name290 - 390,856,50077,2363
0,2013,California,name291 - 391,840,54677,491
0,2013,California,name292 - 392,823,39383,83
0,2013,California,name293 - 393,823,49448,500
0,2013,California,name294 - 394,798,33943,171
0,2013,California,name295 - 395,798,56774,159
0,2013,California,name296 - 396,779,52020,62
0,2013,California,name297 - 397,763,48247,969
0,2013,California,name298 - 398,758,45184,180
0,2013,California,name299 - 399,744,38953,13
0,2013,California,name300 - 400,728,38599,86
0,2013,California,name301 - 401,718,50433,100
0,2013,California,name302 - 402,711,37346,55
0,2013,California,name303 - 403,697,47647,327
0,2013,California,name304 - 404,678,55819,967
0,2013,California,name305 - 405,678,52360,139
0,2013,California,name306 - 406,672,28395,107
0,2013,California,name307 - 407,669,48449,0
0,2013,California,name308 - 408,663,58290,114
0,2013,California,name309 - 409,659,25643,1849
0,2013,California,name310 - 410,654,31705,10
0,2013,California,name311 - 411,650,45650,40
0,2013,California,name312 - 412,641,38112,73
0,2013,California,name313 - 413,631,32012,20
0,2013,California,name314 - 414,627,24774,63
0,2013,California,name315 - 415,618,27711,55
0,2013,California,name316 - 416,608,46300,104
0,2013,California,name317 - 417,602,40162,15
0,2013,California,name318 - 418,600,33864,40
0,2013,California,name319 - 419,595,25762,38
0,2013,California,name320 - 420,576,36346,82
0,2013,California,name321 - 421,573,28635,216
0,2013,California,name322 - 422,571,24534,3
0,2013,California,name323 - 423,569,30717,30
0,2013,California,name324 - 424,566,28144,82
0,2013,California,name325 - 425,552,41571,351
0,2013,California,name326 - 426,549,29928,0
0,2013,California,name327 - 427,548,32706,68
0,2013,California,name328 - 428,546,22019,2
0,2013,California,name329 - 429,543,45394,30
0,2013,California,name330 - 430,537,27347,8
0,2013,California,name331 - 431,537,37982,389
0,2013,California,name332 - 432,536,53109,20
0,2013,California,name333 - 433,536,23678,20
0,2013,California,name334 - 434,525,38878,44
0,2013,California,name335 - 435,525,18789,411
0,2013,California,name336 - 436,509,20949,24
0,2013,California,name337 - 437,502,18042,15
0,2013,California,name338 - 438,499,40028,69
0,2013,California,name339 - 439,495,30138,0
0,2013,California,name340 - 440,493,33499,0
0,2013,California,name341 - 441,487,36689,270
0,2013,California,name342 - 442,480,38042,122
0,2013,California,name343 - 443,479,42450,8
0,2013,California,name344 - 444,476,38874,412
0,2013,California,name345 - 445,475,32902,5
0,2013,California,name346 - 446,467,23076,8
0,2013,California,name347 - 447,464,27602,24
0,2013,California,name348 - 448,458,27783,492
0,2013,California,name349 - 449,440,22989,0
0,2013,California,name350 - 450,437,44638,18
0,2013,California,name351 - 451,436,17989,6
0,2013,California,name352 - 452,433,25644,0
0,2013,California,name353 - 453,431,27443,7
0,2013,California,name354 - 454,421,12453,586
0,2013,California,name355 - 455,415,43864,9
0,2013,California,name356 - 456,399,40364,0
0,2013,California,name357 - 457,395,28123,374
0,2013,California,name358 - 458,385,23708,129
0,2013,California,name359 - 459,385,21458,4
0,2013,California,name360 - 460,364,36563,33
0,2013,California,name361 - 461,361,15519,65
0,2013,California,name362 - 462,360,29146,0
0,2013,California,name363 - 463,359,25437,87
0,2013,California,name364 - 464,357,16107,0
0,2013,California,name365 - 465,356,25089,0
0,2013,California,name366 - 466,354,19203,0
0,2013,California,name367 - 467,350,31898,42
0,2013,California,name368 - 468,347,26327,86
0,2013,California,name369 - 469,346,28996,7
0,2013,California,name370 - 470,340,23163,30
0,2013,California,name371 - 471,338,26703,160
0,2013,California,name372 - 472,332,22084,0
0,2013,California,name373 - 473,332,17217,6
0,2013,California,name374 - 474,331,34113,218
0,2013,California,name375 - 475,329,14582,11
0,2013,California,name376 - 476,321,11331,3
0,2013,California,name377 - 477,317,17172,28
0,2013,California,name378 - 478,315,22769,41
0,2013,California,name379 - 479,315,18528,88
0,2013,California,name380 - 480,314,23807,0
0,2013,California,name381 - 481,313,17030,6
0,2013,California,name382 - 482,312,29565,0
0,2013,California,name383 - 483,309,20402,0
0,2013,California,name384 - 484,309,25593,7
0,2013,California,name385 - 485,307,11688,105
0,2013,California,name386 - 486,306,17780,0
0,2013,California,name387 - 487,297,17359,0
0,2013,California,name388 - 488,295,16095,8
0,2013,California,name389 - 489,291,18809,0
0,2013,California,name390 - 490,291,27216,8
0,2013,California,name391 - 491,284,20381,535
0,2013,California,name392 - 492,281,12698,0
0,2013,California,name393 - 493,280,26181,9
0,2013,California,name394 - 494,275,17228,362
0,2013,California,name395 - 495,262,11886,4
0,2013,California,name396 - 496,260,14047,6
0,2013,California,name397 - 497,258,14403,89
0,2013,California,name398 - 498,255,12306,0
0,2013,California,name399 - 499,255,15450,134
0,2013,California,name400 - 500,250,21459,0
0,2013,California,name401 - 501,246,14477,19
0,2013,California,name402 - 502,245,23298,199
0,2013,California,name403 - 503,245,13414,111
0,2013,California,name404 - 504,245,20815,42
0,2013,California,name405 - 505,242,15270,36
0,2013,California,name406 - 506,241,18450,42
0,2013,California,name407 - 507,237,16945,0
0,2013,California,name408 - 508,237,18274,65
0,2013,California,name409 - 509,236,25375,125
0,2013,California,name410 - 510,235,8637,0
0,2013,California,name411 - 511,229,9614,4
0,2013,California,name412 - 512,227,12321,6
0,2013,California,name413 - 513,225,14618,200
0,2013,California,name414 - 514,222,14273,6
0,2013,California,name415 - 515,222,10664,1
0,2013,California,name416 - 516,221,8554,0
0,2013,California,name417 - 517,219,15236,181
0,2013,California,name418 - 518,213,11770,0
0,2013,California,name419 - 519,206,14751,30
0,2013,California,name420 - 520,205,7225,0
0,2013,California,name421 - 521,204,19747,14
0,2013,California,name422 - 522,203,19124,43
0,2013,California,name423 - 523,203,6987,0
0,2013,California,name424 - 524,203,17485,12
0,2013,California,name425 - 525,201,14060,68
0,2013,California,name426 - 526,200,8468,40
0,2013,California,name427 - 527,199,10919,311
0,2013,California,name428 - 528,199,14668,8
0,2013,California,name429 - 529,194,14324,2
0,2013,California,name430 - 530,192,11711,119
0,2013,California,name431 - 531,191,18296,43
0,2013,California,name432 - 532,188,16000,5
0,2013,California,name433 - 533,188,16343,108
0,2013,California,name434 - 534,187,8177,0
0,2013,California,name435 - 535,186,14286,10
0,2013,California,name436 - 536,177,11732,23
0,2013,California,name437 - 537,175,6806,18
0,2013,California,name438 - 538,175,12998,1
0,2013,California,name439 - 539,174,11514,0
0,2013,California,name440 - 540,169,14013,37
0,2013,California,name441 - 541,166,13494,65
0,2013,California,name442 - 542,164,14530,25
0,2013,California,name443 - 543,163,18730,0
0,2013,California,name444 - 544,162,15518,14
0,2013,California,name445 - 545,161,10155,114
0,2013,California,name446 - 546,161,5954,208
0,2013,California,name447 - 547,160,6758,0
0,2013,California,name448 - 548,159,19401,0
0,2013,California,name449 - 549,158,7223,59
0,2013,California,name450 - 550,158,7099,13
0,2013,California,name451 - 551,157,14181,9
0,2013,California,name452 - 552,156,4475,0
0,2013,California,name453 - 553,156,11242,6
0,2013,California,name454 - 554,156,6108,7
0,2013,California,name455 - 555,155,10466,0
0,2013,California,name456 - 556,153,11268,29
0,2013,California,name457 - 557,151,10021,0
0,2013,California,name458 - 558,149,14051,89
0,2013,California,name459 - 559,147,8346,32
0,2013,California,name460 - 560,147,17919,0
0,2013,California,name461 - 561,146,14592,0
0,2013,California,name462 - 562,146,7180,0
0,2013,California,name463 - 563,146,17344,6
0,2013,California,name464 - 564,142,7677,7
0,2013,California,name465 - 565,142,18047,0
0,2013,California,name466 - 566,141,16868,3
0,2013,California,name467 - 567,140,15034,40
0,2013,California,name468 - 568,136,12073,6
0,2013,California,name469 - 569,133,13038,15
0,2013,California,name470 - 570,130,6907,19
0,2013,California,name471 - 571,130,7531,33
0,2013,California,name472 - 572,126,8521,66
0,2013,California,name473 - 573,123,8974,0
0,2013,California,name474 - 574,123,11000,13
0,2013,California,name475 - 575,123,9150,0
0,2013,California,name476 - 576,119,13730,0
0,2013,California,name477 - 577,117,5787,19
0,2013,California,name478 - 578,116,11461,0
0,2013,California,name479 - 579,114,11103,39
0,2013,California,name480 - 580,114,9303,4
0,2013,California,name481 - 581,111,15651,6
0,2013,California,name482 - 582,106,6799,41
0,2013,California,name483 - 583,106,8624,10
0,2013,California,name484 - 584,105,4541,0
0,2013,California,name485 - 585,103,8122,5
0,2013,California,name486 - 586,103,4538,6
0,2013,California,name487 - 587,102,6140,0
0,2013,California,name488 - 588,99,10230,63
0,2013,California,name489 - 589,98,9291,0
0,2013,California,name490 - 590,98,9802,11
0,2013,California,name491 - 591,97,7762,11
0,2013,California,name492 - 592,97,7410,2
0,2013,California,name493 - 593,94,5288,16
0,2013,California,name494 - 594,92,9654,6
0,2013,California,name495 - 595,92,4193,6
0,2013,California,name496 - 596,91,7153,0
0,2013,California,name497 - 597,89,10785,5
0,2013,California,name498 - 598,89,4392,15
0,2013,California,name499 - 599,89,3751,18
0,2013,California,name500 - 600,88,6407,14
0,2013,California,name501 - 601,86,8365,15
0,2013,California,name502 - 602,85,11450,8
0,2013,California,name503 - 603,85,7612,77
0,2013,California,name504 - 604,84,5906,3
0,2013,California,name505 - 605,84,4057,0
0,2013,California,name506 - 606,82,5699,36
0,2013,California,name507 - 607,81,6606,0
0,2013,California,name508 - 608,81,6286,15
0,2013,California,name509 - 609,80,11719,0
0,2013,California,name510 - 610,79,7059,13
0,2013,California,name511 - 611,77,4379,17
0,2013,California,name512 - 612,77,3704,0
0,2013,California,name513 - 613,76,3435,19
0,2013,California,name514 - 614,74,4328,0
0,2013,California,name515 - 615,73,5445,5
0,2013,California,name516 - 616,73,3492,0
0,2013,California,name517 - 617,73,3768,20
0,2013,California,name518 - 618,72,2560,2
0,2013,California,name519 - 619,72,6746,0
0,2013,California,name520 - 620,70,11414,11
0,2013,California,name521 - 621,70,4148,11
0,2013,California,name522 - 622,69,6079,94
0,2013,California,name523 - 623,66,6653,12
0,2013,California,name524 - 624,66,1615,3
0,2013,California,name525 - 625,66,6570,10
0,2013,California,name526 - 626,65,6474,5
0,2013,California,name527 - 627,65,4438,29
0,2013,California,name528 - 628,64,2374,97
0,2013,California,name529 - 629,63,4276,41
0,2013,California,name530 - 630,63,6343,2
0,2013,California,name531 - 631,59,6028,0
0,2013,California,name532 - 632,59,4823,15
0,2013,California,name533 - 633,57,6016,3
0,2013,California,name534 - 634,57,6611,0
0,2013,California,name535 - 635,56,1801,0
0,2013,California,name536 - 636,56,4971,46
0,2013,California,name537 - 637,56,5378,0
0,2013,California,name538 - 638,55,4205,0
0,2013,California,name539 - 639,55,5860,0
0,2013,California,name540 - 640,55,6110,9
0,2013,California,name541 - 641,54,4544,6
0,2013,California,name542 - 642,54,4991,0
0,2013,California,name543 - 643,53,5431,0
0,2013,California,name544 - 644,53,3866,0
0,2013,California,name545 - 645,53,4641,0
0,2013,California,name546 - 646,52,7847,0
0,2013,California,name547 - 647,52,6160,4
0,2013,California,name548 - 648,52,3015,11
0,2013,California,name549 - 649,52,4210,4
0,2013,California,name550 - 650,51,1361,0
0,2013,California,name551 - 651,50,4104,0
0,2013,California,name552 - 652,49,3296,3
0,2013,California,name553 - 653,47,5729,0
0,2013,California,name554 - 654,46,3169,49
0,2013,California,name555 - 655,44,3529,5
0,2013,California,name556 - 656,44,2278,9
0,2013,California,name557 - 657,43,3352,0
0,2013,California,name558 - 658,41,2148,0
0,2013,California,name559 - 659,41,4022,20
0,2013,California,name560 - 660,40,1552,0
0,2013,California,name561 - 661,39,1559,0
0,2013,California,name562 - 662,38,2870,0
0,2013,California,name563 - 663,36,2124,1
0,2013,California,name564 - 664,36,2086,0
0,2013,California,name565 - 665,35,2326,0
0,2013,California,name566 - 666,35,3061,21
0,2013,California,name567 - 667,34,2913,0
0,2013,California,name568 - 668,33,1537,0
0,2013,California,name569 - 669,32,860,0
0,2013,California,name570 - 670,32,1777,0
0,2013,California,name571 - 671,32,3189,1
0,2013,California,name572 - 672,32,3495,0
0,2013,California,name573 - 673,31,872,0
0,2013,California,name574 - 674,29,1610,0
0,2013,California,name575 - 675,29,2066,1
0,2013,California,name576 - 676,28,2513,0
0,2013,California,name577 - 677,28,1186,0
0,2013,California,name578 - 678,28,2220,0
0,2013,California,name579 - 679,27,425,35
0,2013,California,name580 - 680,27,1331,1
0,2013,California,name581 - 681,25,2210,0
0,2013,California,name582 - 682,25,1604,11
0,2013,California,name583 - 683,24,2432,0
0,2013,California,name584 - 684,24,2126,10
0,2013,California,name585 - 685,24,1852,0
0,2013,California,name586 - 686,23,889,7
0,2013,California,name587 - 687,22,2600,0
0,2013,California,name588 - 688,22,2345,0
0,2013,California,name589 - 689,22,2020,0
0,2013,California,name590 - 690,22,2901,0
0,2013,California,name591 - 691,21,996,0
0,2013,California,name592 - 692,21,1784,0
0,2013,California,name593 - 693,21,1554,10
0,2013,California,name594 - 694,20,1042,0
0,2013,California,name595 - 695,20,1551,0
0,2013,California,name596 - 696,19,1444,0
0,2013,California,name597 - 697,19,1723,0
0,2013,California,name598 - 698,19,833,0
0,2013,California,name599 - 699,18,1492,0
0,2013,California,name600 - 700,18,1121,16
0,2013,California,name601 - 701,18,384,2
0,2013,California,name602 - 702,17,802,0
0,2013,California,name603 - 703,17,510,4
0,2013,California,name604 - 704,17,719,3
0,2013,California,name605 - 705,17,409,0
0,2013,California,name606 - 706,17,914,2
0,2013,California,name607 - 707,16,243,18
0,2013,California,name608 - 708,16,740,9
0,2013,California,name609 - 709,16,1012,0
0,2013,California,name610 - 710,15,693,0
0,2013,California,name611 - 711,15,374,0
0,2013,California,name612 - 712,14,706,0
0,2013,California,name613 - 713,14,704,0
0,2013,California,name614 - 714,13,818,0
0,2013,California,name615 - 715,13,1672,0
0,2013,California,name616 - 716,12,623,0
0,2013,California,name617 - 717,12,276,12
0,2013,California,name618 - 718,12,754,0
0,2013,California,name619 - 719,11,501,0
0,2013,Colorado,name620 - 720,2432,155110,4789
0,2013,Colorado,name621 - 721,1452,126767,3266
0,2013,Colorado,name622 - 722,1367,72782,2338
