"All Employer-Insured Plans, All Claims",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marketscan Continuance Table, 2009 Continuously Enrolled Beneficiaries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up To,Number of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),ER,Avg. ER Freq,IP,Avg. IP Freq,Primary Care,Avg. Primary Care Freq,Specialist,Avg. Specialist Freq,Mental Health and Sub. Abuse,Mental Health and Sub. Abuse Freq.,-,-,Imaging,Avg. Imaging Freq,-,-,-,-,Speech Therapy,Avg. Speech Therapy Freq,Occ. + Physical Therapy,Occ. + Physical Therapy Freq,-,-,Well Baby (Combined),Avg. Well Baby Freq (Combined),-,-,-,-,Well Baby (Unclass.),Avg. Well Baby Freq (Unclass.),Preventive (Combined),Avg. Prev. Freq (Combined),-,-,-,-,-,-,Laboratory,Avg. Laboratory Freq,X-rays (Combined),Avg. X-ray Freq (Combined),X-rays (Specialist),Avg. X-rays Freq (Specialist),X-rays (Primary),Avg. X-rays Freq (Primary),X-rays (Unclass.),Avg. X-rays Freq (Unclass.),SNF,Avg. SNF Freq.,Unclassified,Avg. Unclassified Freq,Avg. IP Days,Avg. SNF Days,Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Chronic Maintenance,Avg. Chronic Maintenance,Unclassified,Avg. Unclassified Prescriptions,Mental Health - OP Facility,Avg. Mental Health - OP Facility Freq,Mental Health - OP Prof.,Avg. Mental Health - OP Prof. Freq,Sub. Abuse - OP Facility,Avg. Sub. Abuse - OP Facility Freq,Sub. Abuse - OP Prof.,Avg. Sub. Abuse - OP Prof. Freq,Imaging - OP Facility,Avg. Imaging - OP Facility Freq,Imaging - OP Prof.,Avg. Imaging - OP Prof. Freq,-,-,-,-,-,-,-,-,Speech Therapy - OP Facility,Avg. Speech Therapy - OP Facility Freq,Speech Therapy - OP Prof.,Avg. Speech Therapy - OP Prof. Freq,Occupational Therapy - OP Facility,Avg. Occ. Therapy - OP Facility Freq,Occupational Therapy - OP Prof.,Avg. Occ. Therapy - OP Prof. Freq,-,-,-,-,Laboratory - OP Facility,Avg. Lab - OP Facility Freq,Laboratory - OP Prof.,Avg. Lab - OP Prof. Freq,Unclassified - OP Facility,Avg. Unclass. - OP Facility Freq,Unclassified - OP Prof,Avg. Unclass. - OP Prof Freq,IP Max Days - 1,IP Max Days - 2,IP Max Days - 3,IP Max Days - 4,IP Max Days - 5,IP Max Days - 6,IP Max Days - 7,IP Max Days - 8,IP Max Days - 9,IP Max Days - 10,Primary Care >1 Visit,Primary Care >1 Visit Freq.,Primary Care >2 Visits,Primary Care >2 Visits Freq.,Primary Care >3 Visits,Primary Care >3 Visits Freq.,Primary Care >4 Visits,Primary Care >4 Visits Freq.,Primary Care >5 Visits,Primary Care >5 Visits Freq.,Primary Care >6 Visits,Primary Care >6 Visits Freq.,Primary Care >7 Visits,Primary Care >7 Visits Freq.,Primary Care >8 Visits,Primary Care >8 Visits Freq.,Primary Care >9 Visits,Primary Care >9 Visits Freq.,Primary Care >10 Visits,Primary Care >10 Visits Freq.,,,,,,,,,,
"$1,000","27,039",$744.88,$949.34,$2.82,0.011,$0.02,0.000,$80.07,1.153,$56.32,0.638,$0.14,0.001,0%,0.00,$5.55,0.037,.,0.00,.,0.00,$0.04,0.000,$0.24,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$107.98,0.709,.,0.00,.,0.00,.,0.00,$5.54,0.193,$9.65,0.077,$6.01,0.039,$2.63,0.014,$1.01,0.02,$0.00,0,$3.51,0.023,0.000,0,$37.38,1.527,$24.32,0.228,$11.34,0.083,$0.42,0.001,$0.00,0.000,.,0.00,$0.07,0.000,$0.01,0.000,.,0.00,.,0.00,$5.35,0.036,$0.03,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.03,0.000,$0.00,0.000,$0.15,0.001,$0.00,0.000,.,0.00,.,0.00,$4.35,0.045,$0.03,0.000,$2.44,0.013,$0.04,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$30.69,0.61,$14.54,0.30,$6.33,0.14,$2.54,0.06,$0.97,0.03,$0.37,0.01,$0.16,0.01,$0.08,0.01,$0.05,0.00,$0.03,0.00,,,,,,,,,,
"$1,100","25,609",$804.75,"$1,049.68",$3.47,0.013,$0.03,0.000,$86.16,1.225,$63.38,0.699,$0.15,0.001,0%,0.00,$6.51,0.042,.,0.00,.,0.00,$0.05,0.000,$0.28,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$116.00,0.756,.,0.00,.,0.00,.,0.00,$6.31,0.211,$10.62,0.083,$6.67,0.042,$2.83,0.015,$1.12,0.03,$0.00,0,$4.09,0.026,0.000,0,$41.19,1.643,$27.98,0.258,$13.30,0.095,$0.54,0.002,$0.00,0.000,.,0.00,$0.07,0.001,$0.01,0.000,.,0.00,.,0.00,$6.29,0.041,$0.04,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.04,0.000,$0.00,0.000,$0.19,0.001,$0.00,0.000,.,0.00,.,0.00,$4.97,0.049,$0.03,0.000,$2.87,0.015,$0.05,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$34.11,0.66,$16.85,0.34,$7.74,0.16,$3.32,0.08,$1.37,0.04,$0.56,0.02,$0.24,0.01,$0.12,0.01,$0.07,0.00,$0.04,0.00,,,,,,,,,,
"$1,200","23,905",$862.63,"$1,149.61",$4.17,0.015,$0.04,0.000,$91.73,1.289,$70.43,0.759,$0.17,0.001,0%,0.00,$7.50,0.047,.,0.00,.,0.00,$0.05,0.000,$0.32,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$123.40,0.798,.,0.00,.,0.00,.,0.00,$7.13,0.229,$11.56,0.090,$7.31,0.045,$3.03,0.016,$1.22,0.03,$0.00,0,$4.63,0.028,0.000,0,$44.71,1.747,$31.88,0.291,$15.33,0.107,$0.68,0.002,$0.00,0.000,.,0.00,$0.08,0.001,$0.00,0.000,.,0.00,.,0.00,$7.25,0.046,$0.05,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.05,0.000,$0.00,0.000,$0.22,0.001,$0.00,0.000,.,0.00,.,0.00,$5.64,0.053,$0.03,0.000,$3.26,0.016,$0.05,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$37.27,0.72,$19.04,0.37,$9.12,0.19,$4.13,0.09,$1.80,0.05,$0.77,0.02,$0.35,0.01,$0.17,0.01,$0.10,0.01,$0.06,0.00,,,,,,,,,,
"$1,300","22,407",$918.67,"$1,249.67",$4.92,0.017,$0.07,0.000,$97.03,1.349,$77.52,0.817,$0.19,0.001,0%,0.00,$8.53,0.052,.,0.00,.,0.00,$0.05,0.000,$0.37,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$130.31,0.838,.,0.00,.,0.00,.,0.00,$7.89,0.245,$12.44,0.096,$7.91,0.049,$3.21,0.017,$1.32,0.03,$0.00,0,$5.28,0.031,0.000,0,$48.11,1.846,$35.84,0.323,$17.49,0.120,$0.84,0.003,$0.00,0.000,.,0.00,$0.09,0.001,$0.01,0.000,.,0.00,.,0.00,$8.24,0.050,$0.05,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.05,0.000,$0.00,0.000,$0.26,0.001,$0.00,0.000,.,0.00,.,0.00,$6.26,0.057,$0.03,0.000,$3.75,0.018,$0.05,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$40.34,0.77,$21.23,0.41,$10.54,0.21,$4.99,0.11,$2.30,0.05,$1.04,0.03,$0.49,0.02,$0.25,0.01,$0.14,0.01,$0.08,0.00,,,,,,,,,,
"$1,400","21,101",$972.98,"$1,349.67",$5.68,0.019,$0.10,0.000,$101.97,1.404,$84.74,0.874,$0.20,0.001,0%,0.00,$9.49,0.056,.,0.00,.,0.00,$0.06,0.000,$0.42,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$136.77,0.874,.,0.00,.,0.00,.,0.00,$8.70,0.259,$13.24,0.101,$8.46,0.051,$3.38,0.018,$1.41,0.03,$0.00,0,$5.90,0.034,0.000,0,$51.29,1.938,$39.87,0.355,$19.74,0.134,$1.00,0.003,$0.00,0.000,.,0.00,$0.10,0.001,$0.01,0.000,.,0.00,.,0.00,$9.16,0.055,$0.06,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.06,0.000,$0.00,0.000,$0.29,0.002,$0.00,0.000,.,0.00,.,0.00,$6.92,0.061,$0.03,0.000,$4.19,0.020,$0.05,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$43.21,0.81,$23.30,0.44,$11.90,0.24,$5.82,0.12,$2.78,0.06,$1.31,0.03,$0.63,0.02,$0.32,0.01,$0.17,0.01,$0.10,0.01,,,,,,,,,,
"$1,500","19,941","$1,025.64","$1,449.85",$6.50,0.021,$0.12,0.000,$106.82,1.457,$91.68,0.929,$0.21,0.002,0%,0.00,$10.47,0.061,.,0.00,.,0.00,$0.07,0.000,$0.49,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$142.82,0.908,.,0.00,.,0.00,.,0.00,$9.48,0.273,$14.01,0.106,$8.96,0.054,$3.55,0.019,$1.50,0.03,$0.00,0,$6.54,0.037,0.000,0,$54.57,2.031,$44.09,0.389,$22.10,0.147,$1.14,0.003,$0.00,0.000,.,0.00,$0.11,0.001,$0.00,0.000,.,0.00,.,0.00,$10.13,0.059,$0.06,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.06,0.000,$0.00,0.000,$0.35,0.002,$0.00,0.000,.,0.00,.,0.00,$7.56,0.065,$0.04,0.000,$4.63,0.021,$0.05,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$46.06,0.86,$25.38,0.48,$13.31,0.26,$6.71,0.14,$3.32,0.07,$1.63,0.04,$0.81,0.02,$0.42,0.01,$0.23,0.01,$0.14,0.01,,,,,,,,,,
"$1,600","18,999","$1,076.73","$1,549.55",$7.32,0.023,$0.18,0.000,$111.31,1.506,$98.76,0.983,$0.24,0.002,0%,0.00,$11.51,0.065,.,0.00,.,0.00,$0.08,0.000,$0.58,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$148.62,0.941,.,0.00,.,0.00,.,0.00,$10.27,0.287,$14.81,0.111,$9.50,0.057,$3.71,0.020,$1.60,0.04,$0.00,0,$7.24,0.039,0.000,0,$57.56,2.116,$48.21,0.421,$24.48,0.160,$1.33,0.004,$0.00,0.000,.,0.00,$0.12,0.001,$0.01,0.000,.,0.00,.,0.00,$11.13,0.064,$0.07,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.07,0.000,$0.00,0.000,$0.42,0.002,$0.00,0.000,.,0.00,.,0.00,$8.23,0.069,$0.04,0.000,$5.12,0.023,$0.06,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$48.70,0.90,$27.33,0.51,$14.64,0.28,$7.59,0.15,$3.87,0.08,$1.96,0.05,$1.01,0.03,$0.54,0.02,$0.30,0.01,$0.18,0.01,,,,,,,,,,
"$1,700","17,936","$1,126.36","$1,649.73",$8.18,0.026,$0.24,0.000,$115.55,1.553,$105.78,1.037,$0.25,0.002,0%,0.00,$12.57,0.070,.,0.00,.,0.00,$0.09,0.000,$0.63,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$153.88,0.970,.,0.00,.,0.00,.,0.00,$11.05,0.299,$15.56,0.116,$10.00,0.059,$3.88,0.020,$1.68,0.04,$0.00,0,$7.95,0.042,0.000,0,$60.64,2.200,$52.32,0.452,$26.91,0.173,$1.54,0.004,$0.00,0.000,.,0.00,$0.12,0.001,$0.01,0.000,.,0.00,.,0.00,$12.14,0.068,$0.08,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.08,0.000,$0.00,0.000,$0.47,0.002,$0.00,0.000,.,0.00,.,0.00,$8.87,0.073,$0.04,0.000,$5.60,0.025,$0.06,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$51.22,0.94,$29.21,0.54,$15.96,0.30,$8.46,0.17,$4.44,0.10,$2.32,0.05,$1.22,0.03,$0.67,0.02,$0.38,0.01,$0.23,0.01,,,,,,,,,,
"$1,800","17,057","$1,174.60","$1,749.70",$9.06,0.028,$0.28,0.000,$119.64,1.596,$112.70,1.089,$0.28,0.002,0%,0.00,$13.63,0.074,.,0.00,.,0.00,$0.11,0.001,$0.71,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$158.99,0.998,.,0.00,.,0.00,.,0.00,$11.72,0.311,$16.33,0.121,$10.56,0.062,$4.00,0.021,$1.77,0.04,$0.00,0,$8.67,0.045,0.000,0,$63.47,2.279,$56.54,0.482,$29.39,0.187,$1.73,0.005,$0.00,0.000,.,0.00,$0.13,0.001,$0.01,0.000,.,0.00,.,0.00,$13.17,0.072,$0.09,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.10,0.000,$0.00,0.000,$0.55,0.003,$0.00,0.000,.,0.00,.,0.00,$9.42,0.076,$0.04,0.000,$6.10,0.026,$0.05,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$53.65,0.97,$31.04,0.57,$17.24,0.33,$9.32,0.18,$5.00,0.11,$2.67,0.06,$1.45,0.04,$0.81,0.02,$0.46,0.01,$0.28,0.01,,,,,,,,,,
"$1,900","16,183","$1,221.50","$1,849.32",$9.83,0.029,$0.37,0.000,$123.65,1.638,$119.51,1.138,$0.29,0.002,0%,0.00,$14.59,0.078,.,0.00,.,0.00,$0.12,0.001,$0.81,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$164.07,1.025,.,0.00,.,0.00,.,0.00,$12.56,0.323,$17.10,0.126,$11.11,0.064,$4.14,0.022,$1.86,0.04,$0.00,0,$9.39,0.047,0.001,0,$66.25,2.355,$60.55,0.511,$31.87,0.200,$2.00,0.005,$0.00,0.000,.,0.00,$0.14,0.001,$0.01,0.000,.,0.00,.,0.00,$14.09,0.076,$0.10,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.11,0.000,$0.00,0.000,$0.61,0.003,$0.00,0.000,.,0.00,.,0.00,$10.11,0.080,$0.04,0.000,$6.59,0.028,$0.06,0.001,0.000 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,$56.07,1.01,$32.89,0.60,$18.57,0.35,$10.23,0.20,$5.60,0.12,$3.07,0.07,$1.70,0.04,$0.96,0.03,$0.56,0.02,$0.34,0.01,,,,,,,,,,
"$2,000","15,554","$1,267.15","$1,950.02",$10.69,0.031,$0.46,0.000,$127.32,1.676,$126.27,1.187,$0.32,0.002,0%,0.00,$15.70,0.082,.,0.00,.,0.00,$0.13,0.001,$0.90,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$168.88,1.050,.,0.00,.,0.00,.,0.00,$13.32,0.334,$17.80,0.130,$11.59,0.066,$4.27,0.022,$1.94,0.04,$0.00,0,$10.18,0.050,0.001,0,$68.88,2.426,$64.67,0.540,$34.49,0.213,$2.23,0.006,$0.00,0.000,.,0.00,$0.15,0.001,$0.01,0.000,.,0.00,.,0.00,$15.16,0.080,$0.10,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.12,0.000,$0.00,0.000,$0.70,0.003,$0.00,0.000,.,0.00,.,0.00,$10.74,0.083,$0.04,0.000,$7.11,0.029,$0.06,0.001,0.000 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,$58.28,1.04,$34.58,0.62,$19.80,0.37,$11.07,0.21,$6.17,0.13,$3.45,0.08,$1.94,0.05,$1.12,0.03,$0.66,0.02,$0.41,0.01,,,,,,,,,,
"$2,100","14,753","$1,311.60","$2,050.05",$11.50,0.033,$0.57,0.001,$130.93,1.713,$133.01,1.236,$0.34,0.002,0%,0.00,$16.70,0.086,.,0.00,.,0.00,$0.14,0.001,$0.99,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$173.29,1.074,.,0.00,.,0.00,.,0.00,$14.07,0.345,$18.52,0.134,$12.11,0.069,$4.39,0.023,$2.02,0.04,$0.00,0,$11.01,0.053,0.001,0,$71.53,2.498,$68.78,0.568,$37.05,0.225,$2.46,0.006,$0.00,0.000,.,0.00,$0.17,0.001,$0.02,0.000,.,0.00,.,0.00,$16.13,0.084,$0.11,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.13,0.001,$0.00,0.000,$0.78,0.004,$0.00,0.000,.,0.00,.,0.00,$11.39,0.087,$0.04,0.000,$7.66,0.031,$0.07,0.001,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,$60.47,1.07,$36.27,0.65,$21.03,0.39,$11.94,0.23,$6.77,0.14,$3.85,0.08,$2.21,0.05,$1.30,0.03,$0.78,0.02,$0.48,0.01,,,,,,,,,,
"$2,200","13,958","$1,354.91","$2,149.83",$12.30,0.035,$0.70,0.001,$134.35,1.748,$139.56,1.283,$0.37,0.003,0%,0.00,$17.74,0.090,.,0.00,.,0.00,$0.15,0.001,$1.06,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$177.73,1.097,.,0.00,.,0.00,.,0.00,$14.78,0.355,$19.24,0.138,$12.62,0.071,$4.50,0.023,$2.11,0.04,$0.00,0,$11.70,0.055,0.001,0,$73.93,2.560,$72.84,0.596,$39.52,0.237,$2.67,0.007,$0.00,0.000,.,0.00,$0.18,0.001,$0.02,0.000,.,0.00,.,0.00,$17.13,0.088,$0.12,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.14,0.001,$0.00,0.000,$0.84,0.004,$0.00,0.000,.,0.00,.,0.00,$12.00,0.090,$0.04,0.000,$8.11,0.032,$0.07,0.001,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,$62.56,1.10,$37.91,0.67,$22.24,0.41,$12.80,0.24,$7.36,0.15,$4.25,0.09,$2.48,0.06,$1.47,0.04,$0.89,0.02,$0.55,0.02,,,,,,,,,,
"$2,300","13,460","$1,397.13","$2,249.65",$13.16,0.037,$0.81,0.001,$137.62,1.782,$146.20,1.330,$0.40,0.003,0%,0.00,$18.84,0.094,.,0.00,.,0.00,$0.17,0.001,$1.16,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$181.90,1.118,.,0.00,.,0.00,.,0.00,$15.45,0.365,$19.85,0.142,$13.04,0.073,$4.62,0.024,$2.20,0.04,$0.00,0,$12.50,0.057,0.001,0,$76.49,2.625,$76.95,0.624,$42.19,0.250,$2.90,0.007,$0.00,0.000,.,0.00,$0.19,0.001,$0.02,0.000,.,0.00,.,0.00,$18.20,0.091,$0.12,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.15,0.001,$0.00,0.000,$0.93,0.004,$0.00,0.000,.,0.00,.,0.00,$12.54,0.093,$0.04,0.000,$8.62,0.033,$0.07,0.001,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,$64.57,1.13,$39.49,0.70,$23.41,0.42,$13.64,0.26,$7.94,0.16,$4.65,0.10,$2.75,0.06,$1.66,0.04,$1.01,0.03,$0.64,0.02,,,,,,,,,,
"$2,400","12,924","$1,438.30","$2,349.50",$14.05,0.038,$0.97,0.001,$140.77,1.813,$152.66,1.374,$0.43,0.003,0%,0.00,$19.89,0.098,.,0.00,.,0.00,$0.19,0.001,$1.25,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$185.82,1.138,.,0.00,.,0.00,.,0.00,$16.13,0.373,$20.48,0.146,$13.52,0.075,$4.70,0.024,$2.26,0.05,$0.00,0,$13.29,0.060,0.001,0,$78.95,2.688,$80.86,0.650,$44.85,0.262,$3.16,0.008,$0.00,0.000,.,0.00,$0.21,0.001,$0.02,0.000,.,0.00,.,0.00,$19.22,0.095,$0.14,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.16,0.001,$0.00,0.000,$1.00,0.004,$0.00,0.000,.,0.00,.,0.00,$13.08,0.096,$0.05,0.000,$9.13,0.035,$0.08,0.001,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,$66.49,1.16,$41.00,0.72,$24.55,0.44,$14.46,0.27,$8.52,0.17,$5.05,0.11,$3.02,0.07,$1.84,0.04,$1.13,0.03,$0.72,0.02,,,,,,,,,,
"$2,500","12,339","$1,478.47","$2,449.64",$14.92,0.040,$1.15,0.001,$143.88,1.844,$158.83,1.418,$0.45,0.003,0%,0.00,$20.95,0.101,.,0.00,.,0.00,$0.20,0.001,$1.34,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$189.85,1.158,.,0.00,.,0.00,.,0.00,$16.80,0.382,$21.11,0.149,$13.98,0.077,$4.79,0.025,$2.34,0.05,$0.00,0,$14.16,0.063,0.001,0,$81.33,2.749,$84.86,0.676,$47.57,0.274,$3.46,0.008,$0.00,0.000,.,0.00,$0.22,0.001,$0.02,0.000,.,0.00,.,0.00,$20.24,0.098,$0.14,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.17,0.001,$0.00,0.000,$1.07,0.005,$0.00,0.000,.,0.00,.,0.00,$13.63,0.098,$0.04,0.000,$9.69,0.036,$0.08,0.001,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,$68.39,1.19,$42.52,0.74,$25.70,0.46,$15.30,0.28,$9.12,0.18,$5.48,0.11,$3.32,0.07,$2.05,0.05,$1.29,0.03,$0.83,0.02,,,,,,,,,,
"$2,600","11,770","$1,517.69","$2,549.73",$15.76,0.041,$1.36,0.001,$146.80,1.873,$165.19,1.462,$0.47,0.003,0%,0.00,$21.93,0.104,.,0.00,.,0.00,$0.22,0.001,$1.43,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$193.58,1.177,.,0.00,.,0.00,.,0.00,$17.47,0.391,$21.66,0.152,$14.36,0.079,$4.88,0.025,$2.42,0.05,$0.00,0,$15.02,0.065,0.002,0,$83.67,2.809,$88.84,0.702,$50.07,0.286,$3.75,0.009,$0.00,0.000,.,0.00,$0.23,0.002,$0.02,0.000,.,0.00,.,0.00,$21.19,0.101,$0.14,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.19,0.001,$0.00,0.000,$1.16,0.005,$0.00,0.000,.,0.00,.,0.00,$14.18,0.101,$0.05,0.000,$10.26,0.038,$0.08,0.001,0.001 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,$70.19,1.21,$43.94,0.77,$26.77,0.48,$16.08,0.30,$9.67,0.19,$5.87,0.12,$3.59,0.08,$2.23,0.05,$1.41,0.03,$0.91,0.02,,,,,,,,,,
"$2,700","11,720","$1,555.97","$2,649.40",$16.71,0.043,$1.57,0.001,$149.64,1.902,$171.48,1.504,$0.51,0.003,0%,0.00,$23.06,0.108,.,0.00,.,0.00,$0.23,0.001,$1.49,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$197.38,1.195,.,0.00,.,0.00,.,0.00,$18.13,0.399,$22.28,0.156,$14.80,0.081,$4.97,0.026,$2.50,0.05,$0.00,0,$15.83,0.068,0.002,0,$86.10,2.868,$92.95,0.728,$52.67,0.298,$4.03,0.009,$0.00,0.000,.,0.00,$0.25,0.002,$0.02,0.000,.,0.00,.,0.00,$22.27,0.105,$0.15,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.19,0.001,$0.00,0.000,$1.21,0.005,$0.00,0.000,.,0.00,.,0.00,$14.72,0.104,$0.05,0.000,$10.79,0.039,$0.09,0.001,0.001 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,$71.94,1.24,$45.35,0.79,$27.85,0.49,$16.87,0.31,$10.24,0.20,$6.27,0.13,$3.87,0.08,$2.43,0.06,$1.55,0.04,$1.01,0.03,,,,,,,,,,
"$2,800","11,019","$1,593.36","$2,749.95",$17.71,0.044,$1.79,0.001,$152.41,1.929,$177.75,1.547,$0.53,0.004,0%,0.00,$24.14,0.111,.,0.00,.,0.00,$0.23,0.001,$1.58,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$200.91,1.213,.,0.00,.,0.00,.,0.00,$18.76,0.407,$22.86,0.159,$15.22,0.083,$5.07,0.026,$2.57,0.05,$0.00,0,$16.71,0.070,0.002,0,$88.39,2.924,$96.80,0.752,$55.27,0.309,$4.34,0.010,$0.00,0.000,.,0.00,$0.26,0.002,$0.03,0.000,.,0.00,.,0.00,$23.31,0.108,$0.16,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.20,0.001,$0.00,0.000,$1.28,0.006,$0.00,0.000,.,0.00,.,0.00,$15.26,0.107,$0.06,0.000,$11.37,0.041,$0.10,0.001,0.001 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,$73.65,1.26,$46.72,0.81,$28.90,0.51,$17.65,0.32,$10.81,0.21,$6.68,0.13,$4.17,0.09,$2.64,0.06,$1.70,0.04,$1.12,0.03,,,,,,,,,,
