Name,Category,Value
A700,A,0.175645745
B814,B,0.955786566
A156,A,0.912710856
B279,B,0.194123984
A154,A,0.162466954
B973,B,0.985784256
A663,A,0.556248658
B530,B,0.669094399
A138,A,0.414336154
B464,B,0.775216799
A502,A,0.531899407
B473,B,0.439422458
A266,A,0.890117582
B713,B,0.675851844
A753,A,0.026469404
B228,B,0.05772551
A54,A,0.67267829
B508,B,0.555955444
A973,A,0.924296178
B311,B,0.317569225
A913,A,0.862968912
B248,B,0.957032972
A540,A,0.611205252
B414,B,0.400445188
A278,A,0.508412095
B328,B,0.180008201
A150,A,0.223777176
B661,B,0.010202864
A173,A,0.490255662
B239,B,0.814357752
A590,A,0.142522822
B36,B,0.370932503
A762,A,0.634252027
B624,B,0.580808444
A460,A,0.726090942
B817,B,0.731018123
A566,A,0.642826495
B955,B,0.722837054
A927,A,0.398611459
B259,B,0.79405957
A531,A,0.389810628
B820,B,0.831129852
A435,A,0.071189373
B238,B,0.119449513
A438,A,0.501154106
B503,B,0.794594624
A754,A,0.729609665
B771,B,0.273221628
A1,A,0.928450972
B307,B,0.306564173
A912,A,0.544033171
B24,B,0.916679618
A817,A,0.665229574
B303,B,0.235199779
A613,A,0.733815089
B668,B,0.58221217
A314,A,0.080077276
B70,B,0.797664532
A344,A,0.112673479
B719,B,0.075526554
A628,A,0.970009646
B123,B,0.476909116
A953,A,0.515832955
B881,B,0.605705153
A755,A,0.229251791
B6,B,0.39337001
A628,A,0.137368739
B101,B,0.898701628
A345,A,0.920725275
B227,B,0.245584927
A226,A,0.662322318
B796,B,0.742167981
A224,A,0.456899874
B177,B,0.991762095
A87,A,0.823799646
B856,B,0.179081904
A564,A,0.899264698
B11,B,0.473961539
A367,A,0.941250645
B364,B,0.498740829
A462,A,0.946615531
B651,B,0.215276581
A339,A,0.553012298
B357,B,0.671796853
A528,A,0.435583233
B741,B,0.694909998
A974,A,0.051895098
B878,B,0.496413962
A304,A,0.403142115
B716,B,0.633594121
A13,A,0.93161944
B413,B,0.693188985
A184,A,0.575504502
B416,B,0.395797099
A608,A,0.256493195
B664,B,0.136077589
A171,A,0.710034313
B258,B,0.473082578
A570,A,0.593990691
B931,B,0.080365338
A486,A,0.444184854
B740,B,0.405464586
A837,A,0.756881686
B510,B,0.844561195
A825,A,0.834525291
B79,B,0.29031855
A964,A,0.134529417
B943,B,0.830177354
A867,A,0.482240664
B407,B,0.163028534
A886,A,0.994810903
B456,B,0.744382207
A56,A,0.101956662
B942,B,0.369857293
A800,A,0.666938648
B903,B,0.962369361
A633,A,0.351284556
B347,B,0.881790778
A747,A,0.880104094
B840,B,0.498565061
A541,A,0.960554224
B768,B,0.811322217
A147,A,0.314164779
B13,B,0.078212097
A373,A,0.168769956
B356,B,0.675794693
A869,A,0.262893414
B353,B,0.777978533
A242,A,0.437937797
B414,B,0.253123026
A509,A,0.181757157
B990,B,0.679619114
A171,A,0.897787752
B749,B,0.390330581
A715,A,0.79214619
B554,B,0.288736235
A568,A,0.503752798
B899,B,0.925174202
A548,A,0.012392257
B190,B,0.337880945
A657,A,0.881926549
B197,B,0.254477219
A255,A,0.880287565
B471,B,0.222456389
A57,A,0.965592947
B542,B,0.817508721
A860,A,0.182165646
B406,B,0.66877641
A946,A,0.379075014
B902,B,0.752575048
A146,A,0.775216052
B256,B,0.916352116
A981,A,0.447215836
B148,B,0.13887465
A920,A,0.07007192
B282,B,0.578486233
A625,A,0.973033142
B364,B,0.425913685
A896,A,0.703919865
B513,B,0.249765756
A502,A,0.994686619
B535,B,0.441387841
A309,A,0.909262532
B295,B,0.862780164
A625,A,0.956643398
B831,B,0.158988263
A757,A,0.057859199
B196,B,0.525416244
A532,A,0.365612606
B258,B,0.41039621
A55,A,0.150882074
B554,B,0.076633624
A478,A,0.014991743
B424,B,0.086280129
A158,A,0.544440689
B743,B,0.165518579
A436,A,0.574657755
B545,B,0.244387781
A445,A,0.574304803
B729,B,0.026608062
A209,A,0.228168735
B399,B,0.114033751
A350,A,0.214084355
B378,B,0.287155572
A438,A,0.103676373
B462,B,0.558830236
A102,A,0.700839961
B413,B,0.662116658
A136,A,0.39019735
B208,B,0.587538384
A504,A,0.081661689
B185,B,0.63128873
A35,A,0.905913082
B168,B,0.073054405
A156,A,0.487321143
B100,B,0.560228429
A655,A,0.239886658
B905,B,0.621835258
A172,A,0.267913086
B912,B,0.349052254
A331,A,0.253706558
B408,B,0.757933808
A128,A,0.180952792
B483,B,0.158438824
A478,A,0.654077318
B226,B,0.874614767
A991,A,0.359309462
B994,B,0.337805512
A689,A,0.696735176
B509,B,0.177859792
A492,A,0.238022011
B491,B,0.016824543
A729,A,0.204894505
B635,B,0.581714841
A561,A,0.664168462
B485,B,0.260178735
A240,A,0.185195421
B862,B,0.507303729
A170,A,0.012667515
B538,B,0.048941599
A484,A,0.369354357
B291,B,0.560665588
A421,A,0.676361957
B757,B,0.290891203
A860,A,0.672888024
B214,B,0.560068165
A428,A,0.36536673
B968,B,0.933143408
A388,A,0.808399214
B865,B,0.976816316
A727,A,0.850655628
B507,B,0.783566449
A503,A,0.808135474
B117,B,0.707683226
A315,A,0.146656044
B876,B,0.201617486
A800,A,0.677441163
B268,B,0.57798958
A788,A,0.586820282
B981,B,0.666180564
A523,A,0.08360667
B577,B,0.654937053
A509,A,0.035539926
B447,B,0.496080042
A244,A,0.583357076
B930,B,0.194965107
A285,A,0.67511388
B841,B,0.682685439
A114,A,0.119211776
B124,B,0.983916085
A340,A,0.165852633
B993,B,0.732788688
A186,A,0.88355328
B857,B,0.148561216
A275,A,0.472283618
B704,B,0.936289808
A304,A,0.806508061
B74,B,0.114505372
A163,A,0.102272656
B955,B,0.096857921
A356,A,0.601253297
B729,B,0.080789308
A454,A,0.931170031
B861,B,0.664641789
A196,A,0.211053419
B599,B,0.22176571
A103,A,0.074540879
B928,B,0.144395615
A197,A,0.389624154
B771,B,0.457435937
A720,A,0.492974557
B454,B,0.819996399
A29,A,0.86960299
B587,B,0.491507272
A762,A,0.021969731
B13,B,0.417312827
A410,A,0.375383724
B213,B,0.048893811
A858,A,0.281871582
B824,B,0.732277782
A759,A,0.91994295
B233,B,0.891378289
A423,A,0.245558177
B754,B,0.110982933
A158,A,0.276902148
B628,B,0.177815914
A679,A,0.926795434
B583,B,0.115969927
A298,A,0.450980989
B343,B,0.67881449
A782,A,0.475262235
B170,B,0.987203006
A175,A,0.148657253
B258,B,0.232688697
A293,A,0.718652954
B807,B,0.047701083
A461,A,0.808775681
B94,B,0.821097388
A335,A,0.799170916
B418,B,0.448662822
A64,A,0.943056232
B229,B,0.357364983
A973,A,0.292850096
B671,B,0.269788636
A607,A,0.757524476
B949,B,0.978299426
A363,A,0.731989337
B652,B,0.285126082
A169,A,0.222164545
B466,B,0.996472619
A220,A,0.831199645
B393,B,0.616227835
A132,A,0.27703303
B165,B,0.19089091
A70,A,0.586099783
B912,B,0.516985176
A313,A,0.620682798
B837,B,0.53981704
A248,A,0.154944436
B286,B,0.13641404
A134,A,0.776243298
B257,B,0.619746034
A404,A,0.984668997
B107,B,0.516184587
A699,A,0.027591448
B21,B,0.71789911
A584,A,0.879192699
B235,B,0.654969116
A621,A,0.661065017
B230,B,0.441963463
A784,A,0.071433357
B352,B,0.112792708
A86,A,0.398171583
B335,B,0.300142496
A287,A,0.273448578
B110,B,0.237996242
A48,A,0.025045861
B592,B,0.301917083
A93,A,0.767559298
B480,B,0.960979087
A148,A,0.670602112
B532,B,0.297147206
A165,A,0.873834226
B70,B,0.68984868
A739,A,0.235018886
B904,B,0.998029627
A509,A,0.910955279
B314,B,0.346978014
A79,A,0.504379227
B452,B,0.832404338
A170,A,0.957286263
B934,B,0.551285401
A84,A,0.282943555
B102,B,0.559865258
A56,A,0.862310819
B835,B,0.10994298
A849,A,0.801557099
B565,B,0.978885936
A580,A,0.246717807
B577,B,0.865306287
A406,A,0.640616011
B866,B,0.067706653
A912,A,0.691171217
B119,B,0.248585482
A852,A,0.150471327
B711,B,0.922240307
A295,A,0.26739528
B764,B,0.768860381
A856,A,0.673787489
B109,B,0.555350603
A888,A,0.758353719
B433,B,0.921213701
A956,A,0.180763594
B978,B,0.765102236
A283,A,0.761929477
B442,B,0.375249809
A460,A,0.374955745
B367,B,0.468390999
A702,A,0.255150676
B634,B,0.198645006
A127,A,0.485235656
B600,B,0.145473726
A296,A,0.908667679
B188,B,0.500995802
A248,A,0.175455814
B874,B,0.472599456
A537,A,0.289408599
B853,B,0.062426726
A928,A,0.972247864
B361,B,0.877692327
A127,A,0.042362222
B691,B,0.813390103
A917,A,0.64432747
B887,B,0.746510757
A943,A,0.097720132
B370,B,0.242493193
A418,A,0.772201926
B339,B,0.867351603
A561,A,0.571541319
B785,B,0.004569124
A574,A,0.086762818
B167,B,0.178846775
A418,A,0.237011919
B254,B,0.666735038
A978,A,0.586588248
B396,B,0.586226164
A984,A,0.916738838
B844,B,0.61688174
A576,A,0.019062499
B995,B,0.288733874
A925,A,0.600883023
B937,B,0.981381152
A283,A,0.368539623
B363,B,0.755795987
A896,A,0.687292128
B285,B,0.96947207
A71,A,0.413710262
B119,B,0.796354446
A656,A,0.157654402
B601,B,0.559892791
A891,A,0.798149164
B857,B,0.168587364
A980,A,0.898465622
B2,B,0.300073866
A864,A,0.856339307
B482,B,0.660589446
A731,A,0.862077975
B397,B,0.370041195
A355,A,0.484261669
B683,B,0.194582285
A735,A,0.889885312
B181,B,0.789405994
A654,A,0.521558832
B578,B,0.346843122
A371,A,0.69462779
B18,B,0.507277083
A25,A,0.059884411
B228,B,0.276476769
A112,A,0.894941374
B150,B,0.428249034
A168,A,0.348986171
B218,B,0.022071887
A357,A,0.666235109
B956,B,0.18715297
A876,A,0.046832344
B122,B,0.882744714
A512,A,0.222486424
B547,B,0.02082807
A454,A,0.41567943
B339,B,0.66051792
A113,A,0.344468507
B431,B,0.902066793
A856,A,0.162224337
B500,B,0.925908358
A253,A,0.915410582
B469,B,0.528188197
A410,A,0.295361669
B826,B,0.074377187
A245,A,0.32339677
B644,B,0.723923436
A696,A,0.320156223
B551,B,0.446290154
A121,A,0.337426995
B638,B,0.688749062
A519,A,0.259550986
B221,B,0.115194365
A991,A,0.85687802
B29,B,0.821445647
A14,A,0.726846717
B568,B,0.719351504
A750,A,0.661587121
B946,B,0.040688114
A909,A,0.129847389
B120,B,0.896129098
A52,A,0.994470911
B24,B,0.220408882
A277,A,0.961824638
B70,B,0.258248185
A760,A,0.321947244
B294,B,0.533249408
A599,A,0.54548763
B228,B,0.714105468
A432,A,0.313807617
B888,B,0.91194253
A806,A,0.85327348
B434,B,0.32771722
A760,A,0.097495103
B922,B,0.550444547
A127,A,0.05428639
B660,B,0.653465704
A904,A,0.732268371
B454,B,0.970155882
A394,A,0.712492677
B879,B,0.841624797
A157,A,0.940380373
B631,B,0.842448709
A946,A,0.106654224
B532,B,0.770005824
A689,A,0.169699722
B354,B,0.934501832
A493,A,0.250444534
B969,B,0.700679666
A491,A,0.556019844
B732,B,0.569556187
A602,A,0.464277961
B423,B,0.077407739
A31,A,0.819077102
B891,B,0.255657519
A305,A,0.06615781
B226,B,0.542695914
A403,A,0.683423072
B557,B,0.285898277
A392,A,0.917032694
B711,B,0.484916626
A953,A,0.114407022
B951,B,0.572547736
A332,A,0.131261557
B395,B,0.615330633
A931,A,0.352857824
B416,B,0.689744007
A572,A,0.924076735
B928,B,0.530070429
A706,A,0.119511094
B942,B,0.006923591
A669,A,0.066213421
B202,B,0.688490116
A566,A,0.22496353
B335,B,0.819612412
A651,A,0.518654785
B799,B,0.303121239
A934,A,0.535413196
B982,B,0.57273796
A383,A,0.638188804
B115,B,0.05978168
A493,A,0.859202266
B776,B,0.123486918
A895,A,0.568068701
B401,B,0.229321516
A698,A,0.845410919
B168,B,0.838769218
A549,A,0.690359671
B72,B,0.901577949
A945,A,0.867059554
B252,B,0.134759752
A849,A,0.827603072
B668,B,0.129982818
A296,A,0.11999789
B391,B,0.886377023
A797,A,0.151648162
B513,B,0.036395779
A653,A,0.863355217
B115,B,0.600140133
A419,A,0.307977358
B763,B,0.289395469
A408,A,0.628456908
B844,B,0.666218336
A664,A,0.301282905
B753,B,0.041539085
A847,A,0.840789455
B174,B,0.285222362
A633,A,0.992657966
B890,B,0.120629282
A127,A,0.795419874
B420,B,0.721471604
A813,A,0.547555084
B774,B,0.616928385
A242,A,0.484562374
B753,B,0.900969294
A715,A,0.886973565
B558,B,0.447046759
A221,A,0.434619989
B210,B,0.10040544
A923,A,0.136292747
B968,B,0.525595243
A69,A,0.282302695
B806,B,0.938440961
A968,A,0.986773104
B489,B,0.609873954
A998,A,0.415801627
B114,B,0.482330114
A153,A,0.697947112
B677,B,0.684290505
A52,A,0.7848514
B471,B,0.90130465
A922,A,0.815179061
B77,B,0.805688705
A668,A,0.996343867
B553,B,0.343567929
A107,A,0.465073194
B958,B,0.61883642
A151,A,0.235267174
B646,B,0.474629477
A649,A,0.110422083
B463,B,0.954957791
A229,A,0.240456279
B672,B,0.712425398
A666,A,0.017899434
B435,B,0.957639769
A942,A,0.691771077
B621,B,0.444514709
A296,A,0.452453045
B310,B,0.076632684
A680,A,0.646581134
B614,B,0.753586767
A160,A,0.781894192
B449,B,0.026977413
A469,A,0.766662684
B977,B,0.92554474
A847,A,0.742509261
B908,B,0.296866344
A142,A,0.664044507
B681,B,0.109685572
A72,A,0.129477749
B581,B,0.335658916
A453,A,0.276549167
B304,B,0.557533399
A904,A,0.568991699
B783,B,0.255399315
A331,A,0.637484584
B898,B,0.789261759
A379,A,0.788454232
B18,B,0.163768476
A460,A,0.925632692
B995,B,0.750008332
A840,A,0.992534509
B833,B,0.651767205
A287,A,0.290158966
B209,B,0.240563305
A644,A,0.583111728
B767,B,0.117621029
A886,A,0.300019999
B592,B,0.805175108
A881,A,0.288168407
B467,B,0.697451951
A990,A,0.970989027
B553,B,0.166862989
A359,A,0.47019311
B910,B,0.541984356
A122,A,0.951019545
B471,B,0.295779089
A480,A,0.626022869
B132,B,0.095270791
A949,A,0.848122709
B807,B,0.709080514
A385,A,0.356050388
B817,B,0.073053168
A305,A,0.917036375
B554,B,0.901515504
A136,A,0.209626004
B809,B,0.739759126
A988,A,0.334388222
B878,B,0.606892558
A369,A,0.783272275
B540,B,0.928198872
A628,A,0.074370466
B555,B,0.453980153
A262,A,0.309439884
B609,B,0.719759684
A55,A,0.332784394
B922,B,0.508749407
A842,A,0.127697401
B268,B,0.870328216
A647,A,0.161625045
B155,B,0.519634492
A494,A,0.71690315
B921,B,0.783216483
A986,A,0.300983308
B183,B,0.228425076
A420,A,0.234873379
B425,B,0.503851981
A781,A,0.063636558
B261,B,0.72982181
A496,A,0.262350305
B573,B,0.92460455
A550,A,0.53295348
B337,B,0.602858829
A480,A,0.39253036
B789,B,0.564734016
A749,A,0.399819654
B968,B,0.718636343
A430,A,0.178006952
B133,B,0.041761869
A894,A,0.451458941
B965,B,0.00210786
A433,A,0.81576155
B691,B,0.940533901
A186,A,0.537777843
B510,B,0.618131798
A762,A,0.551252779
B461,B,0.25197339
A198,A,0.146812461
B690,B,0.894044592
A200,A,0.081501761
B93,B,0.105842425
A40,A,0.111004319
B126,B,0.046847025
A768,A,0.877613105
B987,B,0.454523375
A165,A,0.582853025
B513,B,0.558180004
A425,A,0.906508252
B511,B,0.713767878
A644,A,0.57747462
B675,B,0.892097905
A877,A,0.716508219
B482,B,0.695997181
A378,A,0.486358637
B568,B,0.928426496
A590,A,0.395337299
B122,B,0.437078279
A946,A,0.181298407
B159,B,0.136983349
A414,A,0.962090929
B592,B,0.433962544
A195,A,0.044274908
B991,B,0.114218774
A420,A,0.193853139
B591,B,0.694628902
A335,A,0.332976461
B395,B,0.517741308
A63,A,0.751515763
B891,B,0.72934269
A759,A,0.49514807
B362,B,0.391507965
A378,A,0.347005873
B300,B,0.272237772
A942,A,0.195766577
B183,B,0.820304392
A444,A,0.226650654
B416,B,0.581574219
A122,A,0.244305666
B818,B,0.625172196
A417,A,0.988563108
B928,B,0.041253853
A127,A,0.772483538
B507,B,0.578651801
A777,A,0.029124318
B870,B,0.155215069
A491,A,0.980350314
B266,B,0.551783913
A512,A,0.931444263
B305,B,0.490205008
A64,A,0.451447541
B273,B,0.510841686
A92,A,0.27899825
B321,B,0.236280556
A50,A,0.014965093
B393,B,0.673929116
A979,A,0.491130613
B898,B,0.455377889
A731,A,0.538914584
B233,B,0.589007268
A128,A,0.615265033
B419,B,0.996936004
A162,A,0.501206118
B873,B,0.872776659
A454,A,0.232350422
B513,B,0.853884194
A179,A,0.114016058
B299,B,0.049859171
A348,A,0.962690892
B968,B,0.902766322
A996,A,0.775727293
B567,B,0.960951931
A828,A,0.892289341
B414,B,0.003237243
A309,A,0.944792534
B34,B,0.568546391
A280,A,0.97576882
B600,B,0.786963329
A141,A,0.238070085
B500,B,0.731312169
A873,A,0.999156742
B342,B,0.130176121
A662,A,0.480797705
B36,B,0.926845028
A200,A,0.493317014
B585,B,0.293271788
A358,A,0.991979225
B473,B,0.482432051
A38,A,0.607998486
B891,B,0.615231958
A411,A,0.075506933
B725,B,0.815078813
A289,A,0.061857273
B617,B,0.213807074
A66,A,0.938397621
B809,B,0.07250354
A908,A,0.954098047
B979,B,0.088334095
A207,A,0.010720531
B842,B,0.490163058
A866,A,0.631321788
B523,B,0.902227421
A858,A,0.78028954
B189,B,0.928011709
A187,A,0.540182273
B757,B,0.852063588
A646,A,0.502033759
B261,B,0.442868146
A68,A,0.655388163
B434,B,0.784776562
A116,A,0.636734699
B690,B,0.279192576
A485,A,0.776761158
B603,B,0.905950762
A309,A,0.893306083
B280,B,0.315918192
A353,A,0.10191807
B971,B,0.518599932
A399,A,0.491576613
B83,B,0.784869857
A182,A,0.412071205
B406,B,0.803684073
A277,A,0.90102836
B218,B,0.052394787
A714,A,0.958151317
B531,B,0.941796213
A385,A,0.701944963
B10,B,0.419131541
A928,A,0.377974038
B959,B,0.552117076
A201,A,0.308997504
B785,B,0.770907287
A429,A,0.014315497
B85,B,0.352115388
A832,A,0.996407956
B298,B,0.797308489
A555,A,0.087945552
B149,B,0.224682038
A274,A,0.54387218
B565,B,0.33654949
A149,A,0.110632031
B320,B,0.35895298
A91,A,0.055245208
B801,B,0.339785062
A994,A,0.890480414
B397,B,0.742795815
A949,A,0.849491932
B889,B,0.710819903
A283,A,0.256115326
B784,B,0.178578508
A614,A,0.440558862
B107,B,0.947687511
A699,A,0.133610993
B125,B,0.861052088
A266,A,0.188885252
B933,B,0.86241168
A824,A,0.890416549
B884,B,0.940182882
A389,A,0.884710467
B478,B,0.643303275
A924,A,0.901118451
B682,B,0.253515207
A896,A,0.048496583
B404,B,0.237327201
A170,A,0.344656214
B273,B,0.161784893
A969,A,0.206330683
B967,B,0.555080745
A337,A,0.131072403
B265,B,0.134546245
A411,A,0.992937139
B876,B,0.061298794
A879,A,0.475376973
B271,B,0.656759753
A200,A,0.641901951
B996,B,0.906976517
A561,A,0.211149056
B894,B,0.365484208
A746,A,0.535711623
B253,B,0.206605098
A294,A,0.293718835
B388,B,0.241983588
A76,A,0.731856429
B704,B,0.977726632
A414,A,0.755290285
B763,B,0.555785973
A483,A,0.90494461
B751,B,0.087170633
A172,A,0.210331354
B184,B,0.503831676
A745,A,0.539287498
B260,B,0.358520888
A641,A,0.412974198
B640,B,0.66318065
A569,A,0.239853763
B874,B,0.683051855
A584,A,0.963170144
B99,B,0.832716271
A124,A,0.268241971
B806,B,0.871535963
A981,A,0.651003914
B291,B,0.515471705
A181,A,0.756845674
B534,B,0.809564362
A91,A,0.101461539
B215,B,0.863346832
A776,A,0.448096637
B176,B,0.770272936
A166,A,0.414750649
B231,B,0.013671314
A24,A,0.824806437
B52,B,0.503363929
A620,A,0.795692217
B963,B,0.208372399
A198,A,0.945425604
B400,B,0.283745706
A631,A,0.346647165
B158,B,0.052809433
A116,A,0.09489149
B948,B,0.91072507
A414,A,0.100167536
B186,B,0.334809461
A628,A,0.608555601
B285,B,0.537233184
A363,A,0.833111119
