,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,gas,Indiana Hub,,,Adhub 2012,,,Nihub 2012,,,PJM 2012,,,PJM/Indy,,PJM/AD,,PJM/Nihub,,AD/Nihub,,Indy/nihub,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Z 12,3.79,38.25,39.00,,43.25,44.50,,40.25,41.25,,50.25,50.50,Z 12,11.50,12.00,6.00,7.00,9.25,10.00,3.00,3.25,-2.25,-2.00,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cal 12 OFFPEAK,,,,,,,,,,,,,,,,,,,,,,,,
,,Indiana Hub,,,Adhub 2012,,,Nihub 2012,,,PJM 2012,,,PJM/indy,,PJM/Ad,,PJM/Nihub,,AD/nihub,,Indy/nihub,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Z 12,,28.50,29.00,,34.50,35.50,,28.25,29.25,,39.25,39.65,Z 12,10.25,11.15,4.00,4.90,10.25,11.15,6.00,6.50,-0.25,0.25,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cal 2013 PEAK,,,,,,,,,,,,,,,,,,,,,,,,
,,Indiana  2013,,,AD hub 2013,,,Nihub 2013,,,PJM 2013,,,PJM/Indy,,PJM/AD,,PJM/Nihub,,Ad/Nihub,,Indy/nihub,,
Fg 13,,39.05,39.45,,43.40,44.10,,41.58,42.40,,50.65,50.85,Fg 13,11.40,11.60,6.75,7.25,8.45,9.08,1.70,1.95,-3.15,-2.33,
HJ 13,,35.25,36.00,,39.95,40.40,,36.95,37.70,,44.50,44.75,HJ 13,8.75,9.25,4.35,4.55,7.05,7.55,2.70,3.00,-2.20,-1.20,
K 13,,35.40,36.10,,40.25,40.85,,36.85,37.85,,44.65,44.95,K 13,8.85,9.25,4.10,4.40,7.10,7.80,3.00,3.40,-2.15,-1.05,
M 13,,37.45,37.85,,42.10,42.60,,38.85,39.85,,47.60,47.75,M 13,9.90,10.15,5.15,5.50,7.90,8.75,2.75,3.25,-2.25,-1.40,
NQ 13,,44.25,44.95,,49.50,50.20,,47.50,48.55,,56.00,56.30,NQ 13,11.35,11.75,6.10,6.50,7.75,8.50,1.65,2.00,-4.00,-2.85,
U 13,,35.40,36.10,,40.65,41.35,,37.40,38.60,,46.15,46.35,U 13,10.25,10.75,5.00,5.50,7.75,8.75,2.75,3.25,-3.00,-1.50,
Q4 13,,35.05,35.85,,39.95,40.75,,36.20,37.50,,44.60,45.00,Q4 13,9.15,9.55,4.25,4.65,7.50,8.40,3.25,3.75,-2.05,-0.75,
Cal 2013,,37.58,38.24,,42.42,43.07,,39.52,40.55,,47.91,48.19,Cal 13 legs,9.95,10.33,5.11,5.49,7.64,8.39,2.53,2.92,-2.69,-1.58,
,,,,,,,,,,,,,,,,,,,,,,,,
Cal 2013 OFFPEAKS,,,,,,,,,,,,,,,,,,,,,,,,
,,Indiana 2013,,,Adhub 2013,,,Nihub 2013,,,PJM 2013,,,PJM/Indy,,PJM/Ad,,PJM/Nihub,,AD/nihub,,Indy/nihub,,
Fg 13,,29.25,29.50,,35.25,35.75,,31.25,32.10,,40.50,40.75,Fg 13,11.00,11.50,5.00,5.25,8.65,9.25,3.65,4.00,-2.85,-1.75,
Hj 13,,25.50,26.25,,30.00,30.85,,25.00,26.20,,32.75,33.25,Hj 13,6.50,7.75,2.40,2.75,7.05,7.75,4.65,5.00,-0.70,1.25,
K 13,,23.50,24.00,,26.75,27.50,,21.83,22.58,,29.25,29.65,K 13,5.25,6.15,2.15,2.50,7.08,7.43,4.70,5.15,0.93,2.18,
M 13,,23.50,24.00,,26.85,27.75,,21.85,22.75,,29.35,29.75,M 13,5.35,6.25,2.00,2.50,7.00,7.50,4.75,5.25,0.75,2.15,
NQ 13,,25.50,26.00,,28.65,29.50,,25.95,26.80,,32.00,32.35,NQ 13,6.00,6.85,2.85,3.35,5.55,6.05,2.50,2.90,-1.30,0.05,
U 13,,23.25,24.00,,27.15,27.80,,22.15,22.80,,29.65,30.00,U 13,5.65,6.75,2.20,2.50,7.20,7.50,4.75,5.25,0.45,1.85,
Q4 13,,25.50,26.15,,30.40,31.00,,23.78,24.38,,33.25,33.50,Q4 13,7.10,8.00,2.50,2.85,9.13,9.48,6.40,6.85,1.13,2.38,
Cal 2013,,25.57,26.13,,29.92,30.63,,25.06,25.89,,33.13,33.48,Cal 2013,7.01,7.91,2.84,3.21,7.59,8.07,4.60,5.01,-0.32,1.06,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
