DESTINATION,CODES,NEW RATE USD,CONN CHARGE,EFFECTIVE DATE,STATUS
Azerbaijan Mobile AzerCell,99450,0.2441,0,30/Jan/16,SAME
Azerbaijan Mobile AzerCell,99451,0.2441,0,30/Jan/16,SAME
Azerbaijan Mobile Azerfone,99470,0.2475,0,30/Jan/16,SAME
Azerbaijan Mobile Azerfone,99477,0.2475,0,30/Jan/16,SAME
Azerbaijan Mobile Bakcell,99455,0.2475,0,05/Feb/16,INCREASE
Azerbaijan Mobile Fonex,99440,0.2475,0,05/Feb/16,INCREASE
Azerbaijan Mobile Other,99444,0.2306,0,30/Jan/16,SAME
Azerbaijan Mobile Other,99460,0.2306,0,30/Jan/16,SAME
Bahamas,1242,0.0403,0,30/Jan/16,SAME
Bahamas Mobile,1242357,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242359,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242375,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242376,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242395,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242421,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242422,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242423,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242424,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242425,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242426,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242427,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242428,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242429,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242431,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242432,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242433,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242434,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242435,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242436,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242437,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242438,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242439,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242441,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242442,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242443,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242445,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242446,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242447,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242448,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242449,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242451,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242452,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242453,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242454,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242455,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242456,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242457,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242458,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242462,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242463,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242464,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242465,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242466,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242467,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242468,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,124247,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242481,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242524,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242525,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242533,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242535,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242544,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242551,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242552,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242553,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242554,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242556,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242557,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242558,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242559,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242565,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242577,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242636,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242646,0.0903,0,30/Jan/16,SAME
Bahamas Mobile,1242727,0.0903,0,30/Jan/16,SAME
Bahrain,973,0.0656,0,05/Feb/16,INCREASE
Bahrain Broadband,9737111,0.0854,0,05/Feb/16,INCREASE
Bahrain Mobile Batelco,97331,0.0699,0,05/Feb/16,INCREASE
Bahrain Mobile Batelco,97332,0.0699,0,05/Feb/16,INCREASE
Bahrain Mobile Batelco,97338,0.0699,0,05/Feb/16,INCREASE
Bahrain Mobile Batelco,97339,0.0699,0,05/Feb/16,INCREASE
Bahrain Mobile Batelco,973667,0.0699,0,05/Feb/16,INCREASE
Bahrain Mobile Viva,97333,0.0699,0,05/Feb/16,INCREASE
Bahrain Mobile Viva,97334,0.0699,0,05/Feb/16,INCREASE
Bahrain Mobile Viva,97335,0.0699,0,05/Feb/16,INCREASE
Bahrain Mobile Viva,9736300,0.0699,0,05/Feb/16,INCREASE
Bahrain Mobile Viva,9736333,0.0699,0,05/Feb/16,INCREASE
Bahrain Mobile Viva,9736361,0.0699,0,05/Feb/16,INCREASE
Bahrain Mobile Viva,9736366,0.0699,0,05/Feb/16,INCREASE
Bahrain Mobile Zain,97336,0.0808,0,05/Feb/16,INCREASE
Bahrain Mobile Zain,97337,0.0808,0,05/Feb/16,INCREASE
Bahrain Mobile Zain,973663,0.0808,0,05/Feb/16,INCREASE
Bahrain Mobile Zain,973666,0.0808,0,05/Feb/16,INCREASE
Bahrain Mobile Zain,973669,0.0808,0,05/Feb/16,INCREASE
Bahrain WIMAX,97377,0.0656,0,05/Feb/16,INCREASE
Bangladesh,880,0.022,0,05/Feb/16,INCREASE
Bangladesh Mobile,8801,0.0195,0,09/Oct/15,SAME
Barbados,1246,0.1234,0,30/Jan/16,SAME
Barbados Mobile CW,124623,0.1779,0,30/Jan/16,SAME
