,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"_____: COCO PALM BODU HITHI,5*",,,,,,,,,,,,,,,,
 __________,_____,____ ___,DBL,SNGL,TRPL,DBL + CHLD (2-12),"__________ ____: 7=5, 14=10. __ _____ __________ _____ _______ 12 usd/___/_____. _____________ _ 01/08/11 __ 31/10/11 ______ ___ _______ DBL.",,,,,,,,,
ISLAND VILLA,,,,,,,,,,,,,,,,
  01.08.11-30.09.11,1, BB ,820,770,1120,1025,,,,,,,,,,
  01.10.11-31.10.11,1, BB ,729,676,996,912,,,,,,,,,,
"_________ ________ __ ________ _ USD  _ - _ - _ _____ 193/___, 148/___",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"_____: CONRAD MALDIVES RANGALI ISLAND,5* ",,,,,,,,,,,,,,,,
 __________,_____,____ ___,DBL,SNGL,TRPL,DBL + CHLD (2-12),"__________ ____: 7=6, 5=4. __ _____ __________ _____ _______ 12 usd/___/_____. _____________ _ 01/08/11 __ 31/10/11 ______ ___ _______ DBL.",,,,,,,,,
BEACH VILLA,,,,,,,,,,,,,,,,
  01.08.11-21.08.11,1, BB ,808,775,935,935,,,,,,,,,,
  22.08.11-30.09.11,1, BB ,486,453,610,613,,,,,,,,,,
  01.10.11-31.10.11,1, BB ,808,775,935,935,,,,,,,,,,
"_________ ________ __ ________ _ USD  _ - _ - _ ____________ 559/___, 236/___",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"_____: FOUR SEASONS RESORT MALDIVES AT KUDA HURAA,5* ",,,,,,,,,,,,,,,,
 __________,_____,____ ___,DBL,SNGL,TRPL,DBL + CHLD (2-12),,,,,,,,,,
BEACH PAVILION WITH POOL,,,,,,,,,,,,,,,,
01.08.11-31.10.11,1,__,1010,997,1065,1053,,,,,,,,,,
"_________ ________ __ ________ _ USD  _ - _ - _ _____ 223/___, 112/___",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"_____: FOUR SEASONS RESORT MALDIVES AT LANDAA GIRAAVARU,5* ",,,,,,,,,,,,,,,,
 __________,_____,____ ___,DBL,SNGL,TRPL,DBL + CHLD (2-12),,,,,,,,,,
BEACH BUNGALOW  WITH POOL,,,,,,,,,,,,,,,,
01.08.11-31.10.11,1, BB ,1238,1225,1293,1281,,,,,,,,,,
"_________ ________ __ ________ _ USD  _ - _ - _ ____________ 553/___, 280/___",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"_____: KANUHURA MALDIVES,5* ",,,,,,,,,,,,,,,,
 __________,_____,____ ___,DBL,SNGL,TRPL,DBL + CHLD (2-12),,,,,,,,,,
BEACH VILLA,,,,,,,,,,,,,,,,
  01.08.11-30.09.11,1, BB ,700,653,950,850,,,,,,,,,,
  01.10.11-31.10.11,1, BB ,854,812,1100,997,,,,,,,,,,
"_________ ________ __ ________ _ USD  _ - _ - _ ____________ 481/___, 241/___",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"_____: ONE & ONLY MALDIVES AT REETHI RAH,5* ",,,,,,,,,,,,,,,,
 __________,_____,____ ___,DBL,SNGL,TRPL,DBL + CHLD (2-12),"__________ ____: 7=6, 12=10 + BB=HB ___ 2 ___. _ ______. _______ __ __________ ____ 12 usd/_____/___. _____________ _ 01/08/11 __ 15/10/11  ______ ___ _______ SBGL, DBL, Beach Villa, Beach Villa with Pool.",,,,,,,,,
BEACH VILLA,,,,,,,,,,,,,,,,
  01.08.11-31.08.11,1, BB ,1297,1290,1755,1535,,,,,,,,,,
  01.09.11-30.09.11,1, BB ,971,958,1417,1204,,,,,,,,,,
  01.10.11-31.10.11,1, BB ,1297,1290,1755,1535,,,,,,,,,,
"_________ ________ __ ________ _ USD  _ - _ - _ ____________ 433/___, 217/___",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"_____: SONEVA FUSHI BY SIX SENSES,5*",,,,,,,,,,,,,,,,
 __________,_____,____ ___,DBL,SNGL,TRPL,DBL + CHLD (2-12),"__________ ____: 7=5 + __=__._______ __ __________ ____ 12 usd/c____/___. _____________ _ 12/05/11 __ 11/10/11 ______ ___ _______ DBL _ TRPL.",,,,,,,,,
REHENDI ROOM,,,,,,,,,,,,,,,,
  01.07.11-25.07.11,1, BB ,768,705,934,856,,,,,,,,,,
26.07.11-31.07.11,1, BB ,678,615,844,766,,,,,,,,,,
26.07.11-31.07.11,1, BB ,802,740,970,890,,,,,,,,,,
"_________ ________ __ ________ _ USD  _ - _ - _ ____________ 583/___, 292/___",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"_____: SONEVA GILI BY SIX SENSES,5* ",,,,,,,,,,,,,,,,
 __________,_____,____ ___,DBL,SNGL,TRPL,DBL + CHLD (2-12),"__________ ____: 7=5, 10=7, 14=10. _______ __ __________ ____ 12 usd/c____/___. _____________ _ 12/05/11 __ 11/10/11 ______ ___ _______ DBL _ TRPL.",,,,,,,,,
SG VILLA SUITE,,,,,,,,,,,,,,,,
  01.07.11-25.07.11,1, BB ,1333,1270,1498,1420,,,,,,,,,,
26.07.11-31.07.11,1, BB ,1273,1209,1438,1360,,,,,,,,,,
26.07.11-31.07.11,1, BB ,1525,1462,1696,1612,,,,,,,,,,
"_________ ________ __ ________ _ USD  _ - _ - _ _____ 211/___, 106/___",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"_____: TAJ EXOTICA RESORT & SPA,5* ",,,,,,,,,,,,,,,,
 __________,_____,____ ___,DBL,SNGL,TRPL,DBL + CHLD (2-12),"__________ ____: 7=5, 10=08, 14=10. _______ __ __________ ____ 12 usd/c____/___. _____________ _ 01/04/11 __ 23/12/11 ______ ___ _______ DBL .",,,,,,,,,
LAGOON VILLA,,,,,,,,,,,,,,,,
  01.08.11-31.08.11,1, BB ,1008,969,1222,1124,,,,,,,,,,
01.09.11-31.10.11,1, BB ,915,877,1133,1030,,,,,,,,,,
"_________ ________ __ ________ _ USD  _ - _ - _ _____ 157/___, 79/___",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"_____: W RETREAT & SPA MALDIVES,5* ",,,,,,,,,,,,,,,,
 __________,_____,____ ___,DBL,SNGL,TRPL,"__________ ____: 7=6, 14=10. _______ __ __________ ____ 12 usd/_____/___. _____________ _ 10/01/11 __ 25/12/11 ______ ___ _______ DBL.",,,,,,,,,,
BEACH OASIS ROOM,,,,,,,,,,,,,,,,
  01.08.11-05.09.11,1, BB ,1320,1307,1675,,,,,,,,,,,
  06.09.11-31.10.11,1, BB ,935,925,1290,,,,,,,,,,,
_________ ________ __ ________ _ USD  _ - _ - _ ____________ 449/___,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
