,,,,Copyright 2008 by UE Systems Inc. Patent Pending.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.00,0.12, $24.91 ,0.09, $18.09 ,0.07, $13.53 ,0.04, $8.82 ,0.02, $4.10 ,$0.01 , $1.71 ,0.00, $0.81 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.00,0.17, $35.90 ,0.13, $26.59 ,0.10, $20.24 ,0.07, $13.57 ,0.03, $6.66 ,$0.01 , $2.97 ,0.01, $1.48 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.00,0.23, $47.68 ,0.17, $35.86 ,0.13, $27.67 ,0.09, $18.96 ,0.05, $9.71 ,$0.02 , $4.55 ,0.01, $2.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.00,0.29, $60.11 ,0.22, $45.78 ,0.17, $35.72 ,0.12, $24.91 ,0.06, $13.21 ,$0.03 , $6.46 ,0.02, $3.43 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.00,0.35, $73.13 ,0.27, $56.29 ,0.21, $44.32 ,0.15, $31.38 ,0.08, $17.13 ,$0.04 , $8.68 ,0.02, $4.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.00,0.42, $86.66 ,0.32, $67.32 ,0.26, $53.44 ,0.18, $38.33 ,0.10, $21.45 ,$0.05 , $11.21 ,0.03, $6.23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.00,0.49, $100.65 ,0.38, $78.82 ,0.30, $63.02 ,0.22, $45.72 ,0.13, $26.17 ,$0.07 , $14.05 ,0.04, $7.96 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,0.55, $115.08 ,0.44, $90.77 ,0.35, $73.04 ,0.26, $53.54 ,0.15, $31.25 ,$0.08 , $17.20 ,0.05, $9.90 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,0.63, $129.90 ,0.50, $103.14 ,0.40, $83.47 ,0.30, $61.75 ,0.18, $36.70 ,$0.10 , $20.65 ,0.06, $12.07 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,0.70, $145.09 ,0.56, $115.89 ,0.45, $94.29 ,0.34, $70.35 ,0.20, $42.50 ,$0.12 , $24.40 ,0.07, $14.46 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,0.77, $160.63 ,0.62, $129.01 ,0.51, $105.47 ,0.38, $79.31 ,0.23, $48.65 ,$0.14 , $28.45 ,0.08, $17.07 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,0.85, $176.50 ,0.69, $142.48 ,0.56, $117.00 ,0.43, $88.62 ,0.27, $55.12 ,$0.16 , $32.80 ,0.10, $19.91 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,0.93, $192.68 ,0.75, $156.28 ,0.62, $128.87 ,0.47, $98.26 ,0.30, $61.93 ,$0.18 , $37.44 ,0.11, $22.98 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,1.01, $209.15 ,0.82, $170.40 ,0.68, $141.06 ,0.52, $108.24 ,0.33, $69.05 ,$0.20 , $42.38 ,0.13, $26.28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,1.09, $225.91 ,0.89, $184.82 ,0.74, $153.56 ,0.57, $118.53 ,0.37, $76.48 ,$0.23 , $47.60 ,0.14, $29.80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,1.17, $242.94 ,0.96, $199.53 ,0.80, $166.36 ,0.62, $129.12 ,0.41, $84.22 ,$0.26 , $53.12 ,0.16, $33.56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,1.25, $260.22 ,1.03, $214.52 ,0.86, $179.44 ,0.67, $140.01 ,0.44, $92.26 ,$0.28 , $58.93 ,0.18, $37.55 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,1.34, $277.75 ,1.11, $229.78 ,0.93, $192.81 ,0.73, $151.19 ,0.48, $100.60 ,$0.31 , $65.02 ,0.20, $41.76 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,1.42, $295.52 ,1.18, $245.30 ,0.99, $206.44 ,0.78, $162.65 ,0.53, $109.22 ,$0.34 , $71.40 ,0.22, $46.22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,1.51, $313.53 ,1.26, $261.08 ,1.06, $220.34 ,0.84, $174.39 ,0.57, $118.14 ,$0.38 , $78.07 ,0.25, $50.91 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,1.60, $331.75 ,1.34, $277.10 ,1.13, $234.49 ,0.90, $186.40 ,0.61, $127.34 ,$0.41 , $85.02 ,0.27, $55.83 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,1.69, $350.20 ,1.41, $293.36 ,1.20, $248.89 ,0.96, $198.67 ,0.66, $136.81 ,$0.44 , $92.25 ,0.29, $60.99 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,1.78, $368.85 ,1.49, $309.86 ,1.27, $263.53 ,1.02, $211.19 ,0.71, $146.56 ,$0.48 , $99.77 ,0.32, $66.38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,1.87, $387.71 ,1.57, $326.58 ,1.34, $278.41 ,1.08, $223.97 ,0.75, $156.58 ,$0.52 , $107.56 ,0.35, $72.02 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,1.96, $406.76 ,1.66, $343.52 ,1.41, $293.52 ,1.14, $237.00 ,0.80, $166.87 ,$0.56 , $115.64 ,0.38, $77.89 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,2.05, $426.01 ,1.74, $360.67 ,1.49, $308.86 ,1.21, $250.26 ,0.86, $177.43 ,$0.60 , $124.00 ,0.40, $84.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,2.15, $445.44 ,1.82, $378.03 ,1.56, $324.42 ,1.27, $263.77 ,0.91, $188.25 ,$0.64 , $132.63 ,0.44, $90.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,2.24, $465.06 ,1.91, $395.60 ,1.64, $340.19 ,1.34, $277.51 ,0.96, $199.32 ,$0.68 , $141.54 ,0.47, $96.94 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,2.34, $484.85 ,1.99, $413.37 ,1.72, $356.18 ,1.40, $291.48 ,1.02, $210.66 ,$0.73 , $150.73 ,0.50, $103.77 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,2.43, $504.82 ,2.08, $431.33 ,1.79, $372.37 ,1.47, $305.68 ,1.07, $222.24 ,$0.77 , $160.20 ,0.53, $110.84 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,2.53, $524.96 ,2.17, $449.49 ,1.87, $388.77 ,1.54, $320.09 ,1.13, $234.08 ,$0.82 , $169.94 ,0.57, $118.15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,2.63, $545.26 ,2.25, $467.83 ,1.95, $405.36 ,1.61, $334.73 ,1.19, $246.17 ,$0.87 , $179.96 ,0.61, $125.71 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,2.73, $565.73 ,2.34, $486.36 ,2.03, $422.16 ,1.68, $349.58 ,1.25, $258.50 ,$0.92 , $190.25 ,0.64, $133.51 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,2.83, $586.36 ,2.43, $505.07 ,2.12, $439.14 ,1.76, $364.65 ,1.31, $271.08 ,$0.97 , $200.82 ,0.68, $141.55 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,2.93, $607.14 ,2.53, $523.96 ,2.20, $456.32 ,1.83, $379.93 ,1.37, $283.90 ,$1.02 , $211.65 ,0.72, $149.84 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,3.03, $628.07 ,2.62, $543.02 ,2.28, $473.68 ,1.91, $395.41 ,1.43, $296.96 ,$1.07 , $222.77 ,0.76, $158.37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39,3.13, $649.16 ,2.71, $562.25 ,2.37, $491.23 ,1.98, $411.10 ,1.50, $310.26 ,$1.13 , $234.15 ,0.81, $167.15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,3.23, $670.39 ,2.80, $581.65 ,2.45, $508.96 ,2.06, $426.98 ,1.56, $323.79 ,$1.18 , $245.80 ,0.85, $176.17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,3.33, $691.77 ,2.90, $601.22 ,2.54, $526.87 ,2.14, $443.07 ,1.63, $337.56 ,$1.24 , $257.73 ,0.89, $185.44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,3.44, $713.29 ,2.99, $620.95 ,2.63, $544.95 ,2.21, $459.36 ,1.69, $351.56 ,$1.30 , $269.92 ,0.94, $194.95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,3.54, $734.94 ,3.09, $640.84 ,2.71, $563.21 ,2.29, $475.83 ,1.76, $365.80 ,$1.36 , $282.39 ,0.99, $204.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,3.65, $756.74 ,3.18, $660.88 ,2.80, $581.64 ,2.37, $492.50 ,1.83, $380.26 ,$1.42 , $295.12 ,1.03, $214.73 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,3.75, $778.67 ,3.28, $681.09 ,2.89, $600.23 ,2.45, $509.36 ,1.90, $394.95 ,$1.48 , $308.12 ,1.08, $224.99 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,3.86, $800.73 ,3.38, $701.44 ,2.98, $618.99 ,2.54, $526.41 ,1.98, $409.86 ,$1.55 , $321.39 ,1.13, $235.49 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,3.97, $822.92 ,3.48, $721.95 ,3.07, $637.92 ,2.62, $543.64 ,2.05, $425.00 ,$1.61 , $334.93 ,1.19, $246.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,4.07, $845.25 ,3.58, $742.60 ,3.17, $657.01 ,2.70, $561.06 ,2.12, $440.36 ,$1.68 , $348.73 ,1.24, $257.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,4.18, $867.69 ,3.68, $763.41 ,3.26, $676.26 ,2.79, $578.66 ,2.20, $455.94 ,$1.75 , $362.81 ,1.29, $268.51 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,4.29, $890.27 ,3.78, $784.35 ,3.35, $695.66 ,2.87, $596.44 ,2.27, $471.74 ,$1.82 , $377.14 ,1.35, $280.01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,4.40, $912.96 ,3.88, $805.44 ,3.45, $715.22 ,2.96, $614.39 ,2.35, $487.77 ,$1.89 , $391.75 ,1.41, $291.76 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,4.51, $935.78 ,3.98, $826.68 ,3.54, $734.94 ,3.05, $632.52 ,2.43, $504.00 ,$1.96 , $406.62 ,1.46, $303.77 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,4.62, $958.71 ,4.09, $848.05 ,3.64, $754.81 ,3.14, $650.83 ,2.51, $520.46 ,$2.03 , $421.75 ,1.52, $316.03 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,4.73, $981.77 ,4.19, $869.55 ,3.73, $774.83 ,3.23, $669.31 ,2.59, $537.13 ,$2.11 , $437.15 ,1.58, $328.53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,4.84," $1,004.94 ",4.29, $891.20 ,3.83, $795.00 ,3.32, $687.96 ,2.67, $554.01 ,$2.18 , $452.81 ,1.64, $341.29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,4.96," $1,028.22 ",4.40, $912.98 ,3.93, $815.31 ,3.41, $706.78 ,2.75, $571.10 ,$2.26 , $468.74 ,1.71, $354.31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,5.07," $1,051.62 ",4.51, $934.89 ,4.03, $835.77 ,3.50, $725.76 ,2.84, $588.41 ,$2.34 , $484.93 ,1.77, $367.57 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58,5.18," $1,075.12 ",4.61, $956.93 ,4.13, $856.38 ,3.59, $744.92 ,2.92, $605.92 ,$2.42 , $501.38 ,1.84, $381.09 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,5.29," $1,098.74 ",4.72, $979.10 ,4.23, $877.13 ,3.68, $764.24 ,3.01, $623.64 ,$2.50 , $518.10 ,1.90, $394.86 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,5.41," $1,122.47 ",4.83," $1,001.40 ",4.33, $898.01 ,3.78, $783.72 ,3.09, $641.57 ,$2.58 , $535.08 ,1.97, $408.89 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61,5.52," $1,146.31 ",4.93," $1,023.83 ",4.43, $919.04 ,3.87, $803.37 ,3.18, $659.71 ,$2.66 , $552.32 ,2.04, $423.16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62,5.64," $1,170.25 ",5.04," $1,046.38 ",4.53, $940.21 ,3.97, $823.17 ,3.27, $678.05 ,$2.75 , $569.82 ,2.11, $437.70 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63,5.76," $1,194.29 ",5.15," $1,069.05 ",4.63, $961.52 ,4.06, $843.14 ,3.36, $696.60 ,$2.83 , $587.58 ,2.18, $452.48 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64,5.87," $1,218.44 ",5.26," $1,091.85 ",4.74, $982.96 ,4.16, $863.26 ,3.45, $715.35 ,$2.92 , $605.60 ,2.25, $467.53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65,5.99," $1,242.69 ",5.37," $1,114.77 ",4.84," $1,004.53 ",4.26, $883.54 ,3.54, $734.30 ,$3.01 , $623.89 ,2.33, $482.82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,66,6.11," $1,267.05 ",5.48," $1,137.81 ",4.95," $1,026.24 ",4.36, $903.98 ,3.63, $753.45 ,$3.10 , $642.43 ,2.40, $498.38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67,6.22," $1,291.50 ",5.59," $1,160.97 ",5.05," $1,048.08 ",4.46, $924.57 ,3.72, $772.80 ,$3.19 , $661.24 ,2.48, $514.19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,68,6.34," $1,316.06 ",5.71," $1,184.24 ",5.16," $1,070.05 ",4.56, $945.32 ,3.82, $792.36 ,$3.28 , $680.30 ,2.56, $530.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69,6.46," $1,340.71 ",5.82," $1,207.64 ",5.26," $1,092.16 ",4.66, $966.22 ,3.91, $812.11 ,$3.37 , $699.62 ,2.63, $546.57 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70,6.58," $1,365.46 ",5.93," $1,231.15 ",5.37," $1,114.39 ",4.76, $987.27 ,4.01, $832.06 ,$3.47 , $719.21 ,2.71, $563.15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,71,6.70," $1,390.30 ",6.05," $1,254.77 ",5.48," $1,136.74 ",4.86," $1,008.47 ",4.11, $852.20 ,$3.56 , $739.05 ,2.80, $579.98 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,72,6.82," $1,415.24 ",6.16," $1,278.50 ",5.59," $1,159.23 ",4.96," $1,029.81 ",4.20, $872.54 ,$3.66 , $759.15 ,2.88, $597.08 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,73,6.94," $1,440.27 ",6.28," $1,302.35 ",5.70," $1,181.84 ",5.07," $1,051.31 ",4.30, $893.08 ,$3.76 , $779.50 ,2.96, $614.42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,74,7.06," $1,465.40 ",6.39," $1,326.31 ",5.80," $1,204.57 ",5.17," $1,072.96 ",4.40, $913.80 ,$3.86 , $800.12 ,3.05, $632.03 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,7.18," $1,490.62 ",6.51," $1,350.38 ",5.92," $1,227.43 ",5.28," $1,094.75 ",4.50, $934.73 ,$3.96 , $820.99 ,3.13, $649.90 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,76,7.31," $1,515.93 ",6.62," $1,374.56 ",6.03," $1,250.41 ",5.38," $1,116.68 ",4.61, $955.84 ,$4.06 , $842.12 ,3.22, $668.02 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,77,7.43," $1,541.33 ",6.74," $1,398.85 ",6.14," $1,273.51 ",5.49," $1,138.76 ",4.71, $977.15 ,$4.16 , $863.51 ,3.31, $686.40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,78,7.55," $1,566.82 ",6.86," $1,423.25 ",6.25," $1,296.73 ",5.59," $1,160.98 ",4.81, $998.65 ,$4.27 , $885.15 ,3.40, $705.04 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,79,7.67," $1,592.40 ",6.98," $1,447.75 ",6.36," $1,320.07 ",5.70," $1,183.35 ",4.92," $1,020.33 ",$4.37 , $907.05 ,3.49, $723.94 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80,7.80," $1,618.07 ",7.10," $1,472.36 ",6.47," $1,343.53 ",5.81," $1,205.85 ",5.02," $1,042.21 ",$4.48 , $929.20 ,3.58, $743.10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,81,7.92," $1,643.82 ",7.21," $1,497.07 ",6.59," $1,367.11 ",5.92," $1,228.50 ",5.13," $1,064.28 ",$4.59 , $951.61 ,3.67, $762.52 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,82,8.05," $1,669.66 ",7.33," $1,521.88 ",6.70," $1,390.80 ",6.03," $1,251.29 ",5.24," $1,086.53 ",$4.70 , $974.28 ,3.77, $782.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,83,8.17," $1,695.59 ",7.45," $1,546.80 ",6.82," $1,414.61 ",6.14," $1,274.21 ",5.34," $1,108.97 ",$4.81 , $997.20 ,3.87, $802.14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,84,8.30," $1,721.60 ",7.57," $1,571.83 ",6.93," $1,438.54 ",6.25," $1,297.27 ",5.45," $1,131.60 ",$4.92 ," $1,020.38 ",3.96, $822.34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85,8.42," $1,747.70 ",7.70," $1,596.95 ",7.05," $1,462.58 ",6.36," $1,320.47 ",5.56," $1,154.41 ",$5.03 ," $1,043.81 ",4.06, $842.80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,86,8.55," $1,773.88 ",7.82," $1,622.17 ",7.16," $1,486.73 ",6.48," $1,343.81 ",5.67," $1,177.40 ",$5.14 ," $1,067.50 ",4.16, $863.52 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,87,8.68," $1,800.14 ",7.94," $1,647.50 ",7.28," $1,511.00 ",6.59," $1,367.28 ",5.79," $1,200.59 ",$5.26 ," $1,091.44 ",4.26, $884.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,88,8.80," $1,826.48 ",8.06," $1,672.92 ",7.40," $1,535.37 ",6.70," $1,390.89 ",5.90," $1,223.95 ",$5.38 ," $1,115.64 ",4.36, $905.74 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,89,8.93," $1,852.91 ",8.18," $1,698.44 ",7.52," $1,559.86 ",6.82," $1,414.63 ",6.01," $1,247.50 ",$5.49 ," $1,140.08 ",4.47, $927.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,9.06," $1,879.41 ",8.31," $1,724.06 ",7.64," $1,584.46 ",6.93," $1,438.50 ",6.13," $1,271.23 ",$5.61 ," $1,164.79 ",4.57, $949.01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,91,9.19," $1,906.00 ",8.43," $1,749.77 ",7.75," $1,609.17 ",7.05," $1,462.51 ",6.24," $1,295.14 ",$5.73 ," $1,189.74 ",4.68, $971.04 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92,9.31," $1,932.66 ",8.56," $1,775.59 ",7.87," $1,633.99 ",7.16," $1,486.65 ",6.36," $1,319.24 ",$5.86 ," $1,214.95 ",4.79, $993.33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93,9.44," $1,959.41 ",8.68," $1,801.49 ",7.99," $1,658.91 ",7.28," $1,510.92 ",6.47," $1,343.51 ",$5.98 ," $1,240.42 ",4.90," $1,015.88 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,94,9.57," $1,986.23 ",8.81," $1,827.50 ",8.12," $1,683.95 ",7.40," $1,535.31 ",6.59," $1,367.96 ",$6.10 ," $1,266.13 ",5.01," $1,038.70 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,9.70," $2,013.13 ",8.93," $1,853.59 ",8.24," $1,709.09 ",7.52," $1,559.84 ",6.71," $1,392.60 ",$6.23 ," $1,292.10 ",5.12," $1,061.78 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,96,9.83," $2,040.10 ",9.06," $1,879.78 ",8.36," $1,734.34 ",7.64," $1,584.50 ",6.83," $1,417.41 ",$6.35 ," $1,318.32 ",5.23," $1,085.12 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,9.96," $2,067.16 ",9.19," $1,906.07 ",8.48," $1,759.69 ",7.76," $1,609.29 ",6.95," $1,442.40 ",$6.48 ," $1,344.79 ",5.34," $1,108.72 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98,10.09," $2,094.28 ",9.31," $1,932.44 ",8.60," $1,785.15 ",7.88," $1,634.20 ",7.07," $1,467.56 ",$6.61 ," $1,371.51 ",5.46," $1,132.59 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,10.22," $2,121.49 ",9.44," $1,958.91 ",8.73," $1,810.71 ",8.00," $1,659.24 ",7.19," $1,492.91 ",$6.74 ," $1,398.49 ",5.57," $1,156.72 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,10.36," $2,148.77 ",9.57," $1,985.47 ",8.85," $1,836.37 ",8.12," $1,684.40 ",7.32," $1,518.43 ",$6.87 ," $1,425.71 ",5.69," $1,181.12 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,10.49," $2,176.12 ",9.70," $2,012.11 ",8.97," $1,862.14 ",8.24," $1,709.70 ",7.44," $1,544.12 ",$7.00 ," $1,453.19 ",5.81," $1,205.77 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,102,10.62," $2,203.54 ",9.83," $2,038.85 ",9.10," $1,888.01 ",8.36," $1,735.11 ",7.57," $1,570.00 ",$7.14 ," $1,480.92 ",5.93," $1,230.70 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
