Quick Tour of Microsoft Excel Solver,,,,,,,,,,
Month,Q1,Q2,Q3,Q4,Total,,,,,
"sales response is highest, and less in Q3 when the sales response is lowest.  Use Solver to determine",,,,,,,,,,
the best quarterly allocation.,,,,,,,,,,
,,,,,,,,,,
n,"On the Tools menu, click Solver.  In the Set target cell box, type f15 or select",,,,,,,,,
,cell F15 (total profits for the year) on the worksheet.  Make sure the Max option is,,,,,,,,,
,"selected.  In the By changing cells box, type b11:e11 or select cells B11:E11",,,,,,,,,
,(the advertising budget for each of the four quarters) on the worksheet.  Click Solve.,,,,,,,,,
,,,,,,,,,,
n,"After you examine the results, click Restore original values and click OK to",,,,,,,,,
,discard the results and return all cells to their former values.,,,,,,,,,
,,,,,,,,,,
"You've just asked Solver to solve a moderately complex nonlinear optimization problem; that is, to find",,,,,,,,,,
values for the four unknowns in cells B11 through E11 that will maximize profits.  (This is a nonlinear,,,,,,,,,,
problem because of the exponentiation that occurs in the formulas in row 5).  The results of this,,,,,,,,,,
"unconstrained optimization show that you can increase profits for the year to $79,706 if you spend",,,,,,,,,,
"$89,706 in advertising for the full year.",,,,,,,,,,
,,,,,,,,,,
"However, most realistic modeling problems have limiting factors that you will want to apply to certain",,,,,,,,,,
"values.  These constraints may be applied to the target cell, the changing cells, or any other value that",,,,,,,,,,
is related to the formulas in these cells.,,,,,,,,,,
,,,,,,,,,,
Adding a Constraint,,,,,,,,,,
,,,,,,,,,,
"So far, the budget recovers the advertising cost and generates additional profit, but you're reaching a",,,,,,,,,,
point of diminishing returns.  Because you can never be sure that your model of sales response to,,,,,,,,,,
"advertising will be valid next year (especially at greatly increased spending levels), it doesn't seem",,,,,,,,,,
prudent to allow unrestricted spending on advertising.,,,,,,,,,,
,,,,,,,,,,
"Suppose you want to maintain your original advertising budget of $40,000.  Add the constraint to the ",,,,,,,,,,
"problem that limits the sum of advertising during the four quarters to $40,000.",,,,,,,,,,
,,,,,,,,,,
n,"On the Tools menu, click Solver, and then click Add.  The Add Constraint ",,,,,,,,,
,"dialog box appears.  In the Cell reference box, type f11 or select cell F11",,,,,,,,,
,"(advertising total) on the worksheet.  Cell F11 must be less than or equal to $40,000.",,,,,,,,,
,"The relationship in the Constraint box is <= (less than or equal to) by default, so ",,,,,,,,,
,"you don't have to change it.  In the box next to the relationship, type 40000. Click",,,,,,,,,
,"OK, and then click Solve.",,,,,,,,,
,,,,,,,,,,
n,"After you examine the results, click Restore original values and then click OK",,,,,,,,,
,to discard the results and return the cells to their former values.,,,,,,,,,
,,,,,,,,,,
"The solution found by Solver allocates amounts ranging from $5,117 in Q3 to $15,263 in Q4.  Total ",,,,,,,,,,
"Profit has increased from $69,662 in the original budget to $71,447, without any increase in the",,,,,,,,,,
advertising budget.,,,,,,,,,,
,,,,,,,,,,
Changing a Constraint,,,,,,,,,,
,,,,,,,,,,
"When you use Microsoft Excel Solver, you can experiment with slightly different parameters to decide",,,,,,,,,,
"the best solution to a problem.  For example, you can change a constraint to see whether the results",,,,,,,,,,
"are better or worse than before.  In the sample worksheet, try changing the constraint on advertising",,,,,,,,,,
"dollars to $50,000 to see what that does to total profits.",,,,,,,,,,
,,,,,,,,,,
n,"On the Tools menu, click Solver.  The constraint, $F$11<=40000, should ",,,,,,,,,
,already be selected in the Subject to the constraints box.  Click Change.  In,,,,,,,,,
,"the Constraint box, change 40000 to 50000.  Click OK, and then click Solve.",,,,,,,,,
,Click Keep solver solution and then click OK to keep the results that are ,,,,,,,,,
,displayed on the worksheet.,,,,,,,,,
,,,,,,,,,,
"Solver finds an optimal solution that yields a total profit of $74,817.  That's an improvement of $3,370",,,,,,,,,,
"over the last figure of $71,447.  In most firms, it's not too difficult to justify an incremental investment of",,,,,,,,,,
"$10,000 that yields an additional $3,370 in profit, or a 33.7% return on investment.  This solution also",,,,,,,,,,
"results in profits of $4,889 less than the unconstrained result, but you spend $39,706 less to get there.",,,,,,,,,,
,,,,,,,,,,
Saving a Problem Model,,,,,,,,,,
,,,,,,,,,,
"When you click Save on the File menu, the last selections you made in the Solver Parameters ",,,,,,,,,,
"dialog box are attached to the worksheet and retained when you save the workbook.  However, you",,,,,,,,,,
can define more than one problem for a worksheet by saving them individually using Save Model in ,,,,,,,,,,
the Solver Options dialog box.  Each problem model consists of cells and constraints that you ,,,,,,,,,,
entered in the Solver Parameters dialog box.,,,,,,,,,,
,,,,,,,,,,
"When you click Save Model, the Save Model dialog box appears with a default selection, based ",,,,,,,,,,
"on the active cell, as the area for saving the model.  The suggested range includes a cell for each ",,,,,,,,,,
constraint plus three additional cells.  Make sure that this cell range is an empty range on the ,,,,,,,,,,
worksheet.,,,,,,,,,,
,,,,,,,,,,
n,"On the Tools menu, click Solver, and then click Options.  Click Save Model.",,,,,,,,,
,"In the Select model area box, type h15:h18 or select cells H15:H18 on the",,,,,,,,,
,worksheet.  Click OK.,,,,,,,,,
,,,,,,,,,,
Note  You can also enter a reference to a single cell in the Select model area box.  Solver will use,,,,,,,,,,
this reference as the upper-left corner of the range into which it will copy the problem specifications.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"To load these problem specifications later, click Load Model on the Solver Options dialog box,",,,,,,,,,,
"type h15:h18 in the Model area box or select cells H15:H18 on the sample worksheet, and then",,,,,,,,,,
click OK.  Solver displays a message asking if you want to reset the current Solver option settings with,,,,,,,,,,
the settings for the model you are loading.  Click OK to proceed.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
