gender,bdate,educ,jobcat,salary,salbegin,jobtime,prevexp,minority
Male,21843,12,Clerical,24150,14100,92,130,No
Male,22687,19,Manager,72500,28740,92,10,No
Male,22456,19,Manager,68750,27480,92,8,No
Female,13938,8,Clerical,16200,9750,92,,No
Female,24780,12,Clerical,20100,11250,92,24,No
Female,25014,8,Clerical,24000,10950,92,6,No
Female,24902,12,Clerical,25950,10950,92,,No
Female,18479,12,Clerical,24600,10050,92,44,No
Female,25058,12,Clerical,28500,10500,92,6,No
Male,12329,8,Custodial,30750,15000,92,432,Yes
Male,19377,17,Clerical,40200,19500,92,168,Yes
Male,20592,8,Custodial,30000,15000,92,144,Yes
Female,25026,12,Clerical,22050,10950,92,5,Yes
Male,23309,18,Manager,78250,27480,91,47,No
Male,21989,16,Manager,60625,22500,91,44,No
Male,23098,14,Clerical,39900,15750,91,59,No
Male,21626,19,Manager,97000,35010,91,68,No
Male,22955,15,Clerical,27450,15750,91,48,No
Male,24173,15,Clerical,31650,13500,91,18,No
Male,22862,19,Manager,91250,29490,91,23,No
Female,22144,12,Clerical,25200,14400,91,83,No
Female,11155,12,Clerical,21000,11550,91,108,No
Male,23325,12,Clerical,30450,15000,91,49,Yes
Male,19296,15,Clerical,28350,18000,91,151,Yes
Male,14942,12,Custodial,30750,9000,91,314,Yes
Male,17705,12,Custodial,30750,15000,91,240,Yes
Male,21829,16,Manager,54875,27480,90,68,No
Male,22518,14,Clerical,37800,16500,90,60,No
Male,22413,15,Clerical,33450,14100,90,85,No
Male,22806,15,Clerical,30300,16500,90,16,No
Female,11702,12,Clerical,31500,18750,90,205,No
Female,23440,12,Clerical,31650,14250,90,48,No
Female,23215,12,Clerical,25200,14100,90,55,No
Female,23693,16,Manager,37800,15750,90,7,No
Female,13368,15,Clerical,18750,10500,90,54,No
Female,24011,15,Clerical,32550,13500,90,22,No
Female,18012,12,Clerical,33300,15000,90,3,No
Female,23160,16,Clerical,38550,16500,90,,No
Male,20673,12,Clerical,27450,15000,90,173,Yes
Male,18649,15,Custodial,24300,15000,90,191,Yes
Male,18507,12,Custodial,30750,15000,90,209,Yes
Female,17008,12,Clerical,19650,9750,90,229,Yes
Male,21749,17,Manager,68750,27510,89,38,No
Male,21434,20,Manager,59375,30000,89,6,No
Male,22685,15,Clerical,31500,15750,89,22,No
Male,19496,12,Clerical,27300,17250,89,175,No
Male,21805,15,Clerical,27000,15750,89,87,No
Female,15290,16,Manager,41550,24990,89,285,No
Female,24980,12,Clerical,26250,10950,89,,No
Male,14482,12,Clerical,22200,15000,88,324,No
Male,13708,21,Manager,65000,37500,88,264,No
Male,17176,12,Clerical,30900,15000,88,252,No
Female,11492,8,Clerical,20100,13200,88,90,No
Female,23837,12,Clerical,22350,13500,88,26,No
Female,24272,15,Clerical,35550,13350,88,32,No
Female,24424,12,Clerical,28500,13950,88,34,No
Female,14481,12,Clerical,24450,13200,88,107,No
Female,11563,8,Clerical,16650,9750,88,412,No
Male,23391,12,Clerical,26700,13500,88,38,Yes
Male,18630,18,Clerical,43950,23250,88,182,Yes
Male,13404,15,Clerical,23700,13500,88,359,Yes
Female,21828,15,Clerical,26550,14250,88,61,Yes
Male,22825,12,Clerical,27600,15000,87,75,No
Male,19788,12,Clerical,25800,15000,87,143,No
Male,19952,16,Manager,42300,26250,87,126,No
Male,10716,8,Custodial,30750,15000,87,451,No
Female,24605,12,Clerical,26700,12900,87,18,No
Female,14769,12,Clerical,20850,12000,87,163,No
Male,23076,15,Clerical,35250,15000,87,54,Yes
Male,23023,15,Clerical,26700,15000,87,56,Yes
Female,24655,12,Clerical,26550,13050,87,11,Yes
Female,23640,12,Clerical,27750,12000,87,11,Yes
Female,18641,16,Clerical,25050,12750,87,123,Yes
Male,18867,16,Manager,66000,47490,86,150,No
Male,23053,16,Clerical,52650,19500,86,20,No
Male,22426,16,Manager,45625,23250,86,60,No
Male,24056,15,Clerical,30900,15000,86,25,No
Female,23967,15,Clerical,29400,16500,86,24,No
Female,24226,15,Clerical,33300,13500,86,24,No
Female,15534,12,Clerical,21900,9750,86,156,No
Female,11927,12,Clerical,18150,9750,86,72,No
Female,22759,16,Manager,46875,17250,86,19,No
Male,23885,12,Clerical,25500,14400,86,37,Yes
Male,23541,12,Clerical,26550,15000,86,38,Yes
Male,10979,12,Clerical,26700,13500,86,367,Yes
Female,19523,15,Clerical,29850,15000,86,79,Yes
Male,18278,20,Manager,69250,42480,85,134,No
Male,12791,8,Custodial,31950,15000,85,438,No
Male,13888,8,Clerical,26250,15600,85,171,No
Female,22924,16,Clerical,35700,17250,85,19,No
Female,22869,12,Clerical,28500,16500,85,69,No
Female,13897,12,Clerical,17100,10200,85,72,No
Male,23761,12,Clerical,25200,13050,85,29,Yes
Female,21938,12,Clerical,24000,12750,85,59,Yes
Female,14249,12,Clerical,27450,10200,85,101,Yes
Female,15773,12,Clerical,18450,10200,85,228,Yes
Male,21976,15,Clerical,39300,15750,84,72,No
Male,23686,15,Clerical,38850,15000,84,53,No
Male,11198,8,Custodial,30750,15000,84,380,No
Male,23564,15,Clerical,37500,20400,84,33,No
Male,23221,16,Manager,58750,21750,84,13,No
Female,12454,12,Clerical,34500,18750,84,208,No
Female,18350,12,Clerical,36000,19980,84,240,No
Female,12008,8,Clerical,29100,16500,84,35,No
Female,11619,12,Clerical,16500,10200,84,288,No
Male,18180,12,Clerical,19650,12750,84,180,Yes
Female,24310,12,Clerical,24750,12000,84,41,Yes
Female,13980,15,Clerical,27150,15750,84,231,Yes
Female,20399,12,Clerical,26400,12750,84,36,Yes
Female,16864,16,Clerical,23100,12000,84,214,Yes
Male,22920,15,Manager,54900,25500,83,49,No
Male,19070,19,Manager,70875,43500,83,156,No
Male,21218,16,Manager,51250,27480,83,69,No
Male,23055,17,Manager,67500,34980,83,9,No
Male,20217,12,Clerical,29340,19500,83,150,No
Male,23087,15,Clerical,39600,16500,83,47,No
Male,23453,12,Clerical,29100,15000,83,50,No
Male,22210,15,Clerical,33150,16500,83,69,No
Male,16245,16,Manager,66750,52500,83,258,No
Male,15848,12,Custodial,33750,15000,83,284,No
Male,21596,15,Clerical,27300,17250,83,91,No
Female,25170,12,Clerical,24000,11250,83,16,No
Female,12433,8,Clerical,19800,10200,83,75,No
Male,18022,15,Clerical,30600,16500,83,216,Yes
Male,18575,15,Clerical,28950,15000,83,108,Yes
Male,23876,15,Clerical,38400,16500,83,64,Yes
Male,16730,8,Custodial,30750,15000,83,302,Yes
Female,25094,12,Clerical,20400,10950,83,9,Yes
Female,25096,12,Clerical,19200,11100,83,7,Yes
Male,23513,15,Clerical,30150,15750,82,72,No
Male,17972,16,Clerical,34620,27750,82,149,No
Male,23457,15,Clerical,80000,15750,82,34,No
Male,23044,12,Clerical,25350,15000,82,32,No
Male,23240,12,Clerical,29850,15750,82,85,No
Female,17309,12,Clerical,24000,13800,82,97,No
Female,13042,15,Clerical,27750,19500,82,265,No
Female,15414,8,Clerical,22350,10200,82,48,No
Female,12743,12,Clerical,16200,10200,82,,No
Female,24758,15,Clerical,21900,12750,82,,No
Female,23549,16,Clerical,23250,15750,82,4,No
Female,23940,12,Clerical,33900,12000,82,11,No
Female,23275,15,Clerical,25650,14250,82,51,No
Female,14844,12,Clerical,17250,10200,82,358,No
Male,12454,15,Clerical,22500,15000,82,371,Yes
Male,23751,16,Manager,40200,21000,81,3,No
Male,23267,19,Manager,55500,33750,81,62,No
Male,23213,15,Clerical,26550,15000,81,52,No
Male,22232,15,Clerical,50550,19500,81,44,No
Male,22900,19,Manager,75000,31500,81,13,No
Female,25325,8,Clerical,27450,12000,81,9,No
Female,25358,12,Clerical,22650,11250,81,,No
Female,25369,12,Clerical,27300,11250,81,5,No
Female,25460,12,Clerical,27750,11225,81,5,No
Female,22447,16,Manager,54375,18750,81,81,No
Female,13389,8,Clerical,17400,10200,81,390,No
Female,24779,12,Clerical,40800,18000,81,4,No
Female,25244,12,Clerical,23100,10950,81,,No
Female,25461,8,Clerical,22500,10950,81,5,No
Female,25278,12,Clerical,26700,11550,81,18,No
Female,24851,12,Clerical,24900,11250,81,,No
Female,24971,12,Clerical,19650,10950,81,11,No
Female,25302,12,Clerical,22050,10950,81,9,No
Female,25332,12,Clerical,25500,12000,81,11,No
Female,24390,15,Clerical,28200,12750,81,19,No
Female,25222,12,Clerical,23100,11250,81,13,No
Male,25464,12,Clerical,25500,11400,81,9,Yes
Female,15393,8,Clerical,17100,10200,81,,Yes
Male,23415,18,Manager,68125,32490,80,29,No
Male,11916,12,Custodial,30600,15750,80,460,No
Male,17535,19,Manager,52125,27480,80,221,No
Male,18895,19,Manager,61875,36750,80,199,No
Male,25271,8,Clerical,21300,11550,80,24,No
Female,25277,12,Clerical,19650,11250,80,5,No
Female,25254,12,Clerical,22350,11250,80,5,No
Female,25289,12,Clerical,23400,11250,80,18,No
Female,25009,12,Clerical,24300,10950,80,8,No
Female,25124,12,Clerical,28500,11250,80,4,No
Female,25219,12,Clerical,19950,11250,80,8,No
Female,25470,12,Clerical,23400,11250,80,,No
Female,23291,16,Clerical,34500,17250,80,3,No
Female,25439,12,Clerical,18150,10950,80,,No
Male,13286,12,Clerical,22350,15000,80,272,Yes
Male,24183,15,Clerical,40200,17250,79,38,No
Male,17469,15,Clerical,28650,18000,79,261,No
Male,23247,15,Clerical,27750,16500,79,55,No
Male,23545,18,Clerical,66875,31980,79,30,No
Male,14561,12,Custodial,30000,15750,79,308,No
Male,23593,16,Manager,83750,21750,79,12,No
Male,23025,12,Clerical,33900,16500,79,94,No
Male,23873,16,Manager,56500,21000,79,12,No
Female,23882,16,Manager,43000,17490,79,20,No
Female,15869,8,Clerical,20850,12000,79,70,No
Female,25309,12,Clerical,24450,12000,79,8,No
Female,25496,12,Clerical,24750,10950,79,5,No
Male,16486,8,Custodial,34500,15750,79,246,Yes
Male,23269,14,Clerical,27900,15000,79,47,Yes
Male,23067,19,Manager,68125,32010,78,35,No
Male,22564,19,Manager,73500,33000,78,45,No
Male,11106,8,Custodial,30750,15750,78,429,No
Male,21251,15,Manager,40050,25500,78,133,No
Male,23760,16,Clerical,40350,19500,78,20,No
Male,20111,15,Manager,38700,23730,78,176,No
Male,23677,17,Manager,65000,30750,78,26,No
Male,19819,18,Manager,51450,36240,78,149,No
Male,12685,12,Custodial,35250,15750,78,387,No
Male,23138,14,Clerical,25950,15000,78,53,No
Male,24004,15,Clerical,25050,14250,78,24,No
Male,25121,12,Clerical,26700,12750,78,25,No
Male,11921,8,Clerical,24000,15750,78,476,No
Male,23419,12,Clerical,26850,15000,78,48,No
Female,15447,12,Clerical,23400,15300,78,209,No
Female,24343,12,Clerical,24600,13500,78,47,No
Female,23873,15,Clerical,32550,18000,78,6,No
Male,22062,16,Clerical,26550,15000,78,105,Yes
Male,25054,12,Clerical,31500,13500,78,7,Yes
Male,14516,8,Clerical,22350,15000,78,320,Yes
Male,13921,12,Custodial,35250,15750,78,281,Yes
Female,16708,15,Clerical,25800,13500,78,51,Yes
Male,15274,12,Custodial,30750,15750,77,317,No
Male,24202,15,Clerical,30750,16500,77,41,No
Male,16642,16,Manager,50000,32490,77,264,No
Male,23043,15,Clerical,34500,18000,77,63,No
Male,23577,15,Clerical,26250,15750,77,38,No
Male,23459,16,Clerical,44875,21240,77,22,No
Female,18674,12,Clerical,22500,12000,77,63,No
Female,23082,12,Clerical,25650,14250,77,64,No
Female,25501,12,Clerical,21300,11250,77,,No
Female,24435,12,Clerical,29850,13500,77,38,No
Female,25465,12,Clerical,34500,12150,77,4,No
Male,21929,15,Clerical,27750,15000,77,52,Yes
Male,25261,12,Clerical,27750,11550,77,12,Yes
Male,22331,16,Manager,48750,21990,76,61,No
Male,24168,15,Clerical,43410,15750,76,12,No
Male,13464,12,Clerical,22050,15000,76,385,No
Female,19658,12,Clerical,22050,12000,76,6,No
Female,13941,12,Clerical,22500,14250,76,90,No
Female,24605,15,Clerical,25500,12000,76,7,No
Female,24394,12,Clerical,29160,15000,76,22,No
Female,12727,8,Clerical,16800,10200,76,76,No
Male,21390,8,Custodial,29550,15750,76,144,Yes
Male,23803,12,Clerical,26700,15750,76,18,Yes
Male,19292,18,Manager,55000,32490,75,125,No
Male,21421,18,Manager,62500,34980,75,74,No
Male,21679,15,Clerical,27300,17250,75,132,No
Female,15376,12,Clerical,24450,12000,75,144,No
Female,23507,16,Clerical,33000,18000,75,26,No
Female,23768,15,Clerical,37050,18000,75,5,No
Female,24236,12,Clerical,24450,10950,75,32,Yes
Male,11015,8,Custodial,31950,15750,74,408,No
Male,23386,16,Manager,47250,21240,74,45,No
Female,25595,12,Clerical,26100,11550,74,2,No
Female,14104,8,Clerical,15900,10200,74,43,No
Female,15652,8,Clerical,23700,10650,74,281,No
Female,12545,8,Clerical,21750,12450,74,318,No
Male,16457,12,Manager,59400,33750,74,272,Yes
Female,17685,12,Clerical,24450,14250,74,117,Yes
Male,19519,16,Manager,103500,60000,73,150,No
Male,23297,12,Clerical,35700,16500,73,72,No
Female,25328,12,Clerical,22200,16500,73,7,No
Female,25066,15,Clerical,22950,13950,73,22,No
Female,16294,12,Clerical,23100,12000,73,228,No
Female,22808,16,Manager,56750,30000,73,15,No
Female,13961,17,Clerical,29100,12750,73,375,No
Female,14356,12,Clerical,37650,15750,73,132,No
Female,24134,12,Clerical,27900,13500,73,32,No
Female,12384,8,Clerical,21150,12000,73,159,No
Male,20158,12,Custodial,31200,15750,73,155,Yes
Female,16930,12,Clerical,20550,11250,73,154,Yes
Male,22420,15,Clerical,25950,17250,72,83,No
Male,24056,15,Clerical,28350,15000,72,48,No
Female,11706,8,Clerical,17700,10200,72,184,No
Female,16173,15,Clerical,23550,13500,72,49,No
Female,15139,12,Clerical,19950,10200,72,56,No
Female,25061,12,Clerical,29400,15300,72,30,No
Female,24267,12,Clerical,28800,13950,72,18,No
Female,13613,8,Clerical,16950,10200,72,319,No
Male,19878,16,Clerical,35700,18000,72,138,Yes
Female,17252,12,Clerical,17400,10200,72,116,Yes
Female,17822,8,Clerical,21450,10200,72,194,Yes
Female,22361,12,Clerical,24750,12000,72,68,Yes
Female,15483,12,Clerical,16950,10200,72,271,Yes
Female,15907,12,Clerical,26100,13500,72,169,Yes
Male,24790,14,Clerical,28050,15000,71,15,No
Female,23031,16,Clerical,36600,18000,71,12,No
Female,24202,16,Manager,58125,18000,71,11,No
Male,13018,15,Clerical,21300,15750,70,372,No
Male,18200,12,Clerical,22500,16500,70,216,No
Male,24679,15,Clerical,29400,15750,70,15,No
Male,24388,12,Clerical,27450,14700,70,41,No
Male,23659,15,Clerical,29850,15750,70,48,No
Male,24075,15,Clerical,25350,15750,70,56,No
Female,11222,8,Clerical,15750,10200,70,275,No
Female,14012,8,Clerical,19650,13050,70,102,No
Female,15029,12,Clerical,21000,13500,70,82,No
Male,16998,17,Clerical,27000,18000,70,192,Yes
Male,21843,12,Clerical,24000,15750,70,120,Yes
Male,22435,17,Manager,78500,28740,70,67,Yes
Female,20404,12,Clerical,20850,13050,70,127,Yes
Male,11232,12,Custodial,30000,15750,69,348,No
Male,12649,8,Custodial,28500,15750,69,174,No
Male,23776,19,Manager,65000,31980,69,74,No
Male,21552,14,Clerical,30150,16500,69,110,No
Male,21655,19,Manager,66875,32490,69,81,No
Female,25151,15,Clerical,24150,13500,69,7,No
Female,25215,12,Clerical,24450,12450,69,12,No
Female,25700,12,Clerical,21600,12000,69,,No
Female,25378,12,Clerical,27900,12450,69,,No
Female,25603,8,Clerical,29100,12450,69,17,No
Female,25636,12,Clerical,22650,11250,69,2,No
Female,25797,12,Clerical,20850,11250,69,,No
Female,25585,12,Clerical,22950,12300,69,5,No
Female,25893,12,Clerical,30600,12450,69,5,No
Female,25605,12,Clerical,20400,11250,69,,No
Female,25421,12,Clerical,23850,12750,69,20,No
Female,25641,12,Clerical,22800,11250,69,,No
Female,25606,12,Clerical,20700,11250,69,2,No
Female,25686,12,Clerical,21300,11250,69,3,Yes
Female,19480,12,Clerical,24300,15000,69,121,Yes
Female,16265,12,Clerical,19650,13950,69,133,Yes
Male,24020,17,Manager,60000,32490,68,17,No
Male,23991,15,Clerical,30300,15750,68,55,No
Male,23419,19,Manager,61250,33000,68,9,No
Male,22971,19,Clerical,36000,19500,68,21,No
Female,15350,8,Clerical,25200,18750,68,344,No
Female,11556,12,Clerical,16200,10200,68,180,No
Female,25735,12,Clerical,22800,11250,68,2,No
Female,24179,16,Manager,43500,19500,68,11,No
Male,22289,8,Custodial,30300,15750,68,155,Yes
Male,23133,15,Clerical,31950,15750,68,70,Yes
Male,23758,15,Clerical,35250,13500,67,6,No
Male,24675,15,Clerical,37800,15000,67,36,No
Male,23898,15,Clerical,31200,15750,67,46,No
Male,23670,15,Clerical,29400,16500,67,68,No
Male,21017,19,Manager,70000,35040,67,75,No
Male,22586,15,Clerical,33900,15750,67,96,No
Male,23212,15,Clerical,27150,16500,67,78,No
Female,13266,12,Clerical,22200,13800,67,196,No
Female,24294,15,Clerical,31350,11100,67,47,No
Female,15367,12,Clerical,20850,13500,67,181,No
Male,19294,16,Clerical,33300,17490,67,120,Yes
Male,15452,8,Clerical,26250,16050,67,97,Yes
Male,23435,15,Clerical,31950,15750,67,58,Yes
Male,17027,8,Custodial,30000,15750,67,305,Yes
Male,20574,19,Manager,66250,34980,67,99,Yes
Male,21565,18,Manager,86250,45000,66,50,No
Male,23448,12,Clerical,30750,15000,66,56,No
Male,24426,12,Clerical,33540,15750,66,47,No
Male,,16,Clerical,34950,20250,66,55,No
Male,23521,15,Clerical,40350,16500,66,80,No
Male,23889,12,Clerical,30270,15750,66,80,No
Male,12301,8,Clerical,26250,16050,66,264,No
Male,23661,15,Clerical,32400,15000,66,64,No
Female,25744,12,Clerical,20400,11250,66,,No
Female,17481,8,Clerical,24150,12750,66,96,No
Female,18112,15,Clerical,23850,13500,66,122,No
Female,25099,12,Clerical,29700,13500,66,26,No
Female,10634,8,Clerical,21600,13500,66,228,No
Female,22540,12,Clerical,24450,15750,66,87,No
Male,23227,15,Clerical,28050,16500,66,84,Yes
Male,21400,16,Manager,100000,44100,66,128,Yes
Male,22464,15,Clerical,49000,20550,66,86,Yes
Female,12210,12,Clerical,16350,10200,66,163,Yes
Male,24109,16,Manager,70000,21750,65,19,No
Male,19926,19,Manager,55000,34980,65,129,No
Male,25403,15,Clerical,28500,14250,65,20,No
Male,19584,12,Clerical,28800,18000,65,210,No
Male,11177,15,Clerical,24450,15750,65,338,No
Male,23951,19,Manager,90625,31250,65,18,No
Male,23393,16,Manager,43650,19500,65,19,No
Male,21840,19,Manager,75000,42510,65,54,No
Male,24985,15,Clerical,31650,14250,65,10,No
Male,23929,19,Manager,61875,28740,65,26,No
Female,25974,12,Clerical,21750,11250,65,,No
Female,25427,12,Clerical,22500,12750,65,24,No
Female,16018,8,Clerical,21600,13500,65,173,No
Female,23302,16,Manager,34410,19500,65,79,No
Female,12707,15,Clerical,20700,14250,65,241,No
Male,22725,19,Manager,47550,33000,64,27,No
Male,22847,12,Clerical,33900,16500,64,106,No
Female,17699,12,Clerical,23400,13500,64,198,No
Female,24702,16,Clerical,32850,19500,64,20,No
Female,24074,16,Manager,55750,19980,64,36,No
Female,23529,15,Clerical,25200,13950,64,57,No
Male,23398,12,Clerical,26250,15750,64,69,Yes
Male,24322,15,Clerical,26400,15750,64,32,Yes
Male,24159,15,Clerical,39150,15750,63,46,No
Female,13844,12,Clerical,21450,12750,63,139,No
Female,25147,12,Clerical,29400,14250,63,9,No
