,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Unintentional Constituents / Impurities,Chemical Name,,CAS # (if exists),Other Regulatory identification Numbers (if any),Specify Region/Country for other regulatory identification number,,Max level Expected or measured,"Units of measure (% or PPM, specify) for the Max level","If not detected when measured, please provide limit of detection (% or PPM specify)","Does supplier agree to meet the level indicated in this row (if indicated by P&G).  Enter Yes/No and if No, explain.",,,,
,Please include all technically expected or measured in addition to those listed in the next column.      ,Heavy Metal Impurities,,,,,,,,,,,,,
,,"Crystaline silica when relevant (ie, from talc, quartz, silica, mica, etc)",,,,,,,,,,,,,
,,"Asbestos when relevant (ie, talc)",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
," Please include catalyst/s (need to specify), processing aids and unreacted starting materials that may remain in the raw material.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Additional information,"Yes/No.  Please include details or insert pdf document as appropriate.  If P&G expectations have been listed in this column, please state if you can meet them or not and if no, please explain.",,,,,,,,,,,,,
,Are there any toxicological studies (human or environmental)that have been conducted on this material?,,,,,,,,,,,,,,
,"Has testing of any of the constituents listed in the intentional constituent section above been performed on animals? If yes, identify the constituent in the next column and the date of test.",,,,,,,,,,,,,,
,"If this raw material is or contains a particulate, please provide the particle size distribution.",,,,,,,,,,,,,,
,"If the material is Mica or Talc, please attach crystalline free certification in next column",,,,,,,,,,,,,,
,"If the material is Talc, please attach asbestos free certification in next column",,,,,,,,,,,,,,
,Regulatory Inventory Information,,,,,,,,,,,,,,
,Please indicate if the finished raw material is listed in the following inventories and meets the specifications outlined therein:,Listed and Meets Specifications (Y/N/Unknown).  Choose from dropdown menu in cell,,Supplier Comments if No or unknown chosen in previous column,,,,,,,,,,,
,US Code of Federal Regulations (CFR) Title 21 (Yes/No):,,,,,,,,,,,,,,
,"EU Cosmetic Regulation EC 1223/2009  as amended. Supplied quality is at minimum cosmetic grade. * For Annex II listed traces or traces classified as CMR of category 1A, 1B or 2 under Part 3 of Annex VI to EC Regulation No 1272/2008, please provide a statement of technical unavoidability of such traces. * For Dyes/Colorants covered by a SCCS opinion, please provide a statement that specification outlined in SCCS opinion is met. ",,,,,,,,,,,,,,
,China MOH Hygienic standard:,,,,,,,,,,,,,,
,Japan MHLW Standard:,,,,,,,,,,,,,,
,Korea MOH:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Regional Constituent Information,,,,,,,,,,,,,,
,Constituent,Country / Region,CAS#,Other Regulatory identification Numbers or CAS # Equivalent,Type of Regulatory Identifier or CAS # Equivalent,,Define other Regulatory identification Numbers (Region Country etc),,INCI Name,,Define Region or country if others is chosen,,,,
,,All,,,,,,,,,,,,,
,,USA,,,,,,,,,,,,,
,,EU,,,,,,,,,,,,,
,,Other,,,,,,,,,,,,,
,,All,,,,,,,,,,,,,
,,USA,,,,,,,,,,,,,
,,EU,,,,,,,,,,,,,
,,Other,,,,,,,,,,,,,
,,All,,,,,,,,,,,,,
,,USA,,,,,,,,,,,,,
,,EU,,,,,,,,,,,,,
,,Other,,,,,,,,,,,,,
,,All,,,,,,,,,,,,,
,,USA,,,,,,,,,,,,,
,,EU,,,,,,,,,,,,,
,,Other,,,,,,,,,,,,,
,,All,,,,,,,,,,,,,
,,USA,,,,,,,,,,,,,
,,EU,,,,,,,,,,,,,
,,Other,,,,,,,,,,,,,
,,All,,,,,,,,,,,,,
,,USA,,,,,,,,,,,,,
,,EU,,,,,,,,,,,,,
,,Other,,,,,,,,,,,,,
,,All,,,,,,,,,,,,,
,,USA,,,,,,,,,,,,,
,,EU,,,,,,,,,,,,,
,,Other,,,,,,,,,,,,,
,,All,,,,,,,,,,,,,
,,USA,,,,,,,,,,,,,
,,EU,,,,,,,,,,,,,
,,Other,,,,,,,,,,,,,
,,All,,,,,,,,,,,,,
,,USA,,,,,,,,,,,,,
,,EU,,,,,,,,,,,,,
,,Other,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Polymeric Constituents,"Yes/No.  Please include details or insert pdf document as appropriate.  If P&G expectations have been listed in this column, please state if you can meet them or not and if no, please explain.",,,,,,,,,,,,,
,Chemical Name,,,,,,,,,,,,,,
,CAS # of polymeric constituent,,,,,,,,,,,,,,
,Are there any toxicological studies (human or environmental)that have been conducted on this material?,,,,,,,,,,,,,,
,"If this raw material is or contains a particulate, please provide the particle size distribution.",,,,,,,,,,,,,,
,"Has testing of any of the constituents listed in the intentional constituent section above been performed on animals?  If yes, identify the constituent and the date of test.",,,,,,,,,,,,,,
,What is the average molecular weight of the constituent,,,,,,,,,,,,,,
,What is the molecular weight range of the polymer.,,,,,,,,,,,,,,
,If there are portions below 1000 Daltons what is the percentage of the polymer with molecular weight <1000 daltons?,,,,,,,,,,,,,,
,Number of repeating units if not specified in the chemical structure PDF file,,,,,,,,,,,,,,
,"Is the polymer expected to hydrolyze, degrade, decompose, depolymerize, or otherwise break down during use or upon disposal?",,,,,,,,,,,,,,
,"Is the polymer expected to carry an anionic or cationic charge following synthesis, during use, or upon disposal?",,,,,,,,,,,,,,
,Are there any functional groups present which are expected to be reactive at Standard Temperature and Pressure (not under high pressure/high temperature conditions or at extreme pH)?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
