tblPageTypes,Note: WorksheetType entry must match name of existing worksheet to be copied; Blank EmbeddedWorksheet if not used,,,,,tblImpurities,,,,tblAdditionalQuestions,Note: Order column must contain an integer; start at 1 and do not skip any numbers,,
,,,,,,Fatty materials,Fatty Acid/s (Specify via name and CAS#),,,Peptides,Are there any toxicological studies (human or environmental)that have been conducted on this material?,4, 
,,,,,,Fatty materials,Ethylene oxide,,,Peptides,"If this raw material is or contains a particulate, please provide the particle size distribution.",5, 
,,,,,,Inorganics,Heavy Metal Impurities,,,Peptides,What is the mechanism of action if material is functional,6, 
,,,,,,Inorganics,"Crystaline silica when relevant (ie, from talc, quartz, silica, mica, etc)",,,Preservatives,Are there any toxicological studies (human or environmental)that have been conducted on this material?,1, 
,,,,,,Inorganics,"Asbestos when relevant (ie, talc)",,,Preservatives,"Has testing of any of the constituents listed in the intentional constituent section above been performed on animals? If yes, identify the constituent in the next column and the date of test.",2, 
,,,,,,"Naturals, Botanicals","Residual Pesticide or Herbicide such as polychlorinated biphenyl (PCB) CAS 1336-36-3, polychlorinated quaterphenyls (PCQs), polychlorinated dibenzofurans (PCDs) etc)",,,Preservatives,"If this raw material is or contains a particulate, please provide the particle size distribution.",3, 
,,,,,,Organics,Heavy Metal Impurities,,,Silicones,Are there any toxicological studies (human or environmental)that have been conducted on this material?,1, 
,,,,,,Organics,Diethylene Glycol,,,Silicones,"If this raw material is or contains a particulate, please provide the particle size distribution.",2, 
,,,,,,Organics,Polyaromatic hydrocarbons (Specify name and CAS#),,,Silicones,"Has testing of any of the constituents listed in the intentional constituent section above been performed on animals? If yes, identify the constituent in the next column and the date of test.",3, 
,,,,,,Organics,"1,3 butadiene",,,,,, 
,,,,,,Organics,Residual monomer level (Specify name and CAS#),,,,,, 
,,,,,,Organics,PFOA (Per Fluoro Octanoic  Acid),,,,,, 
,,,,,,Organics,PFOS (Per Fluoro Octane Sulfonic Acid),,,,,, 
,,,,,,Organics,HFC's (Hydroflurocarbons) (Specify via name and CAS#),,,,,, 
,,,,,,Organics,Acetaldehyde,,,,,, 
,,,,,,Preservatives,Formaldehyde,,,,,, 
,,,,,,Silicones,Cyclotetrasiloxane,,,,,, 
,,,,,,Silicones,Cyclopentasiloxane,,,,,, 
,,,,,,Silicones,Residual Catalyst/s (Specify via name and CAS#),,,,,, 
,,,,,,Silicones,Heavy Metal,,,,,, 
,,,,,,Silicones,Arsenic,,,,,, 
,,,,,,Silicones,Lead,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
,,,,,,,,,,,,, 
