Product Taxonomy Hierarchy Path,Node ID,Attribute ID BBY,Sequence No.,Attribute Name,Attribute Type,Controlled Value List,UOM,Min Value,Max Value,Decimal Character Set,Min Length,Max Length (Per Instance),Max Length (Total),Minimum Instance,Maximum Instances,Required File Suffix for Ingest,Publish File Type,Ingest Max Pixel Height,Ingest Max Pixel Width,Customer Display Name,Collection Description (For content authors),Customer Facing Description (BBY),Required for Publish from PCM? (Yes/No),"Default Ingestable (R=Required,O=Optional,E=Excluded)",Override Required From:,Override Optional From:,Override Excluded From:,isSearchable?,Displayable?,Facetable?,isComparable?,"Dependent Attribute",Conditional Rule,Composite Group Name,Taglist,Examples,Comments on Validation
Entertainment_Media>Movies_and_TV_Shows,16087,,24016,Movies_and_TV_Shows:Edition,String,,,,,,0,50,,,,,,,,Edition,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows,16087,,24017,Movies_and_TV_Shows:Country_Produced,String,,,,,,0,50,500,,10,,,,,Country Produced,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows,16087,,24018,Movies_and_TV_Shows:Cast_Summary,Tuple [cast id;cast name;cast role],,,,,,1,150,2500,,20,,,,,Cast Summary,,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows,16087,,24019,Movies_and_TV_Shows:Additional_Cast,Tuple [cast id;cast name;cast role],,,,,,0,50,1000,,20,,,,,Additional Cast,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows,16087,,24020,Movies_and_TV_Shows:Schedule,String,,,,,,0,250,,,,,,,,Schedule,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows,16087,,24021,Movies_and_TV_Shows:Included_Deleted_Scenes,String,,,,,,0,250,,,,,,,,Included Deleted Scenes,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows,16087,,24022,Movies_and_TV_Shows:Language,String,,,,,,1,50,,,,,,,,Language,,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows,16087,,24023,Movies_and_TV_Shows:Crew_Summary,Tuple [crew member id;crew member name;crew member role],,,,,,1,150,2500,,20,,,,,Crew Summary,,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows,16087,,24024,Movies_and_TV_Shows:Subtitles,String,English;French;Foreign;Spanish;Multilingual,,,,,,,,,1,,,,,Subtitles,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows,16087,,24025,Movies_and_TV_Shows:Commentary,Boolean,,,,,,,,,,1,,,,,Commentary,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows,16087,,24027,Movies_and_TV_Shows:Region_Code,String,0;1;2;3;4;5;6;7;8;9;All,,,,,,,,,1,,,,,Region Code,,,CR,R,,,,Yes,Yes,No,Yes,Yes,"ATTR_EQUALS(Movies_and_TV_Shows:Format,'DVD')",,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows,16087,,24028,Movies_and_TV_Shows:Series,String,,,,,,0,50,,,,,,,,Series,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows>Movies,16387,,24029,Movies:MPAA_Rating,String,G; NC-17; PG; PG-13; R; Unrated,,,,,,,,,1,,,,,MPAA Rating,Motion Picture Association of America's (MPAA) film-rating system is used in the United States and its territories to rate a film's suitability for certain audiences.,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows>Movies,16387,,24030,Movies:Awards,String,Academy Award winner; Academy Award nominee; Golden Globe winner; Golden Globe nominee; BAFTA Award winner; BAFTA nominee; Emmy Award winner; Emmy Award nominee; European Film Award winner; European Film Award nominee; Cannes Film Festival winner; Sundance Film Festival winner; Venice Film Festival winner; Toronto International Film Festival winner; Slamdance International Film Festival winner; Berlin International Film Festival winner,,,,,,,,,15,,,,,Awards,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows>Movies,16387,,24031,Movies:Year_Of_Release,Integer,,,0,9999,,,,,,,,,,,Year Of Release,,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows>Movies,16387,,24033,Movies:Special_Features,String,,,,,,0,250,2500,,10,,,,,Special Features,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows>Movies,16387,,24034,Movies:Associated_Albums,String,,,,,,0,50,1500,,30,,,,,Associated albums,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows>Movies,16387,,24035,Movies:Associated_Tracks,String,,,,,,0,50,1500,,30,,,,,Associated tracks,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows>Movies,16387,,24036,Movies:Synopsis,String,,,,,,0,2500,,,,,,,,Synopsis,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows>Movies,16387,,24037,Movies:Silent,Boolean,,,,,,,,,,1,,,,,Silent,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows>Movies,16387,,24038,Movies:Movie_Theme,String,"Adoption;Actor's Life;Age Disparity Romance;Air Disasters;Alcoholism;All Washed Up;Amateur Sleuths;Americans Abroad;Amnesia;Ancestors [Anime];Angels;Arranged Marriages;Arrested Adolescence;Art Theft;Assassination Plots;Assumed Identities;Authority Figures [k];Bank Robbery;Baseball Players;Basketball Players;Battle of the Sexes;Battling Illness;Behind Enemy Lines;Behind the Iron Curtain;Being Trustworthy [k];Benign Aliens;Betrayal;Big Break;Biotechnology [Anime];Blackmail;Boarding School Life;Body Image and Self-Esteem;Bodyguards;Bohemian Life;Boss from Hell;Bounty Hunters;Bowling;Boxers;Breakups and Divorces;Brief Encounters;Bullies;Bumbling Cops;Cannibals;Car Racing;Child Prodigies;Chosen One;Cinderella Stories;Circuses & Carnivals;Class Differences;Clearing One's Name;Cliques;Coaches and Players;College Life;Colonialism;Coming Home;Computer Paranoia;Cons and Scams;Conspiracies;Contests, Pageants and Competitions;Cooks and Chefs;Coping With Puberty [k];Courts Martial;Creative Block;Crime Gone Awry;Crime Sprees;Crimes Against Humanity;Crimes of Passion;Criminal's Revenge;Crisis of Conscience;Crisis of Faith;Crowned Heads;Crumbling Marriages;Cults;Cultural Diversity [k];Culture Clash;Curses and Spells;Custody Battles;Cyberspace [Anime];Dancer's Life;Dangerous Attraction;Dangerous Friends;Daring Rescues;Date from Hell;Deal With the Devil;Death in the Family;Death of a Child;Death of a Friend;Death of a Parent;Death of a Partner;Death Row;Demonic Possession;Devil Worship;Disasters at Sea;Discovering One's Heritage;Disfigured Criminals;Dishonor Among Thieves;Doctors and Patients;Domestic Abuse;Double Life;Down on Their Luck;Dropping Out;Drug Addiction;Drug Trade;Drug/Alcohol Experimentation [k];Dying Young;Dysfunctional Families;Eccentric Families;End of the World;Escape From Prison;Estrangement;Evil Aliens;Evil Children;Existential Crisis;Expecting a Baby;Experiments Gone Awry;Facing Death;Fall From Power;Faltering Friendships;Families in Crisis;Family Gatherings;Family Vacations;Fantasy Lands;Fantasy Life;Farm Life;Fashion World;Fathers and Daughters;Fathers and Sons;Femmes Fatales;Feuds;Fighting the System;Filmmaking;Finding a Way Back Home;Finding the Cure;Fired or Laid-Off;First Love;Fish Out of Water;Flight of the Innocent;Foibles of Marriage;Football Players;Forbidden Love;Forces of Nature;Foreign Legion;Future Barbarians;Future Dystopias;Gambling;Gender-Bending;Generation Gap;Genie in a Bottle;Getting Along [k];Ghosts;Going Straight;Going Undercover;Golden Years;Great Battles;Haunted By the Past;Heads of State;Heroic Mission;Hide the Dead Body;High School Life;Hijackings;Hired Killers;Hockey Players;Home From the War;Horses;Hostage Situations;Hotshots;Human Giants;Immigrant Life;Immortality;In Training;Infidelity;Inheritance at Stake;Inner City Blues;Innocence Lost;Interracial/Cross-Cultural Romance;Intersecting Lives;Inventors;Invisible People;Jewel Theft;Journey of Self-Discovery;Kaiju;Keeping a Secret;Kidnapping;Kids in Trouble;Knights and Ladies;Labor Unions;Ladder to the Top;Lawyers;Life in the Arts;Life on the Homefront;Life Under Occupation;Living In Exile;Living With AIDS;Living With Disability;Lone Wolves;Looking For Love;Lost Worlds;Love Triangles;Lovers on the Lam;Lovers Reunited;Mad Scientists;Mafia Life;Magical Girlfriends [Anime];Magical Girls [Anime];Magically Transported;Man's Best Friend;Managing Parental Relationships [k];Marriages of Convenience;Matchmakers;Mecha [Anime];Members of the Clergy;Members of the Press;Men's Friendship;Mental Breakdown;Mental Illness;Mentors;Mercenaries;Message From God;Metamorphosis;Midlife Crises;Military Life;Mind Games;Miraculous Events;Miscarriage of Justice;Mischievous Children;Misfits and Outsiders;Missing Persons;Missionaries;Mistaken Identities;Monkeys;Mothers and Daughters;Mothers and Sons;Mummies;Murder Investigations;Musician's Life;Mutants;Mysterious Strangers;Mythical Creatures;Nannies and Caregivers;New Kid in Town;Nightmare Vacations;Ninjas;Non-Traditional Families;Nothing Goes Right;Obsessive Quests;Office Politics;On the Campaign Trail;On the Run;One Against the Mob;One Last Heist;Opposites Attract;Orphans;Otherwise Engaged;Out For Revenge;Parenthood;Party Film;Peer Pressure [k];Perfect Crime;Persecution [Anime];Pirates;Plagues and Epidemics;Playing the Field;Police Corruption;Political Corruption;Political Unrest;Post-Apocalypse;Practicing Manners [k];Priceless Artifacts and Prized Objects;Prison Life;Private Eyes;Prospectors and Land Rights;Prostitutes;Protecting the Innocent;Psychic Abilities;Pygmalion Stories;Questioning Gender Roles;Questioning Sexuality;Race Against Time;Race Relations;Rags To Riches;Ranchers;Rape & Sexual Abuse;Reconciliation;Redemption;Refugees;Reincarnation;Religious Zealotry;Reluctant Hero;Renegade Body Parts;Riches To Rags;Righting the Wronged;Rise and Fall Stories;Rise To Power;Robots and Androids;Rogue Cops;Romantic Betrayal;Romantic Misunderstandings;Rookie Cops;Runaways;Saintly Fools;Scandals and Cover-Ups;Schemes and Ruses;School Violence [k];Secret Organizations;Self-Destructive Romance;Serendipity;Serial Killers;Servants and Employers;Sexual Awakening;Sharing [k];Sheriffs and Outlaws;Ship Cruises;Shoujo-Ai [Anime];Shounen-Ai [Anime];Showing Feelings [k];Shrunken People;Sibling Relationships;Single Life;Single Parents;Small-Town Life;Soccer Players;Social Climbing;Social Injustice;Southern Gothic;Space Travel;Space Wars;Spiritual Awakening;Split Personalities;Stalkers;Star Detectives;Star-Crossed Lovers;Starting Over;Staying Safe [k];Stop the Wrecking Ball;Stranded;Street Gangs;Suburban Dysfunction;Success is the Best Revenge;Suicide;Summer Camp;Supernatural Romance;Surfing;Survival in the Wilderness;Switched at Birth;Switching Sides;Talented Animals;Talking Animals;Taming the West;Task Forces;Teachers and Students;Technology Run Amok;Teen Angst;Teen Pregnancy;Terror in the Water;Terrorism;Therapy;Thirtysomething Life;Thrill Crime;Time Sleepers;Time Travel;Tomboys;Tortured Genius;Totalitarian States;Toys Come to Life;Trading Bodies;Train Rides;Traitorous Spies/Double Agents;Trapped or Confined;Treacherous Spouses;Treasure Hunts;Triad;Twentysomething Life;Twins and Lookalikes;Under Siege;Underdogs;Unlikely Criminals;Unlikely Friendships;Unlikely Heroes;Unrequited Love;Vacation Romances;Vampires;Vigilantes;Vikings;Virtual Reality;Voodoo;Voyeurs;Wanderlust;War At Sea;War in the Sky;Wax Museums;Wedding Bells;Werewolves;When Animals Attack;When the Parents Are Away;Whistleblowers;White People Among Indians;Widows and Widowers;Wishes Come True;Witches;Witness Protection;Witnessing a Crime;Wizards and Magicians;Wolf in Sheep's Clothing;Woman In Jeopardy;Women During Wartime;Women in Prison;Women's Friendship;Work Ethics;Workplace Romance;Wrestling;Writer's Life;Wrongly Committed;Yakuza;Zombies",,,,,,,,,5,,,,,Movie Theme,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows>Movies,16387,,24039,Movies:Sound_Features,String,,,,,,0,50,500,,10,,,,,Sound Features,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows>TV_Shows,16388,,24040,TV_Shows:TV_Rating,String,G; NC-17; PG; PG-13; R; Unrated,,,,,,,,,1,,,,,TV Rating,,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows>TV_Shows,16388,,24041,TV_Shows:Episode_List,Tuple [episode id;episode name;year of release],,,,,,1,100,4000,,40,,,,,Episode List,,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows>TV_Shows,16388,,24042,TV_Shows:Episode_Year_Of_Release,String,,,,,,1,50,,,,,,,,Episode Year Of Release,,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Music,16389,,24043,Music:Genre,String,Alternative;Avant garde;Blues;Broadway;Children's;Christian;Classic rock;Classical;Comedy;Country;Dance and electronic;Folk;Gospel;Hard rock;Hip hop;Indie;Jazz;Latin;Metal;Miscellaneous;New age;Opera;Other;Pop;R&B;Rap;Reggae;Rock;Soundtracks;Special interest;Spoken word;World,,,,,,,,,10,,,,,Genre,,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,Need to maintain the same transformation that’s currently done
Entertainment_Media>Music,16389,,24072,Music:Vendor_Genre,String,,,,,,1,50,,,,,,,,Vendor Genre,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Music,16389,,24044,Music:Sub_Genre,String,,,,,,1,50,,,,,,,,Sub Genre,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,This can be present in the taxonomy since it’s a optional attribute
Entertainment_Media>Music,16389,,24045,Music:Label,String,,,,,,0,50,,,,,,,,Label,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Music,16389,,24046,Music:Artist,String,,,,,,1,120,,,,,,,,Artist,,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Music,16389,,24047,Music:Album_Length,Decimal,,minutes,0,2000,###0.##,,,,,,,,,,Album Length,,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Music,16389,,24048,Music:Original_Release_Date,Date,,,,,mm/dd/yyyy,,,,,,,,,,Original Release Date,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,Have sent a query to ROVI about ??-??-2009 format in API.  Awaiting response
Entertainment_Media>Music,16389,,24071,Music:Release_Date,Date,,,,,mm/dd/yyyy,,,,,,,,,,Release Date,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Music,16389,,24049,Music:Release_Notes,String,,,,,,1,120,,,,,,,,Release Notes,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Music,16389,,24070,Music:Review,Tuple[Author;Text],,,,,,1,2500,,,,,,,,Review,,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Music,16389,,24050,Music:Credit_List,Tuple[Id;Credit(Array);Name],,,,,,1,100,5000,,50,,,,,Credit List,,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Music,16389,,24051,Music:Mono_Stereo,String,Mono;Stereo,,,,,,,,,1,,,,,Mono/Sterep,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,This can be present in the taxonomy since it’s a optional attribute
Entertainment_Media>Music,16389,,24052,Music:SPARS_Code,String,AAA;AAD;ADD;DDD;DAD;DDA,,,,,,,,,1,,,,,SPARS Code,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Music,16389,,24053,Music:No_Of_Songs,Integer,,,1,500,,,,,,,,,,,No Of Songs,,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Music,16389,,24054,Music:Song_List,Tuple [Song sequence;Track name;Artist info;Runtime],,,,,,1,150,7500,,50,,,,,Song List,,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,This should have all the song list with artist name and run time for each song
Entertainment_Media>Music,16389,,24055,Music:Format,String,CD;SACD;DVD;Vinyl Record,,,,,,,,,1,,,,,Format,,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Music,16389,,24056,Music:Explicit_Content,Boolean,,,,,,,,,,1,,,,,Explicit Content,,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Music,16389,,24057,Music:Record_Size,String,7 in.; 10 in.; 12 in.,,,,,,,,,1,,,,,Record Size,,,CO,O,,,,Yes,Yes,No,Yes,Yes,"ATTR_EQUALS(Music:Format,'Vinyl Record')",,Specification Attribute,,This can be present in the taxonomy since it’s a optional attribute
Entertainment_Media>Music,16389,,24058,Music:Record_Speed,String,33-1/3; 45; 78,,,,,,,,,1,,,,,Record Speed,,,CO,O,,,,Yes,Yes,No,Yes,Yes,"ATTR_EQUALS(Music:Format,'Vinyl Record')",,Specification Attribute,,This can be present in the taxonomy since it’s a optional attribute
Entertainment_Media,16010,,24059,Entertainment_Media:Front_Zoom,Asset,,,,,,,,,,1,_sd.jpg,.jpg,1000,1000,,Straight on Front Facing Shot ,,Y,O,,,,No,No,No,No,No,,,Received Asset,,
Entertainment_Media,16010,,24060,Entertainment_Media:Back_Zoom,Asset,,,,,,,,,,1,_rd.jpg,.jpg,1000,1000,,Rear Facing Angle Shot ,,N,O,,,,No,No,No,No,No,,,Received Asset,,
Entertainment_Media,16010,,24061,Entertainment_Media:Front_Standard,Asset,,,,,,,,,,1,_sa.jpg,.jpg,500,500,,Straight on Front Facing Shot ,,N,O,,,,No,No,No,No,No,,,Received/Generated Asset,,
Entertainment_Media,16010,,24062,Entertainment_Media:Front_Large,Asset,,,,,,,,,,1,_sb.jpg,.jpg,220,160,,Straight on Front Facing Shot ,,N,E,,,,No,No,No,No,No,,,Generated Asset,,
Entertainment_Media,16010,,24063,Entertainment_Media:Front_Medium,Asset,,,,,,,,,,1,_FP.gif,.gif,70,140,,Straight on Front Facing Shot ,,N,E,,,,No,No,No,No,No,,,Generated Asset,,
Entertainment_Media,16010,,24064,Entertainment_Media:Front_Detail,Asset,,,,,,,,,,1,_sc.jpg,.jpg,105,210,,Straight on Front Facing Shot ,,N,E,,,,No,No,No,No,No,,,Generated Asset,,
Entertainment_Media,16010,,24065,Entertainment_Media:Front_Thumbnail,Asset,,,,,,,,,,1,_s.jpg,.jpg,54,108,,Straight on Front Facing Shot ,,N,O,,,,No,No,No,No,No,,,Generated Asset,,
Entertainment_Media,16010,,24066,Entertainment_Media:Back_Standard,Asset,,,,,,,,,,1,_ra.jpg,.jpg,500,500,,Rear Angle Shot ,,N,O,,,,No,No,No,No,No,,,Received/Generated Asset,,
Entertainment_Media>Movies_and_TV_Shows,16387,,24068,Movies_and_TV_Shows:Trailer,String,,,,,,0,250,,,,,,,,,Trailer Video Reference,,N,O,,,,No,No,No,No,No,,,Received/Generated Asset,,
Entertainment_Media>Music,16389,,24069,Music:Sound_Clips,Tuple[Composer;Performer;Title;Sample],,,,,,0,150,7500,,50,,,,,,Sound Clip Reference,,N,O,,,,No,No,No,No,No,,,Received/Generated Asset,,
