Bundespräsidentenwahl  25. April 2010,,,,,,, Stand: , 30/04/10 18:40:45,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Nr.,Name,Wahlbe-, abgegeb. , Wahlbet. , ungültige ,, gültige ,,Dr. Fischer,,Dr. Gehring,, Rosenkranz ,, P 4 ,, P 5 ,, P 6 ,, erste Eingabe ,, letzte Eingabe ,
4E099,Wahlkarten Mühlviertel,0,,,,,,,,,,,,,,,,,,,    ,    ,    ,    
40100,Stadt Linz,"141,479"," 73,689 ", 52.08 ," 3,834 ", 5.20 ," 69,855 ", 94.80 ," 57,666 ", 82.55 ," 2,520 ", 3.61 ," 9,669 ", 13.84 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:39:31,30/04/2010,16:29:37
40101,Linz,"141,479"," 65,294 ", 46.15 ," 3,430 ", 5.25 ," 61,864 ", 94.75 ," 50,761 ", 82.05 ," 2,220 ", 3.59 ," 8,883 ", 14.36 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:39:31,25/04/2010,17:46:29
40199,Wahlkarten Linz,0," 8,395 ", 0 , 404 , 4.81 ," 7,991 ", 95.19 ," 6,905 ", 86.41 , 300 , 3.75 , 786 , 9.84 , 0 , 0 , 0 , 0 , 0 , 0 ,30/04/2010,16:29:37,30/04/2010,16:29:37
40200,Stadt Steyr                         ,"28,805"," 15,549 ", 53.98 , 870 , 5.60 ," 14,679 ", 94.40 ," 11,804 ", 80.41 , 577 , 3.93 ," 2,298 ", 15.66 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:24:08,30/04/2010,16:47:53
40201,Steyr             ,"28,805"," 14,369 ", 49.88 , 819 , 5.70 ," 13,550 ", 94.30 ," 10,839 ", 79.99 , 520 , 3.84 ," 2,191 ", 16.17 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:24:08,25/04/2010,17:24:08
40299,Wahlkarten Steyr                         ,0," 1,180 ", 0 , 51 , 4.32 ," 1,129 ", 95.68 , 965 , 85.47 , 57 , 5.05 , 107 , 9.48 , 0 , 0 , 0 , 0 , 0 , 0 ,30/04/2010,16:47:53,30/04/2010,16:47:53
40300,Stadt Wels                          ,"40,872"," 20,742 ", 50.75 ," 1,137 ", 5.48 ," 19,605 ", 94.52 ," 15,291 ", 78.00 , 818 , 4.17 ," 3,496 ", 17.83 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:42:32,30/04/2010,16:08:40
40301,Wels,"40,872"," 18,928 ", 46.31 ," 1,049 ", 5.54 ," 17,879 ", 94.46 ," 13,857 ", 77.50 , 751 , 4.20 ," 3,271 ", 18.30 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:42:32,27/04/2010,12:19:51
40399,Wahlkarten Wels                          ,0," 1,814 ", 0 , 88 , 4.85 ," 1,726 ", 95.15 ," 1,434 ", 83.08 , 67 , 3.88 , 225 , 13.04 , 0 , 0 , 0 , 0 , 0 , 0 ,30/04/2010,16:08:40,30/04/2010,16:08:40
40400,Bezirk Braunau am Inn                ,"75,019"," 36,919 ", 49.21 ," 2,478 ", 6.71 ," 34,441 ", 93.29 ," 25,795 ", 74.90 ," 2,166 ", 6.29 ," 6,480 ", 18.81 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:05:05,30/04/2010,14:40:52
40401,Altheim                       ,"3,875"," 1,817 ", 46.89 , 110 , 6.05 ," 1,707 ", 93.95 ," 1,271 ", 74.46 , 84 , 4.92 , 352 , 20.62 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:49:14,25/04/2010,15:49:14
40402,Aspach                        ,"1,888", 856 , 45.34 , 81 , 9.46 , 775 , 90.54 , 556 , 71.74 , 76 , 9.81 , 143 , 18.45 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:41:24,25/04/2010,12:41:24
40403,Auerbach                      ,406, 199 , 49.01 , 17 , 8.54 , 182 , 91.46 , 129 , 70.88 , 20 , 10.99 , 33 , 18.13 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,11:54:01,25/04/2010,11:54:01
40404,Braunau am Inn                ,"12,267"," 5,396 ", 43.99 , 341 , 6.32 ," 5,055 ", 93.68 ," 3,735 ", 73.89 , 234 , 4.63 ," 1,086 ", 21.48 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:05:05,25/04/2010,17:17:53
40405,Burgkirchen                   ,"2,038", 917 , 45.00 , 74 , 8.07 , 843 , 91.93 , 647 , 76.75 , 52 , 6.17 , 144 , 17.08 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:50:26,25/04/2010,13:50:26
40406,Eggelsberg                    ,"1,704", 724 , 42.49 , 42 , 5.80 , 682 , 94.20 , 512 , 75.07 , 51 , 7.48 , 119 , 17.45 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:59:19,25/04/2010,13:59:19
40407,Feldkirchen bei Mattighofen   ,"1,504", 638 , 42.42 , 24 , 3.76 , 614 , 96.24 , 444 , 72.31 , 43 , 7.00 , 127 , 20.68 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:41:16,25/04/2010,12:41:16
40408,Franking                      ,697, 321 , 46.05 , 24 , 7.48 , 297 , 92.52 , 212 , 71.38 , 25 , 8.42 , 60 , 20.20 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:34:23,25/04/2010,12:34:23
40409,Geretsberg                    ,832, 384 , 46.15 , 25 , 6.51 , 359 , 93.49 , 256 , 71.31 , 24 , 6.69 , 79 , 22.01 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:19:05,25/04/2010,13:19:05
40410,Gilgenberg am Weilhart        ,993, 422 , 42.50 , 25 , 5.92 , 397 , 94.08 , 295 , 74.31 , 25 , 6.30 , 77 , 19.40 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:04:28,25/04/2010,14:04:28
40411,Haigermoos                    ,493, 265 , 53.75 , 16 , 6.04 , 249 , 93.96 , 205 , 82.33 , 9 , 3.61 , 35 , 14.06 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:15:28,25/04/2010,13:15:28
40412,Handenberg                    ,"1,042", 459 , 44.05 , 27 , 5.88 , 432 , 94.12 , 305 , 70.60 , 45 , 10.42 , 82 , 18.98 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:08:54,25/04/2010,13:08:54
40413,Helpfau-Uttendorf             ,"2,388"," 1,039 ", 43.51 , 72 , 6.93 , 967 , 93.07 , 689 , 71.25 , 78 , 8.07 , 200 , 20.68 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:04:43,25/04/2010,13:04:43
40414,Hochburg-Ach                  ,"2,284", 978 , 42.82 , 58 , 5.93 , 920 , 94.07 , 720 , 78.26 , 72 , 7.83 , 128 , 13.91 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:46:36,25/04/2010,14:46:36
40415,Höhnhart                      ,"1,119", 469 , 41.91 , 23 , 4.90 , 446 , 95.10 , 319 , 71.52 , 36 , 8.07 , 91 , 20.40 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:29:10,25/04/2010,12:29:10
40416,Jeging,493, 274 , 55.58 , 21 , 7.66 , 253 , 92.34 , 168 , 66.40 , 31 , 12.25 , 54 , 21.34 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:00:27,25/04/2010,13:00:27
40417,Kirchberg bei Mattighofen     ,887, 341 , 38.44 , 20 , 5.87 , 321 , 94.13 , 233 , 72.59 , 21 , 6.54 , 67 , 20.87 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:18:03,25/04/2010,14:18:03
40418,Lengau                        ,"3,450"," 1,667 ", 48.32 , 96 , 5.76 ," 1,571 ", 94.24 ," 1,232 ", 78.42 , 86 , 5.47 , 253 , 16.10 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:04:30,25/04/2010,13:04:30
40419,Lochen                        ,"1,972", 990 , 50.20 , 67 , 6.77 , 923 , 93.23 , 685 , 74.21 , 71 , 7.69 , 167 , 18.09 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:12:16,25/04/2010,14:12:16
40420,Maria Schmolln                ,"1,113", 534 , 47.98 , 51 , 9.55 , 483 , 90.45 , 376 , 77.85 , 38 , 7.87 , 69 , 14.29 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:34:35,25/04/2010,12:34:35
40421,Mattighofen                   ,"3,696"," 1,719 ", 46.51 , 115 , 6.69 ," 1,604 ", 93.31 ," 1,180 ", 73.57 , 95 , 5.92 , 329 , 20.51 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:50:02,25/04/2010,14:50:02
40422,Mauerkirchen                  ,"1,647", 726 , 44.08 , 44 , 6.06 , 682 , 93.94 , 463 , 67.89 , 37 , 5.43 , 182 , 26.69 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:35:59,25/04/2010,14:35:59
40423,Mining                        ,940, 463 , 49.26 , 45 , 9.72 , 418 , 90.28 , 321 , 76.79 , 22 , 5.26 , 75 , 17.94 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:50:41,25/04/2010,13:50:41
40424,Moosbach                      ,745, 365 , 48.99 , 26 , 7.12 , 339 , 92.88 , 226 , 66.67 , 13 , 3.83 , 100 , 29.50 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:46:09,25/04/2010,12:46:09
40425,Moosdorf                      ,"1,206", 519 , 43.03 , 29 , 5.59 , 490 , 94.41 , 391 , 79.80 , 29 , 5.92 , 70 , 14.29 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:46:17,25/04/2010,12:46:17
40426,Munderfing                    ,"2,096"," 1,193 ", 56.92 , 76 , 6.37 ," 1,117 ", 93.63 , 897 , 80.30 , 70 , 6.27 , 150 , 13.43 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:40:18,25/04/2010,13:40:18
40427,Neukirchen an der Enknach     ,"1,691", 733 , 43.35 , 57 , 7.78 , 676 , 92.22 , 492 , 72.78 , 51 , 7.54 , 133 , 19.67 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:40:10,25/04/2010,13:40:10
40428,Ostermiething                 ,"2,357", 917 , 38.91 , 63 , 6.87 , 854 , 93.13 , 659 , 77.17 , 47 , 5.50 , 148 , 17.33 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:54:19,25/04/2010,12:54:19
40429,Palting                       ,738, 342 , 46.34 , 22 , 6.43 , 320 , 93.57 , 232 , 72.50 , 29 , 9.06 , 59 , 18.44 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:50:00,25/04/2010,12:50:00
40430,Perwang am Grabensee          ,635, 316 , 49.76 , 28 , 8.86 , 288 , 91.14 , 236 , 81.94 , 14 , 4.86 , 38 , 13.19 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:29:00,25/04/2010,12:29:00
40431,Pfaffstätt                    ,748, 351 , 46.93 , 48 , 13.68 , 303 , 86.32 , 222 , 73.27 , 21 , 6.93 , 60 , 19.80 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:41:11,25/04/2010,12:50:14
40432,Pischelsdorf am Engelbach     ,"1,265", 572 , 45.22 , 45 , 7.87 , 527 , 92.13 , 372 , 70.59 , 49 , 9.30 , 106 , 20.11 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:16:34,25/04/2010,15:16:34
40433,Polling im Innkreis           ,749, 382 , 51.00 , 38 , 9.95 , 344 , 90.05 , 237 , 68.90 , 21 , 6.10 , 86 , 25.00 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:34:27,25/04/2010,12:41:07
40434,Roßbach                       ,782, 395 , 50.51 , 26 , 6.58 , 369 , 93.42 , 292 , 79.13 , 20 , 5.42 , 57 , 15.45 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:34:11,25/04/2010,12:34:11
40435,St.Georgen am Fillmannsbach   ,322, 174 , 54.04 , 17 , 9.77 , 157 , 90.23 , 83 , 52.87 , 5 , 3.18 , 69 , 43.95 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:28:52,25/04/2010,12:28:52
40436,St.Johann am Walde            ,"1,684", 805 , 47.80 , 40 , 4.97 , 765 , 95.03 , 654 , 85.49 , 26 , 3.40 , 85 , 11.11 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:04:07,25/04/2010,13:04:07
40437,St.Pantaleon                  ,"2,352"," 1,189 ", 50.55 , 74 , 6.22 ," 1,115 ", 93.78 , 839 , 75.25 , 75 , 6.73 , 201 , 18.03 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:39:39,25/04/2010,13:39:39
40438,St.Peter am Hart              ,"1,869", 895 , 47.89 , 60 , 6.70 , 835 , 93.30 , 602 , 72.10 , 55 , 6.59 , 178 , 21.32 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:53:46,25/04/2010,13:53:46
40439,St.Radegund                   ,463, 242 , 52.27 , 23 , 9.50 , 219 , 90.50 , 185 , 84.47 , 14 , 6.39 , 20 , 9.13 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:41:03,25/04/2010,12:41:03
40440,St.Veit im Innkreis           ,329, 200 , 60.79 , 25 , 12.50 , 175 , 87.50 , 124 , 70.86 , 13 , 7.43 , 38 , 21.71 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:24:27,25/04/2010,12:24:27
40441,Schalchen                     ,"2,832"," 1,396 ", 49.29 , 105 , 7.52 ," 1,291 ", 92.48 , 989 , 76.61 , 56 , 4.34 , 246 , 19.05 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:31:10,25/04/2010,15:31:10
40442,Schwand im Innkreis           ,693, 337 , 48.63 , 24 , 7.12 , 313 , 92.88 , 222 , 70.93 , 36 , 11.50 , 55 , 17.57 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:35:08,25/04/2010,13:35:08
40443,Tarsdorf                      ,"1,584", 634 , 40.03 , 35 , 5.52 , 599 , 94.48 , 450 , 75.13 , 54 , 9.02 , 95 , 15.86 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:39:59,25/04/2010,13:39:59
40444,Treubach                      ,593, 306 , 51.60 , 36 , 11.76 , 270 , 88.24 , 198 , 73.33 , 23 , 8.52 , 49 , 18.15 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:06:22,25/04/2010,12:06:22
40445,Überackern                    ,443, 200 , 45.15 , 8 , 4.00 , 192 , 96.00 , 141 , 73.44 , 9 , 4.69 , 42 , 21.88 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,12:34:05,25/04/2010,12:34:05
40446,Weng im Innkreis              ,"1,115", 549 , 49.24 , 46 , 8.38 , 503 , 91.62 , 360 , 71.57 , 33 , 6.56 , 110 , 21.87 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:47:20,25/04/2010,13:47:20
40499,Wahlkarten Braunau am Inn                ,0," 2,309 ", 0 , 109 , 4.72 ," 2,200 ", 95.28 ," 1,739 ", 79.05 , 128 , 5.82 , 333 , 15.14 , 0 , 0 , 0 , 0 , 0 , 0 ,30/04/2010,14:40:52,30/04/2010,14:40:52
40500,Bezirk Eferding                      ,"25,167"," 14,778 ", 58.72 ," 1,103 ", 7.46 ," 13,675 ", 92.54 ," 10,726 ", 78.44 , 762 , 5.57 ," 2,187 ", 15.99 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:56:01,30/04/2010,15:45:02
40501,Alkoven                       ,"4,321"," 2,449 ", 56.68 , 191 , 7.80 ," 2,258 ", 92.20 ," 1,829 ", 81.00 , 111 , 4.92 , 318 , 14.08 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:55:39,25/04/2010,15:55:39
40502,Aschach an der Donau          ,"1,666", 944 , 56.66 , 44 , 4.66 , 900 , 95.34 , 674 , 74.89 , 40 , 4.44 , 186 , 20.67 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:44:47,25/04/2010,15:44:47
40503,Eferding                      ,"2,808"," 1,429 ", 50.89 , 125 , 8.75 ," 1,304 ", 91.25 ," 1,034 ", 79.29 , 69 , 5.29 , 201 , 15.41 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:39:48,25/04/2010,15:39:48
40504,Fraham                        ,"1,734", 973 , 56.11 , 74 , 7.61 , 899 , 92.39 , 708 , 78.75 , 34 , 3.78 , 157 , 17.46 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:56:01,25/04/2010,15:56:01
40505,Haibach ob der Donau          ,"1,077", 546 , 50.70 , 40 , 7.33 , 506 , 92.67 , 442 , 87.35 , 15 , 2.96 , 49 , 9.68 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:44:32,25/04/2010,13:44:32
40506,Hartkirchen                   ,"3,399"," 1,870 ", 55.02 , 138 , 7.38 ," 1,732 ", 92.62 ," 1,326 ", 76.56 , 100 , 5.77 , 306 , 17.67 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:48:52,25/04/2010,14:48:52
40507,Hinzenbach                    ,"1,542", 864 , 56.03 , 72 , 8.33 , 792 , 91.67 , 640 , 80.81 , 40 , 5.05 , 112 , 14.14 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:46:24,25/04/2010,14:46:24
40508,Prambachkirchen               ,"2,255"," 1,246 ", 55.25 , 101 , 8.11 ," 1,145 ", 91.89 , 885 , 77.29 , 84 , 7.34 , 176 , 15.37 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:09:49,25/04/2010,15:09:49
40509,Pupping                       ,"1,610", 917 , 56.96 , 58 , 6.32 , 859 , 93.68 , 626 , 72.88 , 67 , 7.80 , 166 , 19.32 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:39:04,25/04/2010,13:39:04
40510,St.Marienkirchen an d. Polsenz,"1,828"," 1,040 ", 56.89 , 93 , 8.94 , 947 , 91.06 , 735 , 77.61 , 69 , 7.29 , 143 , 15.10 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:20:09,25/04/2010,13:20:09
40511,Scharten                      ,"1,651", 979 , 59.30 , 52 , 5.31 , 927 , 94.69 , 695 , 74.97 , 46 , 4.96 , 186 , 20.06 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:45:05,25/04/2010,15:45:05
40512,Stroheim                      ,"1,276", 634 , 49.69 , 68 , 10.73 , 566 , 89.27 , 433 , 76.50 , 44 , 7.77 , 89 , 15.72 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:33:53,25/04/2010,13:33:53
40599,Wahlkarten Eferding                      ,0, 887 , 0 , 47 , 5.30 , 840 , 94.70 , 699 , 83.21 , 43 , 5.12 , 98 , 11.67 , 0 , 0 , 0 , 0 , 0 , 0 ,30/04/2010,15:45:02,30/04/2010,15:45:02
40600,Bezirk Freistadt                     ,"52,231"," 32,391 ", 62.01 ," 2,595 ", 8.01 ," 29,796 ", 91.99 ," 24,501 ", 82.23 ," 1,904 ", 6.39 ," 3,391 ", 11.38 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:08:51,30/04/2010,14:17:50
40601,Freistadt                     ,"5,880"," 3,377 ", 57.43 , 216 , 6.40 ," 3,161 ", 93.60 ," 2,585 ", 81.78 , 156 , 4.94 , 420 , 13.29 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:58:58,25/04/2010,16:58:58
40602,Grünbach                      ,"1,479", 790 , 53.41 , 52 , 6.58 , 738 , 93.42 , 555 , 75.20 , 59 , 7.99 , 124 , 16.80 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:09:56,25/04/2010,14:09:56
40603,Gutau                         ,"2,201"," 1,202 ", 54.61 , 95 , 7.90 ," 1,107 ", 92.10 , 919 , 83.02 , 51 , 4.61 , 137 , 12.38 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:51:27,25/04/2010,15:51:27
40604,Hagenberg im Mühlkreis        ,"2,137"," 1,242 ", 58.12 , 77 , 6.20 ," 1,165 ", 93.80 , 968 , 83.09 , 57 , 4.89 , 140 , 12.02 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:08:51,25/04/2010,17:08:51
40605,Hirschbach im Mühlkreis       ,924, 584 , 63.20 , 46 , 7.88 , 538 , 92.12 , 465 , 86.43 , 30 , 5.58 , 43 , 7.99 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:40:09,25/04/2010,13:40:09
40606,Kaltenberg                    ,505, 331 , 65.54 , 59 , 17.82 , 272 , 82.18 , 214 , 78.68 , 29 , 10.66 , 29 , 10.66 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:38:56,25/04/2010,13:38:56
40607,Kefermarkt                    ,"1,706"," 1,011 ", 59.26 , 61 , 6.03 , 950 , 93.97 , 807 , 84.95 , 38 , 4.00 , 105 , 11.05 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:54:14,25/04/2010,13:54:14
40608,Königswiesen                  ,"2,536"," 1,399 ", 55.17 , 120 , 8.58 ," 1,279 ", 91.42 ," 1,026 ", 80.22 , 107 , 8.37 , 146 , 11.42 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:26:58,25/04/2010,15:26:58
40609,Lasberg                       ,"2,273"," 1,316 ", 57.90 , 114 , 8.66 ," 1,202 ", 91.34 , 948 , 78.87 , 100 , 8.32 , 154 , 12.81 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:57:14,25/04/2010,14:57:14
40610,Leopoldschlag                 ,841, 519 , 61.71 , 53 , 10.21 , 466 , 89.79 , 385 , 82.62 , 29 , 6.22 , 52 , 11.16 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:06:32,25/04/2010,14:06:32
40611,Liebenau                      ,"1,445", 908 , 62.84 , 118 , 13.00 , 790 , 87.00 , 633 , 80.13 , 52 , 6.58 , 105 , 13.29 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:00:58,25/04/2010,14:00:58
40612,Neumarkt im Mühlkreis         ,"2,513"," 1,520 ", 60.49 , 106 , 6.97 ," 1,414 ", 93.03 ," 1,164 ", 82.32 , 102 , 7.21 , 148 , 10.47 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:49:39,25/04/2010,16:49:39
40613,Pierbach                      ,809, 431 , 53.28 , 30 , 6.96 , 401 , 93.04 , 322 , 80.30 , 31 , 7.73 , 48 , 11.97 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:36:35,25/04/2010,13:36:35
40614,Pregarten                     ,"3,999"," 2,293 ", 57.34 , 215 , 9.38 ," 2,078 ", 90.62 ," 1,749 ", 84.17 , 104 , 5.00 , 225 , 10.83 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:24:27,25/04/2010,15:24:27
40615,Rainbach im Mühlkreis         ,"2,310"," 1,272 ", 55.06 , 104 , 8.18 ," 1,168 ", 91.82 , 975 , 83.48 , 99 , 8.48 , 94 , 8.05 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,14:57:46,25/04/2010,14:57:46
40616,Sandl                         ,"1,171", 707 , 60.38 , 60 , 8.49 , 647 , 91.51 , 525 , 81.14 , 63 , 9.74 , 59 , 9.12 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,13:55:21,25/04/2010,13:55:21
40617,St.Leonhard bei Freistadt     ,"1,186", 708 , 59.70 , 43 , 6.07 , 665 , 93.93 , 539 , 81.05 , 49 , 7.37 , 77 , 11.58 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,15:59:28,25/04/2010,15:59:28
40618,St.Oswald bei Freistadt       ,"2,162"," 1,230 ", 56.89 , 72 , 5.85 ," 1,158 ", 94.15 , 947 , 81.78 , 96 , 8.29 , 115 , 9.93 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:25:54,25/04/2010,16:25:54
40619,Schönau im Mühlkreis          ,"1,523", 844 , 55.42 , 64 , 7.58 , 780 , 92.42 , 630 , 80.77 , 54 , 6.92 , 96 , 12.31 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,16:04:11,25/04/2010,16:04:11
