International Communication Services SA,BTS,,,,,,
To:,"Business Telecommunications Services, Inc.",,,,,,
Lebanon-Mobile,961766,0.11500,R,CLI,1/1,2012-06-26,2012-07-06
Lebanon-Mobile,961767,0.11500,R,CLI,1/1,2012-06-26,2012-07-06
Lebanon-Mobile,961768,0.11500,R,CLI,1/1,2012-06-26,2012-07-06
Lebanon-Mobile,961769,0.11500,R,CLI,1/1,2012-06-26,2012-07-06
Lebanon-Mobile,961789,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-Alfa,96131,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-Alfa,96132,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-Alfa,96133,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-Alfa,96134,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-Alfa,96135,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-Alfa,961701,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-Alfa,961702,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-Alfa,961703,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-Alfa,961704,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-Alfa,961705,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-Alfa,961710,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-Alfa,961716,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-Alfa,961717,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-Alfa,961718,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-Alfa,961719,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-Alfa,961761,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-Alfa,961763,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-Alfa,961764,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-Alfa,961765,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-MTC,96130,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-MTC,96136,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-MTC,96137,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-MTC,96138,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-MTC,96139,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-MTC,961700,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-MTC,961706,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-MTC,961707,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-MTC,961708,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-MTC,961709,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-MTC,961711,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-MTC,961712,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-MTC,961713,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-MTC,961714,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-MTC,961715,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-MTC,961760,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-MTC,961766,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-MTC,961767,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-MTC,961768,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-MTC,961769,0.11500,N,CLI,1/1,2012-07-06,
Lebanon-Mobile-Touch,961788,0.11500,N,CLI,1/1,2012-07-06,
Morocco,212,0.01140,S,CLI,1/1,2012-06-01,
Morocco-Casablanca,212522,0.01140,S,CLI,1/1,2012-06-01,
Morocco-Meditel,212520,0.07000,S,CLI,1/1,2012-06-01,
Morocco-Meditel,212521,0.07000,S,CLI,1/1,2012-06-01,
Morocco-Meditel,212525,0.07000,S,CLI,1/1,2012-06-01,
Morocco-Meditel,212530,0.07000,S,CLI,1/1,2012-06-01,
Morocco-Meditel,212531,0.07000,S,CLI,1/1,2012-06-01,
Morocco-Meditel,212532,0.07000,S,CLI,1/1,2012-06-01,
Morocco-Mobile,2126,0.23500,S,CLI,1/1,2012-06-01,
Morocco-Mobile,212892,0.23500,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212610,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212611,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212613,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212615,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212616,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212618,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212622,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212623,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212624,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212628,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212636,0.23000,N,CLI,1/1,2012-07-06,
Morocco-Mobile-IAM,212641,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212642,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212648,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212650,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212651,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212652,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212653,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212654,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212655,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212658,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212659,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212661,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212662,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212666,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212667,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212668,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212670,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212671,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212672,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212673,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212676,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212677,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-IAM,212678,0.23000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Meditel,212612,0.23500,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Meditel,212614,0.23500,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Meditel,212617,0.23500,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Meditel,212619,0.23500,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Meditel,212620,0.23500,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Meditel,212621,0.23500,N,CLI,1/1,2012-07-06,
Morocco-Mobile-Meditel,212644,0.23500,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Meditel,212645,0.23500,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Meditel,212649,0.23500,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Meditel,212656,0.23500,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Meditel,212657,0.23500,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Meditel,212660,0.23500,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Meditel,212663,0.23500,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Meditel,212664,0.23500,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Meditel,212665,0.23500,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Meditel,212669,0.23500,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Meditel,212674,0.23500,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Meditel,212675,0.23500,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Meditel,212679,0.23500,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Wana,212600,0.25000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Wana,212601,0.25000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Wana,212602,0.25000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Wana,212603,0.25000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Wana,212604,0.25000,N,CLI,1/1,2012-07-06,
Morocco-Mobile-Wana,212606,0.25000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Wana,212626,0.25000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Wana,212627,0.25000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Wana,212629,0.25000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Wana,212630,0.25000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Wana,212633,0.25000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Wana,212634,0.25000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Wana,212635,0.25000,N,CLI,1/1,2012-07-06,
Morocco-Mobile-Wana,212638,0.25000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Wana,212640,0.25000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Wana,212646,0.25000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Wana,212647,0.25000,S,CLI,1/1,2012-06-01,
Morocco-Mobile-Wana,212680,0.25000,N,CLI,1/1,2012-07-06,
Morocco-Mobile-Wana,212699,0.25000,S,CLI,1/1,2012-06-01,
Morocco-Rabat,212537,0.01140,S,CLI,1/1,2012-06-01,
Morocco-Wana,212529,0.18500,S,CLI,1/1,2012-06-01,
Morocco-Wana,212538,0.18500,S,CLI,1/1,2012-06-01,
Morocco-Wana-Mobility,212526,0.18500,S,CLI,1/1,2012-06-01,
Morocco-Wana-Mobility,212527,0.18500,S,CLI,1/1,2012-06-01,
Morocco-Wana-Mobility,212533,0.18500,S,CLI,1/1,2012-06-01,
Morocco-Wana-Mobility,212534,0.18500,S,CLI,1/1,2012-06-01,
Morocco-Wana-Mobility,212540,0.18500,S,CLI,1/1,2012-06-01,
Morocco-Wana-Mobility,212546,0.18500,S,CLI,1/1,2012-06-01,
Morocco-Wana-Mobility,212547,0.18500,S,CLI,1/1,2012-06-01,
Morocco-Wana-Mobility,212550,0.18500,S,CLI,1/1,2012-06-01,
Morocco-Wana-Mobility,212553,0.18500,S,CLI,1/1,2012-06-01,
Saudi Arabia,966,0.05560,S,CLI,1/1,2012-06-01,
Saudi Arabia-Dhahran,96636,0.05560,S,CLI,1/1,2012-06-01,
Saudi Arabia-Dhahran,96638,0.05560,S,CLI,1/1,2012-06-01,
Saudi Arabia-Jeddah,96622,0.05560,S,CLI,1/1,2012-06-01,
Saudi Arabia-Jeddah,96625,0.05560,S,CLI,1/1,2012-06-01,
Saudi Arabia-Jeddah,96626,0.05560,S,CLI,1/1,2012-06-01,
Saudi Arabia-Mobile,9665,0.09300,S,CLI,1/1,2012-06-26,
Saudi Arabia-Mobile Zain,96659,0.08300,S,CLI,1/1,2012-06-26,
Saudi Arabia-Mobile-Mobily,96654,0.08400,S,CLI,1/1,2012-06-26,
Saudi Arabia-Mobile-Mobily,96656,0.08400,S,CLI,1/1,2012-06-26,
Saudi Arabia-Mobile-STC,96650,0.07400,S,CLI,1/1,2012-06-01,
Saudi Arabia-Mobile-STC,96653,0.07400,S,CLI,1/1,2012-06-01,
Saudi Arabia-Mobile-STC,96655,0.07400,S,CLI,1/1,2012-06-01,
Saudi Arabia-Mobile-Zain,96658,0.09300,N,CLI,1/1,2012-07-06,
Saudi Arabia-Riyadh,96612,0.05560,S,CLI,1/1,2012-06-01,
Saudi Arabia-Riyadh,96614,0.05560,S,CLI,1/1,2012-06-01,
,,,,,,,
