,,,,,,,,
SELECT Something,,,,,,,,
Alabama,,,,,,,,
name89 - 189,,101,99,"10,031",27.4,0.0%,0.0,1
name90 - 190,,96,111,"10,618",29.0,0.0%,0.0,1
name91 - 191,,96,71,"6,862",18.7,0.1%,0.0,1
name92 - 192,,96,80,"7,660",20.9,0.9%,0.2,1
name93 - 193,,94,127,"11,897",32.5,0.6%,0.2,1
name94 - 194,,93,59,"5,522",15.1,0.0%,0.0,1
name95 - 195,,93,67,"6,273",17.1,0.6%,0.1,1
name96 - 196,,90,110,"9,916",27.1,0.2%,0.0,1
name97 - 197,,88,44,"3,834",10.5,0.0%,0.0,1
name98 - 198,,82,100,"8,227",22.5,0.4%,0.1,1
name99 - 199,,81,111,"9,024",24.7,0.6%,0.2,1
name100 - 200,,77,91,"6,973",19.1,0.1%,0.0,1
name101 - 201,,75,75,"5,592",15.3,0.0%,0.0,1
name102 - 202,,73,53,"3,892",10.6,2.5%,0.3,1
name103 - 203,,71,52,"3,713",10.1,2.4%,0.2,1
name104 - 204,,70,116,"8,142",22.2,0.2%,0.0,1
name105 - 205,,67,97,"6,492",17.7,0.2%,0.0,1
name106 - 206,,57,207,"11,796",32.2,0.0%,0.0,1
name107 - 207,,46,82,"3,789",10.4,0.2%,0.0,1
name108 - 208,,45,48,"2,152",5.9,0.0%,0.0,1
name109 - 209,,45,115,"5,161",14.1,0.0%,0.0,1
name110 - 210,,44,74,"3,272",8.9,0.0%,0.0,1
name111 - 211,,29,138,"4,013",11.0,0.1%,0.0,1
name112 - 212,,28,100,"2,800",7.7,0.4%,0.0,1
name113 - 213,,13,43,558,1.5,0.0%,0.0,1
name114 - 214,,13,111,"1,448",4.0,0.0%,0.0,1
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
 ,, , , , , , ,0
