"All Employer-Insured Plans, Medical Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marketscan Continuance Table, 2009 Continuously Enrolled Beneficiaries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up To,Number of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),ER,Avg. ER Freq,IP,Avg. IP Freq,Primary Care,Avg. Primary Care Freq,Specialist,Avg. Specialist Freq,Mental Health and Sub. Abuse,Mental Health and Sub. Abuse Freq.,-,-,Imaging,Avg. Imaging Freq,-,-,-,-,Speech Therapy,Avg. Speech Therapy Freq,Occ. + Physical Therapy,Occ. + Physical Therapy Freq,-,-,Well Baby (Combined),Avg. Well Baby Freq (Combined),-,-,-,-,Well Baby (Unclass.),Avg. Well Baby Freq (Unclass.),Preventive (Combined),Avg. Prev. Freq (Combined),-,-,-,-,-,-,Laboratory,Avg. Laboratory Freq,X-rays (Combined),Avg. X-ray Freq (Combined),X-rays (Specialist),Avg. X-rays Freq (Specialist),X-rays (Primary),Avg. X-rays Freq (Primary),X-rays (Unclass.),Avg. X-rays Freq (Unclass.),SNF,Avg. SNF Freq.,Unclassified,Avg. Unclassified Freq,Avg. IP Days,Avg. SNF Days,Mental Health - OP Facility,Avg. Mental Health - OP Facility Freq,Mental Health - OP Prof.,Avg. Mental Health - OP Prof. Freq,Sub. Abuse - OP Facility,Avg. Sub. Abuse - OP Facility Freq,Sub. Abuse - OP Prof.,Avg. Sub. Abuse - OP Prof. Freq,Imaging - OP Facility,Avg. Imaging - OP Facility Freq,Imaging - OP Prof.,Avg. Imaging - OP Prof. Freq,-,-,-,-,-,-,-,-,Speech Therapy - OP Facility,Avg. Speech Therapy - OP Facility Freq,Speech Therapy - OP Prof.,Avg. Speech Therapy - OP Prof. Freq,Occupational Therapy - OP Facility,Avg. Occ. Therapy - OP Facility Freq,Occupational Therapy - OP Prof.,Avg. Occ. Therapy - OP Prof. Freq,-,-,-,-,Laboratory - OP Facility,Avg. Lab - OP Facility Freq,Laboratory - OP Prof.,Avg. Lab - OP Prof. Freq,Unclassified - OP Facility,Avg. Unclass. - OP Facility Freq,Unclassified - OP Prof,Avg. Unclass. - OP Prof Freq,IP Max Days - 1,IP Max Days - 2,IP Max Days - 3,IP Max Days - 4,IP Max Days - 5,IP Max Days - 6,IP Max Days - 7,IP Max Days - 8,IP Max Days - 9,IP Max Days - 10,Primary Care >1 Visit,Primary Care >1 Visit Freq.,Primary Care >2 Visits,Primary Care >2 Visits Freq.,Primary Care >3 Visits,Primary Care >3 Visits Freq.,Primary Care >4 Visits,Primary Care >4 Visits Freq.,Primary Care >5 Visits,Primary Care >5 Visits Freq.,Primary Care >6 Visits,Primary Care >6 Visits Freq.,Primary Care >7 Visits,Primary Care >7 Visits Freq.,Primary Care >8 Visits,Primary Care >8 Visits Freq.,Primary Care >9 Visits,Primary Care >9 Visits Freq.,Primary Care >10 Visits,Primary Care >10 Visits Freq.
"$1,000","31,874",$665.78,$948.87,$3.14,0.012,$0.02,0.000,$102.43,1.427,$75.17,0.855,$0.23,0.002,.,0.00,$8.51,0.057,.,0.00,.,0.00,$0.04,0.000,$0.28,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$130.24,0.907,.,0.00,.,0.00,.,0.00,$7.94,0.280,$11.52,0.092,$7.09,0.046,$3.22,0.018,$1.20,0.03,$0.00,0,$4.60,0.031,0.000,0,$0.10,0.001,$0.01,0.000,.,0.00,.,0.00,$8.22,0.055,$0.04,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.04,0.000,$0.00,0.000,$0.18,0.001,$0.00,0.000,.,0.00,.,0.00,$6.27,0.061,$0.03,0.000,$3.04,0.017,$0.05,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$43.10,0.82,$22.74,0.44,$11.17,0.23,$5.17,0.12,$2.32,0.06,$1.05,0.04,$0.51,0.02,$0.28,0.01,$0.17,0.01,$0.11,0.01
"$1,100","28,845",$713.65,"$1,049.39",$3.85,0.015,$0.03,0.000,$109.48,1.507,$84.44,0.935,$0.25,0.002,.,0.00,$9.86,0.064,.,0.00,.,0.00,$0.05,0.000,$0.34,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$139.21,0.959,.,0.00,.,0.00,.,0.00,$9.04,0.301,$12.70,0.100,$7.91,0.050,$3.47,0.019,$1.32,0.03,$0.00,0,$5.36,0.034,0.000,0,$0.11,0.001,$0.01,0.000,.,0.00,.,0.00,$9.54,0.062,$0.05,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.04,0.000,$0.00,0.000,$0.22,0.001,$0.00,0.000,.,0.00,.,0.00,$7.15,0.067,$0.03,0.000,$3.59,0.019,$0.05,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$47.29,0.89,$25.83,0.50,$13.26,0.27,$6.46,0.14,$3.07,0.08,$1.46,0.04,$0.73,0.03,$0.39,0.02,$0.23,0.01,$0.15,0.01
"$1,200","26,088",$759.35,"$1,149.50",$4.65,0.017,$0.04,0.000,$115.88,1.578,$93.68,1.013,$0.28,0.002,.,0.00,$11.25,0.071,.,0.00,.,0.00,$0.05,0.000,$0.41,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$147.27,1.006,.,0.00,.,0.00,.,0.00,$10.16,0.321,$13.82,0.107,$8.67,0.054,$3.70,0.020,$1.45,0.03,$0.00,0,$6.14,0.038,0.000,0,$0.12,0.001,$0.01,0.000,.,0.00,.,0.00,$10.89,0.069,$0.06,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.05,0.000,$0.00,0.000,$0.28,0.001,$0.00,0.000,.,0.00,.,0.00,$8.07,0.072,$0.03,0.000,$4.12,0.021,$0.05,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$51.14,0.95,$28.75,0.54,$15.28,0.30,$7.77,0.17,$3.86,0.09,$1.92,0.05,$0.99,0.03,$0.54,0.02,$0.32,0.02,$0.21,0.01
"$1,300","23,933",$803.05,"$1,249.42",$5.47,0.019,$0.06,0.000,$121.91,1.643,$103.14,1.090,$0.29,0.002,.,0.00,$12.62,0.077,.,0.00,.,0.00,$0.06,0.000,$0.47,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$154.85,1.049,.,0.00,.,0.00,.,0.00,$11.25,0.339,$14.84,0.114,$9.34,0.057,$3.92,0.021,$1.58,0.04,$0.00,0,$6.99,0.042,0.000,0,$0.12,0.001,$0.01,0.000,.,0.00,.,0.00,$12.21,0.075,$0.06,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.05,0.000,$0.00,0.000,$0.33,0.002,$0.00,0.000,.,0.00,.,0.00,$8.94,0.077,$0.03,0.000,$4.72,0.023,$0.05,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$54.79,1.01,$31.54,0.59,$17.27,0.34,$9.10,0.19,$4.71,0.11,$2.44,0.06,$1.30,0.04,$0.73,0.03,$0.43,0.02,$0.28,0.01
"$1,400","21,889",$844.92,"$1,349.32",$6.36,0.022,$0.08,0.000,$127.41,1.701,$112.65,1.165,$0.32,0.003,.,0.00,$13.96,0.083,.,0.00,.,0.00,$0.07,0.000,$0.54,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$161.79,1.087,.,0.00,.,0.00,.,0.00,$12.33,0.356,$15.83,0.121,$10.03,0.061,$4.11,0.022,$1.69,0.04,$0.00,0,$7.87,0.046,0.000,0,$0.14,0.001,$0.02,0.000,.,0.00,.,0.00,$13.51,0.081,$0.07,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.06,0.000,$0.00,0.000,$0.39,0.002,$0.00,0.000,.,0.00,.,0.00,$9.83,0.083,$0.03,0.000,$5.33,0.025,$0.06,0.001,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$58.13,1.06,$34.12,0.63,$19.12,0.37,$10.35,0.21,$5.52,0.12,$2.94,0.07,$1.60,0.05,$0.91,0.03,$0.54,0.02,$0.34,0.01
"$1,500","20,272",$885.10,"$1,449.29",$7.30,0.024,$0.11,0.000,$132.56,1.755,$121.93,1.238,$0.36,0.003,.,0.00,$15.38,0.089,.,0.00,.,0.00,$0.08,0.000,$0.64,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$168.30,1.123,.,0.00,.,0.00,.,0.00,$13.43,0.371,$16.86,0.127,$10.74,0.064,$4.32,0.023,$1.80,0.04,$0.00,0,$8.80,0.050,0.000,0,$0.15,0.001,$0.02,0.000,.,0.00,.,0.00,$14.89,0.087,$0.08,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.07,0.000,$0.00,0.000,$0.46,0.002,$0.00,0.000,.,0.00,.,0.00,$10.73,0.088,$0.04,0.000,$5.93,0.027,$0.06,0.001,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$61.28,1.11,$36.58,0.67,$20.92,0.40,$11.59,0.23,$6.35,0.14,$3.48,0.08,$1.94,0.05,$1.12,0.04,$0.67,0.02,$0.43,0.02
"$1,600","18,707",$923.73,"$1,549.66",$8.18,0.026,$0.15,0.000,$137.44,1.806,$131.14,1.307,$0.39,0.003,.,0.00,$16.74,0.095,.,0.00,.,0.00,$0.09,0.000,$0.74,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$174.25,1.155,.,0.00,.,0.00,.,0.00,$14.49,0.386,$17.87,0.133,$11.44,0.067,$4.51,0.024,$1.92,0.04,$0.00,0,$9.69,0.053,0.000,0,$0.17,0.001,$0.02,0.000,.,0.00,.,0.00,$16.22,0.093,$0.09,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.08,0.000,$0.00,0.000,$0.55,0.003,$0.00,0.000,.,0.00,.,0.00,$11.60,0.092,$0.04,0.000,$6.54,0.029,$0.06,0.001,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$64.28,1.15,$38.94,0.71,$22.66,0.42,$12.83,0.25,$7.19,0.15,$4.04,0.09,$2.30,0.06,$1.35,0.04,$0.82,0.03,$0.52,0.02
"$1,700","17,242",$960.94,"$1,649.34",$9.08,0.028,$0.20,0.000,$142.07,1.852,$140.20,1.377,$0.42,0.003,.,0.00,$18.08,0.100,.,0.00,.,0.00,$0.10,0.001,$0.83,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$179.76,1.185,.,0.00,.,0.00,.,0.00,$15.47,0.399,$18.84,0.139,$12.12,0.071,$4.68,0.025,$2.04,0.04,$0.00,0,$10.62,0.057,0.000,0,$0.18,0.001,$0.03,0.000,.,0.00,.,0.00,$17.52,0.098,$0.10,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.09,0.000,$0.00,0.000,$0.62,0.003,$0.00,0.000,.,0.00,.,0.00,$12.42,0.097,$0.04,0.000,$7.16,0.031,$0.06,0.001,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$67.13,1.19,$41.21,0.74,$24.37,0.45,$14.07,0.27,$8.06,0.17,$4.63,0.11,$2.70,0.07,$1.62,0.05,$1.00,0.03,$0.64,0.02
"$1,800","15,986",$996.83,"$1,749.73",$10.09,0.030,$0.24,0.000,$146.35,1.894,$149.17,1.444,$0.44,0.003,.,0.00,$19.40,0.106,.,0.00,.,0.00,$0.11,0.001,$0.92,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$185.10,1.212,.,0.00,.,0.00,.,0.00,$16.40,0.412,$19.77,0.144,$12.81,0.074,$4.83,0.025,$2.14,0.05,$0.00,0,$11.54,0.060,0.000,0,$0.20,0.001,$0.03,0.000,.,0.00,.,0.00,$18.80,0.103,$0.11,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.10,0.000,$0.00,0.000,$0.70,0.003,$0.00,0.000,.,0.00,.,0.00,$13.21,0.101,$0.04,0.000,$7.76,0.033,$0.07,0.001,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$69.77,1.23,$43.31,0.77,$25.97,0.48,$15.22,0.29,$8.87,0.18,$5.19,0.12,$3.07,0.08,$1.86,0.05,$1.16,0.03,$0.74,0.02
"$1,900","15,151","$1,031.47","$1,849.28",$11.10,0.033,$0.31,0.000,$150.39,1.934,$157.96,1.507,$0.49,0.004,.,0.00,$20.63,0.110,.,0.00,.,0.00,$0.12,0.001,$1.02,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$190.31,1.238,.,0.00,.,0.00,.,0.00,$17.42,0.424,$20.65,0.150,$13.42,0.077,$4.98,0.026,$2.26,0.05,$0.00,0,$12.57,0.063,0.000,0,$0.23,0.002,$0.03,0.000,.,0.00,.,0.00,$19.98,0.107,$0.12,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.11,0.001,$0.00,0.000,$0.78,0.004,$0.00,0.000,.,0.00,.,0.00,$14.07,0.105,$0.04,0.000,$8.43,0.035,$0.07,0.001,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$72.28,1.26,$45.32,0.80,$27.50,0.50,$16.34,0.31,$9.66,0.20,$5.73,0.13,$3.44,0.08,$2.11,0.06,$1.33,0.04,$0.86,0.03
"$2,000","14,056","$1,064.97","$1,949.45",$11.99,0.034,$0.40,0.000,$154.22,1.971,$166.66,1.569,$0.52,0.004,.,0.00,$22.00,0.115,.,0.00,.,0.00,$0.14,0.001,$1.11,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$195.08,1.261,.,0.00,.,0.00,.,0.00,$18.40,0.435,$21.53,0.155,$14.05,0.079,$5.13,0.027,$2.35,0.05,$0.00,0,$13.65,0.067,0.001,0,$0.24,0.002,$0.04,0.000,.,0.00,.,0.00,$21.32,0.112,$0.13,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.13,0.001,$0.00,0.000,$0.86,0.004,$0.00,0.000,.,0.00,.,0.00,$14.88,0.109,$0.04,0.000,$9.09,0.037,$0.08,0.001,0.000 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,$74.67,1.30,$47.27,0.83,$29.01,0.52,$17.47,0.33,$10.48,0.21,$6.32,0.14,$3.86,0.09,$2.41,0.06,$1.54,0.04,$1.01,0.03
"$2,100","13,049","$1,097.39","$2,049.75",$12.95,0.036,$0.49,0.000,$157.88,2.007,$175.13,1.629,$0.55,0.004,.,0.00,$23.24,0.119,.,0.00,.,0.00,$0.15,0.001,$1.23,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$199.59,1.284,.,0.00,.,0.00,.,0.00,$19.28,0.445,$22.34,0.159,$14.63,0.082,$5.26,0.027,$2.45,0.05,$0.00,0,$14.72,0.071,0.001,0,$0.26,0.002,$0.04,0.000,.,0.00,.,0.00,$22.51,0.116,$0.14,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.14,0.001,$0.00,0.000,$0.97,0.004,$0.00,0.000,.,0.00,.,0.00,$15.61,0.113,$0.05,0.000,$9.76,0.039,$0.08,0.001,0.000 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,$76.97,1.33,$49.15,0.86,$30.47,0.54,$18.57,0.35,$11.29,0.22,$6.90,0.15,$4.27,0.10,$2.70,0.07,$1.74,0.05,$1.15,0.03
"$2,200","12,259","$1,128.81","$2,149.32",$14.01,0.038,$0.60,0.001,$161.36,2.040,$183.39,1.688,$0.58,0.004,.,0.00,$24.48,0.123,.,0.00,.,0.00,$0.16,0.001,$1.36,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$204.02,1.305,.,0.00,.,0.00,.,0.00,$20.07,0.455,$23.15,0.164,$15.23,0.084,$5.38,0.028,$2.54,0.05,$0.00,0,$15.78,0.074,0.001,0,$0.26,0.002,$0.04,0.000,.,0.00,.,0.00,$23.71,0.120,$0.15,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.15,0.001,$0.00,0.000,$1.08,0.005,$0.00,0.000,.,0.00,.,0.00,$16.27,0.116,$0.05,0.000,$10.42,0.041,$0.08,0.001,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,$79.17,1.36,$50.95,0.88,$31.90,0.57,$19.65,0.36,$12.08,0.24,$7.48,0.16,$4.69,0.10,$3.00,0.07,$1.96,0.05,$1.31,0.04
"$2,300","11,566","$1,159.29","$2,249.63",$15.08,0.040,$0.71,0.001,$164.69,2.072,$191.71,1.744,$0.61,0.005,.,0.00,$25.63,0.127,.,0.00,.,0.00,$0.18,0.001,$1.48,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$208.33,1.325,.,0.00,.,0.00,.,0.00,$20.91,0.464,$23.89,0.168,$15.78,0.087,$5.50,0.029,$2.61,0.05,$0.00,0,$16.86,0.078,0.001,0,$0.28,0.002,$0.04,0.000,.,0.00,.,0.00,$24.83,0.124,$0.16,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.16,0.001,$0.00,0.000,$1.18,0.005,$0.00,0.000,.,0.00,.,0.00,$16.96,0.120,$0.05,0.000,$11.08,0.043,$0.08,0.001,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,$81.27,1.39,$52.69,0.91,$33.27,0.59,$20.69,0.38,$12.86,0.25,$8.05,0.17,$5.10,0.11,$3.30,0.08,$2.17,0.05,$1.47,0.04
"$2,400","10,822","$1,188.87","$2,349.70",$16.05,0.042,$0.86,0.001,$167.81,2.101,$199.64,1.797,$0.64,0.005,.,0.00,$26.84,0.131,.,0.00,.,0.00,$0.20,0.001,$1.60,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$212.37,1.344,.,0.00,.,0.00,.,0.00,$21.72,0.473,$24.66,0.172,$16.35,0.089,$5.60,0.029,$2.70,0.05,$0.00,0,$18.00,0.081,0.001,0,$0.30,0.002,$0.04,0.000,.,0.00,.,0.00,$25.99,0.127,$0.16,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.17,0.001,$0.00,0.000,$1.29,0.006,$0.00,0.000,.,0.00,.,0.00,$17.62,0.123,$0.05,0.000,$11.78,0.044,$0.09,0.001,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,$83.24,1.42,$54.32,0.93,$34.56,0.61,$21.69,0.39,$13.61,0.26,$8.61,0.17,$5.51,0.12,$3.59,0.08,$2.39,0.06,$1.63,0.04
"$2,500","10,569","$1,217.60","$2,449.14",$17.09,0.044,$1.02,0.001,$170.79,2.130,$207.83,1.852,$0.68,0.005,.,0.00,$28.07,0.134,.,0.00,.,0.00,$0.22,0.001,$1.71,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$216.44,1.362,.,0.00,.,0.00,.,0.00,$22.58,0.481,$25.37,0.176,$16.87,0.091,$5.70,0.029,$2.79,0.05,$0.00,0,$19.23,0.084,0.001,0,$0.33,0.002,$0.04,0.000,.,0.00,.,0.00,$27.19,0.131,$0.17,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.18,0.001,$0.00,0.000,$1.38,0.006,$0.00,0.000,.,0.00,.,0.00,$18.31,0.126,$0.06,0.000,$12.52,0.046,$0.09,0.001,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,$85.11,1.44,$55.87,0.95,$35.80,0.62,$22.64,0.41,$14.33,0.27,$9.14,0.18,$5.90,0.13,$3.88,0.09,$2.59,0.06,$1.78,0.05
"$2,600","9,922","$1,245.53","$2,550.08",$18.18,0.046,$1.22,0.001,$173.78,2.157,$215.68,1.904,$0.73,0.005,.,0.00,$29.14,0.138,.,0.00,.,0.00,$0.23,0.001,$1.86,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$220.37,1.380,.,0.00,.,0.00,.,0.00,$23.36,0.489,$26.05,0.180,$17.37,0.093,$5.80,0.030,$2.88,0.06,$0.00,0,$20.44,0.088,0.002,0,$0.35,0.002,$0.05,0.000,.,0.00,.,0.00,$28.21,0.134,$0.18,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.19,0.001,$0.00,0.000,$1.52,0.007,$0.00,0.000,.,0.00,.,0.00,$18.95,0.129,$0.06,0.000,$13.28,0.048,$0.10,0.001,0.001 ,0.001 ,0.001 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,$87.01,1.47,$57.45,0.98,$37.06,0.64,$23.63,0.42,$15.09,0.28,$9.70,0.19,$6.32,0.13,$4.19,0.09,$2.82,0.07,$1.94,0.05
"$2,700","9,395","$1,272.68","$2,649.63",$19.35,0.048,$1.41,0.001,$176.47,2.182,$223.35,1.953,$0.78,0.005,.,0.00,$30.47,0.141,.,0.00,.,0.00,$0.24,0.001,$1.95,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$224.00,1.396,.,0.00,.,0.00,.,0.00,$24.12,0.497,$26.74,0.183,$17.88,0.096,$5.89,0.030,$2.97,0.06,$0.00,0,$21.67,0.091,0.002,0,$0.38,0.003,$0.05,0.000,.,0.00,.,0.00,$29.48,0.137,$0.19,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.20,0.001,$0.00,0.000,$1.59,0.007,$0.00,0.000,.,0.00,.,0.00,$19.59,0.132,$0.06,0.000,$14.01,0.050,$0.11,0.001,0.001 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,$88.70,1.49,$58.85,0.99,$38.18,0.66,$24.50,0.44,$15.75,0.29,$10.21,0.20,$6.70,0.14,$4.47,0.10,$3.03,0.07,$2.09,0.05
"$2,800","8,932","$1,299.11","$2,749.62",$20.58,0.049,$1.61,0.001,$179.09,2.206,$230.78,2.002,$0.80,0.006,.,0.00,$31.59,0.144,.,0.00,.,0.00,$0.25,0.001,$2.08,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$227.47,1.412,.,0.00,.,0.00,.,0.00,$24.93,0.504,$27.35,0.187,$18.35,0.097,$5.96,0.031,$3.04,0.06,$0.00,0,$22.91,0.095,0.002,0,$0.39,0.003,$0.05,0.000,.,0.00,.,0.00,$30.55,0.140,$0.20,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.21,0.001,$0.00,0.000,$1.70,0.007,$0.00,0.000,.,0.00,.,0.00,$20.27,0.134,$0.06,0.000,$14.78,0.052,$0.11,0.001,0.001 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,$90.38,1.51,$60.25,1.01,$39.31,0.68,$25.38,0.45,$16.43,0.30,$10.73,0.21,$7.09,0.15,$4.76,0.10,$3.25,0.07,$2.27,0.05
"$2,900","8,391","$1,324.85","$2,849.79",$21.72,0.051,$1.87,0.001,$181.64,2.229,$238.15,2.048,$0.83,0.006,.,0.00,$32.84,0.148,.,0.00,.,0.00,$0.26,0.001,$2.23,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$231.03,1.426,.,0.00,.,0.00,.,0.00,$25.71,0.511,$27.97,0.190,$18.82,0.099,$6.06,0.031,$3.10,0.06,$0.00,0,$24.11,0.098,0.002,0,$0.40,0.003,$0.06,0.000,.,0.00,.,0.00,$31.75,0.143,$0.21,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.22,0.001,$0.00,0.000,$1.83,0.008,$0.00,0.000,.,0.00,.,0.00,$20.94,0.137,$0.07,0.000,$15.48,0.053,$0.11,0.001,0.001 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,$92.01,1.53,$61.62,1.03,$40.43,0.69,$26.27,0.46,$17.12,0.31,$11.26,0.22,$7.49,0.15,$5.07,0.11,$3.48,0.08,$2.44,0.06
"$3,000","8,182","$1,349.94","$2,949.81",$22.89,0.053,$2.14,0.002,$184.14,2.252,$245.27,2.094,$0.86,0.006,.,0.00,$34.16,0.151,.,0.00,.,0.00,$0.28,0.002,$2.35,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$234.29,1.441,.,0.00,.,0.00,.,0.00,$26.47,0.518,$28.61,0.193,$19.30,0.101,$6.14,0.031,$3.17,0.06,$0.00,0,$25.37,0.101,0.002,0,$0.41,0.003,$0.06,0.000,.,0.00,.,0.00,$33.03,0.146,$0.22,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.24,0.001,$0.00,0.000,$1.95,0.008,$0.00,0.000,.,0.00,.,0.00,$21.57,0.140,$0.07,0.000,$16.23,0.055,$0.11,0.001,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,$93.61,1.55,$62.98,1.05,$41.53,0.71,$27.15,0.48,$17.81,0.33,$11.78,0.23,$7.89,0.16,$5.38,0.11,$3.72,0.08,$2.62,0.06
"$3,100","7,659","$1,374.40","$3,049.81",$24.01,0.054,$2.39,0.002,$186.48,2.273,$252.30,2.137,$0.89,0.006,.,0.00,$35.37,0.154,.,0.00,.,0.00,$0.29,0.002,$2.47,0.001,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$237.41,1.454,.,0.00,.,0.00,.,0.00,$27.17,0.525,$29.21,0.196,$19.73,0.103,$6.22,0.032,$3.25,0.06,$0.00,0,$26.65,0.104,0.003,0,$0.43,0.003,$0.06,0.000,.,0.00,.,0.00,$34.20,0.149,$0.24,0.001,.,0.00,.,0.00,.,0.00,.,0.00,$0.25,0.001,$0.00,0.000,$2.05,0.009,$0.00,0.000,.,0.00,.,0.00,$22.12,0.142,$0.07,0.000,$16.95,0.056,$0.11,0.001,0.002 ,0.002 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,$95.11,1.57,$64.24,1.07,$42.57,0.72,$27.97,0.49,$18.46,0.33,$12.29,0.23,$8.29,0.17,$5.68,0.12,$3.96,0.09,$2.81,0.06
