"Focus area:23-Public Health Infrastructure - April 16, 2008",,,,,,,,,,,,,
,,,,,,,,,,,,,
              surveillance [New],2004,290%,NA,NA,NA,NA,NA,NA,BSL,---,84%,---,98%
,,,,,,,,,,,,,
"23-13b Public health laboratory services - Tribal, States and   ",,,,,,,,,,,,,
              D.C. - Integrated data management [New],2004,269%,NA,NA,NA,NA,NA,NA,BSL,---,43%,---,85%
,,,,,,,,,,,,,
"23-13c Public health laboratory services - Tribal, States and   ",,,,,,,,,,,,,
              D.C. - Reference and specialized testing [New],2006,86%,NA,NA,NA,NA,NA,NA,NA,NA,BSL,---,TBD
,,,,,,,,,,,,,
"23-13d Public health laboratory services - Tribal, States and   ",,,,,,,,,,,,,
              D.C. - Environmental health and protection [New],2006,86%,NA,NA,NA,NA,NA,NA,NA,NA,BSL,---,TBD
,,,,,,,,,,,,,
"23-13e Public health laboratory services - Tribal, States and   ",,,,,,,,,,,,,
              D.C. - Food safety [New],2004,22%,NA,NA,NA,NA,NA,NA,BSL,---,86%,---,50%
,,,,,,,,,,,,,
"23-13f Public health laboratory services - Tribal, States and   ",,,,,,,,,,,,,
              D.C. - Laboratory improvement and regulation,,,,,,,,,,,,,
              [New],2006,65%,NA,NA,NA,NA,NA,NA,NA,NA,BSL,---,TBD
,,,,,,,,,,,,,
"23-13g Public health laboratory services - Tribal, States and   ",,,,,,,,,,,,,
              D.C. - Policy development [New],2004,223%,NA,NA,NA,NA,NA,NA,BSL,---,55%,---,50%
,,,,,,,,,,,,,
"23-13h Public health laboratory services - Tribal, States and   ",,,,,,,,,,,,,
              D.C. - Emergency response [New],2004,229%,NA,NA,NA,NA,NA,NA,BSL,---,57%,---,65%
,,,,,,,,,,,,,
"23-13i Public health laboratory services - Tribal, States and   ",,,,,,,,,,,,,
              D.C. - Public health related research [New],2006,22%,NA,NA,NA,NA,NA,NA,NA,NA,BSL,---,TBD
,,,,,,,,,,,,,
"23-13j Public health laboratory services - Tribal, States and   ",,,,,,,,,,,,,
              D.C. - Training and education [New],2004,285%,NA,NA,NA,NA,NA,NA,BSL,---,45%,---,90%
,,,,,,,,,,,,,
"23-13k Public health laboratory services - Tribal, States and   ",,,,,,,,,,,,,
              D.C. - Partnerships and communication [New],2004,248%,NA,NA,NA,NA,NA,NA,BSL,---,45%,---,75%
,,,,,,,,,,,,,
23-14a State epidemiologists with formal training [New] ,2001,58%,NA,NA,NA,BSL,---,---,96%,---,91%,---,80%
                                                        ,,,,,,,,,,,,,
23-14b Provide or assure comprehensive epidemiology     ,,,,,,,,,,,,,
              services -Tribal [New],DNC,DNC,---,---,---,---,---,---,---,---,---,---,---
,,,,,,,,,,,,,
23-14c Provide or assure comprehensive epidemiology     ,,,,,,,,,,,,,
              services - State agencies [New],2004,10%,NA,NA,NA,NA,NA,NA,10%,---,14%,,TBD
,,,,,,,,,,,,,
23-14d Provide or assure comprehensive epidemiology     ,,,,,,,,,,,,,
              services - Local agencies [New],2005,62%,NA,NA,NA,NA,NA,NA,NA,BSL,---,---,TBD
,,,,,,,,,,,,,
23-15a Evaluation of public health laws - Turning Point ,,,,,,,,,,,,,
              Model State Public Health Act (number of States,,,,,,,,,,,,,
              and D.C.) [New],2003,30,NA,NA,NA,NA,NA,BSL,---,---,---,33,51
,,,,,,,,,,,,,
23-15b Evaluation of public health laws - Model State   ,,,,,,,,,,,,,
              Emergency Powers Act (number of States and D.C.),,,,,,,,,,,,,
              [New],2003,35,NA,NA,NA,NA,NA,BSL,---,---,44,---,51
                                                        ,,,,,,,,,,,,,
23-16  Data on public health expenditures [Deleted at   ,,,,,,,,,,,,,
            Midcourse Review],DNC,DNC,---,---,---,---,---,---,---,---,---,---,---
                                                        ,,,,,,,,,,,,,
23-17  Population-based prevention research          ,2007,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,BSL,TBD
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
                                            DATA ISSUES,,,,,,,,,,,,,
--- = Data are not available.,,,,,,,,,,,,,
TDB = Target to be determined by the Healthy People 2010 Steering Committee.,,,,,,,,,,,,,
BSL = Baseline data available for this year.  See Baseline column.,,,,,,,,,,,,,
DNC = Data for specific population are not collected.,,,,,,,,,,,,,
NA  = Not applicable.,,,,,,,,,,,,,
a Baseline revised.,,,,,,,,,,,,,
b Target revised.,,,,,,,,,,,,,
1 Includes only Public Health Nurses.,,,,,,,,,,,,,
2 Includes Puerto Rico.,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"NOTE:Data may include revisions, and may differ from those shown previously.  Any displayed",,,,,,,,,,,,,
age-adjusted data are adjusted to the 2000 standard population.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Objective,,,,,,,,,,,,,
number                              DATA SOURCE ,,,,,,,,,,,,,
23-1           Deleted at Midcourse Review.,,,,,,,,,,,,,
"23-2           Federal: DATA2010, Health Promotion Statistics Branch, NCHS, CDC.",,,,,,,,,,,,,
"                 Tribal:: Tribal EPI Centers, CDC and IHS.",,,,,,,,,,,,,
"                 State: statehealthfacts, Kaiser Foundation http://www.statehealthfacts.org/profile.jsp.",,,,,,,,,,,,,
                 Local: Community Health Status Indicators http://chsi.primescapesolutions.net/HomePage.aspx.,,,,,,,,,,,,,
"23-3           DATA2010, CDC, NCHS.",,,,,,,,,,,,,
"23-4           DATA2010, CDC, NCHS.",,,,,,,,,,,,,
23-5           Deleted at Midcourse Review.,,,,,,,,,,,,,
"23-6           DATA2010, CDC, NCHS.",,,,,,,,,,,,,
"23-7           DATA2010, CDC, NCHS.",,,,,,,,,,,,,
"23-8           National Profile of Local Health Departments, National Association",,,,,,,,,,,,,
                   of County and City Health Officials (NACCHO).,,,,,,,,,,,,,
23-9           Council on Linkages Study.,,,,,,,,,,,,,
23-10a       Potential:Indian Health Service.,,,,,,,,,,,,,
"23-10b       National Sample Survey of Registered Nurses, HRSA, Bureau of Health",,,,,,,,,,,,,
                   Professions.,,,,,,,,,,,,,
"23-10c       National Profile of Local Health Departments, NACCHO.",,,,,,,,,,,,,
"23-11a       National Public Health Performance Standards Program, CDC, Office of the Chief",,,,,,,,,,,,,
                   of Public Health Practice.,,,,,,,,,,,,,
"23-11b       National Public Health Performance Standards Program, CDC, Office of the Chief",,,,,,,,,,,,,
                   of Public Health Practice.,,,,,,,,,,,,,
"23-11c       National Public Health Performance Standards Program, CDC, Office of the Chief",,,,,,,,,,,,,
                   of Public Health Practice.,,,,,,,,,,,,,
"23-11d       National Public Health Performance Standards Program, CDC, Office of the Chief",,,,,,,,,,,,,
                   of Public Health Practice.,,,,,,,,,,,,,
23-12a       Potential:Indian Health Service.,,,,,,,,,,,,,
"23-12b       Salary Survey of State and Territorial Health Officials, Association of State",,,,,,,,,,,,,
                   and Territorial Health Officials (ASTHO).,,,,,,,,,,,,,
"23-12c       National Profile of Local Health Departments, National Association of County and",,,,,,,,,,,,,
"                   City Health Officials (NACCHO) Baseline from Local Public Health Agency Infrastructure Study, NACCHO.",,,,,,,,,,,,,
"23-12d       National Profile of Local Health Departments, National Association of County and",,,,,,,,,,,,,
                   City Health Officials (NACCHO).,,,,,,,,,,,,,
,,,,,,,,,,,,,
"23-13a-f   Comprehensive Laboratory Services Survey, Association of Public Health",,,,,,,,,,,,,
                   Laboratories (APHL).,,,,,,,,,,,,,
"23-14a       Epidemiology Capacity Assessment, Council of State and Territorial",,,,,,,,,,,,,
                   Epidemiologists (CSTE).,,,,,,,,,,,,,
23-14b       Potential:Survey of Regionally Based Public Health Services/Infrastructure in,,,,,,,,,,,,,
"                   Indian Country, Tribal Epidemiology Centers (EpiCenters).",,,,,,,,,,,,,
"23-14c       Epidemiology Capacity Assessment, Council of State and Territorial",,,,,,,,,,,,,
                   Epidemiologists (CSTE).,,,,,,,,,,,,,
"23-14d       National Profile of Local Health Departments, NACCHO.",,,,,,,,,,,,,
"23-15a       Center for Public Health Law and the Public's Health, Georgetown University Law",,,,,,,,,,,,,
                   Center and Johns Hopkins Bloomberg School of Public Health.,,,,,,,,,,,,,
"23-15b       Center for Public Health Law and the Public's Health, Georgetown University Law",,,,,,,,,,,,,
                   Center and Johns Hopkins Bloomberg School of Public Health.,,,,,,,,,,,,,
23-16         Deleted at Midcourse Review.,,,,,,,,,,,,,
"23-17         Prevention Research Centers, CDC.",,,,,,,,,,,,,
