TWT S.p.a. - Viale Jenner 33 - 20159 Milano,,,,,,
,,,,,,
COMUNICA IT SERVICES SA,,,,,Peak Hours,Off peak hours
Albania Alternativ,35521964,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35522400,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35522600,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35522620,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35522700,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35522701,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35522900,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35524620,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35526140,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35526142,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35526220,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35526221,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35526290,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35526420,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35526460,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35526560,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35526620,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35526621,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35526622,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35526670,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35526720,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35526780,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35526870,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35527160,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35528140,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35528141,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35528170,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35528171,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35528472,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35528742,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35529220,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35529221,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35531172,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35531174,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35531260,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35531360,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35532410,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35532411,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35532412,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35532500,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35532501,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35532502,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35532503,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35532504,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35532505,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35532600,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35532601,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35533800,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35534410,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35534510,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35534700,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35534701,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35534702,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35534703,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35534704,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35534705,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35535410,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35535700,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35535701,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35535702,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35535703,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35535704,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35535705,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35536140,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35536141,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35536220,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35536221,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35536321,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35536862,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35537160,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35538140,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35538141,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35538170,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35538260,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35538320,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35538321,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35538440,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35538520,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35538540,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35538820,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35538821,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35539140,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35539141,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35539260,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35539340,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35539350,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35539351,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35539550,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35539551,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35545550,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35545800,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35547220,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35547221,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35547222,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35547223,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35547224,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35547235,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35547270,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35547460,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35547480,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35547481,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35547520,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35547521,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35547640,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35547641,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35547642,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35547643,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35547644,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35547670,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35547800,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35547840,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35547841,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35548200,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35548201,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35548202,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35548230,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35548240,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35548241,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35548242,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35548243,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35548244,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35548520,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35548550,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35548551,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35548730,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35548731,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35548830,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35548970,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35548971,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35549220,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35549230,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35549231,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35549420,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35549421,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35549540,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35549541,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35551170,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35551180,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35551181,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35551254,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35551341,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35551352,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35551354,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35551441,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35551480,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35552800,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35552801,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35553500,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35553600,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35553601,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35553602,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35553603,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35553604,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35554400,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35555800,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35555900,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35555901,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35555902,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35555903,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35555904,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35556170,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35556330,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35556331,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35556360,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35557020,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35557160,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35557161,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35557250,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35557251,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35557340,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35557370,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35557371,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35557422,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35557423,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35557424,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35557520,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35557580,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35557620,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35557621,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35557752,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35557862,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35557863,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35557920,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35558144,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35558244,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35558326,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35558380,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35558523,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35558630,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35558943,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35559144,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35581154,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35581270,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35581372,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35581441,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35581472,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35581572,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35582400,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35583600,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35583601,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35583602,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35583603,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35583604,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35583605,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35583620,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35583621,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35584410,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35584820,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35585410,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35585820,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35586142,0.110000,0.110000,19/01/2016,-,==
