,Well,Fluor,Target,Content,Sample,Cq,SQ
,E05,SYBR,GPP2,Unkn-15,iScript C,33.08,
,E06,SYBR,GPP2,NRT-06,iScript,22.58,
,E07,SYBR,ACT,Unkn-19,Control3,19.21,
,E08,SYBR,ACT,Unkn-23,iScript C,29.13,
,E09,SYBR,ACT,NRT-09,iScript,35.29,
,E10,SYBR,IPP1,Unkn-27,Control3,17.77,
,E11,SYBR,IPP1,Unkn-31,iScript C,27.53,
,E12,SYBR,IPP1,NRT-12,iScript,33.85,
,F01,SYBR,HXK,Unkn-03,Control3,19.04,
,F02,SYBR,HXK,Unkn-07,iScript C,29.08,
,F03,SYBR,HXK,NRT-03,iScript,34.61,
,F04,SYBR,GPP2,Unkn-11,Control3,22.69,
,F05,SYBR,GPP2,Unkn-15,iScript C,32.74,
,F06,SYBR,GPP2,NRT-06,iScript,34.04,
,F07,SYBR,ACT,Unkn-19,Control3,19.33,
,F08,SYBR,ACT,Unkn-23,iScript C,29.20,
,F09,SYBR,ACT,NRT-09,iScript,34.94,
,F10,SYBR,IPP1,Unkn-27,Control3,17.82,
,F11,SYBR,IPP1,Unkn-31,iScript C,27.53,
,F12,SYBR,IPP1,NRT-12,iScript,33.95,
,G01,SYBR,HXK,Unkn-04,Salt1,19.52,
,G02,SYBR,HXK,Unkn-08,iScript S,30.86,
,G03,SYBR,HXK,NTC,,,
,G04,SYBR,GPP2,Unkn-12,Salt1,19.02,
,G05,SYBR,GPP2,Unkn-16,iScript S,31.35,
,G06,SYBR,GPP2,NTC,,,
,G07,SYBR,ACT,Unkn-20,Salt1,19.45,
,G08,SYBR,ACT,Unkn-24,iScript S,30.40,
,G09,SYBR,ACT,NTC,,,
,G10,SYBR,IPP1,Unkn-28,Salt1,18.52,
,G11,SYBR,IPP1,Unkn-32,iScript S,29.45,
,G12,SYBR,IPP1,NTC,,36.33,
,H01,SYBR,HXK,Unkn-04,Salt1,19.61,
,H02,SYBR,HXK,Unkn-08,iScript S,31.04,
,H03,SYBR,HXK,NTC,,,
,H04,SYBR,GPP2,Unkn-12,Salt1,19.12,
,H05,SYBR,GPP2,Unkn-16,iScript S,31.61,
,H06,SYBR,GPP2,NTC,,,
,H07,SYBR,ACT,Unkn-20,Salt1,20.24,
,H08,SYBR,ACT,Unkn-24,iScript S,30.32,
,H09,SYBR,ACT,NTC,,,
,H10,SYBR,IPP1,Unkn-28,Salt1,18.50,
,H11,SYBR,IPP1,Unkn-32,iScript S,29.41,
,H12,SYBR,IPP1,NTC,,36.54,
