Guide Utilisateur,,,
,,,
I) Initialisation de la matrice,,,
"I.1) Remplissage de la feuille ""Description""",,,
"La feuille ""Description"" donne une vue globale des informations contenues dans la matrice.",,,
On y trouve : ,,,
,- le nom du projet auquel est attaché cette matrice,,
,,,
,"- colonne ""Contact"" : la personne responsable de ce module pour ce lot ou a defaut une liste de diffusion adressant le composant",,
,,,Jean-François WALZACK
,,,Sylvie RANNOU
,,,
,"- colonnes ""Pré-requis"" et ""Commentaire Pré-requis"" : les dépendances à l'execution",,
,,,
,,,
,,,
,,,
,,,
,"- colonnes ""Commentaires"" : tout commentaire lié au module",,
,,,
,,,
"Vous pouvez également laisser des ""Commentaires Généraux"" dans le tableau du même nom, afin d'apporter toute information supplémentaires à la livraison de cet etat technique.",,,
Toute case apparaissant en rouge indique un problème. Il ne devrait donc y avoir aucune case rouge ,,,
,,,
,,,
,,,
,,,
,,,
II) Ajout d'un nouvel état technique,,,
II.1) Copier la feuille contenant le dernier Etat Technique,,,
Sélectionner la feuille contenant le dernier Etat Technique,,,
,"- par exemple : clic droit sur la feuille ""ET - 01""",,
"Cliquer sur ""Déplacer ou copier""",,,
"La nouvelle fenêtre ""Déplacer ou copier"" apparaît",,,
,"- cocher la case ""créer une copie""",,
,"- dans la section ""avant la feuille"", selectionner la feuille contenant votre dernier état technique (exemple ""ET - 01"")",,
,,,
,,,
,,,
II.2) Renommer la nouvelle feuille état technique créée,,,
Sélectionner la feuille contenant le nouvelle Etat Technique,,,
,"- par exemple : clic droit sur la feuille ""ET - 01""",,
"Cliquer sur ""Renommer""",,,
"Renommer en incrémentant le numéro d'état technique""",,,
,"- par exemple : ""ET - 02""",,
,,,
,,,
,,,
"II.3)  Remplissage du nouvel état technique de la matrice, feuille ""ET -XX""",,,
Spécifier en gras les modules qui ont évolués comparé à l'etat technique précédent,,,
"Vous êtes libre de rajouter dans le tableau, et avant la ligne ""Ne pas insérer de données sous cette ligne"", autant de lignes de composants que nécessaire.",,,
,,,
"Pour une description détaillée de la matrice, reportez vous à la section ""I.4  Remplissage de l'état technique 01 de la matrice, feuille ""ET - 01""""",,,
,,,
,,,
,,,
,,,
,,,
III) Notes de version,,,
Version 00.04,,,
"Correction du nom de colonne ""Description"" (Descrition -> Description)",,,
"Correction du format des cellules de la colonne ""Etat Technique"" de la section Historique",,,
,,,
Version 00.05,,,
"Onglet ""Description"" Modification du libellé du lien ""Contenu du lot"". Le libellé n'est plus dynamique",,,
"Onglet ""Composants du Projet"" Modification du libellé de la colonne ""Libellé"" en ""Description""",,,
"Evolution du contrôle de label : on accepte également un label de la forme ""A0123456A""",,,
,,,
Version 00.06,,,
Réduction du nombre de lignes par défaut dans un etat technique et les composants du projet pour réduire la taille de la matrice,,,
,,,
Version 00.07,,,
"Le numéro de lot peut maintenant contenir 'CBF"" pour indiquer une diffusion pour CBF",,,
Prise en compte des codes applications sur 4 caractères (e.g. : AA ou A1 ou AAAA ou A1111),,,
Prise en compte du type livrables sur 2 caractères (e.g. : A ou A1),,,
Mise en place d'un contrôle sur la syntaxe du composant (onglet ET-X et Composants du Projet),,,
Mise en place d'un contrôle sur la correspondance nom de module - label (onglet ET-X),,,
,,,
Version 00.08,,,
Retrait des fonctions de vérification internes au fichier excel pour cause d'incompatibilité avec la librairie php excel,,,
En remplacement un outil de vérification de la matrice est disponible à partir de l'URL http://equimad.credi-ra.cnamts.fr/externe.php,,,
