Result (expected),Format,Value,Categories
"-123,456","?,?????",-123456,Commas
"-1,234,567","?,??????",-1234567,Commas
,,,
1235,"0,",1234567,Scaling
1,"#,,",1234567,Scaling
1234.6,"0.#,",1234567,Scaling
1.2,"#,.#,",1234567,Scaling
-1235,"0,",-1234567,Scaling
-1,"#,,",-1234567,Scaling
-1234.6,"0.#,",-1234567,Scaling
-1.2,"#,.#,",-1234567,Scaling
,,,
1.23%,0.00%,0.0123,Percentages
"12,345.00%","0,0.00%",123.45,Percentages
"1,234,500.00%%","0,0.00%%",123.45,Percentages
-1.23%,0.00%,-0.0123,Percentages
"-12,345.00%","0,0.00%",-123.45,Percentages
"-1,234,500.00%%","0,0.00%%",-123.45,Percentages
,,,
|1.1|,|?.?|,1.1,SpaceFilled
| 1.1|,|??.?|,1.1,SpaceFilled
|1.1 |,|?.??|,1.1,SpaceFilled
| 1.1 |,|??.??|,1.1,SpaceFilled
"1,234,567","?,?",1234567,SpaceFilled
"    1,234,567","?,?????????",1234567,SpaceFilled
-|1.1|,|?.?|,-1.1,SpaceFilled
-| 1.1|,|??.?|,-1.1,SpaceFilled
-|1.1 |,|?.??|,-1.1,SpaceFilled
-| 1.1 |,|??.??|,-1.1,SpaceFilled
"-1,234,567","?,?",-1234567,SpaceFilled
"-    1,234,567","?,?????????",-1234567,SpaceFilled
,,,
|23:3/4|,|#\:#/#|,23.75,Fractions
-|23:3/4|,|#\:#/#|,-23.75,Fractions
|3/4|,|#\:#/#|,0.75,Fractions
-|3/4|,|#\:#/#|,-0.75,Fractions
|0|,|#\:#/#|,0,"Fractions, Tricky"
|1|,|#\:#/#|,1,Fractions
-|1|,|#\:#/#|,-1,Fractions
|-2-3:3/4|,|#-#-#\:#/#|,23.75,Fractions
-|-2-3:3/4|,|#-#-#\:#/#|,-23.75,Fractions
|--3/4|,|#-#-#\:#/#|,0.75,Fractions
-|--3/4|,|#-#-#\:#/#|,-0.75,Fractions
|--0|,|#-#-#\:#/#|,0,Fractions
|--1|,|#-#-#\:#/#|,1,Fractions
-|--1|,|#-#-#\:#/#|,-1,Fractions
|23:3=/=4|,|#\:#=/=#|,23.75,Fractions
-|23:3=/=4|,|#\:#=/=#|,-23.75,Fractions
|0|,|#\:#=/=#|,0,Fractions
|1|,|#\:#=/=#|,1,Fractions
-|1|,|#\:#=/=#|,-1,Fractions
|23:3=/=4|,|#\:#=/=?|,23.75,Fractions
-|23:3=/=4|,|#\:#=/=?|,-23.75,Fractions
|0      |,|#\:#=/=?|,0,Fractions
|1      |,|#\:#=/=?|,1,Fractions
-|1      |,|#\:#=/=?|,-1,Fractions
|23:3=/=4|,|#\:#=/=0|,23.75,Fractions
-|23:3=/=4|,|#\:#=/=0|,-23.75,Fractions
|0|,|#\:#=/=0|,0,Fractions
|1|,|#\:#=/=0|,1,Fractions
-|1|,|#\:#=/=0|,-1,Fractions
|2:3 3=/=4|,|#\:? ?=/=#|,23.75,Fractions
-|2:3 3=/=4|,|#\:? ?=/=#|,-23.75,Fractions
|:0      |,|#\:? ?=/=#|,0,Fractions
|:1      |,|#\:? ?=/=#|,1,Fractions
-|:1      |,|#\:? ?=/=#|,-1,Fractions
|2:3 3=/=4|,|#\:? ?=/=?|,23.75,Fractions
-|2:3 3=/=4|,|#\:? ?=/=?|,-23.75,Fractions
|:0      |,|#\:? ?=/=?|,0,Fractions
|:1      |,|#\:? ?=/=?|,1,Fractions
-|:1      |,|#\:? ?=/=?|,-1,Fractions
|2:3  3/4|,|#\:? ?#/#|,23.75,Fractions
|2:3  03/004,|#\:? ?0#/000,23.75,Fractions
|   3=/=4|,|?\:?0=/=#|,0.75,"Fractions, Tricky"
|:0  00/001,|#\:? ?0#/000,0,"Fractions, Tricky"
|:1  00/001,|#\:? ?0#/000,1,"Fractions, Tricky"
,,,
|15 /4|,|#_#/#|,3.75,Improper Fractions
-|15 /4|,|#_#/#|,-3.75,Improper Fractions
|3 /4|,|#_#/#|,0.75,Improper Fractions
-|3 /4|,|#_#/#|,-0.75,Improper Fractions
|0 /1|,|#_#/#|,0,Improper Fractions
|1 /1|,|#_#/#|,1,Improper Fractions
-|1 /1|,|#_#/#|,-1,Improper Fractions
|15 =/=4|,|#_#=/=#|,3.75,Improper Fractions
-|15 =/=4|,|#_#=/=#|,-3.75,Improper Fractions
|0 =/=1|,|#_#=/=#|,0,Improper Fractions
|1 =/=1|,|#_#=/=#|,1,Improper Fractions
-|1 =/=1|,|#_#=/=#|,-1,Improper Fractions
|15 =/=4|,|#_#=/=?|,3.75,Improper Fractions
-|15 =/=4|,|#_#=/=?|,-3.75,Improper Fractions
|0 =/=1|,|#_#=/=?|,0,Improper Fractions
|1 =/=1|,|#_#=/=?|,1,Improper Fractions
-|1 =/=1|,|#_#=/=?|,-1,Improper Fractions
|15 =/=4|,|#_#=/=0|,3.75,Improper Fractions
-|15 =/=4|,|#_#=/=0|,-3.75,Improper Fractions
|0 =/=1|,|#_#=/=0|,0,Improper Fractions
|1 =/=1|,|#_#=/=0|,1,Improper Fractions
-|1 =/=1|,|#_#=/=0|,-1,Improper Fractions
|15 =/=4|,|#_?=/=#|,3.75,Improper Fractions
-|15 =/=4|,|#_?=/=#|,-3.75,Improper Fractions
|0 =/=1|,|#_?=/=#|,0,Improper Fractions
|1 =/=1|,|#_?=/=#|,1,Improper Fractions
-|1 =/=1|,|#_?=/=#|,-1,Improper Fractions
|15 =/=4|,|#_?=/=?|,3.75,Improper Fractions
-|15 =/=4|,|#_?=/=?|,-3.75,Improper Fractions
|0 =/=1|,|#_?=/=?|,0,Improper Fractions
|1 =/=1|,|#_?=/=?|,1,Improper Fractions
-|1 =/=1|,|#_?=/=?|,-1,Improper Fractions
,,,
|0|,|#\:#=/=#|,0,Fractions
|0      |,|#\:#=/=?|,0,Fractions
|0|,|#\:#=/=0|,0,Fractions
|0      |,|#\:?=/=#|,0,Fractions
|0      |,|#\:?=/=?|,0,Fractions
|0      |,|#\:?=/=0|,0,Fractions
|0=/=1|,|#\:0=/=#|,0,"Fractions, Tricky"
|0=/=1|,|#\:0=/=?|,0,Fractions
|0=/=1|,|#\:0=/=0|,0,Fractions
|0      |,|?\:#=/=#|,0,Fractions
|0      |,|?\:#=/=?|,0,Fractions
|0      |,|?\:#=/=0|,0,Fractions
|0      |,|?\:?=/=#|,0,Fractions
|0      |,|?\:?=/=?|,0,Fractions
|0      |,|?\:?=/=0|,0,Fractions
|0:0=/=1|,|?\:0=/=#|,0,"Fractions, Tricky"
|0:0=/=1|,|?\:0=/=?|,0,Fractions
|0:0=/=1|,|?\:0=/=0|,0,Fractions
|0|,|0\:#=/=#|,0,Fractions
|0      |,|0\:#=/=?|,0,Fractions
|0|,|0\:#=/=0|,0,Fractions
|0      |,|0\:?=/=#|,0,Fractions
|0      |,|0\:?=/=?|,0,Fractions
|0      |,|0\:?=/=0|,0,Fractions
|0:0=/=1|,|0\:0=/=#|,0,"Fractions, Tricky"
|0:0=/=1|,|0\:0=/=?|,0,Fractions
|0:0=/=1|,|0\:0=/=0|,0,Fractions
|3=/=4|,|#\:#=/=#|,0.75,Fractions
|3=/=4|,|#\:#=/=?|,0.75,Fractions
|3=/=4|,|#\:#=/=0|,0.75,Fractions
| 3=/=4|,|#\:?=/=#|,0.75,Fractions
| 3=/=4|,|#\:?=/=?|,0.75,Fractions
| 3=/=4|,|#\:?=/=0|,0.75,Fractions
|3=/=4|,|#\:0=/=#|,0.75,Fractions
|3=/=4|,|#\:0=/=?|,0.75,Fractions
|3=/=4|,|#\:0=/=0|,0.75,Fractions
|  3=/=4|,|?\:#=/=#|,0.75,Fractions
|  3=/=4|,|?\:#=/=?|,0.75,Fractions
|  3=/=4|,|?\:#=/=0|,0.75,Fractions
|  3=/=4|,|?\:?=/=#|,0.75,Fractions
|  3=/=4|,|?\:?=/=?|,0.75,Fractions
|  3=/=4|,|?\:?=/=0|,0.75,Fractions
|  3=/=4|,|?\:0=/=#|,0.75,Fractions
|  3=/=4|,|?\:0=/=?|,0.75,Fractions
|  3=/=4|,|?\:0=/=0|,0.75,Fractions
|0:3=/=4|,|0\:#=/=#|,0.75,Fractions
|0:3=/=4|,|0\:#=/=?|,0.75,Fractions
|0:3=/=4|,|0\:#=/=0|,0.75,Fractions
|0:3=/=4|,|0\:?=/=#|,0.75,Fractions
|0:3=/=4|,|0\:?=/=?|,0.75,Fractions
|0:3=/=4|,|0\:?=/=0|,0.75,Fractions
|0:3=/=4|,|0\:0=/=#|,0.75,Fractions
|0:3=/=4|,|0\:0=/=?|,0.75,Fractions
|0:3=/=4|,|0\:0=/=0|,0.75,Fractions
|1|,|#\:#=/=#|,1,Fractions
|1      |,|#\:#=/=?|,1,Fractions
|1|,|#\:#=/=0|,1,Fractions
|1      |,|#\:?=/=#|,1,Fractions
|1      |,|#\:?=/=?|,1,Fractions
|1      |,|#\:?=/=0|,1,Fractions
|1:0=/=1|,|#\:0=/=#|,1,Fractions
|1:0=/=1|,|#\:0=/=?|,1,Fractions
|1:0=/=1|,|#\:0=/=0|,1,Fractions
|1      |,|?\:#=/=#|,1,Fractions
|1      |,|?\:#=/=?|,1,Fractions
|1      |,|?\:#=/=0|,1,Fractions
|1      |,|?\:?=/=#|,1,Fractions
|1      |,|?\:?=/=?|,1,Fractions
|1      |,|?\:?=/=0|,1,Fractions
|1:0=/=1|,|?\:0=/=#|,1,Fractions
|1:0=/=1|,|?\:0=/=?|,1,Fractions
|1:0=/=1|,|?\:0=/=0|,1,Fractions
|1|,|0\:#=/=#|,1,Fractions
|1      |,|0\:#=/=?|,1,Fractions
|1|,|0\:#=/=0|,1,Fractions
|1      |,|0\:?=/=#|,1,Fractions
|1      |,|0\:?=/=?|,1,Fractions
|1      |,|0\:?=/=0|,1,Fractions
|1:0=/=1|,|0\:0=/=#|,1,Fractions
|1:0=/=1|,|0\:0=/=?|,1,Fractions
|1:0=/=1|,|0\:0=/=0|,1,Fractions
-|3=/=4|,|#\:#=/=#|,-0.75,Fractions
-|3=/=4|,|#\:#=/=?|,-0.75,Fractions
-|3=/=4|,|#\:#=/=0|,-0.75,Fractions
-| 3=/=4|,|#\:?=/=#|,-0.75,Fractions
-| 3=/=4|,|#\:?=/=?|,-0.75,Fractions
-| 3=/=4|,|#\:?=/=0|,-0.75,Fractions
-|3=/=4|,|#\:0=/=#|,-0.75,Fractions
-|3=/=4|,|#\:0=/=?|,-0.75,Fractions
-|3=/=4|,|#\:0=/=0|,-0.75,Fractions
-|  3=/=4|,|?\:#=/=#|,-0.75,Fractions
-|  3=/=4|,|?\:#=/=?|,-0.75,Fractions
-|  3=/=4|,|?\:#=/=0|,-0.75,Fractions
-|  3=/=4|,|?\:?=/=#|,-0.75,Fractions
-|  3=/=4|,|?\:?=/=?|,-0.75,Fractions
-|  3=/=4|,|?\:?=/=0|,-0.75,Fractions
-|  3=/=4|,|?\:0=/=#|,-0.75,Fractions
-|  3=/=4|,|?\:0=/=?|,-0.75,Fractions
-|  3=/=4|,|?\:0=/=0|,-0.75,Fractions
-|0:3=/=4|,|0\:#=/=#|,-0.75,Fractions
-|0:3=/=4|,|0\:#=/=?|,-0.75,Fractions
-|0:3=/=4|,|0\:#=/=0|,-0.75,Fractions
-|0:3=/=4|,|0\:?=/=#|,-0.75,Fractions
-|0:3=/=4|,|0\:?=/=?|,-0.75,Fractions
-|0:3=/=4|,|0\:?=/=0|,-0.75,Fractions
-|0:3=/=4|,|0\:0=/=#|,-0.75,Fractions
-|0:3=/=4|,|0\:0=/=?|,-0.75,Fractions
-|0:3=/=4|,|0\:0=/=0|,-0.75,Fractions
-|1|,|#\:#=/=#|,-1,Fractions
-|1      |,|#\:#=/=?|,-1,Fractions
-|1|,|#\:#=/=0|,-1,Fractions
-|1      |,|#\:?=/=#|,-1,Fractions
-|1      |,|#\:?=/=?|,-1,Fractions
-|1      |,|#\:?=/=0|,-1,Fractions
-|1:0=/=1|,|#\:0=/=#|,-1,Fractions
-|1:0=/=1|,|#\:0=/=?|,-1,Fractions
-|1:0=/=1|,|#\:0=/=0|,-1,Fractions
-|1      |,|?\:#=/=#|,-1,Fractions
-|1      |,|?\:#=/=?|,-1,Fractions
-|1      |,|?\:#=/=0|,-1,Fractions
-|1      |,|?\:?=/=#|,-1,Fractions
-|1      |,|?\:?=/=?|,-1,Fractions
-|1      |,|?\:?=/=0|,-1,Fractions
-|1:0=/=1|,|?\:0=/=#|,-1,Fractions
-|1:0=/=1|,|?\:0=/=?|,-1,Fractions
-|1:0=/=1|,|?\:0=/=0|,-1,Fractions
-|1|,|0\:#=/=#|,-1,Fractions
-|1      |,|0\:#=/=?|,-1,Fractions
-|1|,|0\:#=/=0|,-1,Fractions
-|1      |,|0\:?=/=#|,-1,Fractions
-|1      |,|0\:?=/=?|,-1,Fractions
-|1      |,|0\:?=/=0|,-1,Fractions
-|1:0=/=1|,|0\:0=/=#|,-1,Fractions
-|1:0=/=1|,|0\:0=/=?|,-1,Fractions
-|1:0=/=1|,|0\:0=/=0|,-1,Fractions
,,,
#VALUE!,"#,##0.00e+00",3.14159,Problems
"314,159.00","#,##0.00",314159,Problems
"$000,314,159","$000,000,000",314159,Problems
,,,
