Code Insee,Libellé Commune,Distribution gérée par un GRD de rang 1ou 2,Coefficient Tarif de  proximité ,Code PITD
02239,CREZANCY,,1,  
02243,CROUY,,1,  
02245,CUFFIES,,1,  
02260,DANIZY,,1,  
02275,EFFRY,,1,  
02279,EPAUX BEZU,,1,  
02286,ESQUEHERIES,,1,  
02287,ESSIGNY LE GRAND,,1,  
02290,ESSOMES SUR MARNE,,1,  
02292,ETAMPES SUR MARNE,,"1,75",  
02293,ETAVES ET BOCQUIAUX,,1,  
02294,ETOUVELLES,,1,GD0946
02296,ETREILLERS,,1,GD0944
02298,ETREUX,,1,  
02303,FAYET,,1,  
02304,LA FERE,,"1,75",  
02305,FERE EN TARDENOIS,,1,  
02307,LA FERTE MILON,,1,  
02312,LA FLAMENGRIE,,1,  
02315,FLAVY LE MARTEL,,1,  
02321,FONTAINE LES VERVINS,,1,  
02328,FOSSOY,,1,  
02330,FRANCILLY SELENCY,,1,  
02334,FRESNOY LE GRAND,,1,  
02340,GAUCHY,,"1,75",  
02352,GOUY,,1,  
02355,GRICOURT,,1,  
02359,GRUGIES,,1,  
02361,GUISE,,1,  
02371,HARLY,,"1,75",  
02374,LEHAUCOURT,,1,  
02381,HIRSON,,1,  
02382,HOLNON,,1,  
02383,HOMBLIERES,,1,  
02387,ITANCOURT,,1,  
02397,JUSSY,,1,  
02408,LAON,,"1,75",GD0946
02420,LESDINS,,1,  
02426,LEVERGIES,,1,  
02431,LIEZ,,1,  
02435,LOGNY LES AUBENTON,,1,  
02468,MARLE,,1,  
02477,MERCIN ET VAUX,,1,  
02487,MISSY SUR AISNE,,1,  
02495,MONDREPUIS,,1,  
02497,MONS EN LAONNOIS,,1,GD0946
02500,MONTBREHAIN,,1,  
02503,MONT D ORIGNY,,1,GD0944
02504,MONTESCOURT LIZEROLLES,,1,  
02514,MONTIGNY LENGRAIN,,1,  
02525,MORCOURT,,1,  
02532,MOY DE L AISNE,,1,GD0942
02540,NESLES LA MONTAGNE,,1,  
02549,NEUVILLE ST AMAND,,1,  
02554,NOGENTEL,,1,  
02555,NOGENT L ARTAUD,,1,  
02558,LE NOUVION EN THIERACHE,,1,  
02564,NOYANT ET ACONIN,,1,  
02566,OGNES,,1,  
02571,OMISSY,,1,  
02574,ORIGNY EN THIERACHE,,1,  
02575,ORIGNY STE BENOITE,,1,GD0944
02593,PASLY,,1,  
02602,PINON,,1,GD0948
02607,PLOISY,,,GD0951
02610,POMMIERS,,1,GD0951
02619,PREMONTRE,,1,  
02620,PRESLES ET BOVES,,1,  
02639,REMIGNY,,1,  
02643,RESSONS LE LONG,,1,  
02648,RIBEMONT,,1,GD0943
02653,ROMENY SUR MARNE,,1,  
02659,ROUVROY,,1,  
02667,SACONIN ET BREUIL,,1,  
02680,ST GOBAIN,,1,GD0949
02684,ST MICHEL,,1,  
02691,ST QUENTIN,,"1,75",  
02699,SAPONAY,,1,  
02701,SAULCHERY,,1,  
02702,SAVY,,1,GD0944
02703,SEBONCOURT,,1,  
02706,SEPTMONTS,,1,  
02708,SEQUEHART,,1,  
02719,SINCENY,,1,  
02721,SISSY,,1,GD0943
02722,SOISSONS,,"1,75",  
02725,SOMMERON,,1,  
02738,TERGNIER,,"1,75",  
02741,THENELLES,,1,  
02756,URVILLERS,,1,  
02758,VAILLY SUR AISNE,,1,  
02769,VAUX ANDIGNY,,1,  
02770,VAUXBUIN,,1,  
02780,VENIZEL,,1,  
02781,VERDILLY,,1,  
02785,VERMAND,,1,GD0945
02789,VERVINS,,1,  
02795,VIC SUR AISNE,,1,  
02805,VILLENEUVE ST GERMAIN,,"1,75",  
02810,VILLERS COTTERETS,,1,  
02818,VILLIERS ST DENIS,,1,  
02820,VIRY NOUREUIL,,1,  
02824,VORGES,,1,GD0946
03001,ABREST,,1,GD0395
03010,AUDES,,1,GD0398
03013,AVERMES,,1,GD0403
03019,BEAULON,,1,GD0401
03023,BELLERIVE SUR ALLIER,,"1,75",GD0395
03025,BESSAY SUR ALLIER,,1,GD0403
03027,BEZENET,,1,GD0412
03036,BOURBON L ARCHAMBAULT,,1,GD0404
03040,BRESSOLLES,,1,GD0403
03044,BRUGHEAS,,1,GD0395
03046,BUXIERES LES MINES,,1,GD0405
03052,CHAMBLET,,1,GD0398
03055,LA CHAPELAUDE,,1,GD0398
03060,CHARMEIL,,1,GD0395
03081,COLOMBIER,,1,GD0412
03082,COMMENTRY,,1,GD0412
03084,COSNE D ALLIER,,1,GD0411
03085,COULANDON,,1,GD0403
03093,CREUZIER LE NEUF,,1,GD0394
03094,CREUZIER LE VIEUX,,1,GD0395
03095,CUSSET,,"1,75",GD0395
03098,DESERTINES,,"1,75",GD0398
03099,DEUX CHAISES,,1,GD0405
03100,DIOU,,1,GD0402
03101,DOMERAT,,1,GD0398
03102,DOMPIERRE SUR BESBRE,,1,GD0402
03103,LE DONJON,,1,GD0405
03104,DOYET,,1,GD0412
03106,DURDAT LAREQUILLE,,1,GD0412
03111,ESTIVAREILLES,,1,GD0398
03114,LA FERTE HAUTERIVE,,1,GD0403
03118,GANNAT,,1,GD0413
03126,HAUTERIVE,,1,GD0395
03128,HURIEL,,1,GD0398
03138,LAPALISSE,,1,GD0406
03140,LAVAULT STE ANNE,,1,GD0398
03159,MALICORNE,,1,GD0412
03183,LE MONTET,,1,GD0405
03185,MONTLUCON,,"1,75",GD0398
03186,MONTMARAULT,,1,GD0409
03187,MONTOLDRE,,1,GD0405
03189,MONTVICQ,,1,GD0412
03190,MOULINS,,"1,75",GD0403
03193,NASSIGNY,,1,GD0398
03195,NERIS LES BAINS,,1,GD0412
03200,NEUVY,,1,GD0403
03211,PREMILHAT,,1,GD0398
03212,QUINSSAINES,,1,GD0398
03217,ST ANGEL,,1,GD0398
03219,ST BONNET DE FOUR,,1,GD0409
03236,ST GERMAIN DES FOSSES,,"1,75",GD0407
03242,ST LOUP,,1,GD0405
03247,ST MENOUX,,1,GD0404
03254,ST POURCAIN SUR SIOULE,,1,GD0413
03257,ST PRIX,,1,GD0406
03258,ST REMY EN ROLLAT,,1,GD0395
03260,ST SORNIN,,1,GD0405
03262,ST VICTOR,,1,GD0398
03264,ST YORRE,,"1,75",GD0396
03273,SEUILLET,,1,GD0407
03275,SOUVIGNY,,1,GD0404
03286,TOULON SUR ALLIER,,1,GD0403
03290,TREVOL,,1,GD0403
03292,TRONGET,,1,GD0405
03297,VALLON EN SULLY,,1,GD0398
03298,VARENNES SUR ALLIER,,1,GD0405
03301,VAUX,,1,GD0398
03304,VENDAT,,1,GD0395
03305,VERNEIX,,1,GD0398
03306,LE VERNET,,1,GD0395
03310,VICHY,,3,GD0395
03314,VILLEBRET,,1,GD0398
03315,VILLEFRANCHE D ALLIER,,1,GD0410
03321,YZEURE,,1,GD0403
04001,AIGLUN,,1,GD0924
04049,CHATEAU ARNOUX ST AUBAN,,1,GD0924
04068,DAUPHIN,,1,GD0924
04070,DIGNE LES BAINS,,1,GD0924
04079,L ESCALE,,1,GD0924
04088,FORCALQUIER,,1,GD0924
04094,GREOUX LES BAINS,,1,GD0923
04108,MALIJAI,,1,GD0924
04111,MANE,,1,GD0924
04112,MANOSQUE,,1,GD0923
04116,LES MEES,,1,GD0924
04127,MONTFORT,,1,GD0924
04143,ORAISON,,1,GD0924
04145,PEIPIN,,1,GD0924
04149,PEYRUIS,,1,GD0924
04197,STE TULLE,,1,GD0923
04209,SISTERON,,1,GD0924
04242,VILLENEUVE,,1,GD0924
04244,VOLONNE,,1,GD0924
04245,VOLX,,1,GD0924
05017,LA BATIE NEUVE,,1,GD0924
05040,CHORGES,,1,GD0924
05061,GAP,,1,GD0924
05070,LARAGNE MONTEGLIN,,1,GD0924
05073,LAZER,,1,GD0924
05078,MONETIER ALLEMONT,,,  
05084,MONTGARDIN,,1,GD0924
05103,LE POET,,1,GD0924
05162,LA SAULCE,,1,GD0924
05170,TALLARD,,1,GD0924
06004,ANTIBES,,"1,75",GD0922
06006,ASPREMONT,,1,GD0922
06007,AURIBEAU SUR SIAGNE,,"1,75",GD0922
06010,LE BAR SUR LOUP,,1,GD0922
06011,BEAULIEU SUR MER,,"1,75",GD0922
06012,BEAUSOLEIL,,3,GD0922
06018,BIOT,,"1,75",GD0922
06019,BLAUSASC,,1,GD0922
06025,LE BROC,,1,GD0922
06026,CABRIS,,1,GD0922
06027,CAGNES SUR MER,,"1,75",GD0922
06029,CANNES,,"1,75",GD0922
06030,LE CANNET,,3,GD0922
06031,CANTARON,,1,GD0922
06032,CAP D AIL,,"1,75",GD0922
06033,CARROS,,"1,75",GD0922
06035,CASTELLAR,,1,GD0922
06038,CHATEAUNEUF GRASSE,,1,GD0922
06044,LA COLLE SUR LOUP,,"1,75",GD0922
06046,COLOMARS,,"1,75",GD0922
06048,CONTES,,1,GD0922
06054,DRAP,,"1,75",GD0922
06057,L ESCARENE,,1,GD0922
06059,EZE,,1,GD0922
06060,FALICON,,1,GD0922
06064,GATTIERES,,1,GD0922
06065,LA GAUDE,,"1,75",GD0922
06066,GILETTE,,1,GD0922
06067,GORBIO,,1,GD0922
06069,GRASSE,,"1,75",GD0922
06075,LEVENS,,1,GD0922
06079,MANDELIEU LA NAPOULE,,"1,75",GD0922
06083,MENTON,,"1,75",GD0922
06084,MOUANS SARTOUX,,"1,75",GD0922
06085,MOUGINS,,"1,75",GD0922
06088,NICE,,3,GD0922
06089,OPIO,,1,GD0922
06090,PEGOMAS,,"1,75",GD0922
06095,PEYMEINADE,,"1,75",GD0922
06104,ROQUEBRUNE CAP MARTIN,,"1,75",GD0922
06105,ROQUEFORT LES PINS,,1,GD0922
06108,LA ROQUETTE SUR SIAGNE,,"1,75",GD0922
06112,LE ROURET,,"1,75",GD0922
06114,ST ANDRE DE LA ROCHE,,"1,75",GD0922
06118,ST CEZAIRE SUR SIAGNE,,1,GD0922
06121,ST JEAN CAP FERRAT,,"1,75",GD0922
06122,ST JEANNET,,1,GD0922
06123,ST LAURENT DU VAR,,"1,75",GD0922
06126,ST MARTIN DU VAR,,1,GD0922
06128,ST PAUL,,1,GD0922
06130,ST VALLIER DE THIEY,,1,GD0922
06137,SPERACEDES,,1,GD0922
06140,LE TIGNET,,1,GD0922
06147,TOURRETTE LEVENS,,1,GD0922
06148,TOURRETTES SUR LOUP,,1,GD0922
06149,LA TRINITE,,"1,75",GD0922
06150,LA TURBIE,,"1,75",GD0922
06152,VALBONNE,,"1,75",GD0922
06155,VALLAURIS,,"1,75",GD0922
06157,VENCE,,"1,75",GD0922
06159,VILLEFRANCHE SUR MER,,"1,75",GD0922
06161,VILLENEUVE LOUBET,,"1,75",GD0922
07008,ALISSAS,,1,GD0105
07009,ANDANCE,,1,GD0121
07010,ANNONAY,,"1,75",GD0117
07019,AUBENAS,,"1,75",GD0104
07027,BEAUCHASTEL,,1,GD0112
07041,BOULIEU LES ANNONAY,,1,GD0117
07042,BOURG ST ANDEOL,,1,GD0106
07051,CHAMPAGNE,,1,GD0121
07055,CHARMES SUR RHONE,,1,GD0112
07066,CHOMERAC,,1,GD0105
07070,CORNAS,,1,GD0112
07076,CRUAS,,1,GD0147
07078,DAVEZIEUX,,"1,75",GD0117
07097,GLUN,,1,GD0115
07102,GUILHERAND GRANGES,,"1,75",GD0112
07116,LABEGUDE,,"1,75",GD0104
07138,LAVILLEDIEU,,1,GD0104
07146,LYAS,,1,GD0105
07152,MAUVES,,1,GD0115
07181,LE POUZIN,,1,GD0111
07186,PRIVAS,,"1,75",GD0105
07191,ROCHEMAURE,,1,GD0109
07197,ROIFFIEUX,,1,GD0117
07225,ST CLAIR,,1,GD0117
07228,ST DESIRAT,,1,GD0121
07229,ST DIDIER SOUS AUBENAS,,1,GD0104
07231,ST ETIENNE DE FONTBELLON,,1,GD0104
07240,ST GEORGES LES BAINS,,1,GD0112
07245,ST JEAN DE MUZOLS,,1,GD0115
07265,ST MARCEL LES ANNONAY,,1,GD0164
07281,ST PERAY,,1,GD0112
07289,ST PRIVAT,,1,GD0104
07308,SARRAS,,1,GD0118
07316,SOYONS,,1,GD0112
07319,LE TEIL,,1,GD0109
07324,TOURNON SUR RHONE,,"1,75",GD0115
07325,UCEL,,1,GD0104
07331,VALS LES BAINS,,1,GD0104
07337,VERNOSC LES ANNONAY,,1,GD0117
07341,VILLENEUVE DE BERG,,1,GD0104
07349,LA VOULTE SUR RHONE,,"1,75",GD0112
08001,ACY ROMANCE,,1,GD0328
08003,AIGLEMONT,,1,GD0317
08011,ANCHAMPS,,1,GD0377
08013,ANGECOURT,,1,GD0317
08024,ASFELD,,1,GD0327
08028,AUBRIVES,,1,GD0311
08040,LES AYVELLES,,1,GD0317
08043,BALAN,,1,GD0317
08053,BAZEILLES,,1,GD0317
08056,BEFFU ET LE MORTHOMME,,,  
08058,BELVAL,,1,GD0317
08067,BLAGNY,,1,GD0321
08076,BOULZICOURT,,1,GD0317
08078,BOURG FIDELE,,1,GD0377
08079,BOUTANCOURT,,1,GD0317
08081,BOGNY SUR MEUSE,,1,  
08083,BREVILLY,,1,GD0317
08090,CARIGNAN,,1,GD0321
08096,CHALANDRY ELAIRE,,1,GD0317
08105,CHARLEVILLE MEZIERES,,"1,75",GD0317
08116,LE CHESNE,,1,GD0319
08122,CHOOZ,,1,GD0311
08125,CLIRON,,1,GD0317
08136,DAIGNY,,1,GD0317
08137,DAMOUZY,,1,GD0317
08139,DEVILLE,,1,GD0377
08140,DOM LE MESNIL,,1,GD0317
08142,DONCHERY,,1,GD0317
08145,DOUZY,,1,GD0317
08158,ETREPIGNY,,1,GD0317
08173,FLIZE,,"1,75",GD0317
08174,FLOING,,1,GD0317
08180,LA FRANCHEVILLE,,1,GD0317
08183,FROMELENNES,,1,GD0310
08185,FUMAY,,1,GD0312
08187,GERNELLE,,1,GD0317
08188,GESPUNSART,,1,  
08190,GIVET,,"1,75",GD0310
08191,GIVONNE,,1,GD0317
08194,GLAIRE,,1,GD0317
08198,GRANDPRE,,1,GD0319
08199,LA GRANDVILLE,,1,GD0317
08206,HAM LES MOINES,,1,GD0317
08207,HAM SUR MEUSE,,1,GD0311
08211,HARAUCOURT,,1,GD0317
08212,HARCY,,1,GD0317
08216,HAUDRECY,,1,GD0317
08218,LES HAUTES RIVIERES,,1,GD0314
08222,HAYBES,,1,GD0312
08226,HIERGES,,1,GD0311
08232,ILLY,,1,GD0317
08237,JOIGNY SUR MEUSE,,1,  
08248,LAUNOIS SUR VENCE,,1,GD0319
08254,LIART,,1,GD0319
08263,LUMES,,1,GD0317
08284,LES MAZURES,,1,GD0377
08294,LA MONCELLE,,1,GD0317
08297,MONTCORNET,,,  
08298,MONTCY NOTRE DAME,,1,GD0317
08302,MONTHERME,,1,GD0316
08311,MOUZON,,1,GD0321
08312,MURTIN ET BOGNY,,1,GD0317
08316,NEUFMANIL,,1,  
08327,NOUVION SUR MEUSE,,1,GD0317
08328,NOUZONVILLE,,"1,75",  
08331,NOYERS PONT MAUGIS,,1,GD0317
08336,OSNES,,1,GD0321
08343,POURU ST REMY,,1,GD0317
08346,PRIX LES MEZIERES,,1,GD0317
08349,PURE,,1,GD0321
08353,RANCENNES,,1,GD0310
08354,RAUCOURT ET FLABA,,1,GD0317
08357,REMILLY AILLICOURT,,1,GD0317
08361,RENWEZ,,1,GD0317
08362,RETHEL,,"1,75",GD0328
08363,REVIN,,1,GD0377
08365,RIMOGNE,,1,GD0317
08367,ROCROI,,1,GD0377
08370,ROUVROY SUR AUDRY,,1,GD0317
08376,SAILLY,,1,GD0321
08381,ST GERMAINMONT,,1,GD0327
08385,ST LAURENT,,1,GD0317
08388,ST MARCEAU,,1,GD0317
08391,ST MENGES,,1,GD0317
08403,SAULT LES RETHEL,,1,GD0328
08408,SECHEVAL,,1,GD0377
08409,SEDAN,,"1,75",GD0317
08419,SIGNY L ABBAYE,,1,GD0319
08420,SIGNY LE PETIT,,1,GD0318
08429,SORMONNE,,1,GD0317
08445,THELONNE,,1,GD0317
08448,THILAY,,1,GD0315
08456,TOURNAVAUX,,1,GD0315
08457,TOURNES,,1,GD0317
08480,VILLERS SEMEUSE,,"1,75",GD0317
08483,VILLE SUR LUMES,,1,GD0317
08486,VIREUX MOLHAIN,,1,GD0311
08487,VIREUX WALLERAND,,1,GD0311
08488,VIVIER AU COURT,,1,GD0317
08490,VOUZIERS,,1,GD0320
08491,VRIGNE AUX BOIS,,"1,75",GD0317
08492,VRIGNE MEUSE,,1,GD0317
08494,WADELINCOURT,,1,GD0317
08497,WARCQ,,1,GD0317
09050,BENAGUES,,1,  
09066,BRASSAC,,1,  
09086,CAUMONT,,1,  
09103,CRAMPAGNA,,1,  
09104,DALOU,,1,  
09106,DREUILHE,,1,  
09119,EYCHEIL,,1,  
09121,FERRIERES SUR ARIEGE,,1,  
09122,FOIX,,"1,75",  
09130,GANAC,,1,  
09157,LAROQUE D OLMES,,1,  
09160,LAVELANET,,"1,75",  
09167,LEZAT SUR LEZE,,1,  
09174,LOUBIERES,,1,  
09185,MAZERES,,1,  
09194,MIREPOIX,,1,  
09199,MONTAUT,,1,  
09206,MONTFERRIER,,1,  
09207,MONTGAILLARD,,1,  
09209,MONTJOIE EN COUSERANS,,1,  
09225,PAMIERS,,1,  
09235,PRAT BONREPAUX,,1,  
09245,RIEUX DE PELLEPORT,,1,  
09251,ROUMENGOUX,,,  
09261,ST GIRONS,,1,  
09262,ST JEAN D AIGUES VIVES,,1,  
09264,ST JEAN DE VERGES,,1,  
09265,ST JEAN DU FALGA,,"1,75",  
09268,ST LIZIER,,1,  
09272,ST PAUL DE JARRAT,,1,  
09273,ST PIERRE DE RIVIERE,,1,  
09282,SAVERDUN,,1,  
09289,LORP SENTARAILLE,,1,  
09305,TABRE,,1,  
09312,LA TOUR DU CRIEU,,1,  
09324,VARILHES,,1,  
09329,VERNAJOUL,,1,  
09332,VERNIOLLE,,1,  
09336,VILLENEUVE D OLMES,,1,  
10003,AIX EN OTHE,,1,GD0349
10005,AMANCE,,1,GD0353
10006,ARCIS SUR AUBE,,1,GD0342
10030,BARBEREY ST SULPICE,,1,GD0344
10032,BAROVILLE,,,  
10033,BAR SUR AUBE,,1,GD0355
10034,BAR SUR SEINE,,1,GD0351
10035,BAYEL,,1,GD0356
10051,BOUILLY,,1,GD0344
10060,BREVIANDES,,1,GD0344
10063,BRIENNE LA VIEILLE,,1,GD0354
10064,BRIENNE LE CHATEAU,,1,GD0354
10067,BUCHERES,,1,GD0344
10070,CELLES SUR OURCE,,1,GD0351
10081,LA CHAPELLE ST LUC,,"1,75",GD0344
10089,CHATRES,,1,GD0341
10095,LE CHENE,,1,GD0343
10100,CLEREY,,1,GD0344
10114,CRANCEY,,1,GD0341
10115,CRENEY PRES TROYES,,1,GD0344
10123,DIENVILLE,,1,GD0354
10124,DIERREY ST JULIEN,,1,GD0345
10142,ESTISSAC,,1,GD0348
10150,FONTAINE,,1,GD0355
10151,FONTAINE LES GRES,,1,GD0344
10173,ISLE AUMONT,,1,GD0344
10178,JESSAINS,,1,GD0353
10181,JULLY SUR SARCE,,1,GD0344
10191,LAVAU,,1,GD0344
10203,LONGCHAMP SUR AUJON,,1,GD0356
10208,LA LOUPTIERE THENARD,,1,GD0345
10216,MAILLY LE CAMP,,1,  
10220,MAIZIERES LA GRANDE PAROISSE,,1,GD0341
10224,MARIGNY LE CHATEL,,1,GD0347
10231,LE MERIOT,,1,GD0346
10232,MERREY SUR ARCE,,1,GD0351
10233,MERY SUR SEINE,,1,GD0341
10234,MESGRIGNY,,1,GD0341
10237,MESNIL ST LOUP,,1,GD0348
10265,LES NOES PRES TROYES,,3,GD0344
10268,NOGENT SUR SEINE,,1,GD0346
10276,PAISY COSDON,,1,GD0349
10280,PARS LES ROMILLY,,1,GD0341
10282,PAYNS,,1,GD0344
10295,POLISOT,,1,GD0351
10296,POLISY,,1,GD0351
10297,PONT STE MARIE,,"1,75",GD0344
10298,PONT SUR SEINE,,1,GD0341
10306,PROVERVILLE,,1,GD0355
