,,US Private Total,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(4,381,321)",0 ,"841,076 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"18,494,225 ",0 ,"3,292,244 ",0 ,0 ,"56,431,323 ",0 ,0 ,0 ,0 ,0 ,"720,000 ",0 ,0 ,"(1,049,947)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,(0),(0),(0),0 ,0 ,(0),(0),(0),(0),(0),(0),(0),0 ,0 ,0 ,"277,441 ",0 ,0 ,(0),0 ,"(4,381,321)",(0),"4,500 ",0 ,(0),0 ,0 ,(0),(0),0 ,0 ,0 ,0 ,0 ,0 ,(0),(0),(0),0 ,"3,016,342 ",0 ,"(900,000)","1,200,000 ",(0),(0),0 ,(0),(0),(0),0 ,0 ,"(1,216,419)","(436,637)",0 ,(0),"13,233,253 ",0 ,0 ,0 ,(0),(0),0 ,"(708,967)",0 ,0 ,0 ,0 ,(0),0 ,0 ,(0),(0),(0),(0),(0),0 ,(0),0 ,0 ,0 ,"49,556,395 ",(0),0 ,(0),0 ,"(796,000)",0 ,(0),(0),(0),0 ,0 ,(0),0 ,"574,139 ",(0),(0),0 ,(0),0 ,(0),0 ,"14,170,172 ",(0),0 ,(0),(0),(0),"(174,981)",(0),(0),(0),(0),(0),0 ,0 ,(0),0 ,"(104,934)",0 ,0 ,0 ,0 ,"168,500 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Other - Private Total,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Convertible - Public Total,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(8,755,194)","(11,978)","1,309 ","2,060 ","27,248 ","5,349 ","(9,252)","(7,587)","(2,288)","14,497 ","7,728 ",62 ,(439),"11,044 ","10,920 ","(4,029)","6,805 ","10,487 ","(10,947)","(2,029)","3,633 ","22,590 ","(29,091)","51,839 ","9,445 ","(1,576,068)","(304,750)","423,193 ","(211,912)","(149,543)","(40,122)","(554,658)","(156,284)","(17,939)","46,063 ","(21,518)","2,408 ","(226,562)","24,298 ","20,069 ","175,973 ","(618,755)","463,544 ","(94,521)","(380,569)","8,253 ","24,077 ","(38,459)","24,152 ","(9,192)","220,848 ","451,313 ","417,162 ","(519,206)","(148,123)","(399,813)","133,948 ","18,975 ","(554,992)","(127,664)","(178,048)","237,266 ","4,788 ","173,742 ","2,464 ","(508,158)","237,214 ","146,361 ","466,380 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Convertible - Private Total,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"852,000 ","300,000 ",0 ,"(985,954)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"33,451,166 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(100,000)","(3,020,000)",0 ,0 ,0 ,"1,005,673 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,966,150 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Warrants - Public Total,"(271,515)","(80,371)","51,784 ","(113,223)","85,778 ","(215,483)","(109,006)","(72,918)","(254,982)","(6,107)","(147,130)","92,426 ","(143,568)","(249,600)","(1,053)","107,894 ",(721),"4,678 ","(9,329)","92,808 ","568,351 ","(33,544)","279,761 ","214,543 ","2,144 ","19,637 ","(24,518)","(3,191)","98,977 ","82,068 ","(11,510)","11,355 ","(22,893)","22,497 ",(120),"(37,673)","(15,962)","(32,579)","(80,440)","(23,765)","(580,067)","323,837 ","16,960 ","15,879 ","(15,779)","(55,338)","(44,675)","(25,199)","44,056 ","(44,455)","(2,883)","(79,037)","(153,973)","(218,964)","279,327 ","(244,288)","(37,955)","(83,603)",580 ,"(87,595)","(183,725)","(47,791)","42,774 ","(5,265)","136,956 ",(702),"362,874 ","(112,640)","(117,421)","80,432 ","(84,143)",(429),"(1,816)","(173,191)","(140,451)","(351,643)","1,079 ","(114,661)","107,294 ","106,167 ","(438,588)","(125,725)","118,721 ","112,748 ","(123,625)","(363,209)","(3,145)","471,070 ","(8,227)","(116,081)","173,351 ","(51,689)","75,288 ","(322,761)","(494,938)","(261,846)","189,716 ","(401,100)","262,229 ","(337,347)","(200,990)","(205,672)","(108,639)","(328,115)","1,289 ","(81,501)","1,054,939 ","(837,002)","139,083 ","(2,149,218)","(439,093)","363,641 ","(239,732)","272,635 ","(148,906)","79,828 ","(142,983)","72,385 ","(686,551)","287,691 ","(158,219)","(160,477)","(133,367)","302,252 ","(72,452)","308,509 ","(746,401)","(102,155)","1,145,068 ","(298,813)","430,107 ","49,609 ","212,852 ","353,144 ","(2,087,868)","90,798 ","(382,632)","(460,898)","(80,891)","(710,557)","1,932,562 ","(151,046)","(247,099)","(268,537)","(712,505)","509,545 ","(314,507)","148,943 ","(123,915)","303,644 ","(803,072)","536,934 ","8,146 ","(596,913)","(99,650)","35,641 ","(298,681)","(225,130)","50,953 ","332,464 ","159,024 ","601,763 ","(632,648)","(354,321)","(541,144)","129,902 ","(74,996)","(765,716)","(297,487)","73,428 ","303,386 ","(42,072)","328,027 ","(11,228)","(833,298)","502,182 ","(94,071)","648,322 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Warrants - Private Total,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(601,966)",0 ,0 ,0 ,0 ,"6,600,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"510,428 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"86,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"14,804,325 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,243,177 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Canadian - Public Total,"(105,005)","28,761 ","16,837 ","(267,764)","132,393 ","(15,233)","40,202 ","(47,534)","(58,894)","(130,835)","116,507 ","100,822 ","89,293 ","173,258 ","99,921 ","2,369 ","15,616 ","(2,993)","(5,991)","(35,069)","(41,714)","(29,360)","98,304 ","37,517 ","(46,049)","33,275 ","116,074 ",0 ,"55,596 ","(79,689)","(83,324)","24,067 ","35,431 ",0 ,"91,051 ","(97,309)","82,075 ","(134,607)","28,974 ","73,506 ","120,812 ","72,410 ","155,300 ","(38,131)","96,829 ","(227,059)","86,315 ","40,506 ","418,094 ","1,239,102 ","(62,441)","(65,226)","(138,319)","147,224 ","236,779 ","(61,111)","404,718 ","(78,726)","63,960 ","(170,683)","381,320 ","99,119 ","(98,004)","218,506 ","10,809 ","28,499 ","126,787 ","(161,539)","(204,187)","(108,782)","69,713 ","85,922 ","118,775 ","(86,276)","(210,520)","(17,481)","(237,264)","16,110 ","119,899 ","(45,479)","71,573 ","(127,591)","(98,274)","(170,150)","176,007 ","(17,076)","174,791 ","(13,068)","113,515 ","906,440 ","306,919 ","(131,632)","(77,931)","422,546 ","(254,998)","(260,368)","(215,337)","(33,830)","(131,766)","90,498 ","(99,597)","287,775 ","(39,892)","89,026 ","222,754 ","638,019 ","194,664 ","(34,368)","108,937 ","205,292 ","358,767 ","132,953 ","125,816 ","(91,802)","131,030 ","53,467 ","315,434 ","(286,646)","(449,916)","10,633 ","43,077 ","(214,249)","(129,451)","390,925 ","(178,829)","481,536 ","(321,845)","104,520 ","(127,972)","(475,650)","148,620 ","17,649 ","(211,912)","(76,453)","360,883 ","(104,967)","(291,186)","22,922 ","(522,335)","(340,672)","(74,411)",550 ,"9,981 ","358,860 ","(588,813)","558,887 ","(664,411)","(155,779)","(311,952)","135,235 ","196,360 ","(254,830)","105,720 ","(274,934)","(211,413)","(13,781)","(263,854)","(525,606)","(9,767)","(47,226)","382,155 ","(309,388)","227,537 ","(152,155)","70,125 ","(34,197)","85,728 ","(455,179)","290,645 ","(154,074)","343,210 ","566,627 ","(267,035)","60,115 ","(309,457)","155,605 ","(423,783)","256,178 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Canadian - Private Total,(0),(0),0 ,(0),(0),0 ,0 ,0 ,"150,000 ",(0),(0),0 ,0 ,(0),(0),(0),0 ,0 ,0 ,0 ,0 ,(0),0 ,(0),(0),(0),0 ,0 ,0 ,0 ,"337,339 ",(0),0 ,(0),(0),0 ,0 ,(0),(0),(0),0 ,(0),0 ,(0),0 ,0 ,0 ,(0),(0),(0),(0),(0),(0),(0),0 ,(0),(0),(0),(0),(0),0 ,0 ,0 ,(0),(0),(0),0 ,(0),0 ,(0),0 ,(0),0 ,(0),(0),0 ,0 ,(0),(0),0 ,(0),0 ,0 ,0 ,0 ,(0),(0),(0),0 ,0 ,0 ,(0),0 ,(0),(0),0 ,(0),0 ,0 ,"(530,000)",(0),0 ,0 ,(0),(0),"1,186,603 ",(0),"(625,000)",(0),"(34,860)",0 ,0 ,(0),0 ,(0),0 ,"922,598 ",(0),0 ,(0),(0),0 ,0 ,"1,155,000 ",0 ,(0),0 ,0 ,0 ,0 ,(0),(0),(0),(0),0 ,(0),0 ,0 ,0 ,(0),(0),(0),(0),(0),(0),(0),(0),(0),(0),0 ,(0),(0),(0),0 ,(0),0 ,(0),(0),(0),0 ,0 ,(0),(0),(0),(0),(0),(0),0 ,0 ,(0),0 ,0 ,"(26,809)",(0),(0),0 ,0 ,(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Equity Total,"($1,154,114)","($307,535)","($438,210)","($644,223)","$238,244 ","($2,391)","($96,404)","($144,157)","($545,253)","$21,821 ","$109,884 ","($4,146,112)","$317,066 ","$503,791 ","($207,238)","($65,372)","($393,390)","$378,045 ","$285,767 ","$59,124 ","$1,231,014 ","($343,919)","$1,005,331 ","$23,454,651 ","($556,199)","$1,546,588 ","($494,161)","($6,953,031)","($6,629,668)","($9,780,869)","$16,418,869 ","($341,532)","$15,452,855 ","$5,899,680 ","$5,630,695 ","$64,008,054 ","($1,916,426)","$6,074,275 ","$10,903,449 ","($1,728,854)","($4,335,440)","$930,273 ","($2,331,082)","$3,088,832 ","$5,199,359 ","$34,392 ","($403,364)","$2,454,514 ","$1,893,114 ","$6,058,321 ","($4,118,155)","($755,241)","($5,032,275)","$2,380,198 ","$3,963,768 ","($4,341,791)","$2,476,895 ","$77,286 ","$387,981 ","($161,695)","$1,175,654 ","$2,806,851 ","($6,015,870)","($867,651)","($582,481)","$36,624 ","($658,985)","($2,395,293)","$160,468 ","($1,024,412)","$4,609,680 ","$487,949 ","$622,276 ","$4,305,951 ","($5,913,745)","($6,488,731)","($548,827)","($623,227)","$2,464,376 ","($253,382)","($352,957)","$738,370 ","($484,078)","$1,740,003 ","$70,621 ","$9,414,103 ","($3,443,292)","($1,919,566)","($2,704,678)","($500,417)","($1,896,130)","($1,378,881)","($1,137,994)","$12,900,984 ","$3,164,630 ","$3,348,358 ","($1,407,211)","($2,672,795)","($854,693)","($1,931,943)","($2,993,503)","$1,418,835 ","($4,728,783)","($2,619,301)","$2,987,457 ","($3,162,120)","($908,917)","$6,397,424 ","($5,436,790)","$38,054,894 ","$6,943,671 ","($579,818)","$2,958,631 ","$2,603,461 ","($1,455,253)","$941,825 ","$2,799,923 ","($9,402)","($2,329,122)","$4,933,242 ","$713,505 ","$4,803,491 ","($6,319,141)","$6,209,169 ","($2,119,626)","($4,174,660)","$642,330 ","($3,511,494)","($17,943,690)","$166,402 ","$71,175,665 ","($1,383,264)","($970,257)","$977,546 ","$39,872,399 ","($164,760)","($1,912,325)","($1,700,696)","$1,753,016 ","($4,569,446)","($3,538,710)","($8,703,421)","($5,170,359)","$1,015,072 ","($5,798,558)","($2,842,962)","$1,993,864 ","($379,872)","$2,110,472 ","$2,780,213 ","($26,827)","$5,092,257 ","$2,643,514 ","($19,216,541)","($7,323,294)","($3,289,198)","$25,229,800 ","$2,681,898 ","($427,461)","($584,387)","$11,327,306 ","$2,921,277 ","($3,890,132)","($682,338)","($4,541,894)","($1,487,360)","$2,718,795 ","$2,326,980 ","$1,492,541 ","$1,512,757 ","$721,908 ","$6,520,230 ","$2,811,709 ","($1,538,314)","($2,189,032)","$3,789,211 ","($6,400,999)","$5,272,672 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Priv. Equity Partnerships Total,"8,227 ",0 ,0 ,"8,227 ",0 ,0 ,0 ,0 ,"(199,669)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,709,618 ","8,439 ",0 ,0 ,0 ,"(46,468)",0 ,0 ,0 ,0 ,"201,747 ",0 ,0 ,0 ,"162,718 ","(20,000)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"125,932 ",0 ,0 ,0 ,0 ,"47,123 ","(256,736)",0 ,0 ,0 ,"34,362 ",0 ,"(509,070)",0 ,0 ,0 ,0 ,"(53,261)",0 ,0 ,"(485,266)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,403,915 ","51,395 ",0 ,0 ,0 ,"(75,000)","(79,500)",0 ,0 ,0 ,0 ,"(37,360)",0 ,0 ,0 ,"(1,130,092)","(57,831,856)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(43,752)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,350,000 ","48,074 ",0 ,0 ,0 ,0 ,"258,669 ",0 ,0 ,0 ,0 ,"1,190,805 ",0 ,0 ,0 ,0 ,"75,392 ",0 ,0 ,0 ,0 ,"(126,270)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"3,718,535 ","(59,023)",0 ,0 ,0 ,0 ,854 ,0 ,0 ,0 ,0 ,"75,000 ",0 ,0 ,0 ,0 ,"14,826 ",0 ,0 ,0 ,0 ,"(73,136)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
