,Nasdaq Total,0.76%,-5.81%,-10.21%,0.77%,0.77%,,,,,Nasdaq,,,,,,,,,,,,,,,Nasdaq,-6%," 2,489.63 "," 2,470.97 "," 2,562.06 "," 2,607.82 "," 2,664.49 "," 2,643.21 "," 2,660.50 "," 2,782.80 "," 2,772.73 "," 2,838.35 "," 2,838.34 "," 2,781.30 "," 2,754.28 "," 2,859.15 "," 2,840.39 "," 2,757.91 "," 2,770.42 "," 2,768.47 "," 2,682.80 "," 2,618.53 "," 2,626.50 "," 2,640.57 "," 2,524.18 "," 2,441.31 "," 2,395.92 "," 2,407.65 "," 2,566.83 "," 2,616.69 "," 2,291.86 "," 2,470.52 "," 2,557.76 "," 2,539.35 "," 2,493.52 "," 2,517.05 "," 2,340.12 "," 2,332.77 "," 2,511.71 "," 2,624.52 "," 2,653.24 "," 2,728.51 "," 2,822.77 "," 2,931.89 "," 3,014.78 "," 2,917.43 "," 2,752.65 "," 2,796.50 "," 2,889.80 "," 2,615.75 "," 2,645.29 "," 2,597.93 "," 2,707.05 "," 2,734.98 "," 2,880.49 "," 2,904.38 "," 2,755.34 "," 2,871.45 "," 2,875.64 "," 3,027.19 "," 3,031.88 "," 3,165.49 "," 3,138.27 "," 2,966.72 "," 3,028.99 "," 3,200.35 "," 3,231.70 "," 3,415.79 "," 3,416.21 "," 3,451.58 "," 3,429.02 "," 3,333.39 "," 3,369.63 "," 3,191.40 "," 3,278.36 "," 3,272.18 "," 3,229.57 "," 3,419.79 "," 3,468.69 "," 3,483.14 "," 3,418.60 "," 3,171.56 "," 3,213.96 "," 3,290.28 "," 3,316.77 "," 3,074.68 "," 3,168.49 "," 3,240.54 "," 3,355.56 "," 3,361.01 "," 3,472.10 "," 3,523.10 "," 3,455.83 "," 3,568.90 "," 3,672.82 "," 3,778.32 "," 3,656.30 "," 3,689.10 "," 3,741.22 "," 3,803.76 "," 3,828.87 "," 3,897.44 "," 3,865.64 "," 3,726.52 "," 3,835.23 "," 3,913.86 "," 3,893.89 "," 3,849.51 "," 3,896.35 "," 3,978.41 "," 4,098.35 "," 4,013.34 "," 4,143.18 "," 4,234.33 ",
,S&P Value Total,1.18%,-1.77%,-2.61%,0.76%,0.76%,,,,,S&P Value,,,,,,,,,,,,,,,S&P Value,-2%," 1,330.31 "," 1,314.76 "," 1,332.53 "," 1,340.89 "," 1,352.26 "," 1,354.31 "," 1,349.47 "," 1,373.47 "," 1,366.01 "," 1,373.73 "," 1,364.17 "," 1,354.95 "," 1,357.51 "," 1,364.30 "," 1,360.40 "," 1,342.90 "," 1,342.55 "," 1,347.97 "," 1,329.47 "," 1,326.65 "," 1,318.55 "," 1,326.82 "," 1,313.27 "," 1,300.78 "," 1,295.86 "," 1,298.35 "," 1,333.34 "," 1,347.56 "," 1,283.27 "," 1,320.28 "," 1,334.22 "," 1,328.92 "," 1,315.19 "," 1,305.97 "," 1,274.86 "," 1,264.74 "," 1,322.74 "," 1,322.74 "," 1,312.15 "," 1,340.93 "," 1,359.99 "," 1,371.18 "," 1,380.23 "," 1,369.89 "," 1,343.55 "," 1,351.46 "," 1,376.54 "," 1,324.97 "," 1,315.23 "," 1,314.95 "," 1,341.93 "," 1,336.09 "," 1,348.97 "," 1,341.77 "," 1,322.36 "," 1,347.35 "," 1,342.62 "," 1,367.72 "," 1,372.32 "," 1,390.04 "," 1,382.95 "," 1,351.26 "," 1,365.98 "," 1,400.14 "," 1,409.28 "," 1,431.87 "," 1,432.19 "," 1,426.69 "," 1,428.32 "," 1,421.22 "," 1,429.40 "," 1,398.66 "," 1,379.58 "," 1,364.44 "," 1,364.90 "," 1,398.13 "," 1,395.78 "," 1,396.93 "," 1,388.76 "," 1,342.13 "," 1,349.97 "," 1,374.62 "," 1,374.17 "," 1,329.78 "," 1,364.59 "," 1,385.94 "," 1,402.03 "," 1,408.99 "," 1,436.28 "," 1,434.32 "," 1,426.46 "," 1,436.23 "," 1,436.51 "," 1,458.29 "," 1,426.57 "," 1,427.21 "," 1,439.03 "," 1,448.72 "," 1,449.05 "," 1,451.34 "," 1,459.90 "," 1,444.51 "," 1,465.81 "," 1,480.87 "," 1,484.91 "," 1,481.99 "," 1,487.85 "," 1,494.50 "," 1,502.51 "," 1,492.25 "," 1,507.08 "," 1,520.77 "," 1,469.25 "
,Oils Index Total,0.14%,2.41%,3.60%,2.00%,2.00%,,,,,Oils Index,,,,,,,,,,,,,,,Oils Index,2%, 546.99 , 546.23 , 535.23 , 534.16 , 536.31 , 534.11 , 527.53 , 525.10 , 527.98 , 521.57 , 519.76 , 522.39 , 528.31 , 513.98 , 515.57 , 511.88 , 507.20 , 509.60 , 513.25 , 522.35 , 520.97 , 520.93 , 513.16 , 514.41 , 524.32 , 525.91 , 517.50 , 525.05 , 543.25 , 536.25 , 545.61 , 539.17 , 531.96 , 514.88 , 504.97 , 498.96 , 510.85 , 506.25 , 490.33 , 490.20 , 507.28 , 502.52 , 496.77 , 501.40 , 500.33 , 497.20 , 505.05 , 515.91 , 510.98 , 505.10 , 514.88 , 531.66 , 532.95 , 529.56 , 529.04 , 530.97 , 521.83 , 524.45 , 527.20 , 527.41 , 522.43 , 515.10 , 516.77 , 516.34 , 517.24 , 515.18 , 514.19 , 512.73 , 513.76 , 530.20 , 518.87 , 516.17 , 507.67 , 514.88 , 513.34 , 520.80 , 530.76 , 534.28 , 525.48 , 524.62 , 531.36 , 531.53 , 535.91 , 555.44 , 546.12 , 543.68 , 530.93 , 519.64 , 524.15 , 525.44 , 536.08 , 534.97 , 526.68 , 522.78 , 528.40 , 516.60 , 508.40 , 516.21 , 522.56 , 529.52 , 536.17 , 550.93 , 549.26 , 530.80 , 536.64 , 543.55 , 544.79 , 532.65 , 540.89 , 541.27 , 531.28 , 528.74 , 503.00 
,Natural Gas Index Total,0.09%,4.39%,7.80%,-4.44%,-4.44%,,,,,Natural Gas Index,,,,,,,,,,,,,,,Natural Gas Index,4%, 253.18 , 252.96 , 248.64 , 250.22 , 246.40 , 242.54 , 237.98 , 231.61 , 234.85 , 235.41 , 238.75 , 242.21 , 247.26 , 240.03 , 239.97 , 233.39 , 230.00 , 228.62 , 236.56 , 242.91 , 240.18 , 241.59 , 242.59 , 240.55 , 245.24 , 240.79 , 234.67 , 244.76 , 255.91 , 264.93 , 272.39 , 265.49 , 264.44 , 242.73 , 238.05 , 237.80 , 242.58 , 243.13 , 235.11 , 229.44 , 236.32 , 236.84 , 236.86 , 230.52 , 227.67 , 226.03 , 223.16 , 223.27 , 218.14 , 210.72 , 221.18 , 232.78 , 234.74 , 234.20 , 231.34 , 233.57 , 229.09 , 230.04 , 229.51 , 226.27 , 217.24 , 213.85 , 217.61 , 217.63 , 219.64 , 218.30 , 216.58 , 216.00 , 220.27 , 225.12 , 218.62 , 216.68 , 214.88 , 216.61 , 213.86 , 223.97 , 232.10 , 233.88 , 229.36 , 230.12 , 232.62 , 232.93 , 235.40 , 238.95 , 235.25 , 230.89 , 222.30 , 218.18 , 218.11 , 221.48 , 226.53 , 227.37 , 224.96 , 222.43 , 223.82 , 221.29 , 214.91 , 216.04 , 217.72 , 226.99 , 227.29 , 233.97 , 236.89 , 231.64 , 231.87 , 235.73 , 237.43 , 229.28 , 231.57 , 229.59 , 224.17 , 225.43 , 128.94 
,Utility Index Total,-1.14%,3.83%,4.93%,-7.10%,-7.10%,,,,,Utility Index,,,,,,,,,,,,,,,Utility Index,4%, 365.34 , 369.55 , 363.57 , 357.06 , 352.12 , 351.87 , 348.92 , 345.87 , 348.19 , 351.32 , 354.55 , 352.32 , 353.47 , 346.58 , 342.12 , 339.30 , 333.96 , 330.54 , 325.59 , 323.90 , 329.27 , 321.34 , 338.55 , 343.25 , 345.32 , 337.89 , 338.73 , 360.63 , 381.67 , 393.26 , 393.55 , 397.44 , 398.05 , 387.85 , 382.13 , 387.00 , 379.53 , 377.26 , 370.68 , 369.89 , 375.16 , 370.89 , 368.92 , 370.96 , 370.03 , 370.59 , 375.17 , 379.49 , 378.73 , 382.85 , 381.71 , 377.78 , 373.05 , 374.51 , 375.17 , 373.72 , 381.13 , 381.94 , 373.77 , 367.81 , 362.91 , 372.75 , 373.72 , 370.49 , 367.00 , 367.14 , 367.76 , 367.86 , 371.23 , 377.21 , 369.97 , 370.39 , 359.79 , 349.93 , 357.18 , 363.67 , 366.95 , 365.77 , 367.42 , 368.56 , 375.74 , 374.30 , 369.48 , 362.71 , 365.50 , 363.05 , 357.08 , 355.09 , 349.47 , 357.56 , 368.33 , 379.86 , 374.70 , 371.21 , 366.65 , 365.63 , 354.77 , 352.16 , 343.11 , 346.49 , 354.52 , 370.62 , 372.28 , 367.45 , 373.25 , 372.78 , 372.30 , 363.76 , 352.80 , 350.94 , 343.50 , 335.55 , 273.82 
,OSX Index Total,-2.78%,-0.08%,2.88%,3.82%,3.82%,,,,,OSX Index,,,,,,,,,,,,,,,OSX Index,0%, 129.55 , 133.25 , 132.69 , 133.34 , 133.75 , 129.66 , 125.77 , 123.12 , 125.92 , 124.48 , 122.44 , 124.98 , 127.35 , 122.98 , 119.82 , 117.33 , 115.79 , 115.84 , 119.92 , 124.91 , 122.65 , 123.26 , 122.30 , 119.34 , 117.26 , 115.91 , 116.19 , 119.68 , 124.78 , 124.78 , 127.49 , 123.61 , 125.38 , 118.68 , 118.72 , 118.04 , 122.68 , 120.03 , 110.12 , 107.49 , 110.20 , 111.95 , 111.11 , 105.81 , 103.68 , 101.71 , 103.05 , 103.06 , 102.26 , 98.30 , 104.73 , 112.07 , 114.03 , 115.50 , 111.57 , 115.98 , 114.77 , 117.05 , 121.23 , 121.26 , 115.36 , 112.09 , 115.78 , 119.34 , 122.15 , 119.34 , 118.11 , 119.86 , 119.22 , 122.60 , 115.75 , 114.97 , 112.81 , 118.72 , 117.42 , 122.93 , 127.08 , 131.49 , 127.28 , 127.42 , 127.92 , 127.06 , 130.93 , 135.96 , 132.54 , 131.21 , 127.25 , 126.38 , 127.57 , 128.04 , 133.61 , 135.10 , 132.83 , 130.65 , 130.90 , 128.70 , 125.94 , 125.12 , 127.51 , 130.23 , 133.44 , 135.89 , 141.64 , 139.39 , 138.48 , 142.24 , 142.15 , 135.95 , 138.83 , 141.14 , 136.08 , 135.45 , 85.96 
,Toronto Oil & Gas Index Total,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,Toronto Oil & Gas Index,,,,,,,,,,,,,,,Toronto Oil & Gas Index,0%," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 7,478.31 "," 5,861.73 "
,Russell 2000 Index Total,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,Russell 2000 Index,,,,,,,,,,,,,,,Russell 2000 Index,0%, 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 , 462.20 
,Canadian FX,0.78%,1.00%,1.19%,-0.09%,-0.09%,,,,,CAD,,,,,,,,,,,,,,,CAD,1%, 1.52 , 1.51 , 1.51 , 1.51 , 1.51 , 1.51 , 1.49 , 1.49 , 1.50 , 1.50 , 1.50 , 1.50 , 1.51 , 1.51 , 1.51 , 1.50 , 1.51 , 1.51 , 1.51 , 1.50 , 1.50 , 1.49 , 1.50 , 1.50 , 1.49 , 1.50 , 1.50 , 1.50 , 1.49 , 1.52 , 1.50 , 1.51 , 1.52 , 1.52 , 1.52 , 1.52 , 1.52 , 1.53 , 1.52 , 1.52 , 1.52 , 1.53 , 1.53 , 1.52 , 1.53 , 1.53 , 1.54 , 1.54 , 1.55 , 1.54 , 1.54 , 1.54 , 1.54 , 1.54 , 1.55 , 1.55 , 1.56 , 1.56 , 1.55 , 1.55 , 1.54 , 1.54 , 1.54 , 1.55 , 1.54 , 1.53 , 1.53 , 1.53 , 1.53 , 1.53 , 1.51 , 1.53 , 1.53 , 1.52 , 1.52 , 1.51 , 1.51 , 1.51 , 1.51 , 1.52 , 1.52 , 1.52 , 1.51 , 1.51 , 1.51 , 1.50 , 1.50 , 1.50 , 1.50 , 1.49 , 1.50 , 1.51 , 1.49 , 1.50 , 1.50 , 1.49 , 1.49 , 1.49 , 1.49 , 1.48 , 1.48 , 1.49 , 1.48 , 1.49 , 1.48 , 1.48 , 1.48 , 1.48 , 1.48 , 1.48 , 1.47 , 1.47 ,
,British FX,0.00%,0.00%,-1.09%,0.92%,0.92%,,,,,GBP,,,,,,,,,,,,,,,GBP,0%, 1.48 , 1.48 , 1.48 , 1.48 , 1.48 , 1.48 , 1.48 , 1.48 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 , 1.46 , 1.46 , 1.46 , 1.46 , 1.46 , 1.46 , 1.46 , 1.46 , 1.46 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.45 , 1.45 , 1.45 , 1.45 , 1.45 , 1.45 , 1.45 , 1.45 , 1.45 , 1.45 , 1.45 , 1.45 , 1.45 , 1.45 , 1.45 , 1.45 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 , 1.49 ,
,Asset Indexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paper Index Total,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,Paper Index,,,,,,,,,,,,,,,Paper Index,0%, 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 
,E&P Index Total,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,E&P Index,,,,,,,,,,,,,,,E&P Index,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, 122.70 
,C-LEX Index Total,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,C-LEX Index,,,,,,,,,,,,,,,C-LEX Index,0%, 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 , 130.04 
