Sum of Value,Column Labels,,,,
A159,0.990190095,,,,0.990190095
A16,2.625193413,,,,2.625193413
A160,3.081470286,,,,3.081470286
A161,1.946193772,,,,1.946193772
A162,2.817076812,,,,2.817076812
A163,2.122595344,,,,2.122595344
A164,4.537009927,,,,4.537009927
A165,3.908171383,,,,3.908171383
A166,2.012457829,,,,2.012457829
A167,1.080942528,,,,1.080942528
A168,2.436043808,,,,2.436043808
A169,3.955799777,,,,3.955799777
A17,1.265713067,,,,1.265713067
A170,5.299141614,,,,5.299141614
A171,4.768263385,,,,4.768263385
A172,2.571779341,,,,2.571779341
A173,2.388766004,,,,2.388766004
A174,1.628285244,,,,1.628285244
A175,5.148373311,,,,5.148373311
A176,3.017280684,,,,3.017280684
A177,3.617491945,,,,3.617491945
A178,1.996537813,,,,1.996537813
A179,2.31042665,,,,2.31042665
A18,2.760543049,,,,2.760543049
A180,1.724847952,,,,1.724847952
A181,3.389388874,,,,3.389388874
A182,1.503745492,,,,1.503745492
A183,1.314349855,,,,1.314349855
A184,2.94623578,,,,2.94623578
A185,0.546259995,,,,0.546259995
A186,5.149909292,,,,5.149909292
A187,2.373891284,,,,2.373891284
A188,2.528791208,,,,2.528791208
A189,1.239991681,,,,1.239991681
A19,3.137105754,,,,3.137105754
A190,0.937645927,,,,0.937645927
A191,1.954388194,,,,1.954388194
A192,4.578956828,,,,4.578956828
A193,3.915846797,,,,3.915846797
A194,0.9426818,,,,0.9426818
A195,1.258774537,,,,1.258774537
A196,1.824644747,,,,1.824644747
A197,1.892538652,,,,1.892538652
A198,3.52978467,,,,3.52978467
A199,2.201868934,,,,2.201868934
A2,2.364140257,,,,2.364140257
A20,3.174588525,,,,3.174588525
A200,5.752030386,,,,5.752030386
A201,3.083080362,,,,3.083080362
A202,0.930025087,,,,0.930025087
A203,2.816814957,,,,2.816814957
A204,1.222651141,,,,1.222651141
A205,4.720552467,,,,4.720552467
A206,2.234901011,,,,2.234901011
A207,3.568005215,,,,3.568005215
A208,1.49157121,,,,1.49157121
A209,2.725578088,,,,2.725578088
A210,0.672808275,,,,0.672808275
A211,4.649645955,,,,4.649645955
A212,2.65969857,,,,2.65969857
A213,2.60698356,,,,2.60698356
A214,2.682937072,,,,2.682937072
A215,0.985821627,,,,0.985821627
A216,1.138933874,,,,1.138933874
A217,0.933132697,,,,0.933132697
A218,3.549453281,,,,3.549453281
A219,1.895027099,,,,1.895027099
A22,2.629684611,,,,2.629684611
A220,3.940173682,,,,3.940173682
A221,2.682095999,,,,2.682095999
A222,3.227998884,,,,3.227998884
A223,2.347945522,,,,2.347945522
A224,2.00633773,,,,2.00633773
A225,2.047529508,,,,2.047529508
A226,1.616704563,,,,1.616704563
A227,1.997819473,,,,1.997819473
A228,3.472812855,,,,3.472812855
A229,3.424641546,,,,3.424641546
A23,2.2058673,,,,2.2058673
A230,1.443933063,,,,1.443933063
A231,2.656303848,,,,2.656303848
A232,3.457479697,,,,3.457479697
A233,5.339399691,,,,5.339399691
A234,3.910997406,,,,3.910997406
A235,0.791275353,,,,0.791275353
A236,3.328722232,,,,3.328722232
A237,2.422773359,,,,2.422773359
A238,1.005488953,,,,1.005488953
A239,5.339240423,,,,5.339240423
A24,2.703723607,,,,2.703723607
A240,1.360072415,,,,1.360072415
A241,3.579562558,,,,3.579562558
A242,2.66993465,,,,2.66993465
A243,2.32557096,,,,2.32557096
A244,3.276648833,,,,3.276648833
A245,2.434452644,,,,2.434452644
A246,3.259492639,,,,3.259492639
A247,3.390485299,,,,3.390485299
A248,0.556064699,,,,0.556064699
A249,2.060371359,,,,2.060371359
A25,2.662495353,,,,2.662495353
A250,3.803822066,,,,3.803822066
A251,1.507378683,,,,1.507378683
A252,0.580485839,,,,0.580485839
A253,2.723551112,,,,2.723551112
A254,1.982409754,,,,1.982409754
A255,3.28543863,,,,3.28543863
A256,2.03025993,,,,2.03025993
A257,2.746574654,,,,2.746574654
A258,1.530211447,,,,1.530211447
A259,3.327052448,,,,3.327052448
A26,1.19395584,,,,1.19395584
A260,2.790587895,,,,2.790587895
A261,1.867945931,,,,1.867945931
A262,1.372725661,,,,1.372725661
A263,1.861381158,,,,1.861381158
A264,1.484921082,,,,1.484921082
A265,1.957117711,,,,1.957117711
A266,4.943894394,,,,4.943894394
A267,0.679767498,,,,0.679767498
A268,1.087754988,,,,1.087754988
A269,2.30111198,,,,2.30111198
A27,0.592156679,,,,0.592156679
A270,0.554042389,,,,0.554042389
A271,2.270100792,,,,2.270100792
A272,2.654377043,,,,2.654377043
A273,4.286898965,,,,4.286898965
A274,2.587138309,,,,2.587138309
A275,2.299107444,,,,2.299107444
A276,2.143460898,,,,2.143460898
A277,4.296679142,,,,4.296679142
A278,3.679990839,,,,3.679990839
A279,2.402517983,,,,2.402517983
A28,0.882882206,,,,0.882882206
A280,4.77739245,,,,4.77739245
A281,1.105263656,,,,1.105263656
A282,2.269333029,,,,2.269333029
A283,2.950433844,,,,2.950433844
A284,2.536907015,,,,2.536907015
A285,3.229477106,,,,3.229477106
A286,2.226874704,,,,2.226874704
A287,2.659354746,,,,2.659354746
A288,1.144464658,,,,1.144464658
A289,1.947180966,,,,1.947180966
A29,5.679184054,,,,5.679184054
A290,2.788839619,,,,2.788839619
A291,2.550237193,,,,2.550237193
A292,0.945833919,,,,0.945833919
A293,3.173636615,,,,3.173636615
A294,3.95205075,,,,3.95205075
A295,3.398858409,,,,3.398858409
A296,4.702157841,,,,4.702157841
A297,3.755002339,,,,3.755002339
A298,1.465135124,,,,1.465135124
A299,2.165008253,,,,2.165008253
A3,0.980018729,,,,0.980018729
A30,6.352523355,,,,6.352523355
A300,1.427115016,,,,1.427115016
A301,0.225264789,,,,0.225264789
A302,1.86691482,,,,1.86691482
A303,2.387865745,,,,2.387865745
A304,3.885634756,,,,3.885634756
A305,2.997631602,,,,2.997631602
A306,4.376784532,,,,4.376784532
A307,1.806190569,,,,1.806190569
A308,2.362992183,,,,2.362992183
A309,3.709390812,,,,3.709390812
A31,3.753657529,,,,3.753657529
A310,2.297492868,,,,2.297492868
A311,0.717801427,,,,0.717801427
A312,3.26797638,,,,3.26797638
A313,2.73050169,,,,2.73050169
A314,1.933553599,,,,1.933553599
A315,2.57465397,,,,2.57465397
A316,3.548120142,,,,3.548120142
A317,1.870842894,,,,1.870842894
A318,3.873100556,,,,3.873100556
A319,3.067287921,,,,3.067287921
A320,1.299270905,,,,1.299270905
A321,1.966102602,,,,1.966102602
A322,2.991945071,,,,2.991945071
A323,1.838182508,,,,1.838182508
A324,2.310579008,,,,2.310579008
A325,1.02564371,,,,1.02564371
A326,3.063824022,,,,3.063824022
A327,1.749940127,,,,1.749940127
A328,3.483973225,,,,3.483973225
A329,2.944920219,,,,2.944920219
A33,2.98291631,,,,2.98291631
A330,0.742455588,,,,0.742455588
A331,2.350628346,,,,2.350628346
A332,2.622273576,,,,2.622273576
A333,2.500235207,,,,2.500235207
A334,1.652168175,,,,1.652168175
A335,4.221874033,,,,4.221874033
A336,2.831361495,,,,2.831361495
A337,5.614289828,,,,5.614289828
A338,0.274380401,,,,0.274380401
A339,4.940533338,,,,4.940533338
A34,2.884244908,,,,2.884244908
A340,1.877614107,,,,1.877614107
A341,2.134610371,,,,2.134610371
A342,4.313728812,,,,4.313728812
A343,2.562888247,,,,2.562888247
A344,3.553169802,,,,3.553169802
A345,5.097056858,,,,5.097056858
A346,2.22017679,,,,2.22017679
A347,0.258307615,,,,0.258307615
A348,5.544980323,,,,5.544980323
A349,4.193094949,,,,4.193094949
A35,6.006871605,,,,6.006871605
A350,3.768812142,,,,3.768812142
A351,3.113714382,,,,3.113714382
A352,3.601485139,,,,3.601485139
A353,1.872126644,,,,1.872126644
A354,4.796003883,,,,4.796003883
A355,3.362092315,,,,3.362092315
A356,3.197118705,,,,3.197118705
A357,3.781515824,,,,3.781515824
A358,5.057570279,,,,5.057570279
A359,2.316394336,,,,2.316394336
A36,1.842276662,,,,1.842276662
A360,0.872135996,,,,0.872135996
A361,1.270491622,,,,1.270491622
A362,1.579125851,,,,1.579125851
A363,3.513919441,,,,3.513919441
A364,2.635829571,,,,2.635829571
A365,3.882178331,,,,3.882178331
A366,3.030036324,,,,3.030036324
A367,4.59146222,,,,4.59146222
A368,3.694052196,,,,3.694052196
A369,3.48785802,,,,3.48785802
A37,2.343860546,,,,2.343860546
A370,2.562526175,,,,2.562526175
A371,2.32121123,,,,2.32121123
A372,3.027607433,,,,3.027607433
A373,3.902692458,,,,3.902692458
A374,1.582135001,,,,1.582135001
A375,2.363898949,,,,2.363898949
A376,2.344185099,,,,2.344185099
A377,2.104820359,,,,2.104820359
A378,3.172383491,,,,3.172383491
A379,3.481280168,,,,3.481280168
A38,2.624368256,,,,2.624368256
A380,2.087464355,,,,2.087464355
A381,2.677066985,,,,2.677066985
A382,2.402494623,,,,2.402494623
A383,2.674440178,,,,2.674440178
A384,1.896312107,,,,1.896312107
A385,2.606823927,,,,2.606823927
A386,3.032733439,,,,3.032733439
A387,2.213573865,,,,2.213573865
A388,2.47423072,,,,2.47423072
A389,4.096776143,,,,4.096776143
A39,4.608233565,,,,4.608233565
A390,2.598485577,,,,2.598485577
A391,1.975626756,,,,1.975626756
A392,3.002608058,,,,3.002608058
A393,3.297050482,,,,3.297050482
A394,3.253470067,,,,3.253470067
A395,2.897198314,,,,2.897198314
A396,3.098445511,,,,3.098445511
A397,4.417696539,,,,4.417696539
A398,2.263159098,,,,2.263159098
A399,4.05242413,,,,4.05242413
A4,1.449681896,,,,1.449681896
A40,3.243762442,,,,3.243762442
A400,2.809993471,,,,2.809993471
A401,1.60376812,,,,1.60376812
A402,1.348966224,,,,1.348966224
A403,4.415556799,,,,4.415556799
A404,4.958279919,,,,4.958279919
A405,1.210707454,,,,1.210707454
A406,1.548143297,,,,1.548143297
A407,2.852615674,,,,2.852615674
A408,1.889845379,,,,1.889845379
A409,4.526039153,,,,4.526039153
A41,2.708860965,,,,2.708860965
A410,3.338644408,,,,3.338644408
A411,2.245846296,,,,2.245846296
A412,2.17703912,,,,2.17703912
A413,4.411451406,,,,4.411451406
A414,4.421883115,,,,4.421883115
A415,2.951739344,,,,2.951739344
A416,2.08756729,,,,2.08756729
A417,2.122207098,,,,2.122207098
A418,4.419416816,,,,4.419416816
A419,5.113545227,,,,5.113545227
A42,3.28924108,,,,3.28924108
A420,3.194744156,,,,3.194744156
A421,3.386793196,,,,3.386793196
A422,2.652592642,,,,2.652592642
A423,2.248695672,,,,2.248695672
A424,2.606178356,,,,2.606178356
A425,6.897701912,,,,6.897701912
A426,2.767001241,,,,2.767001241
A427,0.59125628,,,,0.59125628
A428,3.952330777,,,,3.952330777
A429,3.924605211,,,,3.924605211
A43,6.211977002,,,,6.211977002
A430,1.608971898,,,,1.608971898
A431,2.234790282,,,,2.234790282
A432,3.166567824,,,,3.166567824
A433,3.502959748,,,,3.502959748
A434,5.293751516,,,,5.293751516
A435,2.189124325,,,,2.189124325
A436,2.376816301,,,,2.376816301
A437,1.701818635,,,,1.701818635
A438,3.595511143,,,,3.595511143
A439,0.814153697,,,,0.814153697
A44,1.932273727,,,,1.932273727
A440,2.947765014,,,,2.947765014
A441,3.459156254,,,,3.459156254
A442,1.132492667,,,,1.132492667
A443,0.698247507,,,,0.698247507
A444,4.369292925,,,,4.369292925
A445,2.001201231,,,,2.001201231
A446,2.815060113,,,,2.815060113
A447,2.103241951,,,,2.103241951
A448,3.958960361,,,,3.958960361
A449,2.56829994,,,,2.56829994
A45,2.175530035,,,,2.175530035
A450,3.130263899,,,,3.130263899
A451,1.97123951,,,,1.97123951
A452,1.247570673,,,,1.247570673
A453,1.540871897,,,,1.540871897
A454,2.59135006,,,,2.59135006
A455,3.996804479,,,,3.996804479
A456,2.525698453,,,,2.525698453
A457,1.091017436,,,,1.091017436
A458,2.416383395,,,,2.416383395
A459,1.207714216,,,,1.207714216
A46,0.940064544,,,,0.940064544
A460,2.554002488,,,,2.554002488
A461,1.346713689,,,,1.346713689
A462,2.191349306,,,,2.191349306
A463,1.227995071,,,,1.227995071
A464,1.588315643,,,,1.588315643
A465,3.985932707,,,,3.985932707
A466,2.731931294,,,,2.731931294
A467,1.37752241,,,,1.37752241
A468,2.789071843,,,,2.789071843
A469,4.525534529,,,,4.525534529
A47,0.570655182,,,,0.570655182
A470,1.406680695,,,,1.406680695
A471,3.419494663,,,,3.419494663
A472,1.114193112,,,,1.114193112
A473,3.066580114,,,,3.066580114
A474,1.517130745,,,,1.517130745
A475,1.700452776,,,,1.700452776
A476,0.422133772,,,,0.422133772
A477,1.570754633,,,,1.570754633
A478,2.15540306,,,,2.15540306
A479,2.930816483,,,,2.930816483
A48,2.858433866,,,,2.858433866
A480,3.266006253,,,,3.266006253
A481,2.042965924,,,,2.042965924
A482,4.351632074,,,,4.351632074
A483,4.720960224,,,,4.720960224
A484,2.814142204,,,,2.814142204
A485,3.962740704,,,,3.962740704
A486,1.79684087,,,,1.79684087
A487,1.46419963,,,,1.46419963
A488,5.247155931,,,,5.247155931
A489,4.474507646,,,,4.474507646
A49,2.229545903,,,,2.229545903
A490,3.612662629,,,,3.612662629
A491,6.277448642,,,,6.277448642
A492,1.577698554,,,,1.577698554
A493,3.668986657,,,,3.668986657
A494,3.194688153,,,,3.194688153
A495,1.869669614,,,,1.869669614
A496,1.783659885,,,,1.783659885
A497,2.214432833,,,,2.214432833
A498,2.615384842,,,,2.615384842
A499,2.113346764,,,,2.113346764
A5,4.651476738,,,,4.651476738
A50,1.367707359,,,,1.367707359
A500,1.374326964,,,,1.374326964
A501,3.146755098,,,,3.146755098
A502,1.616050536,,,,1.616050536
A503,2.952356172,,,,2.952356172
A504,1.868399819,,,,1.868399819
A505,2.325794,,,,2.325794
A506,1.7107681,,,,1.7107681
A507,5.232938877,,,,5.232938877
A508,1.037090441,,,,1.037090441
A509,3.059464371,,,,3.059464371
A51,1.257316283,,,,1.257316283
A510,1.614989094,,,,1.614989094
A511,1.955058612,,,,1.955058612
A512,4.143133896,,,,4.143133896
A513,4.7659933,,,,4.7659933
A514,3.839745417,,,,3.839745417
A515,2.806552596,,,,2.806552596
A516,2.155680424,,,,2.155680424
A517,1.469004886,,,,1.469004886
A518,2.62086059,,,,2.62086059
A519,1.526539135,,,,1.526539135
A52,3.653912419,,,,3.653912419
A520,2.310298856,,,,2.310298856
A521,2.569376939,,,,2.569376939
A522,2.10600997,,,,2.10600997
A523,2.340003416,,,,2.340003416
A524,2.045106726,,,,2.045106726
A525,3.696160692,,,,3.696160692
A526,1.282709445,,,,1.282709445
A527,3.444400902,,,,3.444400902
A528,1.630709576,,,,1.630709576
A529,1.71471073,,,,1.71471073
A53,1.845423076,,,,1.845423076
A530,1.616778266,,,,1.616778266
A531,3.403528235,,,,3.403528235
A532,3.957264407,,,,3.957264407
A533,0.795993216,,,,0.795993216
A534,3.813637141,,,,3.813637141
A535,3.893420081,,,,3.893420081
A536,1.818786451,,,,1.818786451
A537,4.708199745,,,,4.708199745
A538,3.899114534,,,,3.899114534
A539,2.906790886,,,,2.906790886
A54,3.698523891,,,,3.698523891
A540,3.285003616,,,,3.285003616
A541,2.17459815,,,,2.17459815
A542,0.230172613,,,,0.230172613
A543,2.487198304,,,,2.487198304
A544,2.739089971,,,,2.739089971
A545,1.260590893,,,,1.260590893
A546,2.752044743,,,,2.752044743
A547,0.647222143,,,,0.647222143
A548,1.009167289,,,,1.009167289
A549,3.177212985,,,,3.177212985
A55,1.704211488,,,,1.704211488
A550,5.386066422,,,,5.386066422
A551,0.458568368,,,,0.458568368
A552,2.661434519,,,,2.661434519
A553,2.177112798,,,,2.177112798
A554,2.777312628,,,,2.777312628
A555,2.367286451,,,,2.367286451
A556,1.575002724,,,,1.575002724
A557,1.743822736,,,,1.743822736
A558,2.514760064,,,,2.514760064
A559,1.612041173,,,,1.612041173
A56,2.629106287,,,,2.629106287
A560,0.982913835,,,,0.982913835
A561,4.044604837,,,,4.044604837
A562,2.60124131,,,,2.60124131
A563,0.369468645,,,,0.369468645
A564,1.684876865,,,,1.684876865
A566,3.52108998,,,,3.52108998
A567,2.488797904,,,,2.488797904
A568,3.185746634,,,,3.185746634
A569,1.394108882,,,,1.394108882
A57,2.328923355,,,,2.328923355
A570,3.010754615,,,,3.010754615
A571,0.834989709,,,,0.834989709
A572,3.376112158,,,,3.376112158
A573,0.985885095,,,,0.985885095
A574,2.581507528,,,,2.581507528
A575,2.641071937,,,,2.641071937
A576,0.019062499,,,,0.019062499
A577,2.064739872,,,,2.064739872
A578,2.571908998,,,,2.571908998
A579,2.01995596,,,,2.01995596
A58,1.520157408,,,,1.520157408
A580,3.089410818,,,,3.089410818
A581,3.695061312,,,,3.695061312
A582,1.759698117,,,,1.759698117
A583,0.494150393,,,,0.494150393
A584,2.140027237,,,,2.140027237
A585,3.119219896,,,,3.119219896
A586,0.908975298,,,,0.908975298
A587,3.460771671,,,,3.460771671
A588,2.41940327,,,,2.41940327
A589,2.730043676,,,,2.730043676
A59,3.37326879,,,,3.37326879
A590,1.566456476,,,,1.566456476
A591,0.984073886,,,,0.984073886
A592,0.40001622,,,,0.40001622
A593,0.907530802,,,,0.907530802
A594,2.001501719,,,,2.001501719
A595,2.712131543,,,,2.712131543
A596,3.886724838,,,,3.886724838
A597,2.52191908,,,,2.52191908
A598,0.489973821,,,,0.489973821
A599,6.745793114,,,,6.745793114
A6,1.727470731,,,,1.727470731
A60,2.242375958,,,,2.242375958
A600,2.944473153,,,,2.944473153
A601,2.009529413,,,,2.009529413
A602,5.377722103,,,,5.377722103
A603,5.303336516,,,,5.303336516
A604,4.338653913,,,,4.338653913
A605,1.234079696,,,,1.234079696
A606,4.142058044,,,,4.142058044
A607,3.178230281,,,,3.178230281
A608,0.31842272,,,,0.31842272
A609,2.915653369,,,,2.915653369
A61,1.513135309,,,,1.513135309
A610,2.086917905,,,,2.086917905
A611,3.401323677,,,,3.401323677
A612,1.031564787,,,,1.031564787
A613,2.121617935,,,,2.121617935
A614,1.709037827,,,,1.709037827
A615,1.864227565,,,,1.864227565
A616,3.706177344,,,,3.706177344
A617,1.678056252,,,,1.678056252
A618,3.4695112,,,,3.4695112
A619,4.414882936,,,,4.414882936
A62,3.027708846,,,,3.027708846
A620,3.071418126,,,,3.071418126
A621,4.132602833,,,,4.132602833
A622,1.24392134,,,,1.24392134
A623,2.790818042,,,,2.790818042
A624,0.526934136,,,,0.526934136
A625,3.573462723,,,,3.573462723
A626,2.429351092,,,,2.429351092
A627,1.006270829,,,,1.006270829
A628,4.310182804,,,,4.310182804
A629,3.359636882,,,,3.359636882
A63,0.751515763,,,,0.751515763
A630,0.991073871,,,,0.991073871
A631,2.325191896,,,,2.325191896
A632,1.355925103,,,,1.355925103
A633,3.315153695,,,,3.315153695
A634,2.580578701,,,,2.580578701
A635,3.465306772,,,,3.465306772
A636,4.34266449,,,,4.34266449
A637,2.301366757,,,,2.301366757
A638,1.801158385,,,,1.801158385
A639,1.420511853,,,,1.420511853
A64,2.687018786,,,,2.687018786
A640,1.658570191,,,,1.658570191
A641,2.863632089,,,,2.863632089
A642,1.926626317,,,,1.926626317
A643,4.234995432,,,,4.234995432
A644,4.830066716,,,,4.830066716
A645,3.785248958,,,,3.785248958
A646,2.504085043,,,,2.504085043
A647,1.1002712,,,,1.1002712
A648,1.067383038,,,,1.067383038
A649,3.527032893,,,,3.527032893
A65,2.364677178,,,,2.364677178
A650,3.790530228,,,,3.790530228
A651,1.241791982,,,,1.241791982
A652,2.558868421,,,,2.558868421
A653,5.013800048,,,,5.013800048
A654,1.816044577,,,,1.816044577
A655,5.88093034,,,,5.88093034
A656,2.529659767,,,,2.529659767
A657,2.654338792,,,,2.654338792
A658,2.872693976,,,,2.872693976
A659,0.637389048,,,,0.637389048
A66,2.026322633,,,,2.026322633
A660,1.422687169,,,,1.422687169
A661,1.782984498,,,,1.782984498
A662,3.010261443,,,,3.010261443
A663,2.422421252,,,,2.422421252
A664,1.516595928,,,,1.516595928
A665,2.455092268,,,,2.455092268
A666,3.134786731,,,,3.134786731
A667,2.927273977,,,,2.927273977
A668,3.327845402,,,,3.327845402
A669,0.583610398,,,,0.583610398
A67,0.584855233,,,,0.584855233
A670,4.635422732,,,,4.635422732
A671,2.579633728,,,,2.579633728
A672,3.458865396,,,,3.458865396
A673,2.714152776,,,,2.714152776
A674,3.453331703,,,,3.453331703
A675,0.940989002,,,,0.940989002
A676,1.830727061,,,,1.830727061
A677,3.164080513,,,,3.164080513
A678,1.513020818,,,,1.513020818
A679,3.043438817,,,,3.043438817
A68,1.341822452,,,,1.341822452
A680,2.553184192,,,,2.553184192
A681,1.215823744,,,,1.215823744
A682,1.929007318,,,,1.929007318
A683,3.096048053,,,,3.096048053
A684,0.281088439,,,,0.281088439
A685,4.530868927,,,,4.530868927
A686,3.523695725,,,,3.523695725
A687,3.332459928,,,,3.332459928
A688,0.521588364,,,,0.521588364
A689,3.383195327,,,,3.383195327
A69,4.728663526,,,,4.728663526
A690,3.700501693,,,,3.700501693
A691,4.098524834,,,,4.098524834
A692,0.463885288,,,,0.463885288
A693,2.683658873,,,,2.683658873
A694,2.096138221,,,,2.096138221
A695,4.788653217,,,,4.788653217
A696,3.039378007,,,,3.039378007
A697,3.595301143,,,,3.595301143
A698,1.54373393,,,,1.54373393
A699,4.106585951,,,,4.106585951
A7,1.585291644,,,,1.585291644
A70,4.854909439,,,,4.854909439
A700,1.928206375,,,,1.928206375
A701,1.443541756,,,,1.443541756
A702,2.357670032,,,,2.357670032
A703,2.682428004,,,,2.682428004
A704,3.313102108,,,,3.313102108
A705,2.366678971,,,,2.366678971
A706,3.634169646,,,,3.634169646
A707,2.318900209,,,,2.318900209
A708,1.178890107,,,,1.178890107
A709,3.333311116,,,,3.333311116
A71,2.31858389,,,,2.31858389
A710,1.397546794,,,,1.397546794
A711,4.699578424,,,,4.699578424
A712,1.593360279,,,,1.593360279
A713,2.37005145,,,,2.37005145
A714,2.983915669,,,,2.983915669
A715,3.787604074,,,,3.787604074
A716,1.027424283,,,,1.027424283
A717,5.076029805,,,,5.076029805
A718,2.301386855,,,,2.301386855
A719,1.833809679,,,,1.833809679
A72,2.626933629,,,,2.626933629
A720,2.842414758,,,,2.842414758
A721,1.837107961,,,,1.837107961
A722,1.203742682,,,,1.203742682
A723,2.408110939,,,,2.408110939
A724,2.647499076,,,,2.647499076
A725,4.012178202,,,,4.012178202
A726,2.123881912,,,,2.123881912
A727,3.604443059,,,,3.604443059
A728,2.417926172,,,,2.417926172
A729,5.809638589,,,,5.809638589
A73,3.820770858,,,,3.820770858
A730,1.757080169,,,,1.757080169
A731,2.56738109,,,,2.56738109
A732,5.109113999,,,,5.109113999
A733,2.265742942,,,,2.265742942
A734,1.356543035,,,,1.356543035
A735,5.067136345,,,,5.067136345
A736,1.820539255,,,,1.820539255
A737,2.094047128,,,,2.094047128
A738,2.04047063,,,,2.04047063
A739,1.614274209,,,,1.614274209
A74,0.942106608,,,,0.942106608
A740,4.676784726,,,,4.676784726
A741,1.346249066,,,,1.346249066
A742,5.320469943,,,,5.320469943
A743,1.090181286,,,,1.090181286
A744,2.747019992,,,,2.747019992
A745,3.226447928,,,,3.226447928
A746,2.670935012,,,,2.670935012
A747,2.504817978,,,,2.504817978
A748,1.826599587,,,,1.826599587
A749,2.064283678,,,,2.064283678
A75,4.044842696,,,,4.044842696
A750,1.863716182,,,,1.863716182
A751,1.530561437,,,,1.530561437
A752,5.68677282,,,,5.68677282
A753,3.661890299,,,,3.661890299
A754,3.928209925,,,,3.928209925
A755,0.8192778,,,,0.8192778
A756,1.43207904,,,,1.43207904
A757,0.442028729,,,,0.442028729
A758,4.419750487,,,,4.419750487
A759,4.303801562,,,,4.303801562
A76,3.863440839,,,,3.863440839
A760,5.018712496,,,,5.018712496
A761,4.961597857,,,,4.961597857
A762,3.921729987,,,,3.921729987
A763,3.599871857,,,,3.599871857
A764,4.613593054,,,,4.613593054
A765,2.276607437,,,,2.276607437
A766,2.593274443,,,,2.593274443
A767,1.574719338,,,,1.574719338
A768,3.465166066,,,,3.465166066
A769,1.412811046,,,,1.412811046
A77,0.742135491,,,,0.742135491
A770,2.047900204,,,,2.047900204
A771,1.108968273,,,,1.108968273
A772,3.87414018,,,,3.87414018
A773,4.183984456,,,,4.183984456
A774,3.140245138,,,,3.140245138
A775,2.561461301,,,,2.561461301
A776,1.972381791,,,,1.972381791
A777,1.360622015,,,,1.360622015
A778,0.632813475,,,,0.632813475
A779,1.164782946,,,,1.164782946
A78,1.288271485,,,,1.288271485
A780,0.665230772,,,,0.665230772
A781,0.639623975,,,,0.639623975
A782,4.151045014,,,,4.151045014
A783,0.752420453,,,,0.752420453
A784,2.769487094,,,,2.769487094
A785,2.071876901,,,,2.071876901
A786,3.8620409,,,,3.8620409
A787,1.620694752,,,,1.620694752
A788,2.697669812,,,,2.697669812
A789,0.967604267,,,,0.967604267
A79,1.972401367,,,,1.972401367
A790,0.108815696,,,,0.108815696
A791,0.653865558,,,,0.653865558
A792,2.152642672,,,,2.152642672
A794,3.597735364,,,,3.597735364
A795,2.707273262,,,,2.707273262
A796,3.264581513,,,,3.264581513
A797,3.72138896,,,,3.72138896
A798,3.36517477,,,,3.36517477
A799,2.933522791,,,,2.933522791
A8,3.360283089,,,,3.360283089
