,,,,,,,,,,,,,,,,,,,,,,,
,Approved – Benefits Pending,,,,,,0,,,0.00%,,,0,,,0.00%,,0,,0.00%,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Denied PAP Cases,,,,,,Week To Date,,,,,,Month To Date,,,,,Year To Date,,,,,
,,,,,,,#,,,%,,,#,,,%,,#,,%,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Total Cases Denied,,,,,,0,,,0.00%,,,0,,,0.00%,,1,,5.26%,,,
,Denied - Benefits Available,,,,,,0,,,0.00%,,,0,,,0.00%,,0,,0.00%,,,
,Denied - Appeals Pending,,,,,,0,,,0.00%,,,0,,,0.00%,,0,,0.00%,,,
,Denied - Non FDA/ Compendia Accepted,,,,,,0,,,0.00%,,,0,,,0.00%,,0,,0.00%,,,
,Denied - Not Financially Qualified,,,,,,0,,,0.00%,,,0,,,0.00%,,0,,0.00%,,,
,Denied - Not US Citizen / Legal Alien,,,,,,0,,,0.00%,,,0,,,0.00%,,0,,0.00%,,,
,Denied - Not Treated in US,,,,,,0,,,0.00%,,,0,,,0.00%,,0,,0.00%,,,
,Denied - Patient is Incarcerated,,,,,,0,,,0.00%,,,0,,,0.00%,,0,,0.00%,,,
,Denied - Eligibility Appeal Denied,,,,,,0,,,0.00%,,,0,,,0.00%,,0,,0.00%,,,
,Denied - Treatment is Not Ongoing,,,,,,0,,,0.00%,,,0,,,0.00%,,0,,0.00%,,,
,Denied - Does Not Meet  Program Guidelines,,,,,,0,,,0.00%,,,0,,,0.00%,,0,,0.00%,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Discontinued PAP Cases,,,,,,Week To Date,,,,,,Month To Date,,,,,Year To Date,,,,,
,,,,,,,#,,,%,,,#,,,%,,#,,%,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Total Cases No Longer Eligible ,,,,,,0,,,0.00%,,,1,,,25.00%,,3,,15.79%,,,
,Closed - No Longer Eligible - Benefits Available,,,,,,0,,,0.00%,,,0,,,0.00%,,0,,0.00%,,,
,Closed - No Longer Eligible - Patient Expired,,,,,,0,,,0.00%,,,0,,,0.00%,,0,,0.00%,,,
,Closed - No Longer Eligible - Drug Discontinued,,,,,,0,,,0.00%,,,0,,,0.00%,,0,,0.00%,,,
,Closed - Assistance No Longer Needed,,,,,,0,,,0.00%,,,0,,,0.00%,,0,,0.00%,,,
,,,,,,,,,,,,,,,,,,,,,,,
                               Days To Completion                                   (Average And Maximum),,,,,,Week To Date,,,,,,Month To Date,,,,,Year To Date,,,,,,
,,,,,,Avg,,,Max,,,Avg,,,Max,,Avg,,Max,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Total Cases Completed,,,,,,,,,,,,15,,,44,,5,,44,,,
,Closed - Assistance No Longer Needed,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Time Analysis - Case Copmletion (Includes Time Application Incomplete),,,,,,,,,,,,,,,,,,,,,,
,Reflects Time from Date of Enrollment receipt to Date case Processed,,,,,,,,,,,,,,,,,,,,,,
,Cases,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Week To Date,,,Month To Date,,,Year To Date,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,% Completed in 1 Business Day,,,,,,0.00%,,,0.00%,,,0.00%,,,,,,,,,,
,% Completed in 2 Business Day,,,,,,0.00%,,,0.00%,,,0.00%,,,,,,,,,,
,% Completed in 3 Business Day,,,,,,0.00%,,,0.00%,,,0.00%,,,,,,,,,,
,% Completed in 4 Business Day,,,,,,0.00%,,,0.00%,,,0.00%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
