Ref  ,Line Item Container,Alias,Xpath  ,Xpath without Instance,Document type and version,HouseShippingInstruction-1.0,Alias prefix,HSI,Code size,0,Code start row,0
150,FALSE,HSI\10_1\110_1\150_1___lab,/HouseShippingInstruction[1]/usercac:Header[1]/usercac:DocumentType[1],/HouseShippingInstruction/usercac:Header/usercac:DocumentType,,,,,,,,
160,FALSE,HSI\10_1\110_1\150_1\160_1___val,/HouseShippingInstruction[1]/usercac:Header[1]/usercac:DocumentType[1]/usercac:Code[1],/HouseShippingInstruction/usercac:Header/usercac:DocumentType/usercac:Code,,,,,,,,
170,FALSE,HSI\10_1\110_1\170_1___lab,/HouseShippingInstruction[1]/usercac:Header[1]/usercac:DocumentStatus[1],/HouseShippingInstruction/usercac:Header/usercac:DocumentStatus,,,,,,,,
180,FALSE,HSI\10_1\110_1\170_1\180_1___val,/HouseShippingInstruction[1]/usercac:Header[1]/usercac:DocumentStatus[1]/usercac:Code[1],/HouseShippingInstruction/usercac:Header/usercac:DocumentStatus/usercac:Code,,,,,,,,
190,FALSE,HSI\10_1\110_1\190_1___lab,/HouseShippingInstruction[1]/usercac:Header[1]/usercac:DocumentFunction[1],/HouseShippingInstruction/usercac:Header/usercac:DocumentFunction,,,,,,,,
200,FALSE,HSI\10_1\110_1\190_1\200_1___val,/HouseShippingInstruction[1]/usercac:Header[1]/usercac:DocumentFunction[1]/usercac:Code[1],/HouseShippingInstruction/usercac:Header/usercac:DocumentFunction/usercac:Code,,,,,,,,
210,FALSE,HSI\10_1\110_1\210_1___lab,/HouseShippingInstruction[1]/usercac:Header[1]/usercac:IssuingParty[1],/HouseShippingInstruction/usercac:Header/usercac:IssuingParty,,,,,,,,
220,FALSE,HSI\10_1\110_1\210_1\220_1___lab,/HouseShippingInstruction[1]/usercac:Header[1]/usercac:IssuingParty[1]/usercac:DEA[1],/HouseShippingInstruction/usercac:Header/usercac:IssuingParty/usercac:DEA,,,,,,,,
230,FALSE,HSI\10_1\110_1\210_1\220_1\230_1___val,/HouseShippingInstruction[1]/usercac:Header[1]/usercac:IssuingParty[1]/usercac:DEA[1]/usercac:ID[1],/HouseShippingInstruction/usercac:Header/usercac:IssuingParty/usercac:DEA/usercac:ID,,,,,,,,
240,FALSE,HSI\10_1\110_1\240_1___lab,/HouseShippingInstruction[1]/usercac:Header[1]/usercac:FinalRecipientDEA[1],/HouseShippingInstruction/usercac:Header/usercac:FinalRecipientDEA,,,,,,,,
250,FALSE,HSI\10_1\110_1\240_1\250_1___val,/HouseShippingInstruction[1]/usercac:Header[1]/usercac:FinalRecipientDEA[1]/usercac:ID[1],/HouseShippingInstruction/usercac:Header/usercac:FinalRecipientDEA/usercac:ID,,,,,,,,
260,FALSE,HSI\10_1\260_1___lab,/HouseShippingInstruction[1]/usercac:ShipperParty[1],/HouseShippingInstruction/usercac:ShipperParty,,,,,,,,
270,FALSE,HSI\10_1\260_1\270_1___lab,/HouseShippingInstruction[1]/usercac:ShipperParty[1]/usercac:PartyRole[1],/HouseShippingInstruction/usercac:ShipperParty/usercac:PartyRole,,,,,,,,
280,FALSE,HSI\10_1\260_1\270_1\280_1___val,/HouseShippingInstruction[1]/usercac:ShipperParty[1]/usercac:PartyRole[1]/usercac:Code[1],/HouseShippingInstruction/usercac:ShipperParty/usercac:PartyRole/usercac:Code,,,,,,,,
290,FALSE,HSI\10_1\260_1\290_1___lab,/HouseShippingInstruction[1]/usercac:ShipperParty[1]/usercac:Identification[1],/HouseShippingInstruction/usercac:ShipperParty/usercac:Identification,,,,,,,,
300,FALSE,HSI\10_1\260_1\290_1\300_1___val,/HouseShippingInstruction[1]/usercac:ShipperParty[1]/usercac:Identification[1]/usercac:ID[1],/HouseShippingInstruction/usercac:ShipperParty/usercac:Identification/usercac:ID,,,,,,,,
310,FALSE,HSI\10_1\260_1\290_1\310_1___val,/HouseShippingInstruction[1]/usercac:ShipperParty[1]/usercac:Identification[1]/usercbc:Name[1],/HouseShippingInstruction/usercac:ShipperParty/usercac:Identification/usercbc:Name,,,,,,,,
320,FALSE,HSI\10_1\260_1\320_1___lab,/HouseShippingInstruction[1]/usercac:ShipperParty[1]/usercac:Address[1],/HouseShippingInstruction/usercac:ShipperParty/usercac:Address,,,,,,,,
321,FALSE,HSI\10_1\260_1\320_1\321_1___val,/HouseShippingInstruction[1]/usercac:ShipperParty[1]/usercac:Address[1]/usercbc:CityName[1],/HouseShippingInstruction/usercac:ShipperParty/usercac:Address/usercbc:CityName,,,,,,,,
330,FALSE,HSI\10_1\260_1\320_1\330_1___lab,/HouseShippingInstruction[1]/usercac:ShipperParty[1]/usercac:Address[1]/usercac:AddressLine[1],/HouseShippingInstruction/usercac:ShipperParty/usercac:Address/usercac:AddressLine,,,,,,,,
340,FALSE,HSI\10_1\260_1\320_1\330_1\340_1___val,/HouseShippingInstruction[1]/usercac:ShipperParty[1]/usercac:Address[1]/usercac:AddressLine[1]/usercbc:Line[1],/HouseShippingInstruction/usercac:ShipperParty/usercac:Address/usercac:AddressLine/usercbc:Line,,,,,,,,
340,FALSE,HSI\10_1\260_1\320_1\330_1\340_2___val,/HouseShippingInstruction[1]/usercac:ShipperParty[1]/usercac:Address[1]/usercac:AddressLine[1]/usercbc:Line[2],/HouseShippingInstruction/usercac:ShipperParty/usercac:Address/usercac:AddressLine/usercbc:Line,,,,,,,,
340,FALSE,HSI\10_1\260_1\320_1\330_1\340_3___val,/HouseShippingInstruction[1]/usercac:ShipperParty[1]/usercac:Address[1]/usercac:AddressLine[1]/usercbc:Line[3],/HouseShippingInstruction/usercac:ShipperParty/usercac:Address/usercac:AddressLine/usercbc:Line,,,,,,,,
342,FALSE,HSI\10_1\260_1\320_1\342_1___lab,/HouseShippingInstruction[1]/usercac:ShipperParty[1]/usercac:Address[1]/usercac:Country[1],/HouseShippingInstruction/usercac:ShipperParty/usercac:Address/usercac:Country,,,,,,,,
343,FALSE,HSI\10_1\260_1\320_1\342_1\343_1___val,/HouseShippingInstruction[1]/usercac:ShipperParty[1]/usercac:Address[1]/usercac:Country[1]/usercbc:Name[1],/HouseShippingInstruction/usercac:ShipperParty/usercac:Address/usercac:Country/usercbc:Name,,,,,,,,
350,FALSE,HSI\10_1\260_1\350_1___lab,/HouseShippingInstruction[1]/usercac:ShipperParty[1]/usercac:Contact[1],/HouseShippingInstruction/usercac:ShipperParty/usercac:Contact,,,,,,,,
360,FALSE,HSI\10_1\260_1\350_1\360_1___val,/HouseShippingInstruction[1]/usercac:ShipperParty[1]/usercac:Contact[1]/usercbc:Telephone[1],/HouseShippingInstruction/usercac:ShipperParty/usercac:Contact/usercbc:Telephone,,,,,,,,
370,FALSE,HSI\10_1\260_1\350_1\370_1___val,/HouseShippingInstruction[1]/usercac:ShipperParty[1]/usercac:Contact[1]/usercbc:Telefax[1],/HouseShippingInstruction/usercac:ShipperParty/usercac:Contact/usercbc:Telefax,,,,,,,,
380,FALSE,HSI\10_1\260_1\350_1\380_1___lab,/HouseShippingInstruction[1]/usercac:ShipperParty[1]/usercac:Contact[1]/usercac:ContactIdentification[1],/HouseShippingInstruction/usercac:ShipperParty/usercac:Contact/usercac:ContactIdentification,,,,,,,,
390,FALSE,HSI\10_1\260_1\350_1\380_1\390_1___val,/HouseShippingInstruction[1]/usercac:ShipperParty[1]/usercac:Contact[1]/usercac:ContactIdentification[1]/usercbc:PersonName[1],/HouseShippingInstruction/usercac:ShipperParty/usercac:Contact/usercac:ContactIdentification/usercbc:PersonName,,,,,,,,
400,FALSE,HSI\10_1\400_1___lab,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1],/HouseShippingInstruction/usercac:ConsigneeParty,,,,,,,,
410,FALSE,HSI\10_1\400_1\410_1___lab,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1]/usercac:PartyRole[1],/HouseShippingInstruction/usercac:ConsigneeParty/usercac:PartyRole,,,,,,,,
420,FALSE,HSI\10_1\400_1\410_1\420_1___val,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1]/usercac:PartyRole[1]/usercac:Code[1],/HouseShippingInstruction/usercac:ConsigneeParty/usercac:PartyRole/usercac:Code,,,,,,,,
430,FALSE,HSI\10_1\400_1\430_1___lab,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1]/usercac:Identification[1],/HouseShippingInstruction/usercac:ConsigneeParty/usercac:Identification,,,,,,,,
440,FALSE,HSI\10_1\400_1\430_1\440_1___val,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1]/usercac:Identification[1]/usercac:ID[1],/HouseShippingInstruction/usercac:ConsigneeParty/usercac:Identification/usercac:ID,,,,,,,,
450,FALSE,HSI\10_1\400_1\430_1\450_1___val,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1]/usercac:Identification[1]/usercbc:Name[1],/HouseShippingInstruction/usercac:ConsigneeParty/usercac:Identification/usercbc:Name,,,,,,,,
460,FALSE,HSI\10_1\400_1\460_1___lab,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1]/usercac:Address[1],/HouseShippingInstruction/usercac:ConsigneeParty/usercac:Address,,,,,,,,
461,FALSE,HSI\10_1\400_1\460_1\461_1___val,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1]/usercac:Address[1]/usercbc:CityName[1],/HouseShippingInstruction/usercac:ConsigneeParty/usercac:Address/usercbc:CityName,,,,,,,,
470,FALSE,HSI\10_1\400_1\460_1\470_1___lab,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1]/usercac:Address[1]/usercac:AddressLine[1],/HouseShippingInstruction/usercac:ConsigneeParty/usercac:Address/usercac:AddressLine,,,,,,,,
480,FALSE,HSI\10_1\400_1\460_1\470_1\480_1___val,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1]/usercac:Address[1]/usercac:AddressLine[1]/usercbc:Line[1],/HouseShippingInstruction/usercac:ConsigneeParty/usercac:Address/usercac:AddressLine/usercbc:Line,,,,,,,,
480,FALSE,HSI\10_1\400_1\460_1\470_1\480_2___val,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1]/usercac:Address[1]/usercac:AddressLine[1]/usercbc:Line[2],/HouseShippingInstruction/usercac:ConsigneeParty/usercac:Address/usercac:AddressLine/usercbc:Line,,,,,,,,
480,FALSE,HSI\10_1\400_1\460_1\470_1\480_3___val,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1]/usercac:Address[1]/usercac:AddressLine[1]/usercbc:Line[3],/HouseShippingInstruction/usercac:ConsigneeParty/usercac:Address/usercac:AddressLine/usercbc:Line,,,,,,,,
482,FALSE,HSI\10_1\400_1\460_1\482_1___lab,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1]/usercac:Address[1]/usercac:Country[1],/HouseShippingInstruction/usercac:ConsigneeParty/usercac:Address/usercac:Country,,,,,,,,
483,FALSE,HSI\10_1\400_1\460_1\482_1\483_1___val,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1]/usercac:Address[1]/usercac:Country[1]/usercbc:Name[1],/HouseShippingInstruction/usercac:ConsigneeParty/usercac:Address/usercac:Country/usercbc:Name,,,,,,,,
490,FALSE,HSI\10_1\400_1\490_1___lab,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1]/usercac:Contact[1],/HouseShippingInstruction/usercac:ConsigneeParty/usercac:Contact,,,,,,,,
500,FALSE,HSI\10_1\400_1\490_1\500_1___val,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1]/usercac:Contact[1]/usercbc:Telephone[1],/HouseShippingInstruction/usercac:ConsigneeParty/usercac:Contact/usercbc:Telephone,,,,,,,,
510,FALSE,HSI\10_1\400_1\490_1\510_1___val,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1]/usercac:Contact[1]/usercbc:Telefax[1],/HouseShippingInstruction/usercac:ConsigneeParty/usercac:Contact/usercbc:Telefax,,,,,,,,
520,FALSE,HSI\10_1\400_1\490_1\520_1___lab,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1]/usercac:Contact[1]/usercac:ContactIdentification[1],/HouseShippingInstruction/usercac:ConsigneeParty/usercac:Contact/usercac:ContactIdentification,,,,,,,,
530,FALSE,HSI\10_1\400_1\490_1\520_1\530_1___val,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1]/usercac:Contact[1]/usercac:ContactIdentification[1]/usercbc:PersonName[1],/HouseShippingInstruction/usercac:ConsigneeParty/usercac:Contact/usercac:ContactIdentification/usercbc:PersonName,,,,,,,,
540,FALSE,HSI\10_1\400_1\540_1___lab,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1]/usercac:Remarks[1],/HouseShippingInstruction/usercac:ConsigneeParty/usercac:Remarks,,,,,,,,
550,FALSE,HSI\10_1\400_1\540_1\550_1___val,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1]/usercac:Remarks[1]/usercbc:Description[1],/HouseShippingInstruction/usercac:ConsigneeParty/usercac:Remarks/usercbc:Description,,,,,,,,
560,FALSE,HSI\10_1\400_1\540_1\560_1___lab,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1]/usercac:Remarks[1]/usercac:RemarksType[1],/HouseShippingInstruction/usercac:ConsigneeParty/usercac:Remarks/usercac:RemarksType,,,,,,,,
570,FALSE,HSI\10_1\400_1\540_1\560_1\570_1___val,/HouseShippingInstruction[1]/usercac:ConsigneeParty[1]/usercac:Remarks[1]/usercac:RemarksType[1]/usercac:Code[1],/HouseShippingInstruction/usercac:ConsigneeParty/usercac:Remarks/usercac:RemarksType/usercac:Code,,,,,,,,
580,FALSE,HSI\10_1\580_1___lab,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1],/HouseShippingInstruction/usercac:FirstNotifyParty,,,,,,,,
590,FALSE,HSI\10_1\580_1\590_1___lab,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:PartyRole[1],/HouseShippingInstruction/usercac:FirstNotifyParty/usercac:PartyRole,,,,,,,,
600,FALSE,HSI\10_1\580_1\590_1\600_1___val,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:PartyRole[1]/usercac:Code[1],/HouseShippingInstruction/usercac:FirstNotifyParty/usercac:PartyRole/usercac:Code,,,,,,,,
610,FALSE,HSI\10_1\580_1\610_1___lab,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:Identification[1],/HouseShippingInstruction/usercac:FirstNotifyParty/usercac:Identification,,,,,,,,
620,FALSE,HSI\10_1\580_1\610_1\620_1___val,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:Identification[1]/usercac:ID[1],/HouseShippingInstruction/usercac:FirstNotifyParty/usercac:Identification/usercac:ID,,,,,,,,
630,FALSE,HSI\10_1\580_1\610_1\630_1___val,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:Identification[1]/usercbc:Name[1],/HouseShippingInstruction/usercac:FirstNotifyParty/usercac:Identification/usercbc:Name,,,,,,,,
640,FALSE,HSI\10_1\580_1\640_1___lab,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:Address[1],/HouseShippingInstruction/usercac:FirstNotifyParty/usercac:Address,,,,,,,,
641,FALSE,HSI\10_1\580_1\640_1\641_1___val,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:Address[1]/usercbc:CityName[1],/HouseShippingInstruction/usercac:FirstNotifyParty/usercac:Address/usercbc:CityName,,,,,,,,
650,FALSE,HSI\10_1\580_1\640_1\650_1___lab,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:Address[1]/usercac:AddressLine[1],/HouseShippingInstruction/usercac:FirstNotifyParty/usercac:Address/usercac:AddressLine,,,,,,,,
660,FALSE,HSI\10_1\580_1\640_1\650_1\660_1___val,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:Address[1]/usercac:AddressLine[1]/usercbc:Line[1],/HouseShippingInstruction/usercac:FirstNotifyParty/usercac:Address/usercac:AddressLine/usercbc:Line,,,,,,,,
660,FALSE,HSI\10_1\580_1\640_1\650_1\660_2___val,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:Address[1]/usercac:AddressLine[1]/usercbc:Line[2],/HouseShippingInstruction/usercac:FirstNotifyParty/usercac:Address/usercac:AddressLine/usercbc:Line,,,,,,,,
660,FALSE,HSI\10_1\580_1\640_1\650_1\660_3___val,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:Address[1]/usercac:AddressLine[1]/usercbc:Line[3],/HouseShippingInstruction/usercac:FirstNotifyParty/usercac:Address/usercac:AddressLine/usercbc:Line,,,,,,,,
662,FALSE,HSI\10_1\580_1\640_1\662_1___lab,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:Address[1]/usercac:Country[1],/HouseShippingInstruction/usercac:FirstNotifyPartyusercac:Address/usercac:Country,,,,,,,,
663,FALSE,HSI\10_1\580_1\640_1\662_1\663_1___val,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:Address[1]/usercac:Country[1]/usercbc:Name[1],/HouseShippingInstruction/usercac:FirstNotifyPartyusercac:Address/usercac:Country/usercbc:Name,,,,,,,,
670,FALSE,HSI\10_1\580_1\670_1___lab,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:Contact[1],/HouseShippingInstruction/usercac:FirstNotifyParty/usercac:Contact,,,,,,,,
680,FALSE,HSI\10_1\580_1\670_1\680_1___val,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:Contact[1]/usercbc:Telephone[1],/HouseShippingInstruction/usercac:FirstNotifyParty/usercac:Contact/usercbc:Telephone,,,,,,,,
690,FALSE,HSI\10_1\580_1\670_1\690_1___val,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:Contact[1]/usercbc:Telefax[1],/HouseShippingInstruction/usercac:FirstNotifyParty/usercac:Contact/usercbc:Telefax,,,,,,,,
700,FALSE,HSI\10_1\580_1\670_1\700_1___lab,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:Contact[1]/usercac:ContactIdentification[1],/HouseShippingInstruction/usercac:FirstNotifyParty/usercac:Contact/usercac:ContactIdentification,,,,,,,,
710,FALSE,HSI\10_1\580_1\670_1\700_1\710_1___val,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:Contact[1]/usercac:ContactIdentification[1]/usercbc:PersonName[1],/HouseShippingInstruction/usercac:FirstNotifyParty/usercac:Contact/usercac:ContactIdentification/usercbc:PersonName,,,,,,,,
670,FALSE,HSI\10_1\580_1\670_2___lab,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:Contact[2],/HouseShippingInstruction/usercac:FirstNotifyParty/usercac:Contact,,,,,,,,
680,FALSE,HSI\10_1\580_1\670_2\680_1___val,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:Contact[2]/usercbc:Telephone[1],/HouseShippingInstruction/usercac:FirstNotifyParty/usercac:Contact/usercbc:Telephone,,,,,,,,
690,FALSE,HSI\10_1\580_1\670_2\690_1___val,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:Contact[2]/usercbc:Telefax[1],/HouseShippingInstruction/usercac:FirstNotifyParty/usercac:Contact/usercbc:Telefax,,,,,,,,
700,FALSE,HSI\10_1\580_1\670_2\700_1___lab,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:Contact[2]/usercac:ContactIdentification[1],/HouseShippingInstruction/usercac:FirstNotifyParty/usercac:Contact/usercac:ContactIdentification,,,,,,,,
710,FALSE,HSI\10_1\580_1\670_2\700_1\710_1___val,/HouseShippingInstruction[1]/usercac:FirstNotifyParty[1]/usercac:Contact[2]/usercac:ContactIdentification[1]/usercbc:PersonName[1],/HouseShippingInstruction/usercac:FirstNotifyParty/usercac:Contact/usercac:ContactIdentification/usercbc:PersonName,,,,,,,,
720,FALSE,HSI\10_1\720_1___lab,/HouseShippingInstruction[1]/usercac:Shipment[1],/HouseShippingInstruction/usercac:Shipment,,,,,,,,
730,FALSE,HSI\10_1\720_1\730_1___lab,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:PreCarriageShipmentStage[1],/HouseShippingInstruction/usercac:Shipment/usercac:PreCarriageShipmentStage,,,,,,,,
740,FALSE,HSI\10_1\720_1\730_1\740_1___lab,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:PreCarriageShipmentStage[1]/usercac:ShipmentEndPoint[1],/HouseShippingInstruction/usercac:Shipment/usercac:PreCarriageShipmentStage/usercac:ShipmentEndPoint,,,,,,,,
750,FALSE,HSI\10_1\720_1\730_1\740_1\750_1___lab,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:PreCarriageShipmentStage[1]/usercac:ShipmentEndPoint[1]/usercac:AdditionalQualifiedDate[1],/HouseShippingInstruction/usercac:Shipment/usercac:PreCarriageShipmentStage/usercac:ShipmentEndPoint/usercac:AdditionalQualifiedDate,,,,,,,,
760,FALSE,HSI\10_1\720_1\730_1\740_1\750_1\760_1___val,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:PreCarriageShipmentStage[1]/usercac:ShipmentEndPoint[1]/usercac:AdditionalQualifiedDate[1]/usercbc:DateTime[1],/HouseShippingInstruction/usercac:Shipment/usercac:PreCarriageShipmentStage/usercac:ShipmentEndPoint/usercac:AdditionalQualifiedDate/usercbc:DateTime,,,,,,,,
770,FALSE,HSI\10_1\720_1\730_1\740_1\750_1\770_1___lab,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:PreCarriageShipmentStage[1]/usercac:ShipmentEndPoint[1]/usercac:AdditionalQualifiedDate[1]/usercac:DateType[1],/HouseShippingInstruction/usercac:Shipment/usercac:PreCarriageShipmentStage/usercac:ShipmentEndPoint/usercac:AdditionalQualifiedDate/usercac:DateType,,,,,,,,
780,FALSE,HSI\10_1\720_1\730_1\740_1\750_1\770_1\780_1___val,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:PreCarriageShipmentStage[1]/usercac:ShipmentEndPoint[1]/usercac:AdditionalQualifiedDate[1]/usercac:DateType[1]/usercac:Code[1],/HouseShippingInstruction/usercac:Shipment/usercac:PreCarriageShipmentStage/usercac:ShipmentEndPoint/usercac:AdditionalQualifiedDate/usercac:DateType/usercac:Code,,,,,,,,
790,FALSE,HSI\10_1\720_1\790_1___lab,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage,,,,,,,,
800,FALSE,HSI\10_1\720_1\790_1\800_1___lab,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[1]/usercac:TransportationService[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:TransportationService,,,,,,,,
810,FALSE,HSI\10_1\720_1\790_1\800_1\810_1___lab,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[1]/usercac:TransportationService[1]/usercac:DeliveryTransportationServiceType[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:TransportationService/usercac:DeliveryTransportationServiceType,,,,,,,,
820,FALSE,HSI\10_1\720_1\790_1\800_1\810_1\820_1___val,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[1]/usercac:TransportationService[1]/usercac:DeliveryTransportationServiceType[1]/usercac:Code[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:TransportationService/usercac:DeliveryTransportationServiceType/usercac:Code,,,,,,,,
830,FALSE,HSI\10_1\720_1\790_1\830_1___lab,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[1]/usercac:ShipmentStartPoint[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:ShipmentStartPoint,,,,,,,,
840,FALSE,HSI\10_1\720_1\790_1\830_1\840_1___lab,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[1]/usercac:ShipmentStartPoint[1]/usercac:OriginTransportLocation[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:ShipmentStartPoint/usercac:OriginTransportLocation,,,,,,,,
850,FALSE,HSI\10_1\720_1\790_1\830_1\840_1\850_1___val,/HouseShippingInstruction[1]/usercac:Shipment[1]/usercac:MainCarriageShipmentStage[1]/usercac:ShipmentStartPoint[1]/usercac:OriginTransportLocation[1]/usercac:AirportCityCode[1],/HouseShippingInstruction/usercac:Shipment/usercac:MainCarriageShipmentStage/usercac:ShipmentStartPoint/usercac:OriginTransportLocation/usercac:AirportCityCode,,,,,,,,
