4.00,14652.00,28350.00,41190.00,53250.00,63852.00,73086.00,81426.00,89016.00,95964.00,102360.00,108270.00,113766.00,118896.00,123696.00
4.25,14664.00,28398.00,41298.00,53442.00,64158.00,73500.00,81960.00,89670.00,96744.00,103260.00,109296.00,114912.00,120156.00,125076.00
4.50,14676.00,28440.00,41400.00,53616.00,64422.00,73866.00,82434.00,90258.00,97434.00,104064.00,110208.00,115932.00,121290.00,126312.00
4.75,14682.00,28482.00,41484.00,53772.00,64662.00,74196.00,82860.00,90780.00,98058.00,104784.00,111030.00,116856.00,122304.00,127422.00
5.00,14694.00,28512.00,41562.00,53910.00,64872.00,74490.00,83238.00,91248.00,98622.00,105438.00,111774.00,117690.00,123228.00,128430.00
,,,,,,,,,,,,,,
,0.25,0.50,0.75,1.00,1.25,1.50,1.75,2.00,2.25,2.50,2.75,3.00,3.25,3.50
0.25,12450.96,19914.76,25049.20,28303.83,30631.29,32367.62,33718.36,34771.62,35639.33,36350.30,36954.27,37454.71,37884.12,38261.55
0.50,15173.02,23476.96,31005.18,36636.91,41103.11,44592.15,47301.27,49610.55,51567.09,53184.50,54584.12,55789.23,56850.57,57797.12
0.75,15912.96,24801.25,33640.84,40685.65,46497.76,51227.59,55175.47,58516.56,61208.41,63652.73,65770.75,67624.67,69264.16,70712.22
1.00,16348.10,25567.66,35177.15,43134.12,49798.73,55471.52,60261.48,64372.68,67963.77,71079.17,73833.67,76237.77,78409.33,80357.59
1.25,16640.14,26072.03,36217.56,44824.91,52222.22,58534.25,64001.77,68753.02,72954.17,76626.66,79911.67,82828.47,85452.36,87844.52
1.50,16852.74,26434.42,36957.58,46050.27,53987.56,60945.86,66945.03,72223.84,76917.80,81075.72,84828.03,88170.11,91222.34,93979.91
1.75,17016.57,26715.21,37537.95,46997.48,55348.44,62799.73,69236.91,74970.22,80065.45,84657.55,88762.36,92495.09,95887.64,98962.36
2.00,17147.88,26956.38,38007.92,47756.26,56456.45,64288.84,71135.34,77237.25,82727.94,87649.14,92204.84,96253.36,99947.02,103357.29
2.25,17255.31,27144.29,38392.10,48393.16,57546.94,65546.07,72707.12,79157.42,84966.32,90240.30,95086.03,99433.10,103432.34,107062.09
2.50,17345.63,27304.70,38721.29,48938.47,58310.19,66621.98,74057.70,80792.77,86905.39,92461.81,97540.62,102236.19,106473.45,110394.58
2.75,17423.10,27444.14,39007.32,49410.70,58970.58,67514.84,75232.80,82219.59,88595.41,94412.48,99745.36,104646.75,109205.12,113336.56
3.00,17490.38,27566.48,39259.08,49818.55,59390.27,68294.34,76266.34,83481.84,90081.70,96148.38,101702.08,106831.92,111574.12,116009.05
3.25,17549.78,27673.21,39481.22,50182.42,59924.19,68799.61,77151.75,84612.45,91418.05,97680.80,103472.16,108793.70,113738.56,118336.83
3.50,17602.14,27768.02,39680.62,50509.88,60400.28,69442.84,77949.81,85614.92,92623.84,99079.55,105045.53,110585.86,115704.67,120480.45
3.75,17648.96,27854.12,39861.05,50806.32,60830.17,70027.12,78473.22,86501.06,93724.52,100349.56,106493.94,112199.39,117513.77,122444.24
4.00,17691.30,27908.17,40026.09,51076.84,61223.21,70562.53,79152.06,87088.84,94700.84,101517.63,107822.83,113688.88,119156.73,124261.33
4.25,17729.79,27978.85,40178.95,51325.19,61584.10,71045.66,79777.05,87853.06,95384.31,102367.13,109047.27,115063.43,120676.56,125934.53
4.50,17764.88,28043.85,40316.30,51554.24,61917.48,71493.98,80355.45,88560.97,96188.20,103334.45,109971.56,116335.42,122093.08,127482.91
4.75,17797.18,28103.98,40443.25,51766.46,62226.73,71910.56,80891.41,89220.19,96969.31,104197.17,111002.34,117523.70,123411.12,128934.05
5.00,17826.98,28160.07,40561.15,51963.90,62514.80,72299.09,81385.33,89832.77,97698.48,105045.48,111966.59,118426.17,124646.45,130294.03
