,機能大分類,機能中分類,重要度(A＞Ｃ),i-mode(c-html),J-SKY(mml),EZweb(hdml),EZweb(xhtml),
,,・メール作成(返信)画面へ移行する機能,A,○,○,×,○,
,,・メール作成(全員返信)画面へ移行する機能,A,○,○,×,○,
,,・メール作成(転送)画面へ移行する機能,A,○,○,×,○,
,,・メール作成(編集)画面へ移行する機能,A,○,○,×,○,
,,・メールを削除しメール一覧画面へ移行する機能,A,○,○,×,○,
,,・フォルダ選択(移動)画面へ移行する機能,A,○,○,×,○,
,,・トップメニューへ移行する機能,A,○,○,×,○,
,添付ファイル表示,●添付ファイル一覧画面表示,A,○,○,○,○,
,,・エントリを選択し添付ファイル表示画面へ移行する機能(要DocCat),C,○,○,○,○,
,,・メールヘッダ表示画面へ移行する機能,C,×,×,○,×,
,,・頁選択する機能,A,○,○,×,○,
,,・前頁へ移行する機能,A,○,○,○,○,
,,・トップ頁へ移行する機能,A,○,○,×,○,
,,・次頁へ移行する機能,A,○,○,○,○,
,,・メール作成(返信)画面へ移行する機能,A,○,○,×,○,
,,・メール作成(全員返信)画面へ移行する機能,A,○,○,×,○,
,,・メール作成(転送)画面へ移行する機能,A,○,○,×,○,
,,・メール作成(編集)画面へ移行する機能,A,○,○,×,○,
,,・メールを削除しメール一覧画面へ移行する機能,A,○,○,×,○,
,,・フォルダ選択(移動)画面へ移行する機能,A,○,○,×,○,
,,・前メールへ移行する機能,A,○,,,○,
,,・次メールへ移行する機能,A,○,,,○,
,,・メール表示画面へ移行する機能,A,○,○,×,○,
,,・トップメニューへ移行する機能,A,○,○,×,○,
,,●添付ファイル表示画面表示(要DocCat),C,○,○,○,○,
,,・頁選択する機能,C,○,○,×,○,
,,・添付ファイル一覧画面へ移行する機能,C,○,○,○,○,
,,・前頁へ移行する機能,C,○,○,○,○,
,,・トップ頁へ移行する機能,C,○,○,×,○,
,,・次頁へ移行する機能,C,○,○,○,○,
,,・トップメニューへ移行する機能,C,○,○,×,○,
,メール移動,●フォルダ一覧画面表示,A,○,○,○,○,
,,・エントリを選択し内容に応じた画面へ移行する機能,A,○,○,○,○,
,,・頁選択する機能,A,○,○,×,○,
,,・前画面へ移行する機能,A,○,○,○,○,
,,・このフォルダにメールを移動し移動元のメール一覧画面へ移行する機能,A,○,○,×,○,
,,・このフォルダにメールを移動し移動元のメールの次のメールヘッダ表示画面へ移行する機能,C,×,×,○,×,
,,・前頁へ移行する機能,A,○,○,×(バグ?),○,
,,・次頁へ移行する機能,A,○,○,○,○,
,,・移動を中止し元のメール表示画面へ移行する機能,A,○,○,○,○,
,メール作成,●メール作成画面表示,A,○,○,○,○,
,,・住所録選択へ移行する機能,A,○,○,○,○,
,,・定型文選択へ移行する機能,A,○,○,○,○,
,,・送信しトップメニューへ移行する機能(新規作成時),A,○,○,○,○,
,,・保存しトップメニューへ移行する機能(新規作成時、wisewalker_show_phone_folder=on),A,○,○,○,○,
,,・中止しトップメニューへ移行する機能(新規作成時),A,○,○,○,○,
,,・送信し元メール表示画面へ移行する機能(転送・返信時),A,○,○,○,○,
,,・保存し元メール表示画面へ移行する機能(転送・返信時、wisewalker_show_phone_folder=on),A,○,○,○,○,
,,・中止し元メール表示画面へ移行する機能(転送・返信時),A,○,○,○,○,
,,・入力値異常時の画面表示,A,○,○,○,○,
,メール作成住所録,●メール作成住所録の初期画面を切り替え表示する機能,A,○,○,○,○,
,,●メール作成住所録一覧画面表示,A,○,○,○,○,
,,・選択しエントリ画面へ移行する機能,A,○,○,×,○,
,,・宛先にエントリを追加しメール作成画面へ移行する機能,A,×,×,○,×,
,,・頁選択する機能,A,○,○,×,○,
,,・キー選択する機能,A,○,○,○,○,
,,・メール作成画面へ移行する機能,A,○,○,○,○,
,,・前頁へ移行する機能,A,○,○,×,○,
,,・次頁へ移行する機能,A,○,○,○,○,
,,●メール作成住所録画面表示,A,○,○,×,○,
,,・住所録一覧へ移行する機能,A,○,○,×,○,
,,・宛先にエントリを追加しメール作成画面へ移行する機能,A,○,○,×,○,
,,・前頁へ移行する機能,A,○,○,×,○,
,,・次頁へ移行する機能,A,○,○,×,○,
,メール作成定型文,●メール作成定型文の初期画面を切り替え表示する機能,A,○,○,○,○,
,,●メール作成定型文一覧画面表示,A,○,○,○,○,
,,・選択したエントリ画面へ移行する機能,A,○,○,×,○,
,,・選択したエントリを本文最後に挿入しメール作成画面へ移行する機能(INPUT機能無し),A,×,×,○,×,
,,・頁選択する機能,A,○,○,×,○,
,,・キー選択する機能,A,○,○,○,○,
,,・メール作成画面へ移行する機能,A,○,○,○,○,
,,・前頁へ移行する機能,A,○,○,×,○,
,,・次頁へ移行する機能,A,○,○,○,○,
,,●メール作成定型文画面表示(INPUT機能有り),A,○,○,×,○,
,,・定型文一覧へ移行する機能,A,○,○,×,○,
,,・本文最初に挿入しメール作成画面へ移行する機能,A,○,○,×,○,
,,・本文最後に挿入しメール作成画面へ移行する機能,A,○,○,×,○,
,,・前頁へ移行する機能,A,○,○,×,○,
,,・次頁へ移行する機能,A,○,○,×,○,
,フォルダ選択,●フォルダ一覧画面表示,A,○,○,○,○,
,,・エントリを選択し内容に応じた画面へ移行する機能,A,○,○,○,○,
,,・頁選択する機能,A,○,○,×,○,
,,・前画面へ移行する機能,A,○,○,○,○,
,,・フォルダ操作画面へ移行する機能,A,○,○,○,○,
,,・次頁へ移行する機能,A,○,○,○,○,
,,・前頁へ移行する機能,A,○,○,○,○,
,,・トップメニューへ移行する機能,A,○,○,○,○,
,,●フォルダ操作画面表示,A,○,○,○,○,
,,・親フォルダへ移行する機能,A,○,○,×,○,
,,・フォルダを新規作成しフォルダ操作画面へ移行する機能,A,○,○,○,○,
,,・名前変更しトップメニューへ移行する機能,A,○,○,○,○,
,,・削除しトップメニューへ移行する機能,A,○,○,○,○,
,,・トップメニューへ移行する機能,A,○,○,○,○,
,POP受信,●POP一覧画面表示,A,○,○,○,○,
,,・選択したPOPへ移行する機能,A,○,○,○,○,
,,・頁選択する機能,C,○,○,×,○,
,,・前頁へ移行する機能,C,○,○,×,○,
,,・次頁へ移行する機能,C,○,○,○,○,
,,・トップメニューへ移行する機能,A,○,○,○,○,
,,●POP画面表示,A,○,○,○,○,
,,・POP一覧へ移行する機能,A,○,○,○,○,
,,・ログイン＆ダウンロードしトップメニューへ移行する機能,A,○,○,○,○,
,,・前頁へ移行する機能,C,○,○,×,○,
,,・次頁へ移行する機能,C,○,○,×,○,
,,・トップメニューへ移行する機能,A,○,○,×,○,
,,・入力値異常時の画面表示,A,○,○,○,○,
,設定編集,●設定編集メニュー画面表示,B,○,○,○,○,
,,・トップメニューへ移行する機能,B,○,○,○,○,
,,・フォルダ設定画面へ移行する機能,B,○,○,○,○,
,,・メール作成設定画面へ移行する機能,B,○,○,○,○,
,,・住所録設定画面へ移行する機能,B,○,○,○,○,
,,・定型文設定画面へ移行する機能,B,○,○,○,○,
,,・ＰＯＰ設定画面へ移行する機能,B,○,○,○,○,
,フォルダ設定編集,●フォルダ設定編集画面表示,B,○,○,○,○,
,,・設定編集へ移行する機能,B,○,○,○,○,
,,・設定値を更新し設定編集へ移行する機能,B,○,○,○,○,
,,・トップメニューへ移行する機能,B,○,○,○,○,
,メール作成設定編集,●メール作成設定編集画面表示,B,○,○,○,○,
,,・設定編集へ移行する機能,B,○,○,○,○,
,,・設定値を更新し設定編集へ移行する機能,B,○,○,○,○,
,,・トップメニューへ移行する機能,B,○,○,○,○,
,住所録設定編集,●住所録設定編集の初期画面を切り替え表示する機能,B,○,○,○,○,
,,●住所録一覧画面表示,B,○,○,○,○,
,,・選択した住所録の編集画面へ移行する機能,B,○,○,○,○,
,,・頁選択する機能,B,○,○,×,○,
,,・キー選択する機能,B,○,○,○,○,
,,・設定編集へ移行する機能,B,○,○,○,○,
,,・前頁へ移行する機能,B,○,○,×,○,
,,・次頁へ移行する機能,B,○,○,○,○,
,,・新規作成へ移行する機能,B,○,○,○,○,
,,・トップメニューへ移行する機能,B,○,○,×,○,
,,●住所録編集画面表示,B,○,○,○,○,
,,・住所録一覧へ移行する機能,B,○,○,○,○,
,,・エントリを追加し住所録一覧へ移行する機能,B,○,○,○,○,
,,・エントリを更新し住所録一覧へ移行する機能,B,○,○,○,○,
,,・エントリを削除し住所録一覧へ移行する機能,B,○,○,○,○,
,,・前頁へ移行する機能,B,○,○,×,○,
,,・次頁へ移行する機能,B,○,○,×,○,
,,・トップメニューへ移行する機能,B,○,○,×,○,
,,・入力値異常時の画面表示,B,○,○,○,○,
,定型文設定編集,●定型文設定編集の初期画面を切り替え表示する機能,B,○,○,○,○,
,,●定型文一覧画面表示,B,○,○,○,○,
,,・選択した定型文の編集画面へ移行する機能,B,○,○,○,○,
,,・頁選択する機能,B,○,○,○,○,
,,・キー選択する機能,B,○,○,×,○,
,,・設定編集へ移行する機能,B,○,○,○,○,
,,・前頁へ移行する機能,B,○,○,×,○,
,,・次頁へ移行する機能,B,○,○,○,○,
,,・新規作成へ移行する機能,B,○,○,○,○,
,,・トップメニューへ移行する機能,B,○,○,×,○,
,,●定型文編集画面表示,B,○,○,○,○,
,,・定型文一覧へ移行する機能,B,○,○,○,○,
,,・%INPUT%を追加し定型文編集へ移行する機能,B,○,○,×,○,
,,・エントリを追加し定型文一覧へ移行する機能,B,○,○,○,○,
,,・エントリを更新し定型文一覧へ移行する機能,B,○,○,○,○,
,,・エントリを削除し定型文一覧へ移行する機能,B,○,○,○,○,
,,・前頁へ移行する機能,B,○,○,×,○,
,,・次頁へ移行する機能,B,○,○,×,○,
,,・トップメニューへ移行する機能,B,○,○,×,○,
,,・入力値異常時の画面表示,B,○,○,○,○,
,POP設定編集,●POP一覧画面表示,B,○,○,○,○,
,,・選択したPOPの編集画面へ移行する機能,B,○,○,○,○,
,,・頁選択する機能,B,○,○,×,○,
,,・設定編集へ移行する機能,B,○,○,○,○,
,,・新規作成へ移行する機能,B,○,○,○,○,
,,・前頁へ移行する機能,B,○,○,×,○,
,,・次頁へ移行する機能,B,○,○,○,○,
,,・トップメニューへ移行する機能,B,○,○,×,○,
,,●POP編集画面表示,B,○,○,○,○,
,,・POP一覧へ移行する機能,B,○,○,○,○,
,,・エントリを追加しPOP一覧へ移行する機能,B,○,○,○,○,
,,・エントリを更新しPOP一覧へ移行する機能,B,○,○,○,○,
,,・エントリを削除しPOP一覧へ移行する機能,B,○,○,○,○,
,,・前頁へ移行する機能,B,○,○,×,○,
,,・次頁へ移行する機能,B,○,○,×,○,
,,・トップメニューへ移行する機能,B,○,○,×,○,
,,・入力値異常時の画面表示,B,○,○,○,○,
,,,,,,,,
,工数合計(人・日),,,,,,,0
,,,,,,,,
