0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
44,SXVC20 GRACIA,SXV20,,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
45,SXVC20 GRACIA,SXV20,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
46,LEXUS   ES300,VCV10*,0/1,4H,,,,,,,,,,,,,,,,,,,,,,,,,,
47,LS400 90-94 MODEL,UCF10,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
48,LS400 94-,UCF10,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
49,4 RUNNER,LN130,0,2V/4V,,,,,,,,,,,,,,,,,,,,,,,,,,
50,HIACE ,LH61V,1,HV,,,,,,,,,,,,,,,,,,,,,,,,,,
51,HIACE ,LH113,0,HV,,,,,,,,,,,,,,,,,,,,,,,,,,
52,RAV4,SXA10,0,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
53,RAV4,SXA10,1,2V  ,,,,,,,,,,,,,,,,,,,,,,,,,,
54,RAV4 ,ACA ,,2V/4V,,,,,,,,,,,,,,,,,,,,,,,,,,
55,SOARER ,UZC30/31,,2C,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,JAPAN,M,SHAPE,BONNET,FENDER,,DOOR,,,,SLIDE DOOR,,BUMPER,,GRILL/,TRUNK/,LAMP,LAMP,,,,,      RADIATOR,,A/C,RADIATOR,A/C,UPPER,LOWER 
57,,MODEL,,,,R,L,F/R,F/L,R/R,R/L,R,L,F,  R ,MASK,R/GATE,HEAD,HEAD, TAIL,, TAIL,CLEAR,AUTO,MAUAUL,CONDENSOR,FAN,FAN,PANEL,PANEL
58,COROLLA-ZZE122,,,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,ZZE122,,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
61,ECHO,SCP10,,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
62,ECHO,SCP10,,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
63,SPRINTER,AE101**,,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
64,MR230S,ZZW30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PASEO,EL54,,2D,,,,,,,,,,,,,,,,,,,,,,,,,,
66,TARAGO,AC22R,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
67,TARAGO,ACR10R,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
68,SPACIA,SR40,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
69,CELICA,ZZT231,,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
70,AVALON,,,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
71,AVENSIS VERSO,ACM20R,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
72,CAMRY,MCV21*,,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
73,CAMRY,MCV21*,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
74,CAMRY,SXV20,,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
75,CAMRY,SXV20,1,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
76,CAMRY,ACV30,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
77,HILUX,LY80,,2D,,,,,,,,,,,,,,,,,,,,,,,,,,
78,HILUX,LN106,,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
79,HILUX,LN112,,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
80,HILUX,RZN147,,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
81,HILUX 4X2,RZN152,,2D,,,,,,,,,,,,,,,,,,,,,,,,,,
82,HILUX 4X4,RZN169,,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
83,LANDCRUISER,FJ80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,LANDCRUISER,HDJ81V,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,LANDCRUISER,UZJ100W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,LANDCRUISER,VZJ90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,LANDCRUISER,VZJ90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,LANDCRUISER,VZJ121W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PRIUS,NHW11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,RAV4,SXA10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,JAPAN,M,SHAPE,BONNET,FENDER,,DOOR,,,,SLIDE DOOR,,BUMPER,,GRILL/,TRUNK/,LAMP,LAMP,,,,,      RADIATOR,,A/C,RADIATOR,A/C,UPPER,LOWER 
95,,MODEL,,,,R,L,F/R,F/L,R/R,R/L,R,L,F,  R ,MASK,R/GATE,HEAD,HEAD, TAIL,, TAIL,CLEAR,AUTO,MAUAUL,CONDENSOR,FAN,FAN,PANEL,PANEL
96,NX COUPE,EB13*,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"     """,HN12*,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"     ""   EXA",HN12***,1,2C,,,,,,,,,,,,,,,,,,,,,,,,,,
99,ASTRA  LC,PN12,1,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PULSAR  N13,BEN13,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
101,ASTRA  LD,HN13,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
102,EXA  COUPE,KEN13,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PULSAR  N14,HN14,0/1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"     """,HN14,0/1,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"     ""       N15",HN15,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"     """,HN15,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"     ""       N15 LATE",HN15,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"     """,HN15,1,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
109,BLUEBIRD SYLPHY,QG10,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
110,MICRA,K11,0,3D/5D,,,,,,,,,,,,,,,,,,,,,,,,,,
111,NOMAD,KHGC22,0,HV,,,,,,,,,,,,,,,,,,,,,,,,,,
112,VANETTE,VPJC22,0,HV,,,,,,,,,,,,,,,,,,,,,,,,,,
113,SERENA  C23,KBC23,0,HL,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PINTARA,RU12,0/1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
115,BLUEBIRD,EU13,0/1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
116,MAXIMA,J30,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
117,CEFIRO,HA32,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
118,CEFIRO/MAXIMA ,A33 ,,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
119,SKYLINE R31 ,HR31,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"     ""        ",HR31,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"     """,WFJR31,1,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
122,SKYLINE   R32,BNR32,0,2H,,,,,,,,,,,,,,,,,,,,,,,,,,
123,SKYLINE R33 ,HR33,,2H,,,,,,,,,,,,,,,,,,,,,,,,,,
124,SKYLINE R33 ,HR33,1,2H,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,JAPAN,M,SHAPE,BONNET,FENDER,,DOOR,,,,SLIDE DOOR,,BUMPER,,GRILL/,TRUNK/,LAMP,LAMP,,,,,      RADIATOR,,A/C,RADIATOR,A/C,UPPER,LOWER 
127,,MODEL,,,,R,L,F/R,F/L,R/R,R/L,R,L,F,  R ,MASK,R/GATE,HEAD,HEAD, TAIL,, TAIL,CLEAR,AUTO,MAUAUL,CONDENSOR,FAN,FAN,PANEL,PANEL
128,200SX,S15,,2C,,,,,,,,,,,,,,,,,,,,,,,,,,
129,350Z,Z33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,MAXIMA,A33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,NAVARA,LFMD22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,NAVARA,LFMD22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,NAVARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PATHFINDER,WHYD21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PATHFINDER,RR50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PATHFINDER,TR50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PATROL,VRY60,0,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PATROL,WGY60,1,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PATROL,VRGY61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PATROL,VRGY61,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PULSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PULSAR,QG10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,X TRAIL,NT30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,300ZX      Z31,HGZ31,0/1,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
145,300XZ Z32,GCZ32,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
146,SILVIA,S13,,2C,,,,,,,,,,,,,,,,,,,,,,,,,,
147,180SX,S13,,3DR,,,,,,,,,,,,,,,,,,,,,,,,,,
148,200SX EARLY,CS14,0,2H,,,,,,,,,,,,,,,,,,,,,,,,,,
149,200SX LATE,CS14,1,2H,,,,,,,,,,,,,,,,,,,,,,,,,,
150,200SX ,S15,0,2H,,,,,,,,,,,,,,,,,,,,,,,,,,
151,NAVARA  D21,PGD21,0/1,2D/4D,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PATHFINDER,WHYD21,0/1,2V/4V,,,,,,,,,,,,,,,,,,,,,,,,,,
153,URVAN,VYE24,0,HV,,,,,,,,,,,,,,,,,,,,,,,,,,
154,INFINITI,HG50,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,JAPAN,M,SHAPE,BONNET,FENDER,,DOOR,,,,SLIDE DOOR,,BUMPER,,GRILL/,TRUNK/,LAMP,LAMP,,,,,      RADIATOR,,A/C,RADIATOR,A/C,UPPER,LOWER
157,,MODEL,,,,R,L,F/R,F/L,R/R,R/L,R,L,F,  R ,MASK,R/GATE,HEAD,HEAD, TAIL,, TAIL,CLEAR,AUTO,MAUAUL,CONDENSOR,FAN,FAN,PANEL,PANEL
158,121    DB1031,DB3PA,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
159,METRO 96-00 /DEMIO,DW5W,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
160,METRO 00-/DEMIO,DW1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,323    BF1052,BF7P,0,4D/5D,,,,,,,,,,,,,,,,,,,,,,,,,,
162,         SERIES 2,BF7P,1,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
163, ,BF7P,1,4D/5D,,,,,,,,,,,,,,,,,,,,,,,,,,
164,WAGON,BF7V,1,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
165,           BG1061,BG5P ,0/1,4D  ,,,,,,,,,,,,,,,,,,,,,,,,,,
166,ASTINA BG,BG5P*,0/1,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
167,ASTINA BA 4DR HT ,CBAEP,0,4H,,,,,,,,,,,,,,,,,,,,,,,,,,
168,ASTINA BA 5DR ,CBAEP,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
169,323       BH,BHALP,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
170,323       BH,BHALP,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
171,323       BJ,BJ5P,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
172,323       BJ,BJ5P,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
173,          GD1021,GD8P,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,GD8P,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
175,MX6    GD1021,GD8S,0/1,2H,,,,,,,,,,,,,,,,,,,,,,,,,,
176,626     GE10S1,GEEP,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,GEEP*,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
178,MX6    GE10L1,GEEB,0,2H,,,,,,,,,,,,,,,,,,,,,,,,,,
179,626     GF,TAFP,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
180,626     GW,TAFP,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
181,929 SEDAN,HCEP,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
182,929 HARD TOP ,HCEP,0,4H,,,,,,,,,,,,,,,,,,,,,,,,,,
183,929     HD10E1,HDES,0,4H,,,,,,,,,,,,,,,,,,,,,,,,,,
184,          HE10E1,HEEP,0,4H,,,,,,,,,,,,,,,,,,,,,,,,,,
185,E  SERIES,SSF8V,0,HV,,,,,,,,,,,,,,,,,,,,,,,,,,
186,BRAWNY,SR89V,0,HV,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,JAPAN,M,SHAPE,BONNET,FENDER,,DOOR,,,,SLIDE DOOR,,BUMPER,,GRILL/,TRUNK/,LAMP,LAMP,,,,,      RADIATOR,,A/C,RADIATOR,A/C,UPPER,LOWER
188,,MODEL,,,,R,L,F/R,F/L,R/R,R/L,R,L,F,  R ,MASK,R/GATE,HEAD,HEAD, TAIL,, TAIL,CLEAR,AUTO,MAUAUL,CONDENSOR,FAN,FAN,PANEL,PANEL
189,EUNOS     30X,ES8SE,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"    ""         500",CAEPE,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
191,"    ""         800",TA5Y,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
192,MPV 93-96 ,LVEW,0,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
193,MPV 96-99 ,LVEW ,,4V ,,,,,,,,,,,,,,,,,,,,,,,,,,
194,MPV 1999 - ,LVEW,1,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
195,MX5 ROADSTAR ,NA6CE,0,2D,,,,,,,,,,,,,,,,,,,,,,,,,,
196,MX5 98- ROADSTAR ,NB30P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,RX7,SA22C,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
198,"    ""  ",FC3S,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"    ""  ",FD3S,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
200,FESTIVA    WA,DA3PF,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"    ""          WB",D23PF,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
202,"    ""          WB",D23PF,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
203,METEOR    GC,BF7PF,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
204,LASER       KC,BF7PF,0,3D/5D,,,,,,,,,,,,,,,,,,,,,,,,,,
205,"    ""           KE",BF7PF,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
206,"    ""     WAGON",BF7VF,0,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
207,"    ""           KF",BG5PF,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
208,"    ""           KH",BG5PF,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
209,"    ""           KJ",BHA5PF,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"    ""       ",BHA5SF,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PROBE       ST,1ZVT,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
212,SPECTRON,SS88WF,0,HV,,,,,,,,,,,,,,,,,,,,,,,,,,
213,"    """,SS88WF,1,HV,,,,,,,,,,,,,,,,,,,,,,,,,,
214,TESTAR AT ,GD8PF,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
215,TX5           AV,GD8PF,1,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
216,TELSTAR AX ,GEEPF,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
217,TELSTAR AX 5DR ,GEEPF,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
218,TELSTAR AX SEDAN ,GEEPF,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
219,TELSTAR AX 5DR ,GEEPF,1,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,JAPAN,M,SHAPE,BONNET,FENDER,,DOOR,,,,SLIDE DOOR,,BUMPER,,GRILL/,TRUNK/,LAMP,LAMP,,,,,      RADIATOR,,A/C,RADIATOR,A/C,UPPER,LOWER
221,,MODEL,,,,R,L,F/R,F/L,R/R,R/L,R,L,F,  R ,MASK,R/GATE,HEAD,HEAD, TAIL,, TAIL,CLEAR,AUTO,MAUAUL,CONDENSOR,FAN,FAN,PANEL,PANEL
222,COUGAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,COURIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,COURIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,COURIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,ECONOVAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,ESCAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,EXPLORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,EXPLORER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,FESTIVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,FOCUS,,,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
232,FOCUS,,,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
233,KA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,LASER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,LASER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,LASER,,,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
237,LASER,,,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
238,MONDEO,,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
239,MONDEO HA-B,,,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
240,MONDEO HC- ,,,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
241,TAURUS,,,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
242,323 PROTÉGÉ,BJ5P,,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
243,323 PROTÉGÉ,BJ5P,,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
244,626 SEDAN,GF8P,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,6 LIMITED,GY3W,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
246,6 LIMITED,GG3S,,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
247,MILLENIA,TAFP,,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
248,MPV,LVEW,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
249,MPV,LWFW,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
250,MX5,NB8C,,2C,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PREMACY,CP8W,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
252,TRIBUTE,EPEW,,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,JAPAN,M,SHAPE,BONNET,FENDER,,DOOR,,,,SLIDE DOOR,,BUMPER,,GRILL/,TRUNK/,LAMP,LAMP,,,,,      RADIATOR,,A/C,RADIATOR,A/C,UPPER,LOWER
254,,MODEL,,,,R,L,F/R,F/L,R/R,R/L,R,L,F,  R ,MASK,R/GATE,HEAD,HEAD, TAIL,, TAIL,CLEAR,AUTO,MAUAUL,CONDENSOR,FAN,FAN,PANEL,PANEL
255,LANCER  CA-B ,C51A,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
256,"   ""         CA-B",C61A,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
257,"   ""         CA-B ",C61A*,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
258,"   ""         CC",CB1A*,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
259,"   ""         CC",CB1A*,0,2D,,,,,,,,,,,,,,,,,,,,,,,,,,
260,CC WAGON ,CB5W,0,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
261,LANCER,CK2A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,LANCER,CS5A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,PROTON  M21,CA1A,0,2C,,,,,,,,,,,,,,,,,,,,,,,,,,
265,WIRA,CB1A,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
266,HATCH,CA1A,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
267,LANCER SEDAN CE,CK2A,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
268,LANCER CPE CE ,CK2A,0,2D,,,,,,,,,,,,,,,,,,,,,,,,,,
269,LANCER SEDAN CE,CK2A,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
270,LANCER CPE CE ,CK2A,1,2D,,,,,,,,,,,,,,,,,,,,,,,,,,
271,MIRAGE    CE,CJ2A,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
272,MIRAGE    CE,CJ2A,1,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
273,NIMBUS    UB,D05W,0/1,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
274,NIMBUS  UF EARLY,N33W,0,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
275,NIMBUS UF LATE ,N33W,1,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
276,NIMBUS UG 98- ,,,4V ,,,,,,,,,,,,,,,,,,,,,,,,,,
277,NIMBUS,N84W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,L300 SF ,P01V,0,HV,,,,,,,,,,,,,,,,,,,,,,,,,,
279,L300 SH ,P05W,1,HV,,,,,,,,,,,,,,,,,,,,,,,,,,
280,STARWAGON  WA,PA4W,0,HL,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,JAPAN,M,SHAPE,BONNET,FENDER,,DOOR,,,,SLIDE DOOR,,BUMPER,,GRILL/,TRUNK/,LAMP,LAMP,,,,,      RADIATOR,,A/C,RADIATOR,A/C,UPPER,LOWER
