,,,,,,,
还原利润表,,,,,,,
,,,,,,,
三农属性：,,,,,,,
编制单位: ,,,机构代号: ,,制表日期:,,
2,中期项目融资贷款利息收入, A5010042,,6,三年期定期储蓄存款利息支出, A5020037,
3,长期项目融资贷款利息收入, A5010044,,7,五年及以上定期储蓄存款利息支出, A5020039,
77105,其他一般固定资产贷款利息收入, A5010046,,87321,惠农个人定期储蓄存款利息支出, A5020608,
1,短期其他固定资产贷款利息收入, A5010047,,1,惠农一个月定期储蓄存款利息支出, A5020609,
2,中期其他固定资产贷款利息收入, A5010049,,2,惠农三个月定期储蓄存款利息支出, A5020611,
3,长期其他固定资产贷款利息收入, A5010051,,3,惠农六个月定期储蓄存款利息支出, A5020613,
77106,流动资金贷款利息收入, A5010053,,4,惠农一年定期储蓄存款利息支出, A5020615,
1,短期流动资金贷款利息收入, A5010054,,5,惠农二年定期储蓄存款利息支出, A5020617,
2,中期流动资金贷款利息收入, A5010056,,6,惠农三年定期储蓄存款利息支出, A5020619,
77107,消费贷款利息收入, A5010058,,7,惠农五年定期储蓄存款利息支出, A5020621,
1,短期个人一般消费贷款利息收入, A5010059,,87401,单位定期存款利息支出, A5020042,
2,中期个人一般消费贷款利息收入, A5010061,,1,一个月定期存款利息支出, A5020043,
3,长期个人一般消费贷款利息收入, A5010063,,2,三个月定期存款利息支出, A5020045,
77108,助学贷款利息收入, A5010065,,3,六个月定期存款利息支出, A5020047,
1,短期个人助学贷款利息收入, A5010066,,4,一年期定期存款利息支出, A5020049,
2,中期个人助学贷款利息收入, A5010068,,5,二年期定期存款利息支出, A5020051,
3,长期个人助学贷款利息收入, A5010070,,6,三年期定期存款利息支出, A5020053,
77109,个人生产经营贷款利息收入, A5010072,,7,五年期定期存款利息支出, A5020055,
1,短期个人生产经营贷款利息收入, A5010073,,87501,其他利息支出, A5020058,
2,中期个人生产经营贷款利息收入, A5010075,,1,保证金存款利息支出, A5020059,
3,长期个人生产经营贷款利息收入, A5010077,,2,协议存款利息支出, A5020061,
77110,单位透支利息收入, A5010079,,3,其他存款利息支出, A5020063,
1,单位活期存款透支利息收入, A5010080,,4,发行债券利息支出, A5020065,
2,单位贷记卡透支利息收入, A5010082,,87502,结构性产品超额利息支出, A5020067,
3,单位准贷记卡透支利息收入, A5010084,,1,存贷双赢房贷理财超额利息支出, A5020068,
77111,个人透支利息收入, A5010086,,08,八、金融机构往来支出类, A5020070,
1,个人贷记卡透支利息收入, A5010087,,88101,央行往来利息支出, A5020072,
2,个人准贷记卡透支利息收入, A5010089,,1,再贷款利息支出, A5020073,
77112,贸易融资贷款利息收入, A5010091,,2,公开市场业务利息支出, A5020075,
1,进口押汇利息收入, A5010092,,88201,同业存放款项利息支出, A5020078,
2,出口押汇利息收入, A5010094,,1,同业存放结算性款项利息支出, A5020079,
3,打包贷款利息收入, A5010096,,2,同业存放合作性款项利息支出, A5020081,
4,信用证融资利息收入, A5010098,,88301,同业拆借款项利息支出, A5020084,
5,出口贴现利息收入, A5010100,,1,同业拆入款项利息支出, A5020085,
6,其他贸易融资利息收入, A5010102,,2,同业借入款项利息支出, A5020087,
77113,银团贷款利息收入, A5010104,,88401,转贴现融资利息支出, A5020090,
1,短期银团贷款利息收入, A5010105,,1,银行承兑汇票转贴现利息支出, A5020091,
2,中期银团贷款利息收入, A5010107,,2,商业承兑汇票转贴现利息支出, A5020093,
3,长期银团贷款利息收入, A5010109,,88501,卖出回购业务利息支出, A5020096,
77114,转贷款利息收入, A5010111,,1,卖出回购证券利息支出, A5020097,
1,短期转贷款利息收入, A5010112,,2,卖出回购票据利息支出, A5020099,
2,中期转贷款利息收入, A5010114,,3,卖出回购信贷资产利息支出, A5020101,
3,长期转贷款利息收入, A5010116,,88601,系统内资金往来利息支出, A5020104,
77115,贴现利息收入, A5010118,,1,一级分行存入款项利息支出, A5020105,
1,银行承兑汇票贴现利息收入, A5010119,,2,二级分行存入款项利息支出, A5020107,
2,商业承兑汇票贴现利息收入, A5010121,,3,支行存入款项利息支出, A5020109,
3,买入票据利息收入, A5010123,,4,营业网点存入款项利息支出, A5020111,
4,票据贴现垫款利息收入, A5010125,,5,境外机构存入款项利息支出, A5020113,
77116,个人农业贷款利息收入, A5010127,,6,下级行存放自动清算款项利息支出, A5020115,
1,短期个人农业贷款利息收入, A5010128,,7,借入总行款项利息支出, A5020117,
2,中期个人农业贷款利息收入, A5010130,,8,借入一级分行款项利息支出, A5020119,
3,长期个人农业贷款利息收入, A5010132,,9,借入二级分行款项利息支出, A5020121,
4,短期农户普惠贷款利息收入, A5010657,,10,借入支行款项利息支出, A5020123,
77177,个人综合授信贷款利息收入, A5010134,,11,跨行往来款项利息支出, A5020125,
1,短期个人综合授信贷款利息收入, A5010135,,12,系统内部资金和服务计价支出, A5020127,
2,中期个人综合授信贷款利息收入, A5010137,,13,一级分行存入特种票据专项资金利息支出, A5020129,
3,长期个人综合授信贷款利息收入, A5010139,,09,九、管理费用类, A5020140,
77199,其他贷款利息收入, A5010141,,89101,人员费用, A5020142,
1,出口买方信贷利息收入, A5010142,,1,工资, A5020143,
2,扶贫贷款利差补贴收入, A5010144,,2,临时工工资, A5020145,
3,其他政策性贷款利差补贴收入, A5010146,,3,内退职工基本生活费, A5020147,
4,财政性资金垫款利息收入, A5010148,,4,职工福利费, A5020149,
5,财政支付额度垫款利息收入, A5010150,,5,工会经费, A5020151,
6,其他贷款利息收入, A5010152,,6,职工教育经费, A5020153,
77201,非应计贷款利息收入, A5010155,,7,劳动保险费, A5020155,
1,非应计单位房地产贷款利息收入, A5010156,,8,离退休劳动保险费, A5020157,
2,非应计个人住房贷款利息收入, A5010158,,9,失业保险费, A5020159,
3,非应计单位汽车贷款利息收入, A5010160,,10,医疗保险费, A5020161,
4,非应计个人汽车贷款利息收入, A5010162,,11,住房公积金, A5020163,
5,非应计单位扶贫贷款利息收入, A5010164,,12,住房补贴, A5020165,
6,非应计个人扶贫贷款利息收入, A5010166,,13,基本养老保险, A5020549,
7,非应计项目融资贷款利息收入, A5010168,,14,补充养老保险, A5020547,
8,非应计其他固定资产贷款利息收入, A5010170,,15,补充医疗保险, A5020551,
9,非应计流动资金贷款利息收入, A5010172,,89201,业务管理费用, A5020168,
10,非应计消费贷款利息收入, A5010174,,1,公杂费, A5020169,
11,非应计个人综合授信贷款利息收入, A5010198,,2,差旅费, A5020175,
12,非应计助学贷款利息收入, A5010176,,3,会议费, A5020182,
13,非应计个人生产经营贷款利息收入, A5010178,,4,外事费, A5020189,
14,非应计单位透支利息收入, A5010180,,5,邮电费, A5020196,
15,非应计个人透支利息收入, A5010182,,6,印刷费, A5020202,
16,非应计贸易融资利息收入, A5010184,,7,水电费, A5020207,
17,非应计银团贷款利息收入, A5010186,,8,劳动保护费, A5020211,
18,非应计转贷款利息收入, A5010188,,9,车船使用费, A5020217,
19,非应计贴现垫款利息收入, A5010190,,10,宣教费, A5020223,
20,非应计个人农业贷款利息收入, A5010196,,11,取暖降温费, A5020228,
21,非应计单位其他贷款利息收入, A5010192,,12,房屋租赁费, A5020233,
22,非应计个人其他贷款利息收入, A5010194,,13,电子设备租赁费, A5020236,
77301,冲减贷款利息收入, A5010201,,14,通讯线路租赁费, A5020239,
1,冲减单位房地产贷款利息收入, A5010202,,15,其他租赁费, A5020242,
2,冲减个人住房贷款利息收入, A5010204,,16,钞币运送费, A5020245,
3,冲减单位汽车贷款利息收入, A5010206,,17,电子设备运转费, A5020253,
4,冲减个人汽车贷款利息收入, A5010208,,18,安全防卫费, A5020259,
5,冲减单位扶贫贷款利息收入, A5010210,,19,房屋修理费, A5020267,
6,冲减个人扶贫贷款利息收入, A5010212,,20,机器设备修理费, A5020270,
7,冲减项目融资贷款利息收入, A5010214,,21,车辆修理费, A5020273,
8,冲减其他固定资产贷款利息收入, A5010216,,22,房产保险费, A5020276,
9,冲减流动资金贷款利息收入, A5010218,,23,电子设备保险费, A5020279,
10,冲减消费贷款利息收入, A5010220,,24,汽车保险费, A5020282,
11,冲减个人综合授信贷款利息收入, A5010244,,25,其他财产保险费, A5020285,
12,冲减助学贷款利息收入, A5010222,,26,法律事务费, A5020289,
13,冲减个人生产经营贷款利息收入, A5010224,,27,审计费, A5020327,
14,冲减单位透支利息收入, A5010226,,28,研究开发费, A5020332,
15,冲减个人透支利息收入, A5010228,,29,咨询费, A5020294,
16,冲减贸易融资利息收入, A5010230,,30,广告费, A5020297,
17,冲减银团贷款利息收入, A5010232,,31,业务宣传费, A5020305,
18,冲减转贷款利息收入, A5010234,,32,业务招待费, A5020310,
19,冲减贴现垫款利息收入, A5010236,,33,物业管理费, A5020314,
20,冲减个人农业贷款利息收入, A5010242,,34,税金, A5020317,
21,冲减单位其他贷款利息收入, A5010238,,35,监管费, A5020324,
22,冲减个人其他贷款利息收入, A5010240,,36,无形资产摊销, A5020337,
77401,消化贷款应收利息包袱, A5010247,,37,房屋修理费摊销, A5020344,
1,消化贷款应收利息包袱, A5010248,,38,房屋租赁费摊销, A5020349,
02,二、金融机构往来收入类, A5010250,,39,电子设备租赁费摊销, A5020352,
78101,央行往来利息收入, A5010252,,40,其他费用, A5020355,
1,法定准备金存款利息收入, A5010253,,10,十、中间业务手续费支出类, A5020360,
2,超额准备金存款利息收入, A5010255,,90101,银行卡手续费支出, A5020362,
3,公开市场业务利息收入, A5010257,,1,借记卡银联手续费支出, A5020363,
78201,存放同业款项利息收入, A5010260,,2,准贷记卡银联手续费支出, A5020365,
1,存放同业结算性款项利息收入, A5010261,,3,贷记卡银联手续费支出, A5020367,
2,存放同业合作性款项利息收入, A5010263,,4,借记卡国际组织手续费支出, A5020369,
78202,拆借同业款项利息收入, A5010266,,5,准贷记卡国际组织手续费支出, A5020371,
1,拆放同业款项利息收入, A5010267,,6,贷记卡国际组织手续费支出, A5020373,
2,同业借款利息收入, A5010269,,7,借记卡其他手续费支出, A5020375,
78301,国家助学贷款补偿金收入, A5010272,,8,准贷记卡其他手续费支出, A5020377,
1,国家助学贷款补偿金收入, A5010273,,9,贷记卡其他手续费支出, A5020379,
78401,转贴现利息收入, A5010276,,10,国际卡收单手续费支出, A5020381,
1,银行承兑汇票转贴现利息收入, A5010277,,11,惠农借记卡银联手续费支出, A5020623,
2,商业承兑汇票转贴现利息收入, A5010279,,12,惠农借记卡其他手续费支出, A5020625,
78501,买入返售业务利息收入, A5010282,,90102,票据交换手续费支出, A5020383,
1,买入回售证券利息收入, A5010283,,1,票据交换手续费支出, A5020384,
2,买入回售票据利息收入, A5010285,,90103,国债手续费支出, A5020391,
3,买入回售信贷资产利息收入, A5010287,,1,国债手续费支出, A5020392,
78601,系统内资金往来利息收入, A5010290,,90104,贸易融资手续费支出, A5020394,
1,存放总行款项利息收入, A5010291,,1,贸易融资手续费支出, A5020395,
2,存放一级分行款项利息收入, A5010293,,90199,其他业务手续费支出, A5020397,
3,存放二级分行款项利息收入, A5010295,,1,其他业务手续费支出, A5020398,
4,存放支行款项利息收入, A5010297,,2,银团贷款手续费支出, A5020406,
5,存放上级行自动清算款项利息收入, A5010299,,11,十一、其他营业支出类, A5020408,
6,借给一级分行款项利息收入, A5010301,,91101,外汇买卖支出, A5020410,
7,借给二级分行款项利息收入, A5010303,,1,结售汇业务支出, A5020411,
8,借给支行款项利息收入, A5010305,,2,外汇买卖业务支出, A5020413,
9,借给营业网点款项利息收入, A5010307,,3,外汇营运资金汇兑损益支出, A5020592,
10,借给境外机构款项利息收入, A5010309,,4,其他外汇买卖业务支出, A5020415,
11,跨行往来款项利息收入, A5010311,,91102,证券买卖支出, A5020417,
12,系统内部资金和服务计价收入, A5010313,,1,经营性国债买卖损失, A5020418,
13,存放总行特种票据专项资金利息收入, A5010315,,2,其他证券买卖损失, A5020420,
78701,金融机构往来表外利息收入, A5010318,,91103,贵金属买卖支出, A5020422,
1,存放同业款项表外利息收入, A5010319,,1,贵金属买卖支出, A5020423,
2,拆放同业款项表外利息收入, A5010321,,2,实物黄金买卖损失, A5020627,
3,同业借款表外利息收入, A5010323,,91104,自营金融衍生产品支出, A5020425,
78801,冲减金融机构往来利息收入, A5010326,,1,远期合约业务支出, A5020426,
1,冲减存放同业款项利息收入, A5010327,,2,期权业务支出, A5020428,
2,冲减拆放同业款项利息收入, A5010329,,3,互换业务支出, A5020430,
3,冲减同业借款利息收入, A5010331,,4,其他金融衍生产品支出, A5020432,
78901,消化金融机构往来应收利息包袱, A5010334,,91105,固定资产折旧支出, A5020434,
1,消化金融机构往来应收利息包袱, A5010335,,1,建筑物折旧支出, A5020435,
03,三、中间业务收入类, A5010337,,2,机械设备折旧支出, A5020437,
79101,银行卡业务收入, A5010339,,3,交通运输设备折旧支出, A5020439,
1,借记卡消费手续费收入, A5010340,,4,其他固定资产折旧支出, A5020441,
2,准贷记卡消费手续费收入, A5010342,,5,固定资产确权折旧支出, A5020575,
3,贷记卡消费手续费收入, A5010344,,6,预估转固自有固定资产改良支出折旧支出, A5020596,
4,借记卡年费收入, A5010346,,7,正式转固自有固定资产改良支出折旧支出, A5020598,
5,准贷记卡年费收入, A5010348,,12,十二、营业税及附加, A5020443,
6,贷记卡年费收入, A5010350,,92101,营业税及附加, A5020445,
7,借记卡现金及转账手续费收入, A5010352,,1,营业税, A5020446,
8,准贷记卡现金及转账手续费收入, A5010354,,2,城市维护建设税, A5020448,
9,贷记卡现金及转账手续费收入, A5010356,,3,教育费附加, A5020450,
10,个人借记卡小额账户收费收入, A5010358,,4,其他税费, A5020452,
11,借记卡其他手续费收入, A5010360,,13,十三、营业外支出类, A5020454,
12,准贷记卡其他手续费收入, A5010362,,93101,资产处置损失, A5020456,
13,贷记卡其他手续费收入, A5010364,,1,固定资产清理净损失, A5020457,
14,POS受理他行卡手续费收入, A5010366,,2,非常损失, A5020459,
15,ATM受理他行卡手续费收入, A5010368,,3,案件损失, A5020461,
16,其他渠道受理他行卡手续费收入, A5010370,,4,抵债资产处置损失, A5020463,
17,国际卡收单手续费收入, A5010372,,5,房改职工住房清理损失, A5020465,
18,惠农借记卡消费手续费收入, A5010669,,6,消化抵债资产处置损失, A5020467,
19,惠农借记卡年费收入, A5010671,,7,消化案件损失, A5020469,
20,惠农借记卡现金及转账交易手续费收入, A5010673,,8,资金清算损失, A5020594,
21,惠农借记卡其他手续费收入, A5010675,,93102,固定资产盘亏, A5020472,
79102,代理保险业务收入, A5010374,,1,固定资产盘亏, A5020473,
1,代理财险手续费收入, A5010375,,93201,公益救济性捐赠支出, A5020476,
2,代理寿险手续费收入, A5010377,,1,公益救济性捐赠支出, A5020477,
3,代收保费手续费收入, A5010379,,93301,院校经费支出, A5020480,
4,代付保险金手续费收入, A5010381,,1,院校经费支出, A5020481,
5,代理保险其他手续费收入, A5010383,,93401,其他营业外支出, A5020484,
79103,代收代付业务收入, A5010385,,1,下岗保障支出, A5020485,
1,代理发放工资手续费收入, A5010386,,2,赔偿和违约支出, A5020487,
2,代收公用事业费手续费收入, A5010388,,3,罚没支出, A5020489,
3,代收行政事业费手续费收入, A5010390,,4,存款不动户支出, A5020491,
4,代收电讯费手续费收入, A5010392,,5,其他支出, A5020493,
5,代扣代缴税金手续费收入, A5010394,,14,十四、资产减值准备支出类, A5020495,
6,其他代收代付业务手续费收入, A5010396,,94101,贷款损失基本准备支出, A5020497,
79104,代理金融机构业务收入, A5010398,,1,贷款损失基本准备支出, A5020498,
1,代理商业银行业务手续费收入, A5010399,,94102,贷款损失专项准备支出, A5020500,
2,代理政策性银行业务手续费收入, A5010401,,1,贷款损失专项准备支出, A5020501,
3,代理资产管理公司业务手续费收入, A5010403,,94103,卡透支损失准备支出, A5020503,
4,代理证券公司业务手续费收入, A5010405,,1,卡透支损失准备支出, A5020504,
5,代理邮政储汇业务手续费收入, A5010407,,94104,坏账准备支出, A5020506,
6,代理其他金融机构业务手续费收入, A5010409,,1,坏账准备支出, A5020507,
79105,结算业务收入, A5010411,,94105,长期投资减值准备支出, A5020509,
1,单位电子汇划手续费收入, A5010412,,1,长期投资减值准备支出, A5020510,
2,个人电子汇划手续费收入, A5010414,,94106,抵债资产减值准备支出, A5020512,
3,其他单位结算手续费收入, A5010416,,1,抵债资产减值准备支出, A5020513,
4,其他个人结算手续费收入, A5010418,,94107,待清理境外资产减值准备支出, A5020589,
5,外汇汇款手续费收入, A5010420,,1,待清理境外资产减值准备支出, A5020590,
6,信用证手续费收入, A5010422,,15,十五、所得税支出类, A5020518,
7,托收手续费收入, A5010424,,95101,所得税支出, A5020520,
8,其他国际结算手续费收入, A5010426,,1,预缴所得税, A5020521,
79106,代理基金业务收入, A5010428,,2,就地查补所得税, A5020523,
1,开放式基金托管收入, A5010429,,,,,
2,封闭式基金托管收入, A5010431,,,,,
3,代理基金销售手续费收入, A5010433,,,,,
4,企业年金托管收入, A5010435,,,,,
5,社保基金托管收入, A5010437,,,,,
6,其他代理基金收入, A5010439,,,,,
79107,代客理财业务手续费收入, A5010441,,,,,
1,代客外汇买卖手续费收入, A5010442,,,,,
2,代客理财手续费收入, A5010444,,,,,
3,代客（个人）理财手续费收入, A5010446,,,,,
4,代客证券业务手续费收入, A5010448,,,,,
5,其他代客理财业务手续费收入, A5010450,,,,,
79108,融资手续费收入, A5010452,,,,,
1,贸易融资手续费收入, A5010453,,,,,
2,出口买方信贷手续费收入, A5010455,,,,,
3,银团贷款手续费收入, A5010457,,,,,
4,融券手续费收入, A5010459,,,,,
5,其他融资业务手续费收入, A5010461,,,,,
79109,国债手续费收入, A5010463,,,,,
1,代销及兑付国债手续费收入, A5010464,,,,,
2,其他国债手续费收入, A5010466,,,,,
79110,电子银行业务收入, A5010468,,,,,
1,网上银行工本费收入, A5010469,,,,,
2,电话银行工本费收入, A5010471,,,,,
3,网上银行年费收入, A5010473,,,,,
4,电话银行年费收入, A5010475,,,,,
5,网上银行交易手续费收入, A5010477,,,,,
6,电话银行交易手续费收入, A5010479,,,,,
7,手机银行年费收入, A5010663,,,,,
8,手机银行交易手续费收入, A5010665,,,,,
9,其他电子银行业务收入, A5010667,,,,,
79111,财务顾问业务收入, A5010481,,,,,
1,常年财务顾问收入, A5010482,,,,,
2,短期融资券财务顾问收入, A5010484,,,,,
3,境内企业境外上市财务顾问收入, A5010486,,,,,
4,企业债券财务顾问收入, A5010488,,,,,
5,资产证券化财务顾问收入, A5010490,,,,,
6,信托融资财务顾问收入, A5010492,,,,,
7,理财顾问收入, A5010494,,,,,
8,投融资顾问收入, A5010496,,,,,
9,其他专项财务顾问收入, A5010498,,,,,
79112,托管业务收入,A5010637,,,,,
1,  证券投资基金托管费收入,A5010638,,,,,
2,  养老金托管费收入,A5010640,,,,,
3,  保险资金托管费收入,A5010642,,,,,
4,  委托资产托管费收入,A5010644,,,,,
5,  合格境外机构投资者托管费收入,A5010646,,,,,
6,  合格境内机构投资者托管费收入,A5010648,,,,,
7,  其他资产托管费收入,A5010650,,,,,
79199,其他中间业务收入, A5010500,,,,,
1,承诺业务收入, A5010501,,,,,
2,银行承兑汇票承兑手续费收入, A5010503,,,,,
3,担保业务手续费收入, A5010505,,,,,
4,代保管业务收入, A5010507,,,,,
5,咨询业务收入, A5010509,,,,,
6,债券托管业务收入, A5010511,,,,,
7,转贷款业务收入, A5010513,,,,,
8,选择权费收入, A5010515,,,,,
9,提前还款违约金收入, A5010517,,,,,
10,个人活期存折小额账户收费收入, A5010519,,,,,
11,个人存款证明书手续费收入, A5010521,,,,,
12,其他中间业务收入, A5010523,,,,,
04,四、其他营业收入类, A5010525,,,,,
80101,外汇买卖收入, A5010527,,,,,
1,结售汇业务收入, A5010530,,,,,
2,外汇买卖业务收入, A5010528,,,,,
3,其他外汇买卖业务收入, A5010532,,,,,
4,外汇营运资金汇兑损益收入, A5010659,,,,,
80102,证券买卖资本利得, A5010534,,,,,
1,经营性国债买卖资本利得, A5010535,,,,,
2,其他经营性证券买卖资本利得, A5010537,,,,,
80103,贵金属买卖收入, A5010539,,,,,
1,贵金属买卖收入, A5010540,,,,,
2,实物黄金买卖收入, A5010661,,,,,
80104,自营金融衍生产品收入, A5010542,,,,,
1,远期合约业务收入, A5010543,,,,,
2,期权业务收入, A5010545,,,,,
3,互换业务收入, A5010547,,,,,
4,其他金融衍生业务收入, A5010549,,,,,
80105,租赁收入, A5010551,,,,,
1,固定资产租赁收入, A5010552,,,,,
2,其他资产租赁收入, A5010554,,,,,
80199,其他收入, A5010556,,,,,
1,其他收入, A5010557,,,,,
05,五、投资收益类, A5010559,,,,,
81101,短期投资收益, A5010561,,,,,
1,境内短期国债投资收益, A5010562,,,,,
2,境内短期金融债券投资收益, A5010564,,,,,
3,境内其他短期投资收益, A5010566,,,,,
4,外国政府短期债权投资收益, A5010568,,,,,
5,境外短期金融机构债权投资收益, A5010570,,,,,
6,境外短期非金融机构债权投资收益, A5010572,,,,,
7,美国国债短期债权投资收益, A5010574,,,,,
81102,自营债券利息收入, A5010652,,,,,
1,自营国债利息收入, A5010653,,,,,
2,其他自营证券利息收入, A5010656,,,,,
81201,长期投资收益, A5010577,,,,,
1,境内股权投资收益, A5010578,,,,,
2,境内长期国债投资收益, A5010580,,,,,
3,境内长期金融债券投资收益, A5010582,,,,,
4,境内其他长期投资收益, A5010584,,,,,
5,外国政府长期债权投资收益, A5010586,,,,,
6,境外长期金融机构债权投资收益, A5010588,,,,,
7,境外长期非金融机构债权投资收益, A5010590,,,,,
8,美国国债长期债权投资收益, A5010592,,,,,
06,六、营业外收入类, A5010594,,,,,
82101,资产处置收益, A5010596,,,,,
1,固定资产清理净收益, A5010597,,,,,
2,抵债资产保管和处置收益, A5010599,,,,,
3,2004年以前接收的抵债资产保管和处置收益, A5010601,,,,,
82102,固定资产盘盈, A5010604,,,,,
1,固定资产盘盈, A5010605,,,,,
82201,其他营业外收入, A5010608,,,,,
1,收回已核销呆账收入, A5010609,,,,,
2,罚款收入, A5010611,,,,,
3,存款不动户清理收入, A5010613,,,,,
4,其他收入, A5010615,,,,,
,,,,,,,
收入小计,,,,支出小计,,,
税前亏损,,,,税前利润,,,
净亏损,,,,净利润,,,
总计,,,,总计,,,
,FMIS本年利润(网点专用), F0000072,,,FMIS列支数与计提数差额, F0000058,
