RR_Definition,UI Section,UI Field Name,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experience_desc,Obligor,Relevant Experience,Strong regional,National.  Highest integrity.,Regional or strong local,National.  Highest integrity.,Regional or strong local,National.  Highest integrity.,National.  Highest integrity.,No experience ,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,No experience ,Regional or strong local,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Regional or strong local,Regional or strong local,Regional or strong local,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Regional or strong local,Local adequate,Regional or strong local,Local adequate,Local adequate,Local adequate,Weak or unproven,Weak or unproven,Regional or strong local,Local adequate,Local adequate,Regional or strong local,Regional or strong local,Regional or strong local,Strong regional,,,,Strong regional,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Local adequate,Strong regional,Local adequate,Local adequate,Local adequate,Weak or unproven,Strong regional,Weak or unproven,Local adequate,Local adequate,Weak or unproven,Local adequate,Local adequate,Local adequate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
financial_statement_date,Obligor,Fin. Statement Date,12/31/05,12/312005,9/30/06,12/312005,11/30/06,12/312005,9/30/06,12/15/06,10/31/06,1/30/07,12/17/06,1/19/07,2/13/07,2/12/07,1/10/07,1/22/07,10/31/06,1/1/07,1/18/07,12/4/06,2/23/07,2/28/07,1/20/07,1/26/07,12/31/06,8/1/06,3/9/07,2/2/07,12/2/06,2/12/07,1/26/07,2/7/07,1/28/07,1/23/07,2/6/07,1/19/07,10/13/06,12/12/06,2/7/07,2/6/07,1/9/07,2/10/07,2/11/07,2/20/07,12/2/06,2/6/07,2/23/07,2/19/07,1/27/07,2/7/07,1/22/07,1/30/07,12/18/06,2/1/07,2/21/07,2/1/07,3/5/07,1/23/07,2/14/07,2/5/07,12/31/06,2/5/07,1/3/07,1/20/07,12/21/06,2/22/07,3/1/07,2/17/07,1/25/07,12/31/06,,2/3/07,12/22/06,1/17/07,,2/9/07,,1/5/07,12/31/06,11/20/06,12/31/05,2/15/07,12/31/06,2/15/07,1/15/07,6/30/06,6/31/06,3/1/07,12/31/06,3/2/07,10/26/06,,12/31/05,12/31/05,12/31/05,12/31/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
financial_report_compliance,Obligor,Fin. Reporting Compliance and Quality,<= 8 quarters & Compiled Stmts,<= 8 quarters & Audited Stmts,<= 8 quarters & Compiled Stmts,<= 8 quarters & Audited Stmts,NA,<= 8 quarters & Audited Stmts,<= 8 quarters & Reviewed Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & Compiled Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & Compiled Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,NA,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & Audited Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,NA,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & Compiled Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & Reviewed Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & Compiled Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,<= 8 quarters & customer prepared Stmts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
financial_covenant_compliance,Obligor,Fin. Covenant Compliance,NA,<= 4 quarters,<= 4 quarters,<= 4 quarters,NA,> 8 quarters,> 8 quarters,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,> 8 quarters,NA,> 8 quarters,> 8 quarters,<= 8 quarters,NA,NA,<= 8 quarters,<= 4 quarters,<= 4 quarters,<= 4 quarters,<= 4 quarters,<= 4 quarters,<= 8 quarters,<= 8 quarters,<= 8 quarters,<= 8 quarters,<= 8 quarters,<= 8 quarters,<= 8 quarters,<= 8 quarters,<= 8 quarters,<= 8 quarters,<= 8 quarters,<= 8 quarters,<= 8 quarters,<= 8 quarters,<= 8 quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doc_tenure,Obligor,Documented Tenure,>=  2 yrs or verified relationship,>= 5 yrs,>=  2 yrs or verified relationship,>= 5 yrs,>=  2 yrs or verified relationship,>=  2 yrs or verified relationship,>=  2 yrs or verified relationship,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,>= 2 yrs or verified relationship,No verified relationship,No verified relationship,No verified relationship,No verified relationship,No verified relationship,No verified relationship,No verified relationship,No verified relationship,No verified relationship,No verified relationship,>= 5 yrs,>= 2 yrs or verified relationship,>= 2 yrs or verified relationship,>= 2 yrs or verified relationship,No verified relationship,>= 2 yrs or verified relationship,No verified relationship,No verified relationship,NA,>=  2 yrs or verified relationship,No verified relationship,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>= 7 yrs,NA,NA,>= 5 yrs,>=  2 yrs or verified relationship,>= 7 yrs,>= 10 yrs,>= 10 yrs,NA,>=  2 yrs or verified relationship,>=  2 yrs or verified relationship,>=  2 yrs or verified relationship,No verified relationship,>=  2 yrs or verified relationship,>= 7 yrs,No verified relationship,,>=  2 yrs or verified relationship,>= 10 yrs,>=  2 yrs or verified relationship,No verified relationship,No verified relationship,,No verified relationship,>= 5 yrs,No verified relationship,No verified relationship,>=  2 yrs or verified relationship,>=  2 yrs or verified relationship,>= 5 yrs,>=  2 yrs or verified relationship,>=  2 yrs or verified relationship,>=  2 yrs or verified relationship,>=  2 yrs or verified relationship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_flow_history,Obligor,Cash Flow History,Positive <= 2 yrs,Positive <= 5 yrs,Positive <= 1 yr,Positive <= 5 yrs,Positive <= 1 yr,Positive <= 5 yrs,Positive <= 5 yrs,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,Positive <= 3 yrs,Positive <= 2 yrs,Positive <= 1 yr,Positive <= 3 yrs,Positive <= 3 yrs,Positive <= 1 yr,Positive <= 3 yrs,Positive <= 1 yr,NA,Positive <= 1 yr,Positive <= 2 yrs,Positive <= 3 yrs,Positive <= 2 yrs,Positive <= 3 yrs,Positive <= 2 yrs,Positive <= 1 yr,Positive <= 2 yrs,Positive <= 1 yr,Positive <= 3 yrs,Positive <= 1 yr,Positive <= 2 yrs,Positive <= 5 yrs,Positive <= 3 yrs,Positive <= 1 yr,Positive <= 2 yrs,Positive <= 1 yr,Positive <= 3 yrs,Positive <= 3 yrs,Positive <= 2 yrs,NA,Positive <= 2 yrs,Positive <= 2 yrs,Positive <= 3 yrs,Positive <= 3 yrs,Positive <= 2 yrs,Positive <= 3 yrs,Positive <= 2 yrs,Positive <= 2 yrs,NA,NA,Positive <= 2 yrs,NA,Positive <= 2 yrs,Positive <= 2 yrs,Positive <= 2 yrs,Positive <= 2 yrs,,Positive <= 2 yrs,Positive <= 2 yrs,,Positive <= 2 yrs,Positive <= 2 yrs,Positive <= 2 yrs,Positive <= 2 yrs,NA,Positive <= 2 yrs,Positive <= 3 yrs,Positive <= 3 yrs,Positive <= 2 yrs,Positive <= 3 yrs,Positive <= 3 yrs,Positive <= 2 yrs,Positive <= 2 yrs,Positive <= 3 yrs,Positive <= 3 yrs,Positive <= 3 yrs,Positive <= 3 yrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
external_credit_score,Obligor,FICO on Principal,,,,,647,,,704,718,714,690,804,677,715,816,694,702,746,748,799,783,763,728,777,611,792,757,720,762,801,776,765,768,693,783,714,675,691,801,753,748,738,783,740,784,749,712,744,647,787,603,649,665,716,766,753,661,704,720,733,588,666,710,738,709,798,719,776,680,804,705,803,687,770,691,759,732,659,662,720,730,781,697,784,784,,,715,638,686,691,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_assets,Obligor,Total Assets,109478626 ,1203106000 ,16444714 ,1203106000 ,155300000 ,1900000000 ,736700000 ,"10,000","9,124,008","1,270,000",0,"3,581,011","9,763,026","2,754,584",0,"10,000,000","3,737,535","10,740,139",4722350,1000000,2171000,8200000,3075000,,11057400,6639000,3032697,31400,1380000," 12,126,000 "," 11,087,500 "," 4,885,628 "," 1,877,923 "," 2,109,197 "," 4,828,000 "," 1,650,000 "," 9,487,625 ", -   , -   ," 3,784,848 "," 11,475,000 "," 1,588,300 "," 7,442,700 "," 7,407,500 "," 2,950,000 "," 2,000,000 "," 4,267,500 "," 8,150,000 ","21,908,000","1,000,000","2,855,000","2,519,066",,"940,000","9,495,000","2,800,000",0,"15,020,000","5,027,650",4350000,352045117,1429000,2430000,5715000,0,"36,946,000","460,000","6,230,000","1,300,000","9,174,573","19,259,200","5,480,000","9,905,164","6,085,000","1,157,100","2,353,297",40749698,760000,620000,62898595,0,3160000,6580628,2215000,2655000,5809751,1295430,0,2445000,7873000,8582000,0,"906,000,000","1,555,000,000","6,195,000,000","9,176,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_debt,Obligor,Total Debt,55210038 ,890449000 ,153856347 ,890449000 ,67700000 ,1250000000 ,435400000 ,0,"5,428,907","651,248",0,"744,774","2,439,000","711,827",0,"1,370,141","735,148","6,228,340",3040000,0,930000,4515900,1200000,,2165000,1760476,39062,15295504,400000," 2,769,000 "," 2,675,000 "," 1,814,647 "," 1,135,205 ", -   ," 2,150,000 "," 435,000 "," 2,670,801 ", -   , -   ," 1,112,500 "," 538,000 "," 775,000 "," 3,759,000 "," 2,884,386 "," 712,000 "," 1,400,000 "," 1,640,500 "," 1,500,000 ","11,546,000","400,000","884,000","608,453",,"240,000","2,772,000","753,000",0,"4,637,500","2,186,412",2017500,218380655,801500,235000,502000,0,"11,088,000","345,000","4,008,443",0,"612,897","6,641,000","2,097,549","2,227,333","2,310,677","515,445",0,24989041,314000,217000,27313139,0,"1,495,451",2353631,760000,450000,80055,493618,0,620000,4018190,1195000,0,"1,170,000,000","1,527,000,000","4,252,000,000","1,853,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_net_worth,Obligor,Total Net Worth,47222861 ,222971000 ,16292562 ,222971000 ,7000000 ,324000000 ,298300000 ,"10,000","3,695,101","618,752",0,"2,836,237","7,324,026","2,042,757",0,"8,629,859","3,002,387","4,511,799","1,682,350","1,000,000","1,241,000","3,684,100","1,875,000",,"8,892,400","4,878,524","2,993,635","10,477,336","980,000","9,357,000","8,412,500","3,070,981","742,718","2,109,197","2,678,000","1,215,000","6,816,824",0,0,"2,672,348","10,937,000","813,300","3,683,700","4,523,114","2,238,000","600,000","2,627,000","6,650,000","10,362,000","600,000","1,971,000","1,910,613",,"240,000","6,728,000","2,047,000",0,"10,382,500","2,841,238","2,332,500","133,664,462","627,500",1665000,5211000,0,"25,858,000","115,000","2,224,500","1,300,000","8,561,676","12,618,200","3,382,451","7,677,831","3,774,323","641,655","2,353,297","15,760,657","446,000","403,000","35,585,456",0,"1,664,550","4,226,997","1,455,000","2,205,000","5,729,696","801,812",0,"1,825,000","37,874,810","7,387,000",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minority_interest,Obligor,Minority Interest,7045727 ,89596000 ,,89596000 ,80600000 ,328900000 ,3000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debt_to_net_worth,Obligor,Leverage: Debt / Net Worth,1.17,3.99,9.44,3.99,9.67,3.86,1.46,0.00,1.47,1.05,0.00,0.26,0.33,0.35,0.00,0.16,0.24,1.38,1.81,0.00,0.75,1.23,0.64,0.00,0.24,0.36,0.01,1.46,0.41,0.30,0.32,0.59,1.53,0.00,0.80,0.36,0.39,0.00,0.00,0.42,0.05,0.95,1.02,0.64,0.32,2.33,0.62,0.23,1.11,0.67,0.45,0.32,0.00,1.00,0.41,0.37,0.00,0.45,0.77,0.86,1.63,1.28,0.14,0.10,0.00,0.43,3.00,1.80,0.00,0.07,0.53,0.62,0.29,0.61,0.80,0.00,1.59,0.70,0.54,0.77,0.00,0.90,0.56,0.52,0.20,0.01,0.62,0.00,0.34,0.11,0.16,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
