,REFDATE (Inc/Paid),LAG0,LAG1,LAG2,LAG3,LAG4,LAG5,LAG6,LAG7,LAG8,LAG9,LAG10,LAG11,LAG12,LAG13,LAG14,LAG15,LAG16,LAG17,LAG18,LAG19,LAG20,LAG21,LAG22,LAG23,LAG24,LAG25,LAG26,LAG27,LAG28,LAG29,LAG30,LAG31,LAG32,LAG33,LAG34,LAG35,
,2/1/00,8561,60370,167781,11758,26014,2620,22338,-1676,677,280,799,6427,11304,519,19,0,97,9,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNP
,3/1/00,24902,72373,149464,8997,19057,2477,22318,-1662,677,779,195,16998,678,538,0,84,13,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNR
,4/1/00,5744,88812,73915,6913,10480,-259,5261,430,116,1600,112,166,152,0,282,75,0,0,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNP
,5/1/00,33042,115076,22022,7991,8209,-471,4997,430,116,1712,166,0,152,0,282,75,0,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNR
,6/1/00,9146,126060,101785,23437,14176,11759,7297,472,32,239,124,0,7,460,176,128,10,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNP
,7/1/00,95821,139851,32541,7864,8316,2179,7260,300,32,239,124,211,-204,460,176,128,10,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNR
,8/1/00,9415,48503,127444,9062,2904,14411,14223,-3390,662,6212,33,0,0,90,0,0,230,0,0,0,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNP
,9/1/00,31473,178666,9928,-5630,1840,934,13701,-3004,306,1265,0,0,0,90,0,0,230,0,0,0,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNR
,10/1/00,4419,34068,91527,34631,9161,5596,4375,412,1128,1357,291,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNP
,11/1/00,31361,76026,56350,6484,7803,5412,341,1097,517,1343,231,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNR
,12/1/00,1804,66303,37667,17053,2170,13856,1103,1737,266,115,231,271,2907,0,0,0,130,0,0,0,0,0,0,96,0,329,0,0,0,0,0,0,0,0,0,0,IBNP
,1/1/01,19993,59964,35539,9556,13627,342,1024,1821,208,533,148,392,2336,0,0,40,90,0,0,0,0,0,96,0,0,329,0,0,0,0,0,0,0,0,0,0,IBNR
,2/1/01,240,15910,39608,6673,2288,4935,3876,239,985,304,5839,52,101,1201,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNP
,3/1/01,9046,43493,7571,5995,3715,3670,279,596,578,932,5022,119,251,1037,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNR
,4/1/01,753,13772,13968,12573,2779,5650,674,1530,322,0,92,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNP
,5/1/01,12673,20961,6855,5064,3297,1391,1458,126,196,0,92,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNR
,6/1/01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNP
,7/1/01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
