BLOCK CLAIM LIABILITY REPORT - Linear Lag,,,,,,,,,,
The Millennium-2000 Sample Life Insurance Company,,,,,,,,,,
Arvind,,,,,,,,,,
Experience Period:  01-Aug-1998  to  31-Jul-2001.  Runout Date:  31-Jul-2001,,,,,,,,,,
,,,,,,,,,,
,LINEAR LAG SUMMARY BY INCURRED MONTH,,,,,,LINEAR LAG SUMMARY BY REPORTED MONTH,,,
Nov-2000," 186,976 "," 5,757,936 "," 183,309 "," 5,428,836 ",,Nov-2000," 111,845 "," 5,340,093 "," 202,345 "," 4,933,772 "
Dec-2000," 146,038 "," 5,903,974 "," 83,695 "," 5,512,531 ",,Dec-2000," 178,569 "," 5,518,662 "," 216,483 "," 5,150,255 "
Jan-2001," 146,038 "," 6,050,012 "," 83,695 "," 5,596,226 ",,Jan-2001," 209,740 "," 5,728,402 "," 166,798 "," 5,317,053 "
Feb-2001," 82,703 "," 6,132,715 "," 140,421 "," 5,736,647 ",,Feb-2001," 159,131 "," 5,887,533 "," 136,721 "," 5,453,774 "
Mar-2001," 82,703 "," 6,215,418 "," 140,421 "," 5,877,068 ",,Mar-2001," 103,237 "," 5,990,770 "," 78,419 "," 5,532,193 "
Apr-2001," 52,143 "," 6,267,561 "," 122,179 "," 5,999,247 ",,Apr-2001," 104,668 "," 6,095,438 "," 114,270 "," 5,646,463 "
May-2001," 52,143 "," 6,319,704 "," 122,179 "," 6,121,426 ",,May-2001," 75,719 "," 6,171,157 "," 141,251 "," 5,787,714 "
Jun-2001, -   ," 6,319,704 ", -   ," 6,121,426 ",,Jun-2001," 48,861 "," 6,220,018 "," 175,077 "," 5,962,791 "
Jul-2001, -   ," 6,319,704 ", -   ," 6,121,426 ",,Jul-2001," 33,348 "," 6,253,366 "," 58,092 "," 6,020,883 "
,  ,  ,  ,  ,,,  ,  ,  ,  
,  ,  ,  ,  ,,,  ,  ,  ,  
,  ,  ,  ,  ,,,  ,  ,  ,  
,  ,  ,  ,  ,,,  ,  ,  ,  
,  ,  ,  ,  ,,,  ,  ,  ,  
,  ,  ,  ,  ,,,  ,  ,  ,  
,  ,  ,  ,  ,,,  ,  ,  ,  
,  ,  ,  ,  ,,,  ,  ,  ,  
,  ,  ,  ,  ,,,  ,  ,  ,  
,  ,  ,  ,  ,,,  ,  ,  ,  
,  ,  ,  ,  ,,,  ,  ,  ,  
,  ,  ,  ,  ,,,  ,  ,  ,  
,  ,  ,  ,  ,,,  ,  ,  ,  
," 6,319,704 ",," 6,121,426 ",,,," 6,253,366 ",," 6,020,883 ",
