,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA SECTION,INTEGRAL,DOUBLE,BLANK,STRING,REF,AREA (rows),,,,AREA (cols),,,,,AREA (AREA),,,,FINANCE DATA,,,,,,,ERRORS,,,,,,,,,,,IRR/NPV,MIRR,,,,,Percentile,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DivideEval,FORMULA,0,-1,99999999999,#VALUE!,#VALUE!,#DIV/0!,0,#VALUE!,#VALUE!,2.99999,0.909090909,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,0,-1,99999999999,#VALUE!,#VALUE!,#DIV/0!,0,#VALUE!,#VALUE!,2.99999,0.909090909,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EqualEval,FORMULA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GreaterEqualEval,FORMULA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GreaterThanEval,FORMULA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,#VALUE!,#VALUE!,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,#VALUE!,#VALUE!,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IntersectionEval,FORMULA,5.6789,2.999,nospaces,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,5.6789,2.999,nospaces,#NULL!,#NULL!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LessEqualEval,FORMULA,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LessThanEval,FORMULA,TRUE,FALSE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,TRUE,FALSE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MultiplyEval,FORMULA,0,#VALUE!,0.06599967,1601.99466,0,#VALUE!,-4,#VALUE!,-4,#VALUE!,1,34,0,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,0,#VALUE!,0.06599967,1601.99466,0,#VALUE!,-4,#VALUE!,-4,#VALUE!,1,34,0,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NotEqualEval,FORMULA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,#VALUE!,#VALUE!,FALSE,#VALUE!,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PercentEval,FORMULA,0.5,2.5,0.01,0.0299999,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,0.5,2.5,0.01,0.0299999,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PowerEval,FORMULA,32,1,1,#NUM!,1,0,2.143546925,1.00002,3.50685E-06,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,32,1,1,#NUM!,1,0,2.143546925,1.00002,3.50685E-06,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RangeEval,FORMULA,RangeEval,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,RangeEval,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SubtractEval,FORMULA,532.9,0,2.2,0,-1.1,#VALUE!,1,#VALUE!,-1,#VALUE!,-344.99999,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,532.9,0,2.2,0,-1.1,#VALUE!,1,#VALUE!,-1,#VALUE!,-344.99999,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UnaryMinusEval,FORMULA,-2,9999999999,-1,#VALUE!,0,#VALUE!,#VALUE!,-0.00001,#VALUE!,#VALUE!,-4,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,-2,9999999999,-1,#VALUE!,0,#VALUE!,#VALUE!,-0.00001,#VALUE!,#VALUE!,-4,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UnaryPlusEval,FORMULA,2,-2.99999,0,2.3456,2.3456,454,#VALUE!,0,,col,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,2,-2.99999,0,2.3456,2.3456,454,#VALUE!,0,,col,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<END-OF-FUNCTIONS>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Excel functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abs,FORMULA,0,9999999999,2.99999,0,#VALUE!,1,0.00001,2.99999,#VALUE!,#VALUE!,345,345,#VALUE!,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,0,9999999999,2.99999,0,#VALUE!,1,0.00001,2.99999,#VALUE!,#VALUE!,345,345,#VALUE!,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Absref,FORMULA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acos,FORMULA,1.570796327,#NUM!,1.570796327,0,1.570796327,1.570806327,1.570796327,#VALUE!,0,#NUM!,1.570796327,1.570796327,#VALUE!,1.047197551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,1.570796327,#NUM!,1.570796327,0,1.570796327,1.570806327,1.570796327,#VALUE!,0,#NUM!,1.570796327,1.570796327,#VALUE!,1.047197551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acosh,FORMULA,1.316957897,#NUM!,#NUM!,0,#VALUE!,#NUM!,#NUM!,#NUM!,#NUM!,1.762747174,1.167638751,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,1.316957897,#NUM!,#NUM!,0,#VALUE!,#NUM!,#NUM!,#NUM!,#NUM!,1.762747174,1.167638751,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activecell,FORMULA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Addbar,FORMULA,WILL_NEVER_IMPLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,WILL_NEVER_IMPLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Addcommand,FORMULA,WILL_NEVER_IMPLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,WILL_NEVER_IMPLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Addmenu,FORMULA,WILL_NEVER_IMPLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,WILL_NEVER_IMPLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Address,FORMULA,$C$2,C$2,[Book1]Sheet1!$C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,$C$2,C$2,'[Book1]Sheet1'!$C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Addtoolbar,FORMULA,WILL_NEVER_IMPLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,WILL_NEVER_IMPLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,And,FORMULA,FALSE,TRUE,#VALUE!,FALSE,TRUE,#VALUE!,#VALUE!,#VALUE!,TRUE,FALSE,TRUE,FALSE,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,FALSE,TRUE,#VALUE!,FALSE,TRUE,#VALUE!,#VALUE!,#VALUE!,TRUE,FALSE,TRUE,FALSE,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apptitle,FORMULA,WILL_NEVER_IMPLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,WILL_NEVER_IMPLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Areas,FORMULA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argument,FORMULA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asc,FORMULA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asin,FORMULA,0,1E-05,#NUM!,#NUM!,0,1.570796327,0,#VALUE!,1.570796327,0,#VALUE!,0,1.570796327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,0,1E-05,#NUM!,#NUM!,0,1.570796327,0,#VALUE!,1.570796327,0,#VALUE!,0,1.570796327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asinh,FORMULA,0,0.881373587,23.71899811,-6.973543896,0.881373587,0,#VALUE!,#VALUE!,0.881373587,#VALUE!,0,0.794957769,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,0,0.881373587,23.71899811,-6.973543896,0.881373587,0,#VALUE!,#VALUE!,0.881373587,#VALUE!,0,0.794957769,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Atan,FORMULA,0,1.56892367,0.785398163,0,#VALUE!,0.785398163,0.785398163,#VALUE!,1E-05,#VALUE!,0,0,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,0,1.56892367,0.785398163,0,#VALUE!,0.785398163,0.785398163,#VALUE!,1E-05,#VALUE!,0,0,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Atan2,FORMULA,#DIV/0!,1.570796327,3.141592653,2.35619449,#VALUE!,0.01495263,0.000668779,#VALUE!,#VALUE!,0.785398163,0,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,#DIV/0!,1.570796327,3.141592653,2.35619449,#VALUE!,0.01495263,0.000668779,#VALUE!,#VALUE!,0.785398163,0,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Atanh,FORMULA,0,#NUM!,#NUM!,#NUM!,0,#VALUE!,#VALUE!,#NUM!,0,0,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,0,#NUM!,#NUM!,#NUM!,0,#VALUE!,#VALUE!,#NUM!,0,0,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avedev,FORMULA,1.333328889,0.488886667,#NUM!,#NUM!,0.8239944,0.8239944,2187499999,1.079692,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,1.333328889,0.488886667,#NUM!,#NUM!,0.8239944,0.8239944,2187499999,1.079692,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average,FORMULA,-4.08936E-09,#DIV/0!,#DIV/0!,1.333333333,0.5005,1250000002,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,-4.08936E-09,#DIV/0!,#DIV/0!,1.333333333,0.5005,1250000002,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Averagea,FORMULA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Betadist,FORMULA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Betainv,FORMULA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Binomdist,FORMULA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bin2Dec,FORMULA,100,-1,63,341,#NUM!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,100,-1,63,341,#NUM!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Call,FORMULA,WILL_NEVER_IMPLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EXPECTED VALUE,WILL_NEVER_IMPLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
