FILTRONIC COMTEK LTD P.C.B PARTS LIST,,,,,,,,
TYPE CODE:       CA894,,,, COMPILED BY: ,A.HARBOTTLE,,(Stamp),
11,2,CAP-1.5pF-1206-+/-0.1pF-50V-COG,568-0229,"C47, C65",SYFER,1206J0501P50BCT,AVX,12065A1R5BAT4A
12,1,CAP-1nF-0805-5%-50V-COG,568-0024,C58,KYOCERA,08055A102JAT2A,PHILIPS,0805CG102J9B***
13,2,CAP-8.2pF-0603-5%-50V-COG,568-0203,C59-60,KYOCERA,06035A8R2JAT2A,PHILIPS,0603CG8R2J9B***
14,5,CAP-1.8pF-0805-+/-0.1pF-50V-COG,568-0227,"C61, C64, C79-81",SYFER,0805J0501P80BCT,AVX,08055A1R8BAT4A
15,7,CAP-10uF-CASEC-20%-35V-TANT,568-0217,"C71-74, C111-112, C168",AVX,TAJC106M035X,NEC,NRC106M35
16,5,CAP-4.7uF-CASEC-20%-25V-TANT,568-0060,"C77, C118, C133-134, C145",AVX,TAJC475M025,NEC,NRC475M25
17,3,CAP-10pF-0805-+/-5%-50V(MIN)-LOW_ESR,568-0179,"C78, C86, C93",TEKELEC,201R15L100JVE,,
18,2,CAP-8.2pF-0805-+/-0.25pF-50V(MIN)-LOW_ESR,568-0204,C87-88,TEKELEC,501R15L8R2CVE,JOHANSN,501R15C8R2CVE
19,4,CAP-3.3pF-0805-+/-0.1pF-50V(MIN)-LOW_ESR,568-0046,"C94, C97, C106-107",TEKELEC,501R15L3R3BVE,JOHANSN,201R15C3R3BVE
20,1,CAP-100pF-0805-5%-50V-COG,568-0012,C113,KYOCERA,08055A101JAT2A,PHILIPS,0805CG101J9B***
21,3,CAP-100pF-0603-5%-50V-COG,568-0146,"C127, C130, C143",KYOCERA,06035A101JAT2A,PHILIPS,0603CG101J9B***
22,2,CAP-1nF-0603-10%-50V-X7R,568-0194,"C128, C131",AVX,06035C102KATDA,PHILIPS,06032R102K9B
23,1,CAP-10uF-CASEC-10%-25V-TANT,568-0185,C142,AVX,TAJC106K025X,NEC,NRC106M25
24,1,CAP-3.3pF-0603-5%-50V-COG,568-0195,C169,AVX,105CG3R3J50A,PHILIPS,0603CG3R3J9B
25,3,DIODE-PIN-HSMP481B-SOT323,564-0000,D1-3,HP,HSMP481B,,
26,7,DIODE-BAS16-SOT23,564-0005,"D5-9, D21-22",SMD,BAS16,PHILIPS,BAS16
27,10,DIODE-PIN-BAR63-02V-SC79,564-0042,D11-20,INFINEON,BAR63-02V,,
28,8,DIODE-DUALSERIAL-BAV99-SOT23,564-0003,D23-30,PHILIPS,BAV99,M'ROLA,BAV99LT1
29,15,IND-22nH-1206-5%-Q_MIN=30,567-0002,"L1, L4-6, L13-16, L21, L26-31",C'CRAFT,1206CS-220XJBC,,
30,4,IND-AIRCORE-7.15nH-1606-2%-Q_MIN=100,567-0037,"L2-3, L9-10",C'CRAFT,1606-7G,,
31,1,IND-10nH-1206-5%-Q_MIN=30,567-0052,L7,C'CRAFT,1206CS-100XJBC,,
32,2,IND-AIRCORE-1.65nH-0906-5%-QMIN=100,567-0028,L17-18,C'CRAFT,0906-2J,,
33,2,IND-15nH-0805-5%-Q_MIN=30,567-0049,"L20, L32",C'CRAFT,0805CS-150XJBC,,
34,2,TRANS-RFPHEMT-ATF34143-SOT343,565-0012,Q1-2,HP,ATF34143,,
35,2,TRANS-LP750-1-SOT89,565-0053,Q3-4,FSS,FSS: LP750-SOT89,,
36,2,TRANS-PNP-MJD32C-DPAK,565-0057,"Q5, Q19",F'CHILD,MJD32C,,
37,4,TRANS-PNP-BCX51-SOT89,565-0046,"Q6, Q8, Q28-29",PHILIPS,BCX51,F'CHILD,KSB789
38,2,TRANS-DUAL_DIGITAL-UMH10NTN-SOT363,565-0049,"Q7, Q12",ROHM,UMH10NTN,ON-SEMI,MUN5235DW1T1
39,1,TRANS-BJTPNP-BCW70-SOT23,565-0003,Q9,PHILIPS,BCW70,M'ROLA,BCW70
40,1,TRANS-FETSWITCH-FDN338P-SOT23,565-0013,Q10,F'CHILD,FDN338P,,
41,7,TRANS-DUAL_DIGITAL-UMT1N-SOT363,565-0056,"Q11, Q22, Q30-34",ROHM,UMT1N,PHILIPS,PUMT1
42,2,TRANS-LP1500-1-BLUE-SOT89,565-0022,Q13-14,FIL0104,FSS: LP1500-SOT89-1,,
43,2,TRANS-NPN-BCW71-SOT23,565-0007,"Q20, Q26",PHILIPS,BCW71,M'ROLA,BCW71
44,1,TRANS-NPN-MJF18004-TO220,565-0045,Q23,M'ROLA,MJF18004,,
45,6,RESIST-100ohm-0805-1%-0.1W,569-0043,"R1, R12, R17, R19, R21, R25",ROHM,MCR10EZHF101,KYOCERA,CR21-101F-T
46,2,RESIST-120ohm-0603-1%-0.063W,569-0192,R2-3,ROHM,MCR03EZPF121,KYOCERA,CR10-121F-T
47,2,RESIST-20ohm-0603-1%-0.063W,569-0175,R4-5,ROHM,MCR03EZPF200,KYOCERA,CR10-200F-T
48,8,RESIST-1Kohm-0603-1%-0.063W,569-0212,"R6-7, R11, R15, R18, R34, R39, R48",ROHM,MCR03EZPF102,KYOCERA,CR10-102F-T
49,5,RESIST-220Kohm-0603-1%-0.063W,569-0260,"R8-9, R104-106",ROHM,MCR03EZPF224,KYOCERA,CR10-224F-T
50,2,RESIST-6R2-1206-5%-0.25W,569-0313,"R10, R16",ROHM,MCR18EZHJ6R2,KYOCERA,CR32-6R2J-T
51,24,RESIST-10Kohm-0603-1%-0.063W,569-0233,"R13-14, R20, R22, R27, R29-30, R32, R36-38, R41, R43-44, R46, R51-54, R63, R87, R95, R103, R121",ROHM,MCR03EZPF103,KYOCERA,CR10-103F-T
52,2,RESIST-100ohm-0603-1%-0.063W,569-0191,R23-24,ROHM,MCR03EZPF101,KYOCERA,CR10-101F-T
53,2,RESIST-4R7-1206-5%-0.25W,569-0310,"R26, R33",ROHM,MCR18EZHJ4R7,KYOCERA,CR32-4R7J-T
54,2,RESIST-4.3Kohm-0603-1%-0.063W,569-0224,"R28, R31",ROHM,MCR03EZPF432,KYOCERA,CR10-432F-T
55,1,RESIST-2.4Kohm-0603-1%-0.063W,569-0459,R35,ROHM,MCR03EZPF242,KYOCERA,CR10-242F-T
56,2,RESIST-18ohm-0805-1%-0.1W,569-0026,"R40, R47",ROHM,MCR10EZHF180,KYOCERA,CR21-180F-T
57,2,RESIST-3.3Kohm-0603-1%-0.063W,569-0221,"R42, R45",ROHM,MCR03EZPF332,KYOCERA,CR10-332F-T
58,1,RESIST-3.0Kohm-0603-1%-0.063W,569-0220,R49,ROHM,MCR03EZPF302,KYOCERA,CR10-302F-T
59,2,RESIST-12Kohm-0603-1%-0.063W,569-0234,"R50, R67",ROHM,MCR03EZPF123,KYOCERA,CR10-123F-T
60,1,RESIST-000-0805-CJ-0.1W,569-0000,R55,ROHM,MCR10EZH*000,KYOCERA,CJ21-000
61,4,RESIST-10Kohm-0805-1%-0.1W,569-0085,"R57, R75, R79, R128",ROHM,MCR10EZHF103,KYOCERA,CR21-103F-T
62,2,RESIST-51ohm-0603-1%-0.063W,569-0184,"R58, R60",ROHM,MCR03EZPF510,KYOCERA,CR10-510F-T
63,3,RESIST-2.2Kohm-0603-1%-0.063W,569-0218,"R59, R61-62",ROHM,MCR03EZPF222,KYOCERA,CR10-222F-T
64,4,RESIST-1Mohm-0603-1%-0.063W,569-0275,"R65-66, R71-72",ROHM,MCR03EZPF105,KYOCERA,CR10-105F-T
65,6,RESIST-000-0603-CJ-0.063W,569-0148,"R68, R73, R78, R84, R89, R93",ROHM,MCR03EZP*000,KYOCERA,CJ10-000
66,1,RESIST-150Kohm-0603-1%-0.063W,569-0257,R69,ROHM,MCR03EZPF154,KYOCERA,CR10-154F-T
67,2,RESIST-100Kohm-0603-1%-0.063W,569-0254,"R70, R117",ROHM,MCR03EZPF104,KYOCERA,CR10-104F-T
68,4,RESIST-NETWORK-10K-5%-ARV241,569-0623,"R74, R108, R136-137",ROHM,MNR14EOABJ103,PHILIPS,2350-035-10103
69,1,RESIST-5.1Kohm-0603-1%-0.063W,569-0226,R81,ROHM,MCR03EZPF512,KYOCERA,CR10-512F-T
70,1,RESIST-510Kohm-0603-1%-0.063W,569-0268,R86,ROHM,MCR03EZPF514,KYOCERA,CR10-514F-T
71,3,RESIST-1R5-1206-1%,569-0723,R90-92,PHILIPS,2322 724 6158,,
72,1,RESIST-39Kohm-0603-1%-0.063W,569-0244,R96,ROHM,MCR03EZPF393,KYOCERA,CR10-393F-T
73,1,RESIST-1.5Kohm-0603-1%-0.063W,569-0215,R100,ROHM,MCR03EZHF152,KYOCERA,CR10-152F-T
74,2,RESIST-10ohm-0603-1%-0.063W,569-0170,"R101, R122",ROHM,MCR03EZPF100,KYOCERA,CR10-100F-T
75,1,RESIST-4.7Kohm-0603-1%-0.063W,569-0225,R102,ROHM,MCR03EZPF472,KYOCERA,CR10-472F-T
76,2,RESIST-100ohm-1206-1%-0.25W,569-0339,"R107, R110",ROHM,MCR18EZHF101,KYOCERA,CR32-101F-T
77,2,RESIST-150R-2512-5%-1W,569-0747,"R109, R114",ROHM,MCR100JZHJ151,,
78,1,RESIST-62Kohm-0603-1%-0.063W,569-0249,R111,ROHM,MCR03EZPF623,KYOCERA,CR10-623F-T
79,2,RESIST-3R3-1206-5%-0.25W,569-0306,R112-113,ROHM,MCR18EZHJ3R3,KYOCERA,CR32-3R3J-T
80,1,RESIST-82Kohm-0603-1%-0.063W,569-0252,R116,ROHM,MCR03EZPF823,KYOCERA,CR10-823F-T
81,1,RESIST-22Kohm-0603-1%-0.063W,569-0239,R118,ROHM,MCR03EZPF223,KYOCERA,CR10-223F-T
82,1,RESIST-0.047ohm-1206-1%-0.25W,569-0542,R119,MEGGIT,TL2BR047F,,
83,2,RESIST-33ohm-0603-1%-0.063W,569-0179,"R120, R123",ROHM,MCR03EZPF330,KYOCERA,CR10-330F-T
84,2,RESIST-30ohm-0603-1%-0.063W,569-0178,R124-125,ROHM,MCR03EZPF300,KYOCERA,CR10-300F-T
85,1,RESIST-27Kohm-0603-1%-0.063W,569-0240,R126,ROHM,MCR03EZPF273,KYOCERA,CR10-273F-T
86,1,RESIST-22Kohm-0805-1%-0.1W,569-0091,R127,ROHM,MCR10EZHF223,KYOCERA,CR21-223F-T
87,1,RESIST-100Kohm-0805-1%-0.1W,569-0106,R129,ROHM,MCR10EZHF104,KYOCERA,CR21-104F-T
88,1,RESIST-12ohm-1206-1%-0.25W,569-0319,R133,ROHM,MCR18EZHF120,KYOCERA,CR32-120F-T
89,2,RESIST-430ohm-0805-1%-0.1W,569-0055,R134-135,ROHM,MCR10EZHF431,KYOCERA,CR21-431F-T
90,1,IC-CURRENT_SENSOR-MAX4372HEUK-SOT23-5,560-0093,U1,MAXIM,MAX4372HEUK-T,,
91,1,IC-OPAMPQUAD-LM2902D-SO14,560-0005,U3,TEXAS,LM2902D,M'ROLA,LM2902D
92,1,IC-I2C-TEMP_SENSOR-MAX6626PMUT-SOT23-6,560-0091,U4,MAXIM,MAX6626PMUT,,
93,1,IC-EEPROM-X24C02S8-S08NB,560-0007,U5,XICOR,X24C02,,
94,2,IC-INVERTOR-ICL7660AiBA-SO8,560-0015,"U6, U8",HARRIS,ICL7660AiBA,MAXIM,ICL7660ESA
95,1,VOLTREG-LM2941S-TO263-5,563-0005,U7,NSC,LM2941S,,
96,1,VOLTREG-MC7805ACD2T-D2PAK,563-0020,U10,M'ROLA,MC7805ACD2T,,
97,1,IC-LM2903-S08NB,560-0040,U11,M'ROLA,LM2903D,,
98,4,IC-OPAMP-LM2904M-SO8NB,560-0001,"U13-14, U16-17",NSC,LM2904M,M'ROLA,LM2904D
99,1,IC-MICROCONTROLLER-PIC16F74-IL,560-0100,U15,M'CHIP,PIC16F74-IL,,
100,1,MISC-CRYSTAL-16MHz-HC49/4HSMX,566-0080,X1,C-MAC,A161G,,
101,1,MISC-CA894-PROGRAM-(FOR 560-0100),566-0090,Y1,,,,
102,1,"IF U4 CANNOT BE SOURCED , THEN OMIT U4 AND FIT YU12 IN POSITION U12",Note1,Y2,,,,
103,1,"IF D11-20 CANNOT BE SOURCED , THEN FIT DIODES OF TYPE YD11 IN POSITIONS D11-20",Note2,Y3,,,,
104,1,"IF Q23 CANNOT BE SOURCED , THEN OMIT Q23 AND FIT YQ23 IN POSITION Q23",Note3,Y4,,,,
105,1,"IF U4 OR YU12 CANNOT BE SOURCED , THEN OMIT U4 AND FIT YU18 IN POSITION U18",Note4,Y5,,,,
106,1,DIODE-PIN-BAR63-02W-SC-79,564-0064 note2,YD11,INFINEON,BAR63-02W,,
107,1,TRANS-NPN-MJF15030-T0220,565-0060 note3,YQ23,MOTOROLA,MJF15030,ON-SEMI,MJF15030
108,1,IC-I2C-TEMP-SENSOR-TC74A0-5.0VCT-SOT23-5,560-0134 note1,YU12,M'CHIP,TC74A0-5.0VCT,,
109,1,IC-I2C-TEMP-SENSOR-LM75CIM5-SO8NB,560-0126,YU18,NSC,LM75CIM,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
