,,,,,,,,,,,
,,,,,,,,,,,
1,"AVERAGE(ABS(IF((FREQUENCY($E$32:$E$38,$E$32:$E$38)-1)>0,1)))",,,,,,,,,,
1.875,"AVERAGE(ABS(IF((FREQUENCY($E$32:$E$38,$E$32:$E$38)-1)>0,1)+FREQUENCY($E$32:$E$38,$E$32:$E$38)))",,,,,,,,,,
2,"COLUMNS(IF(C53,E49:F49,{5,6,7,8}))",,,,,,,,,,
3,"COLUMNS(IF(C53,{3,4,5},{6,7}))",1,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Excel encodes PI() as 'array'.  Not sure what rule justifies this. POI encodes it as 'value' which Excel seems to tolerate,,,,,,,,,,,
3.141592654,"INDEX(PI(),1)",,,,,,,,,,
,,,,,,,,,,,
These formulas involve constant arrays (which POI 3.1 does not parse yet),,,,,,,,,,,
0.816496581,"STDEV(2,ROUND({1.0;2.0;3.0},1))",,,,,,,,,,
22.14159265,"INDEX(MMULT({1.0,2.0;3.0,4.0},{5.0,6.0;7.0,8.0})+PI(),K5,K6)",,,,,,,,,,
19,"TRANSPOSE(MMULT({1.0,2.0;3.0,4.0},{5.0,6.0;7.0,8.0}))",,,,,,,,,,
1,"SUM(MMULT({1.0},{1.0}))",,,,,,,,,,
134,"SUM(MMULT({1.0,2.0;3.0,4.0},{5.0,6.0;7.0,8.0}))",,,,,,,,,,
,,,,,,,,,,,
Something wierd going on with the TRANSPOSE function,,,,,,,,,,,
0,"TRANSPOSE(INDEX(C1,1,1))",,,,,,,,,,
3.141592654,TRANSPOSE(PI()),,,,,,,,,,
,,,,,,,,,,,
,"SUM(VLOOKUP({""a"",""b"",""b""},C72:D75,2))",a,5,,,,,,,,
#N/A,,b,4,,,,,,,,
0.25,"AVERAGE(IF(FREQUENCY($E$32:$E$38,$E$32:$E$38)>0,1,0))",c,2,,,,,,,,
1,"AVERAGE(IF((FREQUENCY($E$32:$E$38,$E$32:$E$38)-1)>0,1))",d,1,,,,,,,,
40,"MMULT(IF(C35,I34:J34,K34:K36),IF(C35,K34:K35,I35:K35))",,,,,,,,,,
59,"MMULT(IF($I$36,{2,3},{4,5}),IF($I$37,{6;7},SIN(8)))",,,,,,,,,,
4,"INDEX(INDEX({1,2;3,4},{2,1},2),1,1)",,,,,,,,,,
,,,,,,,,,,,
2,,,,,,,,,,,
