EQUIPMENT DATASHEET,,,,,,,,,,,,,,,,,
,15,{equipment[15]/@description},{equipment[15]/@type},{equipment[15]/height/@feet},Ft.,{equipment[15]/height/@inches},In.,{equipment[15]/width/@feet},Ft.,{equipment[15]/width/@inches},In.,{equipment[15]/depth/@feet},Ft.,{equipment[15]/depth/@inches},In.,{equipment[15]/@comment},
,16,{equipment[16]/@description},{equipment[16]/@type},{equipment[16]/height/@feet},Ft.,{equipment[16]/height/@inches},In.,{equipment[16]/width/@feet},Ft.,{equipment[16]/width/@inches},In.,{equipment[16]/depth/@feet},Ft.,{equipment[16]/depth/@inches},In.,{equipment[16]/@comment},
,17,{equipment[17]/@description},{equipment[17]/@type},{equipment[17]/height/@feet},Ft.,{equipment[17]/height/@inches},In.,{equipment[17]/width/@feet},Ft.,{equipment[17]/width/@inches},In.,{equipment[17]/depth/@feet},Ft.,{equipment[17]/depth/@inches},In.,{equipment[17]/@comment},
,18,{equipment[18]/@description},{equipment[18]/@type},{equipment[18]/height/@feet},Ft.,{equipment[18]/height/@inches},In.,{equipment[18]/width/@feet},Ft.,{equipment[18]/width/@inches},In.,{equipment[18]/depth/@feet},Ft.,{equipment[18]/depth/@inches},In.,{equipment[18]/@comment},
,19,{equipment[19]/@description},{equipment[19]/@type},{equipment[19]/height/@feet},Ft.,{equipment[19]/height/@inches},In.,{equipment[19]/width/@feet},Ft.,{equipment[19]/width/@inches},In.,{equipment[19]/depth/@feet},Ft.,{equipment[19]/depth/@inches},In.,{equipment[19]/@comment},
,20,{equipment[20]/@description},{equipment[20]/@type},{equipment[20]/height/@feet},Ft.,{equipment[20]/height/@inches},In.,{equipment[20]/width/@feet},Ft.,{equipment[20]/width/@inches},In.,{equipment[20]/depth/@feet},Ft.,{equipment[20]/depth/@inches},In.,{equipment[20]/@comment},
,21,{equipment[21]/@description},{equipment[21]/@type},{equipment[21]/height/@feet},Ft.,{equipment[21]/height/@inches},In.,{equipment[21]/width/@feet},Ft.,{equipment[21]/width/@inches},In.,{equipment[21]/depth/@feet},Ft.,{equipment[21]/depth/@inches},In.,{equipment[21]/@comment},
,22,{equipment[22]/@description},{equipment[22]/@type},{equipment[22]/height/@feet},Ft.,{equipment[22]/height/@inches},In.,{equipment[22]/width/@feet},Ft.,{equipment[22]/width/@inches},In.,{equipment[22]/depth/@feet},Ft.,{equipment[22]/depth/@inches},In.,{equipment[22]/@comment},
,23,{equipment[23]/@description},{equipment[23]/@type},{equipment[23]/height/@feet},Ft.,{equipment[23]/height/@inches},In.,{equipment[23]/width/@feet},Ft.,{equipment[23]/width/@inches},In.,{equipment[23]/depth/@feet},Ft.,{equipment[23]/depth/@inches},In.,{equipment[23]/@comment},
,24,{equipment[24]/@description},{equipment[24]/@type},{equipment[24]/height/@feet},Ft.,{equipment[24]/height/@inches},In.,{equipment[24]/width/@feet},Ft.,{equipment[24]/width/@inches},In.,{equipment[24]/depth/@feet},Ft.,{equipment[24]/depth/@inches},In.,{equipment[24]/@comment},
,25,{equipment[25]/@description},{equipment[25]/@type},{equipment[25]/height/@feet},Ft.,{equipment[25]/height/@inches},In.,{equipment[25]/width/@feet},Ft.,{equipment[25]/width/@inches},In.,{equipment[25]/depth/@feet},Ft.,{equipment[25]/depth/@inches},In.,{equipment[25]/@comment},
,26,{equipment[26]/@description},{equipment[26]/@type},{equipment[26]/height/@feet},Ft.,{equipment[26]/height/@inches},In.,{equipment[26]/width/@feet},Ft.,{equipment[26]/width/@inches},In.,{equipment[26]/depth/@feet},Ft.,{equipment[26]/depth/@inches},In.,{equipment[26]/@comment},
,27,{equipment[27]/@description},{equipment[27]/@type},{equipment[27]/height/@feet},Ft.,{equipment[27]/height/@inches},In.,{equipment[27]/width/@feet},Ft.,{equipment[27]/width/@inches},In.,{equipment[27]/depth/@feet},Ft.,{equipment[27]/depth/@inches},In.,{equipment[27]/@comment},
,28,{equipment[28]/@description},{equipment[28]/@type},{equipment[28]/height/@feet},Ft.,{equipment[28]/height/@inches},In.,{equipment[28]/width/@feet},Ft.,{equipment[28]/width/@inches},In.,{equipment[28]/depth/@feet},Ft.,{equipment[28]/depth/@inches},In.,{equipment[28]/@comment},
,29,{equipment[29]/@description},{equipment[29]/@type},{equipment[29]/height/@feet},Ft.,{equipment[29]/height/@inches},In.,{equipment[29]/width/@feet},Ft.,{equipment[29]/width/@inches},In.,{equipment[29]/depth/@feet},Ft.,{equipment[29]/depth/@inches},In.,{equipment[29]/@comment},
,30,{equipment[30]/@description},{equipment[30]/@type},{equipment[30]/height/@feet},Ft.,{equipment[30]/height/@inches},In.,{equipment[30]/width/@feet},Ft.,{equipment[30]/width/@inches},In.,{equipment[30]/depth/@feet},Ft.,{equipment[30]/depth/@inches},In.,{equipment[30]/@comment},
,31,{equipment[31]/@description},{equipment[31]/@type},{equipment[31]/height/@feet},Ft.,{equipment[31]/height/@inches},In.,{equipment[31]/width/@feet},Ft.,{equipment[31]/width/@inches},In.,{equipment[31]/depth/@feet},Ft.,{equipment[31]/depth/@inches},In.,{equipment[31]/@comment},
,32,{equipment[32]/@description},{equipment[32]/@type},{equipment[32]/height/@feet},Ft.,{equipment[32]/height/@inches},In.,{equipment[32]/width/@feet},Ft.,{equipment[32]/width/@inches},In.,{equipment[32]/depth/@feet},Ft.,{equipment[32]/depth/@inches},In.,{equipment[32]/@comment},
,33,{equipment[33]/@description},{equipment[33]/@type},{equipment[33]/height/@feet},Ft.,{equipment[33]/height/@inches},In.,{equipment[33]/width/@feet},Ft.,{equipment[33]/width/@inches},In.,{equipment[33]/depth/@feet},Ft.,{equipment[33]/depth/@inches},In.,{equipment[33]/@comment},
,34,{equipment[34]/@description},{equipment[34]/@type},{equipment[34]/height/@feet},Ft.,{equipment[34]/height/@inches},In.,{equipment[34]/width/@feet},Ft.,{equipment[34]/width/@inches},In.,{equipment[34]/depth/@feet},Ft.,{equipment[34]/depth/@inches},In.,{equipment[34]/@comment},
,35,{equipment[35]/@description},{equipment[35]/@type},{equipment[35]/height/@feet},Ft.,{equipment[35]/height/@inches},In.,{equipment[35]/width/@feet},Ft.,{equipment[35]/width/@inches},In.,{equipment[35]/depth/@feet},Ft.,{equipment[35]/depth/@inches},In.,{equipment[35]/@comment},
,36,{equipment[36]/@description},{equipment[36]/@type},{equipment[36]/height/@feet},Ft.,{equipment[36]/height/@inches},In.,{equipment[36]/width/@feet},Ft.,{equipment[36]/width/@inches},In.,{equipment[36]/depth/@feet},Ft.,{equipment[36]/depth/@inches},In.,{equipment[36]/@comment},
,37,{equipment[37]/@description},{equipment[37]/@type},{equipment[37]/height/@feet},Ft.,{equipment[37]/height/@inches},In.,{equipment[37]/width/@feet},Ft.,{equipment[37]/width/@inches},In.,{equipment[37]/depth/@feet},Ft.,{equipment[37]/depth/@inches},In.,{equipment[37]/@comment},
,38,{equipment[38]/@description},{equipment[38]/@type},{equipment[38]/height/@feet},Ft.,{equipment[38]/height/@inches},In.,{equipment[38]/width/@feet},Ft.,{equipment[38]/width/@inches},In.,{equipment[38]/depth/@feet},Ft.,{equipment[38]/depth/@inches},In.,{equipment[38]/@comment},
,39,{equipment[39]/@description},{equipment[39]/@type},{equipment[39]/height/@feet},Ft.,{equipment[39]/height/@inches},In.,{equipment[39]/width/@feet},Ft.,{equipment[39]/width/@inches},In.,{equipment[39]/depth/@feet},Ft.,{equipment[39]/depth/@inches},In.,{equipment[39]/@comment},
,40,{equipment[40]/@description},{equipment[40]/@type},{equipment[40]/height/@feet},Ft.,{equipment[40]/height/@inches},In.,{equipment[40]/width/@feet},Ft.,{equipment[40]/width/@inches},In.,{equipment[40]/depth/@feet},Ft.,{equipment[40]/depth/@inches},In.,{equipment[40]/@comment},
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Ericsson,Battery,Indoor,,,,,,,,,,,,,
,,Lucent,BBU,Outdoor,,,,,,,,,,,,,
,,Nokia,GSM,,,,,,,,,,,,,,
,,Nortel,TDMA,,,,,,,,,,,,,,
,,Siemens,UMTS,,,,,,,,,,,,,,
,,,Power Plant,,,,,,,,,,,,,,
,,,Svc Cab,,,,,,,,,,,,,,
,,,FIF,,,,,,,,,,,,,,
,,,Microwave,,,,,,,,,,,,,,
,,,Non-Cingular,,,,,,,,,,,,,,
,,,Misc,,,,,,,,,,,,,,
