Assortment_category,Leaflet__,Republic,Date_from,Date_to,Product,Volume,Unit,Price_info,Price_Action,Price_Off_Action,Note,Akce,Akce2,Code_article,Vyhoda,,,,,,,,,,,
3,,sk,21/10/2009,2/11/2009,Velkopopovický Kozel 4 Pack,,,,65.98,,"1 l 1,09 € / 32,83 Sk",,,VKIKA3Dshrinkplechy,,,,,,,,,,,,
3,,sk,21/10/2009,2/11/2009,"Zlatá Stud_a black Tea 1,5 l",1.5,l,,17.77,25.00,"Citrón alebo Brosky_a, 1 l 0,39 € / 11,74 Sk",2,,15lZLATASTUDNATEAcitron,-28%,,,,,,,,,,,
3,,sk,21/10/2009,2/11/2009,"Prírodná minerálna voda Magnesia 1,5 l",1.5,l,,16.27,,"jemne sýtená alebo sýtená, 1 l 0,36 € / 10,84 Sk",,,Magnesia_15_jemne_perliva_nova_RGBjpg,,,,,,,,,,,,
3,,sk,21/10/2009,2/11/2009,"Vinea 1,5 l",1.5,l,,29.82,,"Biela alebo _ervená, 1 l 0,66 € / 19,88 Sk",,,Vineabiela15[1],,,,,,,,,,,,
3,,sk,21/10/2009,2/11/2009,Pepsi 2 l,2,l,,29.82,,"rôzne druhy, 1 l 0,47 € / 14,15 Sk",2,,pepsi20042L_1411,-20%,,,,,,,,,,,
18,,sk,21/10/2009,2/11/2009,Prací prostriedok Palmex 6 kg,6,kg,,331.08,451.59,"alebo Palmex gél 4,5 l, rôzne druhy, 1 kg 1,83 € / 55,13 Sk, 1 l 2,44 € / 73,50 Sk",2,,PXMF6kg,-26%,,,,,,,,,,,
18,,sk,21/10/2009,2/11/2009,Vanish Intelligence 2 l + 1 l v cene,3,l,,240.71,,"1 l 2,66 € / 80,13 Sk. Bežná cena za Vanish 2 l 8,59 € / 258,78 Sk",,,Vanish2l1lMIX199,,,,,,,,,,,,
18,,sk,21/10/2009,2/11/2009,Prostriedok do umýva_ky Somat Perfect 28 tabliet,28,ks,,300.96,,"alebo Somat gél 750 ml, 4 druhy, Pri kúpe 2 balení: 1 tableta 0,17 € / 5,12 Sk, 1 l 6,66 € / 200,63 Sk. Pri kúpe akejko_vek kombináte 2 balení Somat tablet alebo Somat gélu druhé balenie ZADARMO. Viac info v predajni.",,,SomatPerfect28tabs,,,,,,,,,,,,
15,,sk,21/10/2009,2/11/2009,Plienky Bella Happy Big Pack,,,,391.34,,rôzne ve_kosti,,,Big_Pack_Maxi_72,,,,,,,,,,,,
17,,sk,21/10/2009,2/11/2009,Toaletný papier Big Soft 8 + 2 kotú_e v cene,,,,53.93,,"2-vrstvový, 1 kotú_ 0,17 € / 5,12 Sk",,,TPBSPeach82_3D,,,,,,,,,,,,
17,,sk,21/10/2009,2/11/2009,Prostriedok na WC Domestos 750 ml,750,ml,,44.89,72.90,"4 druhy, 1 l 1,98 € / 59,64 Sk",2,,DomestosBleach24H_citrus,-38%,,,,,,,,,,,
17,,sk,21/10/2009,2/11/2009,Telové mlieko Dove 250 ml,250,ml,,105.14,141.29,"4 druhy, 1 l 13,96 € / 420,55 Sk",2,,Dove_telove_mleko_sametove_zkraslujici_250ml,-25%,,,,,,,,,,,
17,,sk,21/10/2009,2/11/2009,Tekuté mydlo Palmolive 300+200 ml,500,ml,,68.99,,"5 druhov, 1 l 4,58 € / 137,97 Sk",,,Palmolivehoney,,,,,,,,,,,,
17,,sk,21/10/2009,2/11/2009,Deosprej Fa 2 x 150 ml,2x150,ml,,99.11,,"5 druhov, 1 l 10,96 € / 330,18 Sk, 1 ks 1,64 € / 49,40 Sk",1,,GB_Fa_DA_PD_ExtremeCool_40copy,,,,,,,,,,,,
11,,sk,21/10/2009,2/11/2009,LCD TV ORION LT-32B,,,,8736.24,,"1366 x 768, 16:9, HDMI, Dynamický kontrast 5000:1",,,LCDPT37-S,,,,,,,,,,,,
12,,sk,21/10/2009,2/11/2009,Elektrický ohrieva_ nôh Happy Life 30670,,,,752.85,,"3 teplotné nastavenia, automatické vypnutie po 90 minútach. V ponuke aj: Elektrická výhrevná deka - 150 x 80 cm za 29,79 € / 897,45 Sk",,,HL30670,,,,,,,,,,,,
9,,sk,21/10/2009,2/11/2009,Digitálny fotoaparát SAMSUNG ES 15,,,,2394.72,3012.30,"Rozlíšenie 10,2 Mpx, 3x optický zoom, Váha: 120g Typ sníma_e: CCDVstavaná pamä_ 32 MB, LCD: 2,5""",2,,ES15black,-20%,,,,,,,,,,,
10,,sk,21/10/2009,2/11/2009,MP3 prehráva_ TEAC 2 GB,,,,572.09,,"Kapacita 2 GB, LCD displej, rozhranie USB, napájanie 1 x AAA",,,MP-114,,,,,,,,,,,,
12,,sk,21/10/2009,2/11/2009,Rýchlovarná kanvica ROHNSON R-717,,,,270.83,,"Príkon 2200 W, objem 1.7 litra, zakrytá špirála, nerezové dno, 360° oto_ný odnímate_ný podstavec",,,R-717,,,,,,,,,,,,
12,,sk,21/10/2009,2/11/2009,Podlahový vysáva_ ROHNSON R-152,,,,897.45,,"Maximálny príkon 1600 W, objem sá_ka 1,5 l, kovové trubice, 5 stup_ová fifi ltrácia",1,,R-152,,,,,,,,,,,,
23,,sk,21/10/2009,2/11/2009,Športové okuliare,,,,90.08,,"V ponuke aj Športové polariza_né okuláre za 8,99 € / 270,83 Sk",,,V1,,,,,,,,,,,,
12,,sk,21/10/2009,2/11/2009,Stolový mixér Rohnson R - 536,,,,813.10,,"Príkon 750 W, objem seká_a 400 ml, objem mixéru 1 l, nerezové sekacie nože, protisklzový podstavec, bezpe_nostná poistka + dar_ek multifunk_ný seká_ik",,,R-536_HR,,,,,,,,,,,,
12,,sk,21/10/2009,2/11/2009,Ru_ný mixér SENCOR SHM 5204,,,,391.34,,"Výkon 200 W, 5 stup_ov rýchlosti, metli_ky na hnetenie",3,,SHM5204,,,,,,,,,,,,
23,,sk,21/10/2009,2/11/2009,Nastavite_né zimné kor_ule,,,,752.85,1054.41,"Max. hmotnos_: 60 kg. Ve_kosti: S ( 29 - 32 ), M ( 33 - 36 ), L ( 37 - 40 )",,,TrulyJuniord,-28%,,,,,,,,,,,
23,,sk,21/10/2009,2/11/2009,Lyžiarska prilba detská Sulov VS 616,,,,873.65,,"Ve_kosti: S, M, L, XL",,,SulovVS616mattblack,,,,,,,,,,,,
23,,sk,21/10/2009,2/11/2009,Zjazdové lyže Elan Race Pro Blue Junior,,,,3584.99,,"Ur_ené pre mierne pokro_ilých a rekrea_ných juniorských lyžiarov. Viazanie : ELAN ELN 4.5, D_žky : 70, 80, 90, 100, 110, 120, 130 cm. V ponuke aj: _ervené.",,,RACEPROBlue,,,,,,,,,,,,
23,,sk,21/10/2009,2/11/2009,Detské lyžiarky Alpina 12,,,,1777.43,,"_ahké obúvanie a vyzúvanie, prispôsobené na tvar detskej nohy. Ve_kosti MSS: 190 - 220 cm",,,LyziarkydetskeALPINAJ2,,,,,,,,,,,,
23,,sk,21/10/2009,2/11/2009,Pánske lyžiarky Alpina X3,,,,2681.21,,Ve_kosti MSS: 270 - 315 cm,,,LyziarkyALPINAX3,,,,,,,,,,,,
23,,sk,21/10/2009,2/11/2009,Dámske lyžiarky Lady Alpina X3,,,,2681.21,,Vyzna_ujú sa dokonalým pohodlím a výbornou tepelnou izoláciou. Sú prispôsobené na tvar ženskej nohy. Ve_kosti MSS: 230 - 265 cm.,,,LyziarkyLADYALPINAX3L,,,,,,,,,,,,
23,,sk,21/10/2009,2/11/2009,Športová taška na kolieskach 58 cm,,,,599.51,,"_ierna. Rozmery: 58 x 28 x 30,5 cm",,,sporttaskanakolieskach58cm,,,,,,,,,,,,
23,,sk,21/10/2009,2/11/2009,Zjazdové lyže Elan Speedster GT modré,,,,4970.79,,"Ur_ené pre mierne pokro_ilých a rekrea_ních lyžiarov. Vyzna_ujú sa dokonalou pružnos_ou, dostato_nou stabilitou v oblúku. Viazanie: Elan ELN 10.",,,SPEEDSTERGTWhite,,,,,,,,,,,,
15,,sk,21/10/2009,2/11/2009,Boby plastové Twister,,,,264.81,,,,,bobplastovy,,,,,,,,,,,,
25,,sk,21/10/2009,2/11/2009,Banka malá,,,,10.54,,40 g,,,3080Sklobankamala,,,,,,,,,,,,
25,,sk,21/10/2009,2/11/2009,Náhrobné sklo Vlna 450 g,,,,81.04,,,,,7386SkloVlna,,,,,,,,,,,,
24,,sk,21/10/2009,2/11/2009,Chryzantéma Multifl óra 19 cm,,,,111.16,150.33,,2,,chrysanthema19cm-1,-26%,,,,,,,,,,,
25,,sk,21/10/2009,2/11/2009,Náhrobné svetlo dlhohoriace s poklopom,,,,17.77,,120 g,,,1050Dlhohoriacespoklopom,,,,,,,,,,,,
21,,sk,21/10/2009,2/11/2009,Štartovacie káble 120A,,,,87.06,159.37,,2,,40023_40033_40043_300dpi,-45%,,,,,,,,,,,
21,,sk,21/10/2009,2/11/2009,Hustomer chladiacej kvapaliny,,,,38.86,76.82,V ponuke aj: hustomer akumulátora,2,,73100Hustomerchladicikapaliny,-49%,,,,,,,,,,,
21,,sk,21/10/2009,2/11/2009,Destilovaná voda 5 l,5,l,,56.94,,,3,,AQUADestillata5lt,,,,,,,,,,,,
21,,sk,21/10/2009,2/11/2009,Puklice Spark 13´´,,,,75.01,112.97,"V ponuke aj: puklice Spark 14´´ za 2,69 € / 81,04 Sk, puklice Spark 15´´ za 2,99 € / 90,08 Sk",,,Puklicespark,-33%,,,,,,,,,,,
21,,sk,21/10/2009,2/11/2009,Sedací po_ah vyhrávaný 12 V,,,,198.53,279.87,_ierny,2,,74303,-29%,,,,,,,,,,,
14,,sk,21/10/2009,2/11/2009,Dámska zateplená mikina,,,,903.78,,"Ve_. 36-44, 35% bavlna, 65% polyester, kockovaná alebo prúžkovaná",,,101,,,,,,,,,,,,
14,,sk,21/10/2009,2/11/2009,Dámske tri_ko s trištvr_ovým alebo dlhým rukávom,,,,391.64,,"Ve_. 36-44, 35% bavlna, 65% polyester, kockované alebo prúžkované",,,102,,,,,,,,,,,,
14,,sk,21/10/2009,2/11/2009,Dámske tri_ko s elastánom,,,,331.39,,"Ve_. S-XL, 95% bavlna, 5% elastin 2 modely v 5 farbách",,,103,,,,,,,,,,,,
14,,sk,21/10/2009,2/11/2009,Luxusný dámsky kabát s kašmírom,,,,3615.12,,"Ve_. 38-48, 70% vlna, 20% polyamid, 10% kašmír. Desa_ rôznych modelov. Rôzne farby.",,,104damskykabat,,,,,,,,,,,,
14,,sk,21/10/2009,2/11/2009,Dámsky pláš_ Zieglerini,,,,2410.08,,"Ve_. 36-44, 70% vlna, 15% polyester, 15%, polyamid. Tri rôzne modely. Antracitový alebo _ierny.",,,136damskydlouhyplast,,,,,,,,,,,,
14,,sk,21/10/2009,2/11/2009,Dámsky kabát,,,,2259.45,,"Ve_. 36-46, 100% polyester, hnedý alebo _ierny",,,106damskykabat,,,,,,,,,,,,
14,,sk,21/10/2009,2/11/2009,Dámska zimná obuv,,,,903.78,,"Ve_. 36-41, Koža, _ierna",,,107,,,,,,,,,,,,
14,,sk,21/10/2009,2/11/2009,Dámska termoobuv,,,,753.15,,Ve_. 35-41. Biela alebo šedá,,,108,,,,,,,,,,,,
14,,sk,21/10/2009,2/11/2009,Dámske _ižmy,,,,602.52,,"Ve_. 36-41, rôzne modely",,,109damskecizmy,,,,,,,,,,,,
16,,sk,21/10/2009,2/11/2009,Pánska koše_a,,,,271.13,,"Ve_. 39-46, 60% bavlna, 40% polyester, rôzne farby a vzory",,,133akoselaP10800141212,,,,,,,,,,,,
16,,sk,21/10/2009,2/11/2009,Pánsky sveter,,,,301.26,,"Ve_. M-XXL, 100% akryl, 4 rôzne modely, 8 farieb",,,112panskysveter,,,,,,,,,,,,
16,,sk,21/10/2009,2/11/2009,Pánsky sveter na zips,,,,391.64,,"Ve_. M-XXXL, 50% bavlna, 50% polyamid, 2 rôzne modely, 5 farieb",,,113panskysveter,,,,,,,,,,,,
16,,sk,21/10/2009,2/11/2009,Pánska vlnená bunda,,,,2259.45,,"Ve_. 50-58, 70% vlna, 15% polyester, 15% polyamid. Dva rôzne modely. Antracitová alebo _ierna.",,,114,,,,,,,,,,,,
16,,sk,21/10/2009,2/11/2009,Pánsky pláš_ Zieglerini,,,,2410.08,,"Ve_. 48-58, 70% vlna, 15% polyester, 15% polyamid. Tri rôzne modely. Antracitový alebo _ierny.",,,123panskykratkyplast,,,,,,,,,,,,
16,,sk,21/10/2009,2/11/2009,Luxusný pánsky kabát s kašmírom,,,,3012.60,,"Ve_. 48-58, 70% vlna, 20% polyamid, 10% kašmír. Šes_ rôznych modelov. Antracitový alebo _ierny.",,,125panskydlouhyplast,,,,,,,,,,,,
16,,sk,21/10/2009,2/11/2009,Pánska zimná obuv,,,,753.15,,Ve_. 41-46. _ierna alebo hnedá.,,,117panskaobuv,,,,,,,,,,,,
16,,sk,21/10/2009,2/11/2009,Pánska zimná _lenková obuv,,,,994.16,,Ve_. 41-46. Koža. _ierna alebo hnedá.,,,118,,,,,,,,,,,,
16,,sk,21/10/2009,2/11/2009,Pánska zimná obuv,,,,1054.41,,Ve_. 41-46. Koža. _ierna alebo hnedá.,,,119,,,,,,,,,,,,
16,,sk,21/10/2009,2/11/2009,Pánska flanelová koše_a,,,,99.42,150.33,"Ve_. M-XXL, 100% bavlna, rôzne farby",,,flankosil1409_b,-33%,,,,,,,,,,,
21,,sk,21/10/2009,2/11/2009,Sheron 1 l do - 20 _ C,1,l,,32.84,48.80,"V ponuke aj: Sheron 2 l do - 20 _ C za 2,45 € / 73,81 Sk",,,SHERON-20C1ltnew,-32%,,,,,,,,,,,
21,,sk,21/10/2009,2/11/2009,Zimné pneumatiky Matador bez diskov 155/ 70 R 13 75T MP 52,,,od,903.48,,"V ponuke aj: 165/70R13 79T MP52, 165/70R14 81T MP52, 175/65R14 82T MP52, 185/65R14 86T MP52, 185/60R14 82T MP52, 195/65R15 91T MP59",,,zma1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
