Source d'informations: GRD,,,,Source d'informations: GRD et GRT,,Source d'informations: GRD ,,,Source d'informations: GRD ,,,,,,,,,Source d'informations: GRT,,,,,,,,,,Observations
Communes,,,,PITD,,,,,GRD de rang 1,,,GRD de rang 2,,,GRD de rang 3,,,GRT,,,,,,,,,,
 Code Insee,Libellé,Distribution gérée par un GRD de rang 1 ou  2   ,Coefficient tarif de proximité,Code,Libellé,Code de la station météo rattachée au PITD,Nom de la station météo rattachée au PITD,Zone climatique du PITD,Code,Nom ,Contact,Code,Nom ,Contact,Code,Nom ,Contact,Code,Nom,Nombre de postes de livraison Transport/Distribution rattachés au PITD, Type de gaz, Niveau Tarifaire Régional (NTR),Zone de Sortie,GDTF,TIGF, Zone Equilbrage, Contact ,
01105,CIVRIEUX,,1,GD0136,LYON,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01108,COLIGNY,,1,GD0093,MONTREVEL-EN-BRESSE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,2,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01123,CORMORANCHE SUR SAONE,,1,GD0161,BOURG-EN-BRESSE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,4,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01124,CORMOZ,,1,GD0063,SAINT-AMOUR,21473001,Dijon-Longvic,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,0,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01130,CRAS SUR REYSSOUZE,,1,GD0093,MONTREVEL-EN-BRESSE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,2,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01134,CROTTET,,1,GD0210,MACON,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,3,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01135,CROZET,,1,  ,  ,  ,  ,,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,  ,  ,,  ,,,,,,,  
01142,DAGNEUX,,"1,75",  ,  ,  ,  ,,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,  ,  ,,  ,,,,,,,  
01143,DIVONNE LES BAINS,,1,  ,  ,  ,  ,,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,  ,  ,,  ,,,,,,,(*) Alimentation à partir du réseau GAZNAT--> voir St Genis pouilly  
01154,ETREZ,,1,GD0093,MONTREVEL-EN-BRESSE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,2,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01157,FAREINS,,1,GD0136,LYON,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01159,FEILLENS,,1,GD0096,FEILLENS,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,2,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01160,FERNEY VOLTAIRE,,"1,75",  ,  ,  ,  ,,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,  ,  ,,  ,,,,,,,(*) Alimentation à partir du réseau GAZNAT --> oui avec échange simultané à partir de La louvière ou St Julien en genevois avec restitution à ferney Voltaire   
01165,FRANCHELEINS,,1,GD0136,LYON,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01166,FRANS,,1,GD0136,LYON,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01171,GEOVREISSET,,1,GD0092,OYONNAX,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,4,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01173,GEX,,1,  ,  ,  ,  ,,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,  ,  ,,  ,,,,,,,  
01175,GORREVOD,,1,GD0094,PONT-DE-VAUX,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,2,H,13,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01179,GRIEGES,,1,GD0161,BOURG-EN-BRESSE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,4,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01181,GROISSIAT,,1,GD0092,OYONNAX,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,4,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01183,GUEREINS,,1,GD0136,LYON,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01185,HAUTEVILLE LOMPNES,,1,GD0088,HAUTEVILLE-LOMPNES,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,6,H,13,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01192,IZERNORE,,1,GD0091,IZERNORE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,13,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01194,JASSANS RIOTTIER,,"1,75",GD0136,LYON,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01195,JASSERON,,1,GD0161,BOURG-EN-BRESSE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,4,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01196,JAYAT,,1,GD0093,MONTREVEL-EN-BRESSE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,2,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01199,JUJURIEUX,,1,GD0153,AMBERIEU-EN-BUGEY,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,8,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01202,LAGNIEU,,1,GD0101,LAGNIEU,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,9,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01205,LANCRANS,,1,  ,  ,  ,  ,,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,  ,  ,,  ,,,,,,,  
01213,LEYMENT,,1,GD0152,LEYMENT,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,2,H,6,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01224,LOYETTES,,1,GD0103,BLYES,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,7,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01229,MALAFRETAZ,,1,GD0093,MONTREVEL-EN-BRESSE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,2,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01231,MANZIAT,,1,GD0095,MANZIAT,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,7,H,6,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01232,MARBOZ,,1,GD0093,MONTREVEL-EN-BRESSE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,2,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01237,MARTIGNAT,,1,GD0092,OYONNAX,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,4,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01238,MASSIEUX,,"1,75",GD0136,LYON,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01243,MESSIMY SUR SAONE,,1,GD0136,LYON,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01244,MEXIMIEUX,,"1,75",  ,  ,  ,  ,,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,  ,  ,,  ,,,,,,,  
01246,MEZERIAT,,1,GD0093,MONTREVEL-EN-BRESSE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,2,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01248,MIONNAY,,1,GD0136,LYON,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01249,MIRIBEL,,1,GD0100,MIRIBEL,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,2,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01254,MONTAGNAT,,1,GD0161,BOURG-EN-BRESSE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,4,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01258,MONTCEAUX,,1,GD0136,LYON,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01262,MONTLUEL,,1,  ,  ,  ,  ,,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,  ,  ,,  ,,,,,,,  
01263,MONTMERLE SUR SAONE,,"1,75",GD0136,LYON,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01265,MONTREAL LA CLUSE,,1,GD0091,IZERNORE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,13,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01266,MONTREVEL EN BRESSE,,1,GD0093,MONTREVEL-EN-BRESSE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,2,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01268,MURS ET GELIGNIEUX,,1,GD0149,MURS-ET-GELIGNIEUX,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,10,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01269,NANTUA,,1,GD0091,IZERNORE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,13,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01272,NEUVILLE LES DAMES,,1,GD0093,MONTREVEL-EN-BRESSE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,2,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01275,NEYRON,,"1,75",GD0136,LYON,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01276,NIEVROZ,,1,  ,  ,  ,  ,,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,  ,  ,,  ,,,,,,,  
01281,ORNEX,,"1,75",  ,  ,  ,  ,,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,  ,  ,,  ,,,,,,,(*) Egalement alimentée par PAPE L4924  
01283,OYONNAX,,"1,75",GD0092,OYONNAX,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,4,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01285,PARCIEUX,,1,GD0136,LYON,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
