FORMULA TEST DOCUMENT,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1 - CELL FORMULAS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1.1 - CONSTANT OPERANDS,,,,,,1.5 - OPERATOR PRECEDENCE,,,,,1.6 - CELL REFERENCE TOKENS,,,,,,,1.9 - FUNCTION TOKENS,,,,
Token,Formula,Is,Must,Ok?,,Formula,Is,Must,Ok?,,Token,Formula,Is,Must,Ok?,,,Token,Formula,Is,Must,Ok?
1.3 - BINARY ARITHMETIC OPERATORS,,,,,,=2^(3*4+5),131072,131072,ok,,Token,Formula,Is,Must,Ok?,,,Constant array,=  {2},2,2,ok
Token,Formula,Is,Must,Ok?,,=2^(3*(4+5)),134217728,134217728,ok,,"=SUM((Q34:Q36:Q35:Q37 Q36:Q38,Q37:Q39))",,22,22,ok,1,,Unary operator (pre),=  +(3),3,3,ok
tAdd,=3+2,5,5,ok,,=2^((3*4)+5),131072,131072,ok,,"=SUM(((Q34:Q36:Q35:Q37) Q36:Q38,Q37:Q39))",,22,22,ok,2,,Unary operator (post),=400  %,4,4,ok
tSub,=3-2,1,1,ok,,=(2^3*4)+5,37,37,ok,,"=SUM((Q34:Q36:(Q35:Q37 Q36:Q38),Q37:Q39))",,25,25,ok,3,,Binary operator,=2  +3,5,5,ok
tMul,=3*2,6,6,ok,,=(2^(3*4))+5,4101,4101,ok,,"=SUM((Q34:Q36:Q35:Q37 (Q36:Q38,Q37:Q39)))",,11,11,ok,4,,"Function, 0 params",=  PI(  ),3.141592654,3.141592654,ok
tDiv,=3/2,1.5,1.5,ok,,=((2^3)*4)+5,37,37,ok,,"=SUM(((Q34:Q36:Q35:Q37 Q36:Q38),Q37:Q39))",,22,22,ok,5,,"Function, 1 param",=  ABS(  7  ),7,7,ok
tPower,=3^2,9,9,ok,,=5+4*3^2,41,41,ok,,"=SUM((Q34:Q36:(Q35:Q37 Q36:Q38,Q37:Q39)))",,21,21,ok,6,,"Function, 2 params","=  SUM(  3,  5  )",8,8,ok
tConcat,"=""A""&""B""",AB,AB,ok,,=5+4*(3^2),41,41,ok,,"=SUM((Q40:Q42,Q41:Q43 Q42:Q44:Q43:Q45))",,13,13,ok,1,,Cell reference,=  $V$40,9,9,ok
,,,,,,=5+(4*3)^2,149,149,ok,,"=SUM(((Q40:Q42,Q41:Q43) Q42:Q44:Q43:Q45))",,10,10,ok,2,,Intersection,=$V$41   $V$41,10,10,ok
1.4 - BINARY COMPARISON OPERATORS,,,,,,=(5+4)*3^2,81,81,ok,,"=SUM((Q40:Q42,(Q41:Q43 Q42):Q43:Q44:Q45))",,24,24,ok,3,,Parentheses,=  (  11  ),11,11,ok
Token,Formula,Is,Must,Ok?,,=5+(4*3^2),41,41,ok,,"=SUM((Q40:Q42,Q41:Q43 (Q42:Q44:Q43:Q45)))",,13,13,ok,4,,tFuncVar(IF),"= IF( FALSE, 1 ) +1",1,1,ok
tLT,=3<2,FALSE,FALSE,ok,,=5+(4*(3^2)),41,41,ok,,"=SUM(((Q40:Q42,Q41:Q43 Q42:Q44):Q43:Q45))",,21,21,ok,5,,tFuncVar(IF),"= IF( TRUE, 1 ) +1",2,2,ok
tLE,=3<=2,FALSE,FALSE,ok,,=5+((4*3)^2),149,149,ok,,"=SUM((Q40:Q42,(Q41:Q43 Q42:Q44:Q43:Q45)))",,13,13,ok,6,,tFuncVar(IF),"= IF( FALSE, 1, 2 ) +1",3,3,ok
tEQ,=3=2,FALSE,FALSE,ok,,=(5+4*3)^2,289,289,ok,,=-Q46 Q46,,-1,-1,ok,1,,tFuncVar(IF),"= IF( TRUE, 1, 2 ) +1",2,2,ok
tGE,=3>=2,TRUE,TRUE,ok,,=(5+(4*3))^2,289,289,ok,,=-(Q47):Q47,,-2,-2,ok,2,,tFuncVar(CHOOSE),"= CHOOSE( 1, 2, 3 ) +1",3,3,ok
tGT,=3>2,TRUE,TRUE,ok,,=((5+4)*3)^2,729,729,ok,,=-Q48:(Q48),,-3,-3,ok,3,,tFuncVar(CHOOSE),"= CHOOSE( 2, 2, 3 ) +1",4,4,ok
tNE,=3<>2,TRUE,TRUE,ok,,=2^3/4-5,-3,-3,ok,,,,,,,,,tFuncVar(CHOOSE),"= CHOOSE( 3, 2, 3 ) +1",#VALUE!,#VALUE!,ok
,,,,,,=5-3/4^2,4.8125,4.8125,ok,,,,,,,,,,,,,
,,,,,,=2+3&7,57,57,ok,,,,,,,,,,,,,
,,,,,,=2+(3&7),39,39,ok,,,,,,,,,,,,,
,,,,,,=(2+3)&7,57,57,ok,,,,,,,,,,,,,
,,,,,,=2+3=7,FALSE,FALSE,ok,,,,,,,,,,,,,
,,,,,,=2+(3=7),2,2,ok,,,,,,,,,,,,,
,,,,,,=(2+3)=7,FALSE,FALSE,ok,,,,,,,,,,,,,
,,,,,,=-(3)+2,-1,-1,ok,,,,,,,,,,,,,
,,,,,,=-(3+2),-5,-5,ok,,,,,,,,,,,,,
,,,,,,=-(3)+-(2),-5,-5,ok,,,,,,,,,,,,,
,,,,,,=-(3)*2,-6,-6,ok,,,,,,,,,,,,,
,,,,,,=-(3*2),-6,-6,ok,,,,,,,,,,,,,
,,,,,,=-(3)*-(2),6,6,ok,,,,,,,,,,,,,
,,,,,,=-(3)^2,9,9,ok,,,,,,,,,,,,,
,,,,,,=-(3^2),-9,-9,ok,,,,,,,,,,,,,
,,,,,,=-(2)^-(2),0.25,0.25,ok,,,,,,,,,,,,,
,,,,,,=50%^200%,25.00%,25.00%,ok,,,,,,,,,,,,,
,,,,,,=-(50)%^-(200)%,4,4,ok,,,,,,,,,,,,,
,,,,,,=--50%^--200%,25.00%,25.00%,ok,,,,,,,,,,,,,
,,,,,,=---(10000)%%%,-0.01,-0.01,ok,,,,,,,,,,,,,
,,,,,,=-+-+-+(1),-1,-1,ok,,,,,,,,,,,,,
