,CBT Admin,FALSE,,,,,,,,
,CBT Reset Admin,FALSE,,,,,,,,
,CBT Supervisor,FALSE,,,,,,,,
,CBT Viewer,FALSE,,,,,,,,
,Scheduling,,,,,,,,,
,SS Scheduler,FALSE,,,,,,,,
,SS Time Off/Layoff,FALSE,,,,,,,,
,SS Trial Sequencing,FALSE,,,,,,,,
,Separations,,,,,,,,,
,Call in Log Admin,,,,,,,,,
,Call in Log Editor,FALSE,,,,,,,,
,Call in Log PS Report,FALSE,,,,,,,,
,Call in Log Separation Manager,,,,,,,,,
,PIA Reasons Admin,FALSE,,,,,,,,
,RTA (Return to Active),FALSE,,,,,,,,
,Training / Hiring,,,,,,,,,
,SS Interviewer,FALSE,,,,,,,,
,SS Trainer,FALSE,,,,,,,,
,Skills,,,,,,,,,
,Associate Skills,FALSE,,,,,,,,
,Administration (ADM),FALSE,,,,,,,,
,Business Sales Division (BSD),FALSE,,,,,,,,
,Chat (CHT),FALSE,,,,,,,,
,Data Entry (DEA),FALSE,,,,,,,,
,eWorkforce Management (WRK),FALSE,,,,,,,,
,Internet Helpline (INH),FALSE,,,,,,,,
,Mailing Services (MSV),FALSE,,,,,,,,
,Order Research (AOR),FALSE,,,,,,,,
,Quality Assurance (QUA),FALSE,,,,,,,,
,Trainer (COA),FALSE,,,,,,,,
,Ask Me (ASK),FALSE,,,,,,,,
,Business Sales Supt (BUS),FALSE,,,,,,,,
,CS Support (SUP),FALSE,,,,,,,,
,Document Services (SSV),FALSE,,,,,,,,
,Executive Services (EXE),FALSE,,,,,,,,
,Lead Trainer (FAC),FALSE,,,,,,,,
,Order Blaster (OBL),FALSE,,,,,,,,
,Outbound Business (OBB),FALSE,,,,,,,,
,System Solutions (SYS),FALSE,,,,,,,,
,Assist Line (AST),FALSE,,,,,,,,
,Call Center Support (CCS),FALSE,,,,,,,,
,Customer Service (ACS),FALSE,,,,,,,,
,Ecommerce (INT),FALSE,,,,,,,,
,Held Order Processing (HLD),FALSE,,,,,,,,
,Leadership (LDR),FALSE,,,,,,,,
,Order Entry (AOE),FALSE,,,,,,,,
,Outbound Telemarketing (OBT),FALSE,,,,,,,,
,Team Leader (TEM),FALSE,,,,,,,,
